Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.02,4.40794,0.667414,8.4504,0.0669603,0.0355573,0.0826621,0.386046,9.50503,0.527602,-0.00293786,-0.128396,0.0258257,0.780804,-9.9618,-0.8993,-0.0852442,0.241429,0.0735103,10.2705,-0.49019,2.9304,0.0795176,-0.0873807,-0.0101743,5.1961,0.828048,8.24137,-0.132034,0.0410739,0.0690724,1.41567,-9.56085,-2.15106,-0.0186383,0.372769,0.309987,-0.541927,9.17754,-1.47743,0.114763,0.400656,-0.32193
0.021,4.40034,0.675687,8.46041,0.0671018,0.0334216,0.0889058,0.408212,9.49248,0.526079,-0.00220926,-0.134176,0.0202735,0.807926,-9.96267,-0.994365,-0.0866473,0.243596,0.0725996,10.1392,-0.51583,2.89617,0.0760629,-0.0839601,-0.0130892,5.19737,0.900461,8.22265,-0.138156,0.044592,0.0741795,1.41262,-9.56571,-2.17495,-0.0241132,0.404658,0.310581,-0.602633,9.17539,-1.43793,0.118955,0.405488,-0.317083
0.022,4.39274,0.68396,8.47041,0.0672433,0.0312858,0.0951495,0.430378,9.47994,0.524556,-0.00148067,-0.139957,0.0147212,0.835047,-9.96353,-1.08943,-0.0880503,0.245763,0.0716889,10.0078,-0.54147,2.86193,0.0726083,-0.0805395,-0.0160041,5.19863,0.972874,8.20392,-0.144279,0.0481102,0.0792867,1.40957,-9.57058,-2.19884,-0.0295881,0.436547,0.311175,-0.66334,9.17324,-1.39842,0.123147,0.410319,-0.312236
0.023,4.39816,0.687291,8.47074,0.0651402,0.027363,0.0992254,0.436075,9.4785,0.533379,-0.00274668,-0.145726,0.010097,0.856911,-9.98265,-1.13456,-0.0880222,0.247502,0.072217,9.90183,-0.573742,2.86547,0.0685628,-0.0781187,-0.0182666,5.18756,1.03541,8.21265,-0.152686,0.0505114,0.0827957,1.4149,-9.57683,-2.20082,-0.0357288,0.465099,0.311285,-0.720584,9.17713,-1.37244,0.126966,0.413115,-0.306322
0.024,4.40729,0.689209,8.4683,0.0623958,0.0229296,0.102682,0.437066,9.48024,0.545157,-0.00458257,-0.151491,0.00573791,0.877272,-10.007,-1.16542,-0.0875851,0.249117,0.0731561,9.80307,-0.607908,2.8798,0.0643486,-0.0759836,-0.0203426,5.17297,1.09513,8.22922,-0.161746,0.0525936,0.085848,1.42262,-9.58348,-2.19654,-0.0420596,0.492697,0.311257,-0.776838,9.18275,-1.35032,0.130679,0.41533,-0.300104
0.025,4.41643,0.691127,8.46586,0.0596513,0.0184963,0.106139,0.438056,9.48197,0.556935,-0.00641847,-0.157257,0.00137882,0.897633,-10.0313,-1.19629,-0.087148,0.250732,0.0740953,9.70431,-0.642074,2.89413,0.0601343,-0.0738485,-0.0224186,5.15837,1.15485,8.24578,-0.170806,0.0546758,0.0889004,1.43035,-9.59012,-2.19226,-0.0483905,0.520295,0.311229,-0.833093,9.18837,-1.32821,0.134392,0.417544,-0.293885
0.026,4.42557,0.693045,8.46342,0.0569069,0.0140629,0.109595,0.439047,9.48371,0.568714,-0.00825436,-0.163022,-0.00298026,0.917994,-10.0557,-1.22715,-0.0867109,0.252348,0.0750344,9.60555,-0.67624,2.90847,0.05592,-0.0717134,-0.0244946,5.14377,1.21457,8.26235,-0.179866,0.056758,0.0919527,1.43807,-9.59677,-2.18798,-0.0547214,0.547893,0.3112,-0.889348,9.19399,-1.30609,0.138105,0.419759,-0.287667
0.027,4.43815,0.693039,8.45672,0.053804,0.0104081,0.113344,0.433246,9.48005,0.577661,-0.00919679,-0.168117,-0.00756311,0.917702,-10.0517,-1.2446,-0.0848161,0.253322,0.0757544,9.53653,-0.69886,2.92171,0.0520005,-0.0695178,-0.0267855,5.13279,1.25445,8.27474,-0.188627,0.0596441,0.0958932,1.44092,-9.59833,-2.18465,-0.06164,0.574082,0.311459,-0.948772,9.20684,-1.29755,0.139766,0.421316,-0.281143
0.028,4.45763,0.689184,8.44148,0.0499842,0.00831028,0.117676,0.41386,9.46562,0.580947,-0.00835228,-0.171873,-0.0125935,0.876104,-9.99131,-1.23523,-0.080006,0.253014,0.0760362,9.52699,-0.698385,2.93278,0.0486704,-0.0672012,-0.0295063,5.12904,1.25467,8.27879,-0.196789,0.064138,0.10161,1.43401,-9.58972,-2.18321,-0.0697344,0.597454,0.312293,-1.01454,9.23416,-1.31615,0.137324,0.421558,-0.274009
0.029,4.4771,0.68533,8.42624,0.0461644,0.00621246,0.122008,0.394473,9.45118,0.584233,-0.00750776,-0.175628,-0.0176239,0.834506,-9.93087,-1.22586,-0.0751958,0.252706,0.0763179,9.51746,-0.697911,2.94384,0.0453403,-0.0648846,-0.0322271,5.12529,1.25488,8.28284,-0.204951,0.068632,0.107327,1.4271,-9.58111,-2.18178,-0.0778287,0.620825,0.313127,-1.0803,9.26148,-1.33475,0.134882,0.4218,-0.266875
