Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.02,1.33904,-1.71546,10.6001,1.1261,-0.588508,-0.528551,1.52274,10.9802,0.239512,-0.249951,1.02498,-1.22691,-10.731,8.87177,2.59697,0.245356,0.742242,1.01955,4.69559,1.30463,8.94538,0.0397077,0.0740558,-0.0424113,-0.249965,-10.2481,-2.53436,-0.208949,-0.497021,-0.0164748,7.8273,-2.74096,3.01501,-0.63084,0.663662,0.071882,0.781814,-10.1543,-0.872695,-0.204592,-0.0877886,-0.00758965
0.021,1.48928,-1.51243,10.6577,1.17045,-0.615196,-0.512121,1.56537,10.8996,0.440202,-0.247959,1.00854,-1.20541,-11.1939,9.1291,2.29474,0.194218,0.660387,0.964228,4.70185,1.26502,8.93531,0.040663,0.0690865,-0.0429906,-0.257424,-10.2448,-2.5932,-0.202912,-0.493423,-0.0173532,7.83298,-2.78567,3.00061,-0.631826,0.659896,0.0615609,0.777482,-10.1841,-0.901293,-0.20367,-0.0867654,-0.00698704
0.022,1.63952,-1.30939,10.7153,1.21479,-0.641884,-0.495692,1.60801,10.819,0.640891,-0.245967,0.992111,-1.1839,-11.6568,9.38642,1.99251,0.14308,0.578532,0.908902,4.70812,1.2254,8.92524,0.0416184,0.0641172,-0.0435699,-0.264884,-10.2415,-2.65205,-0.196876,-0.489825,-0.0182316,7.83867,-2.83037,2.98622,-0.632812,0.656129,0.0512398,0.77315,-10.2139,-0.929892,-0.202747,-0.0857422,-0.00638444
0.023,1.65211,-1.28861,10.6109,1.20523,-0.638429,-0.478861,1.58705,10.779,0.796782,-0.24813,0.960203,-1.15103,-11.7491,9.77344,1.92145,0.111353,0.485743,0.886191,4.71267,1.22016,8.92479,0.0415806,0.0596228,-0.042495,-0.238467,-10.2157,-2.68183,-0.187494,-0.484794,-0.0171576,7.8669,-2.87222,3.02589,-0.618069,0.644312,0.048692,0.761237,-10.2107,-0.963635,-0.20057,-0.0820483,-0.00590218
0.024,1.62537,-1.31991,10.4603,1.18026,-0.626362,-0.461915,1.54793,10.7507,0.939873,-0.25148,0.923873,-1.11492,-11.7357,10.1975,1.91644,0.0851719,0.389829,0.872799,4.71674,1.22474,8.92709,0.0412591,0.055264,-0.0409475,-0.202372,-10.1834,-2.70331,-0.177157,-0.479354,-0.0155257,7.90157,-2.91326,3.08101,-0.598832,0.630194,0.0483652,0.747159,-10.198,-0.998849,-0.198034,-0.0775913,-0.00545432
0.025,1.59864,-1.35121,10.3097,1.1553,-0.614295,-0.444969,1.50881,10.7223,1.08296,-0.254831,0.887544,-1.07881,-11.7222,10.6216,1.91143,0.0589907,0.293915,0.859406,4.7208,1.22932,8.92939,0.0409375,0.0509053,-0.0394,-0.166276,-10.151,-2.72478,-0.166819,-0.473914,-0.0138938,7.93624,-2.95429,3.13612,-0.579595,0.616076,0.0480383,0.73308,-10.1854,-1.03406,-0.195498,-0.0731343,-0.00500645
0.026,1.5719,-1.3825,10.1591,1.13033,-0.602228,-0.428023,1.46968,10.694,1.22606,-0.258181,0.851214,-1.04269,-11.7087,11.0457,1.90642,0.0328094,0.198002,0.846013,4.72487,1.23389,8.93169,0.040616,0.0465465,-0.0378524,-0.130181,-10.1187,-2.74626,-0.156482,-0.468474,-0.012262,7.97091,-2.99533,3.19124,-0.560358,0.601958,0.0477114,0.719001,-10.1727,-1.06928,-0.192962,-0.0686773,-0.00455858
0.027,1.54362,-1.31411,10.03,1.08161,-0.582577,-0.398951,1.38503,10.5704,1.32123,-0.260833,0.822321,-1.00819,-11.629,11.4578,1.86795,0.012969,0.109285,0.8392,4.73398,1.24114,8.92507,0.0405755,0.0426393,-0.0368638,-0.085861,-10.0832,-2.76196,-0.147214,-0.462774,-0.0107321,7.99233,-3.05405,3.24856,-0.534848,0.58162,0.0473058,0.704475,-10.1644,-1.09509,-0.19087,-0.0645118,-0.00403253
0.028,1.51225,-1.04634,9.944,0.985403,-0.547759,-0.345625,1.20932,10.2565,1.32055,-0.262089,0.808302,-0.976891,-11.4168,11.8462,1.76256,0.00581014,0.034963,0.845544,4.75318,1.25373,8.90059,0.0410971,0.0396352,-0.036993,-0.0250922,-10.0413,-2.7661,-0.140087,-0.456553,-0.00940642,7.98724,-3.14813,3.3103,-0.496793,0.548841,0.0467427,0.689053,-10.1649,-1.10212,-0.189667,-0.0609291,-0.00335012
0.029,1.48087,-0.778574,9.85796,0.889192,-0.51294,-0.292299,1.03361,9.94252,1.31988,-0.263345,0.794283,-0.945596,-11.2046,12.2345,1.65717,-0.00134867,-0.0393593,0.851887,4.77238,1.26631,8.87611,0.0416187,0.0366311,-0.0371222,0.0356765,-9.99942,-2.77024,-0.13296,-0.450332,-0.00808071,7.98216,-3.24221,3.37204,-0.458738,0.516063,0.0461796,0.673631,-10.1653,-1.10914,-0.188464,-0.0573464,-0.00266772
0.03,1.4495,-0.510805,9.77192,0.792981,-0.478121,-0.238973,0.857893,9.62855,1.31921,-0.2646,0.780263,-0.914302,-10.9925,12.6228,1.55177,-0.00850748,-0.113681,0.858231,4.79158,1.2789,8.85164,0.0421403,0.0336269,-0.0372514,0.0964453,-9.95751,-2.77439,-0.125833,-0.444111,-0.006755,7.97707,-3.33628,3.43378,-0.420683,0.483284,0.0456165,0.658209,-10.1658,-1.11617,-0.18726,-0.0537637,-0.00198531
0.031,1.41813,-0.243036,9.68588,0.696771,-0.443303,-0.185647,0.682179,9.31459,1.31853,-0.265856,0.766244,-0.883007,-10.7803,13.0111,1.44638,-0.0156663,-0.188004,0.864575,4.81078,1.29149,8.82716,0.0426619,0.0306228,-0.0373806,0.157214,-9.9156,-2.77853,-0.118706,-0.43789,-0.00542929,7.97199,-3.43036,3.49552,-0.382628,0.450506,0.0450534,0.642787,-10.1662,-1.12319,-0.186057,-0.0501811,-0.0013029
0.032,1.06115,0.642749,9.50077,0.560511,-0.374014,-0.0406262,0.725559,9.14504,1.47761,-0.273839,0.77355,-0.845791,-10.6767,13.1364,1.48867,-0.0252394,-0.252159,0.865967,4.79262,1.28269,8.82618,0.0449288,0.0279176,-0.037079,0.178397,-9.90843,-2.77474,-0.112928,-0.426484,-0.00333439,7.99228,-3.51979,3.53011,-0.333407,0.407831,0.0471365,0.645246,-10.1779,-1.14103,-0.185184,-0.0488313,-0.000673375
0.033,0.663476,1.60579,9.30329,0.419246,-0.300418,0.115857,0.796326,8.99354,1.65666,-0.282662,0.783522,-0.807834,-10.5867,13.2288,1.54942,-0.0351143,-0.315043,0.86674,4.76978,1.27122,8.82813,0.0474138,0.0252499,-0.0367235,0.194633,-9.90561,-2.76995,-0.10732,-0.41443,-0.00114335,8.01574,-3.60865,3.56131,-0.282791,0.363919,0.0495503,0.649939,-10.191,-1.16022,-0.184353,-0.0477605,-5.05e-05
0.034,0.265799,2.56883,9.1058,0.277981,-0.226821,0.27234,0.867092,8.84205,1.83571,-0.291486,0.793494,-0.769877,-10.4966,13.3212,1.61017,-0.0449892,-0.377927,0.867513,4.74694,1.25975,8.83009,0.0498988,0.0225821,-0.0363681,0.210868,-9.90279,-2.76516,-0.101711,-0.402376,0.00104769,8.03921,-3.6975,3.59251,-0.232175,0.320008,0.0519642,0.654633,-10.204,-1.17941,-0.183521,-0.0466898,0.000572461
0.035,-0.131877,3.53186,8.90831,0.136715,-0.153224,0.428823,0.937859,8.69055,2.01476,-0.300309,0.803466,-0.73192,-10.4066,13.4136,1.67092,-0.0548641,-0.440811,0.868286,4.7241,1.24827,8.83205,0.0523838,0.0199143,-0.0360126,0.227103,-9.89997,-2.76037,-0.0961025,-0.390323,0.00323873,8.06267,-3.78636,3.62372,-0.181558,0.276096,0.0543781,0.659326,-10.2171,-1.1986,-0.182689,-0.0456191,0.00119538
0.036,-0.49825,3.79661,8.80059,0.0755696,-0.0871167,0.575899,1.20976,8.57413,2.26289,-0.312634,0.811663,-0.687918,-10.3911,13.4048,1.70637,-0.0651286,-0.492344,0.862764,4.7204,1.23799,8.83309,0.0533488,0.0171611,-0.0358336,0.230228,-9.88625,-2.76342,-0.0918826,-0.377421,0.00686783,8.09522,-3.86377,3.59826,-0.135727,0.233358,0.0556897,0.651284,-10.231,-1.20262,-0.181561,-0.0455431,0.000895407
0.037,-0.825494,3.1885,8.80509,0.114574,-0.0303725,0.711218,1.73308,8.50156,2.59735,-0.329337,0.817643,-0.63636,-10.4688,13.2694,1.71021,-0.0758799,-0.529688,0.849375,4.7406,1.22919,8.83298,0.0524137,0.0143009,-0.0358751,0.216967,-9.85891,-2.77626,-0.0893988,-0.363461,0.0122945,8.13913,-3.92689,3.50197,-0.0958756,0.192087,0.0556236,0.627322,-10.2458,-1.18768,-0.180063,-0.0467105,-0.000558178
0.038,-1.15274,2.58039,8.80959,0.153578,0.0263717,0.846537,2.2564,8.42899,2.93182,-0.346039,0.823622,-0.584801,-10.5465,13.134,1.71404,-0.0866312,-0.567033,0.835986,4.76081,1.22038,8.83287,0.0514787,0.0114407,-0.0359166,0.203705,-9.83156,-2.78911,-0.086915,-0.349501,0.0177212,8.18303,-3.99002,3.40568,-0.0560245,0.150815,0.0555574,0.60336,-10.2607,-1.17274,-0.178564,-0.0478778,-0.00201176
0.039,-1.47998,1.97228,8.81408,0.192582,0.083116,0.981855,2.77972,8.35642,3.26628,-0.362741,0.829601,-0.533243,-10.6242,12.9986,1.71787,-0.0973826,-0.604377,0.822597,4.78101,1.21158,8.83276,0.0505436,0.00858049,-0.0359581,0.190444,-9.80422,-2.80195,-0.0844312,-0.33554,0.0231478,8.22694,-4.05314,3.30939,-0.0161734,0.109544,0.0554912,0.579398,-10.2756,-1.1578,-0.177066,-0.0490452,-0.00346535
0.04,-1.80722,1.36416,8.81858,0.231586,0.13986,1.11717,3.30304,8.28385,3.60075,-0.379444,0.83558,-0.481684,-10.7019,12.8633,1.7217,-0.108134,-0.641722,0.809208,4.80122,1.20278,8.83265,0.0496085,0.00572031,-0.0359996,0.177183,-9.77688,-2.81479,-0.0819474,-0.32158,0.0285745,8.27085,-4.11626,3.21311,0.0236777,0.0682726,0.055425,0.555435,-10.2904,-1.14286,-0.175567,-0.0502125,-0.00491893
0.041,-2.08949,0.318422,9.06975,0.476042,0.139342,1.19209,3.87631,7.94326,3.47569,-0.372584,0.832747,-0.419303,-10.8982,12.7183,1.64242,-0.119039,-0.636469,0.783335,4.80014,1.23046,8.82938,0.0494249,0.0053473,-0.0368277,0.167803,-9.73709,-2.81269,-0.0811415,-0.307241,0.0336508,8.30852,-4.14935,3.12032,0.0484853,0.0384657,0.0584595,0.547353,-10.2762,-1.15794,-0.173333,-0.0531628,-0.00602665
0.042,-2.37176,-0.727319,9.32092,0.720498,0.138823,1.267,4.44957,7.60267,3.35063,-0.365725,0.829914,-0.356921,-11.0946,12.5734,1.56315,-0.129944,-0.631215,0.757461,4.79905,1.25815,8.82611,0.0492413,0.0049743,-0.0376558,0.158423,-9.69729,-2.81058,-0.0803356,-0.292901,0.038727,8.34619,-4.18244,3.02754,0.0732929,0.00865882,0.061494,0.539271,-10.262,-1.17302,-0.171099,-0.0561131,-0.00713437
0.043,-2.65402,-1.77306,9.57209,0.964955,0.138305,1.34192,5.02284,7.26208,3.22558,-0.358866,0.827082,-0.294539,-11.291,12.4284,1.48387,-0.140849,-0.625962,0.731588,4.79796,1.28583,8.82284,0.0490577,0.0046013,-0.0384839,0.149043,-9.65749,-2.80847,-0.0795296,-0.278561,0.0438033,8.38386,-4.21553,2.93476,0.0981005,-0.0211481,0.0645285,0.531189,-10.2477,-1.18809,-0.168865,-0.0590634,-0.00824208
0.044,-2.93629,-2.8188,9.82326,1.20941,0.137786,1.41683,5.59611,6.92149,3.10052,-0.352006,0.824249,-0.232158,-11.4873,12.2835,1.40459,-0.151754,-0.620708,0.705715,4.79688,1.31351,8.81957,0.0488741,0.0042283,-0.039312,0.139663,-9.61769,-2.80636,-0.0787237,-0.264222,0.0488796,8.42153,-4.24862,2.84198,0.122908,-0.050955,0.067563,0.523107,-10.2335,-1.20317,-0.166631,-0.0620137,-0.0093498
0.045,-3.2922,-3.7636,10.0712,1.38966,0.124972,1.4609,6.0144,6.48799,2.76321,-0.335014,0.827008,-0.170014,-11.6727,12.1656,1.19017,-0.164739,-0.598541,0.678803,4.79045,1.34334,8.81778,0.0481568,0.00309667,-0.0395587,0.142784,-9.58878,-2.81937,-0.0808679,-0.25098,0.0540344,8.46021,-4.27804,2.69696,0.13755,-0.0710678,0.0709418,0.513003,-10.2268,-1.21517,-0.163079,-0.0656147,-0.0108524
