Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.02,4.9479,-1.34097,8.02441,0.3966,0.0890489,-0.210969,0.354692,9.77472,-1.00264,-0.179016,-0.460834,-0.0127148,1.43983,-9.88443,-0.956914,-0.196218,-0.057704,-0.147411,8.23391,-1.59098,2.75109,0.267021,0.0508917,0.115037,5.11216,1.23651,8.06236,0.14167,0.0251467,-0.0559111,1.7028,-9.39129,-2.65995,0.0857139,-0.219116,0.126897,0.546709,9.50002,-3.39916,0.392132,-0.658498,0.156928
0.021,4.94892,-1.31359,8.01742,0.409849,0.0923505,-0.211913,0.365282,9.77759,-0.988172,-0.181368,-0.467038,-0.0135434,1.49318,-9.89007,-0.978514,-0.197342,-0.0415841,-0.143907,8.29465,-1.6038,2.77582,0.269886,0.0534401,0.117139,5.09552,1.24376,8.09185,0.135802,0.0253327,-0.0557496,1.76878,-9.39074,-2.65062,0.0850405,-0.212615,0.128967,0.534347,9.4943,-3.46861,0.388665,-0.648027,0.157553
0.022,4.94994,-1.2862,8.01044,0.423099,0.0956522,-0.212857,0.375872,9.78046,-0.9737,-0.183719,-0.473243,-0.014372,1.54653,-9.89572,-1.00011,-0.198466,-0.0254641,-0.140403,8.3554,-1.61662,2.80056,0.27275,0.0559884,0.119241,5.07888,1.25101,8.12134,0.129933,0.0255187,-0.0555881,1.83476,-9.39018,-2.64128,0.0843671,-0.206113,0.131038,0.521986,9.48858,-3.53806,0.385199,-0.637556,0.158179
0.023,4.95643,-1.2365,8.02294,0.434569,0.099805,-0.212231,0.386634,9.76753,-0.94283,-0.185746,-0.479319,-0.0161915,1.58604,-9.90002,-1.00795,-0.199482,-0.00948125,-0.137216,8.41782,-1.61754,2.81861,0.272543,0.055747,0.120278,5.03524,1.23023,8.16063,0.12237,0.0271289,-0.0551734,1.89547,-9.38458,-2.61343,0.0809295,-0.197903,0.133282,0.532991,9.47783,-3.56963,0.37947,-0.627161,0.156964
0.024,4.96448,-1.18041,8.041,0.44553,0.104201,-0.211155,0.397447,9.75007,-0.907275,-0.187681,-0.48536,-0.0182941,1.62158,-9.90393,-1.01186,-0.200468,0.00646251,-0.13412,8.48072,-1.61507,2.83475,0.271459,0.0547084,0.121012,4.9839,1.20145,8.20272,0.114324,0.0291461,-0.0546864,1.95468,-9.37753,-2.58029,0.0767021,-0.189205,0.135575,0.550671,9.46563,-3.59039,0.373095,-0.616787,0.155223
0.025,4.97253,-1.12433,8.05906,0.45649,0.108597,-0.21008,0.408259,9.73262,-0.87172,-0.189615,-0.4914,-0.0203968,1.65713,-9.90784,-1.01578,-0.201454,0.0224063,-0.131023,8.54362,-1.6126,2.85089,0.270374,0.0536699,0.121745,4.93255,1.17266,8.24481,0.106277,0.0311633,-0.0541994,2.01389,-9.37049,-2.54715,0.0724747,-0.180507,0.137868,0.568352,9.45343,-3.61114,0.366719,-0.606413,0.153482
0.026,4.98058,-1.06825,8.07713,0.467451,0.112993,-0.209005,0.419072,9.71516,-0.836165,-0.19155,-0.497441,-0.0224994,1.69267,-9.91175,-1.01969,-0.20244,0.03835,-0.127927,8.60651,-1.61013,2.86703,0.26929,0.0526313,0.122478,4.88121,1.14387,8.2869,0.0982305,0.0331805,-0.0537124,2.07309,-9.36344,-2.514,0.0682474,-0.171809,0.140162,0.586033,9.44124,-3.63189,0.360344,-0.59604,0.151742
0.027,4.98037,-1.01876,8.09326,0.479211,0.116125,-0.207436,0.436193,9.6973,-0.798969,-0.19351,-0.502717,-0.0247015,1.71775,-9.91075,-1.02201,-0.20295,0.0534248,-0.124447,8.67078,-1.61068,2.88969,0.267779,0.0515851,0.123648,4.83044,1.10692,8.33568,0.0911704,0.0338117,-0.0535294,2.12952,-9.35863,-2.4805,0.0637372,-0.161643,0.14147,0.611179,9.42948,-3.62852,0.352652,-0.586739,0.149757
0.028,4.96365,-0.982437,8.10551,0.492569,0.116726,-0.204881,0.465934,9.67862,-0.758492,-0.195521,-0.506467,-0.0271025,1.7219,-9.89992,-1.02117,-0.202509,0.0667617,-0.120199,8.7378,-1.61727,2.92539,0.265414,0.0505234,0.12569,4.78082,1.05364,8.39786,0.0860835,0.0316711,-0.0539544,2.18039,-9.35829,-2.44626,0.0586616,-0.148541,0.140807,0.651257,9.41859,-3.57689,0.342324,-0.579584,0.147282
0.029,4.94694,-0.946118,8.11776,0.505927,0.117327,-0.202326,0.495675,9.65994,-0.718015,-0.197532,-0.510217,-0.0295035,1.72606,-9.8891,-1.02033,-0.202068,0.0800986,-0.115951,8.80481,-1.62386,2.96108,0.26305,0.0494617,0.127732,4.73121,1.00036,8.46004,0.0809965,0.0295304,-0.0543795,2.23126,-9.35794,-2.41202,0.0535859,-0.13544,0.140144,0.691335,9.40771,-3.52527,0.331997,-0.572429,0.144808
0.03,4.93022,-0.909798,8.13001,0.519285,0.117929,-0.199771,0.525416,9.64125,-0.677538,-0.199543,-0.513967,-0.0319044,1.73021,-9.87827,-1.01949,-0.201627,0.0934355,-0.111703,8.87182,-1.63046,2.99678,0.260685,0.0484001,0.129775,4.68159,0.947081,8.52221,0.0759096,0.0273897,-0.0548045,2.28213,-9.3576,-2.37778,0.0485102,-0.122339,0.139482,0.731413,9.39683,-3.47364,0.321669,-0.565274,0.142334
0.031,4.9135,-0.873478,8.14227,0.532642,0.11853,-0.197215,0.555157,9.62257,-0.63706,-0.201554,-0.517717,-0.0343054,1.73436,-9.86744,-1.01865,-0.201186,0.106772,-0.107456,8.93883,-1.63705,3.03247,0.258321,0.0473384,0.131817,4.63198,0.893802,8.58439,0.0708226,0.0252491,-0.0552295,2.333,-9.35725,-2.34354,0.0434345,-0.109237,0.138819,0.771491,9.38594,-3.42202,0.311342,-0.558119,0.13986
0.032,4.88185,-0.876291,8.14532,0.546536,0.118898,-0.195164,0.589503,9.60993,-0.598766,-0.200257,-0.518877,-0.0371735,1.70279,-9.88931,-0.982054,-0.19941,0.116867,-0.102735,9.00746,-1.6385,3.01801,0.25537,0.0488871,0.13185,4.61418,0.906877,8.56712,0.0681958,0.0224345,-0.0534423,2.36252,-9.3718,-2.31929,0.0406864,-0.0932832,0.137324,0.809335,9.38596,-3.37689,0.303097,-0.549665,0.136374
0.033,4.84834,-0.883997,8.14723,0.560496,0.119237,-0.193175,0.624425,9.59804,-0.560744,-0.198547,-0.519713,-0.0401,1.66674,-9.91526,-0.940991,-0.197468,0.126557,-0.097956,9.07629,-1.6393,2.99728,0.252346,0.0507622,0.131632,4.60036,0.928246,8.53991,0.0658765,0.0195357,-0.0513785,2.38938,-9.3882,-2.29629,0.0382293,-0.0769724,0.135724,0.8469,9.38733,-3.33257,0.295113,-0.541048,0.132763
0.034,4.81483,-0.891702,8.14913,0.574457,0.119576,-0.191187,0.659347,9.58615,-0.522722,-0.196836,-0.520549,-0.0430266,1.6307,-9.94121,-0.899927,-0.195525,0.136246,-0.0931767,9.14512,-1.6401,2.97654,0.249321,0.0526372,0.131414,4.58654,0.949615,8.5127,0.0635572,0.0166369,-0.0493148,2.41623,-9.4046,-2.27329,0.0357722,-0.0606615,0.134124,0.884465,9.38871,-3.28825,0.287129,-0.532432,0.129151
0.035,4.78131,-0.899408,8.15104,0.588417,0.119915,-0.189198,0.694268,9.57426,-0.4847,-0.195126,-0.521385,-0.0459531,1.59466,-9.96717,-0.858864,-0.193583,0.145936,-0.0883974,9.21395,-1.64091,2.95581,0.246297,0.0545123,0.131196,4.57273,0.970984,8.4855,0.061238,0.0137381,-0.047251,2.44309,-9.42101,-2.25028,0.0333151,-0.0443507,0.132525,0.92203,9.39008,-3.24393,0.279145,-0.523816,0.125539
0.036,4.75114,-0.910131,8.15743,0.602399,0.120722,-0.186344,0.736378,9.56048,-0.462753,-0.19379,-0.521105,-0.0488589,1.53513,-9.98801,-0.823068,-0.191818,0.154022,-0.0843715,9.27866,-1.64564,2.95721,0.242236,0.0567198,0.131561,4.60681,0.963895,8.46569,0.0594994,0.0125055,-0.0471214,2.47106,-9.43831,-2.23929,0.0312176,-0.028937,0.131497,0.948419,9.38997,-3.20973,0.27397,-0.512102,0.12181
0.037,4.72513,-0.924627,8.16943,0.616409,0.122112,-0.182408,0.787473,9.54435,-0.460899,-0.192921,-0.519429,-0.0517387,1.44623,-10.0025,-0.793856,-0.190276,0.160102,-0.0812874,9.33822,-1.6553,2.98626,0.236879,0.0593431,0.132656,4.70077,0.921233,8.45514,0.0584867,0.0133557,-0.0494094,2.50042,-9.45673,-2.24329,0.0295696,-0.0146446,0.131184,0.960839,9.38802,-3.18817,0.272306,-0.496518,0.117935
0.038,4.69912,-0.939123,8.18143,0.630419,0.123502,-0.178473,0.838569,9.52821,-0.459046,-0.192052,-0.517753,-0.0546186,1.35733,-10.0169,-0.764644,-0.188734,0.166183,-0.0782033,9.39779,-1.66495,3.01532,0.231522,0.0619663,0.133752,4.79473,0.878571,8.44459,0.057474,0.0142059,-0.0516974,2.52977,-9.47515,-2.2473,0.0279216,-0.000352305,0.130872,0.973259,9.38606,-3.16661,0.270642,-0.480933,0.11406
