Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.071,0.0589215,0.0956702,0.0493939,0.0691818,0.0688296,0.0584915,0.0359885,0.0733725,0.0476511,0.0708304,0.0590656,0.0698032,0.0703741,0.0618234,0.0355798,0.0700574
0.072,0.0647198,0.0544714,0.0579388,0.0789474,0.0615054,0.0459793,0.0506369,0.0361411,0.0644357,0.0381766,0.0492999,0.0484409,0.0633551,0.0502267,0.0569421,0.0538831
0.073,0.0491559,0.0483679,0.0420697,0.10092,0.0666934,0.0639847,0.0509421,0.0623862,0.0705392,0.019866,0.0618121,0.0752963,0.0767828,0.0493112,0.0581628,0.0636487
0.074,0.0729596,0.050199,0.0817426,0.0652145,0.059064,0.0618485,0.0506369,0.0388876,0.0647409,0.0345145,0.0767657,0.0594272,0.0578619,0.0502267,0.0355798,0.0529675
0.075,0.0430524,0.0233435,0.053056,0.0597214,0.0499088,0.0536087,0.0555197,0.0611655,0.063215,0.0693045,0.0367877,0.0624789,0.0789191,0.0499216,0.0529749,0.0541882
0.076,0.0506818,0.0370764,0.0490887,0.0762009,0.0630313,0.0633743,0.04728,0.0532309,0.0607736,0.0970755,0.0557086,0.048746,0.0532843,0.0679269,0.0743372,0.052052
0.077,0.0509869,0.0416541,0.0536664,0.0398849,0.0703555,0.0664261,0.0549094,0.0486533,0.0708444,0.0705252,0.0447223,0.0484409,0.049317,0.0706735,0.0606042,0.0575452
0.078,0.0509869,0.0102209,0.073808,0.0560593,0.053876,0.0334671,0.0613181,0.0681845,0.0568063,0.0888358,0.0618121,0.0502719,0.0532843,0.0615182,0.0557214,0.0581555
0.079,0.0653302,0.0428748,0.0506146,0.0615524,0.0428897,0.0737503,0.0622336,0.0358359,0.0589426,0.0744925,0.0718829,0.0582065,0.0529791,0.0606027,0.0535852,0.0682263
0.08,0.0491559,0.0389075,0.0451215,0.0554489,0.0456363,0.0587967,0.0457541,0.0486533,0.0534494,0.0656424,0.0535724,0.0426425,0.0587775,0.0480905,0.0627405,0.0737195
0.081,0.0464093,0.0563025,0.0567181,0.0472092,0.0529605,0.0710037,0.0359885,0.0678793,0.0272043,0.0668631,0.0727985,0.0603427,0.047486,0.0294748,0.0447351,0.0511365
0.082,0.0735699,0.046842,0.0515302,0.0649094,0.0752383,0.0581863,0.0497214,0.0480429,0.0589426,0.0604544,0.0624225,0.0759067,0.0603033,0.0447336,0.048092,0.0630383
0.083,0.0537335,0.0794958,0.0466473,0.0502609,0.0435001,0.0609329,0.064675,0.0297324,0.0641306,0.0494681,0.0502155,0.0810947,0.0435187,0.0599924,0.0645715,0.0514417
0.084,0.0564801,0.0651526,0.0307782,0.05728,0.0441104,0.0798538,0.0442282,0.0578085,0.0540598,0.0348196,0.0612018,0.0649204,0.0395514,0.0453439,0.0380212,0.0535779
0.085,0.0677716,0.0645422,0.030473,0.0551437,0.0413638,0.057576,0.0436179,0.0462119,0.0693185,0.0107108,0.0618121,0.0286044,0.0593878,0.0511423,0.0187952,0.0502209
0.086,0.0479352,0.057218,0.0442059,0.0749802,0.0386172,0.0517776,0.0509421,0.0526205,0.0699289,0.00643829,0.0560138,0.0426425,0.0358893,0.0526682,0.0401575,0.0557141
0.087,0.0549542,0.057218,0.0750287,0.0673508,0.0697452,0.0536087,0.0393454,0.0462119,0.0290353,-0.0167551,0.0383136,0.0420322,0.047486,0.0520578,0.0535852,0.064259
0.088,0.058006,0.0526404,0.047868,0.0499557,0.0724918,0.0636795,0.0607077,0.0300375,0.0751169,0.0393973,0.0929401,0.0624789,0.0633551,0.0538889,0.0520593,0.059071
0.089,0.0454938,0.0721716,0.0518353,0.0356125,0.0392276,0.0499466,0.0402609,0.0428549,0.0574167,0.0427542,0.0306842,0.0658359,0.0535895,0.0548044,0.0490076,0.0444226
0.09,0.0384747,0.0465369,0.063432,0.0578903,0.053876,0.0179031,0.0497214,0.0364462,0.0601633,0.0363455,0.0447223,0.0527133,0.0731207,0.0493112,0.0554163,0.0523572
0.091,0.0573956,0.045011,0.0451215,0.0707077,0.0645572,0.069783,0.0539938,0.0541464,0.0799997,0.0659476,0.0435016,0.0658359,0.0673224,0.0557199,0.0422937,0.0605969
0.092,0.059837,0.0672888,0.0768597,0.0496506,0.0486881,0.0462845,0.0243918,0.0336996,0.0687082,0.0674734,0.0505206,0.0774326,0.047486,0.0636545,0.0587732,0.05724
0.093,0.0509869,0.0428748,0.0603803,0.0597214,0.0697452,0.0670364,0.0558249,0.041329,0.061384,0.104705,0.0560138,0.0771274,0.0661017,0.0487009,0.0557214,0.045033
0.094,0.0491559,0.055387,0.0417645,0.0749802,0.046857,0.0673416,0.0555197,0.0419394,0.0690134,0.0940237,0.0444171,0.0603427,0.0612189,0.0407663,0.0471765,0.0535779
0.095,0.0552594,0.060575,0.0722821,0.076506,0.0355655,0.045369,0.0320212,0.0495688,0.0601633,0.0378714,0.045943,0.0453891,0.0673224,0.069758,0.0569421,0.0563245
0.096,0.0589215,0.0331091,0.0628217,0.0786423,0.0651675,0.0426224,0.0600974,0.0694052,0.0757272,0.0604544,0.0569293,0.0579013,0.0609137,0.0532785,0.0578577,0.0734143
0.097,0.0732648,0.0279211,0.0570233,0.041716,0.062421,0.0581863,0.0396506,0.0547568,0.0534494,0.0290213,0.0560138,-0.00588043,0.070069,0.0447336,0.0575525,0.059071
0.098,0.0558698,0.0453162,0.0429852,0.0395798,0.0575381,0.0581863,0.0546042,0.0449912,0.0558908,0.0165091,0.052962,0.0530185,0.0603033,0.0621286,0.0920373,0.0682263
0.099,0.0427472,0.0227332,0.0631268,0.0743698,0.0386172,0.0542191,0.0469748,0.0617758,0.0619943,-0.0185861,0.0489947,0.0444736,0.0453497,0.0499216,0.0642664,0.0508313
0.1,0.0705182,0.0169348,0.0631268,0.0786423,0.0419742,0.0609329,0.0466696,0.0614706,0.0568063,0.0116263,0.0801227,0.0237216,0.0557257,0.0551096,0.061825,0.0508313
0.101,0.059837,0.0309729,0.0496991,0.069487,0.0447208,0.0621536,0.0567404,0.0657431,0.0696237,0.0433646,0.0630328,0.0459995,0.070069,0.0630441,0.0651819,0.0596814
0.102,0.0522076,0.0373816,0.0579388,0.036528,0.0550967,0.0603226,0.043923,0.0556723,0.0583322,0.07022,0.0630328,0.0414218,0.0383307,0.0450388,0.0538904,0.0709729
0.103,0.0595319,0.0199866,0.0567181,0.0646042,0.053876,0.0505569,0.0326315,0.0507895,0.0565012,0.0323782,0.0697467,0.043558,0.0532843,0.0660959,0.0673181,0.0529675
0.104,0.0552594,0.0428748,0.0750287,0.0667404,0.0444156,0.0874832,0.0622336,0.0440756,0.0690134,0.0912772,0.0544879,0.0588168,0.0346686,0.0560251,0.0425989,0.0749402
0.105,0.0457989,0.034635,0.0652631,0.0502609,0.0334293,0.0551346,0.0552145,0.0575034,0.0345285,0.126067,0.0505206,0.0835361,0.0609137,0.049006,0.0526697,0.0517468
0.106,0.0564801,0.0547766,0.047868,0.0588058,0.0492984,0.0539139,0.0338522,0.0452963,0.0610788,0.0897513,0.0682208,0.0795688,0.059693,0.0361887,0.0505334,0.0297742
0.107,0.0464093,0.0477576,0.0481732,0.0179123,0.0450259,0.0685623,0.0359885,0.0520102,0.0403268,0.0607596,0.100264,0.0640048,0.0465704,0.0639597,0.0474817,0.0517468
0.108,0.0592267,0.062406,0.0423749,0.0465988,0.0453311,0.045369,0.0582663,0.0474326,0.0479562,0.0278006,0.0670001,0.0652255,0.0541998,0.0587717,0.0502283,0.0517468
0.109,0.0558698,0.0663733,0.0545819,0.053923,0.0328189,0.0713089,0.0555197,0.039498,0.0714548,0.0113211,0.0660846,0.0649204,0.0773932,0.0548044,0.0441248,0.0581555
0.11,0.0720441,0.0678992,0.0551923,0.05728,0.0349551,0.0636795,0.052468,0.056893,0.051008,0.0491629,0.0560138,0.0536288,0.0459601,0.0462595,0.0483972,0.0535779
0.111,0.0552594,0.0700354,0.0515302,0.0505661,0.0560123,0.0566605,0.0579611,0.0675742,0.0696237,0.0503836,0.0676105,0.0484409,0.0618292,0.0514474,0.0645715,0.0554089
0.112,0.0555646,0.0822424,0.061601,0.0600265,0.0575381,0.0667313,0.0497214,0.0556723,0.0677927,0.045806,0.0670001,0.0374545,0.044129,0.0569406,0.0545007,0.0688367
0.113,0.0738751,0.067594,0.0890668,0.0505661,0.039838,0.0529984,0.0576559,0.0562827,0.0720651,0.0445853,0.0389239,0.0484409,0.0532843,0.052363,0.0474817,0.0615125
0.114,0.0351178,0.0773596,0.0658734,0.0377487,0.0492984,0.045369,0.0622336,0.0654379,0.0674875,0.0744925,0.0554034,0.0636996,0.0438239,0.0587717,0.0563318,0.0691418
0.115,0.0714337,0.0834631,0.0466473,0.0841354,0.0862247,0.0774124,0.0671164,0.0477377,0.0699289,0.0442801,0.0560138,0.0340976,0.0633551,0.0535837,0.0444299,0.0651746
0.116,0.0436627,0.0813269,0.063432,0.0490402,0.0361758,0.0386551,0.0790183,0.0654379,0.0647409,0.0271902,0.0645587,0.0640048,0.0480963,0.0544992,0.030697,0.0648694
0.117,0.0604474,0.0749182,0.0850995,0.0411057,0.0648624,0.0560501,0.0457541,0.0663535,0.0583322,0.030242,0.0471637,0.0621738,0.047486,0.0416818,0.0438196,0.0761609
0.118,0.065025,0.100553,0.0365765,0.0188278,0.0395328,0.057576,0.0604025,0.0532309,0.0650461,0.0241385,0.0508258,0.0301303,0.0636603,0.0337473,0.041073,0.0593762
0.119,0.0573956,0.0773596,0.0487836,0.064299,0.0453311,0.0539139,0.0567404,0.056893,0.0592477,0.0479422,0.0608966,0.0685825,0.0401617,0.0410715,0.0569421,0.0706677
0.12,0.0613629,0.0736975,0.0612958,0.0646042,0.0178653,0.0554398,0.0686423,0.0694052,0.0482614,0.0592337,0.0773761,0.0725497,0.0554205,0.0435129,0.0700647,0.0621228
0.121,0.0430524,0.0550818,0.047868,0.0548386,0.0563174,0.0533035,0.0521628,0.0456015,0.0543649,0.0409232,0.0557086,0.0566806,0.047486,0.0511423,0.0709802,0.0639539
0.122,0.0418317,0.0593542,0.0442059,0.052092,0.0492984,0.0465897,0.0533835,0.039498,0.0415475,0.0281058,0.0676105,0.0640048,0.054505,0.0569406,0.0477869,0.0663953
0.123,0.0668561,0.0782751,0.0689252,0.0658249,0.0404483,0.0600174,0.0469748,0.0513998,0.0668771,0.0516043,0.0700519,0.0710239,0.0419928,0.0728098,0.0596887,0.05724
0.124,0.0558698,0.0718665,0.0457318,0.0789474,0.0547916,0.0545242,0.0402609,0.0587241,0.0494821,0.0445853,0.08409,0.0621738,0.0563361,0.0572458,0.051449,0.0615125
0.125,0.0586163,0.0517249,0.0506146,0.0600265,0.0367862,0.0612381,0.0533835,0.0419394,0.0714548,0.0940237,0.0740192,0.0615634,0.0587775,0.0630441,0.0648767,0.0752454
0.126,0.0464093,0.072782,0.0609906,0.069487,0.0428897,0.0655106,0.042092,0.046517,0.0571115,0.0915823,0.0715778,0.0459995,0.0789191,0.0615182,0.0520593,0.0514417
0.127,0.0396954,0.0486731,0.0542767,0.0545334,0.0834781,0.0447586,0.0576559,0.0538412,0.0445993,0.0854788,0.0706622,0.0618686,0.0462653,0.0499216,0.0581628,0.0621228
0.128,0.0494611,0.0593542,0.0588544,0.064299,0.0508243,0.0563553,0.0115744,0.0303427,0.0488718,0.080596,0.0453326,0.0472202,0.0722052,0.0432077,0.05328,0.069447
0.129,0.0506818,0.0535559,0.0606854,0.0630783,0.0682193,0.0649002,0.0631491,0.0486533,0.0629098,0.115691,0.0618121,0.0304355,0.0627448,0.0517526,0.0487024,0.0609021
0.13,0.0280988,0.0129675,0.0664838,0.0731491,0.0444156,0.0352982,0.0530783,0.0495688,0.0674875,0.111724,0.0694415,0.0749912,0.0719,0.0273386,0.0493127,0.0465588
0.131,0.0433575,0.027616,0.0493939,0.0710129,0.064252,0.0761917,0.0680319,0.0504843,0.0574167,0.097991,0.0334308,0.0502719,0.0661017,0.0544992,0.0499231,0.0514417
