Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0.038,8.22565,1.08213,4.74916,0.20055,0.0345333,0.0592641,-3.31632,9.29047,-1.1859,-0.00842232,0.413439,-0.180141,0.243932,9.83005,0.0748526,0.0473224,-0.0227738,0.110316,-2.66619,-9.55849,-0.986265,-0.0222206,-0.262223,-0.137076,4.89512,2.85692,8.31436,-0.18678,-0.00452458,0.0916591,-0.12689,-9.97621,-0.985398,0.0424486,-0.0716844,0.252238,5.35251,-3.72607,7.17522,-0.0192437,-0.0132774,0.0563022
0.039,8.22138,1.08047,4.73846,0.199147,0.0359118,0.0592711,-3.27384,9.29597,-1.18412,-0.00619716,0.392381,-0.179507,0.24015,9.82053,0.0592092,0.0486364,-0.021943,0.109572,-2.66399,-9.53809,-0.998289,-0.0200387,-0.26388,-0.137765,4.93639,2.84263,8.3325,-0.186512,-0.00290701,0.0899616,-0.100931,-9.97013,-0.96724,0.0434822,-0.0681498,0.252499,5.33189,-3.73658,7.16262,-0.0185963,-0.0130936,0.0562437
0.04,8.21711,1.07881,4.72776,0.197743,0.0372903,0.0592782,-3.23136,9.30146,-1.18234,-0.003972,0.371323,-0.178873,0.236369,9.81102,0.0435658,0.0499504,-0.0211122,0.108828,-2.66178,-9.5177,-1.01031,-0.0178568,-0.265537,-0.138455,4.97767,2.82835,8.35064,-0.186244,-0.00128944,0.0882641,-0.0749709,-9.96404,-0.949081,0.0445157,-0.0646153,0.252761,5.31127,-3.7471,7.15002,-0.0179489,-0.0129098,0.0561853
0.041,8.23913,1.07684,4.73955,0.198201,0.0385547,0.0590654,-3.19558,9.31298,-1.16377,-0.000930277,0.350183,-0.177361,0.247844,9.79937,0.0264847,0.0517053,-0.0182407,0.108154,-2.66004,-9.49781,-1.00199,-0.0149062,-0.2655,-0.140195,4.94903,2.86826,8.34567,-0.184532,-0.0041357,0.0866162,-0.11761,-9.94973,-0.931498,0.0455537,-0.0590403,0.251479,5.32944,-3.77539,7.13155,-0.0193582,-0.0130885,0.0556056
0.042,8.26115,1.07487,4.75134,0.198658,0.0398191,0.0588526,-3.15979,9.3245,-1.14519,0.00211145,0.329042,-0.175849,0.25932,9.78772,0.00940369,0.0534602,-0.0153692,0.107479,-2.65829,-9.47792,-0.99367,-0.0119556,-0.265463,-0.141936,4.92038,2.90816,8.34071,-0.182821,-0.00698196,0.0849682,-0.160249,-9.93541,-0.913914,0.0465918,-0.0534653,0.250198,5.34762,-3.80368,7.11308,-0.0207675,-0.0132671,0.0550258
0.043,8.28316,1.0729,4.76313,0.199115,0.0410836,0.0586398,-3.12401,9.33603,-1.12662,0.00515317,0.307902,-0.174338,0.270796,9.77607,-0.00767735,0.0552151,-0.0124977,0.106805,-2.65654,-9.45803,-0.985349,-0.00900504,-0.265425,-0.143676,4.89174,2.94806,8.33574,-0.181109,-0.00982823,0.0833203,-0.202887,-9.92109,-0.896331,0.0476298,-0.0478903,0.248916,5.36579,-3.83197,7.09461,-0.0221768,-0.0134457,0.0544461
0.044,8.30519,1.07094,4.77492,0.199572,0.042348,0.058427,-3.08822,9.34755,-1.10804,0.0081949,0.286761,-0.172826,0.282271,9.76442,-0.0247584,0.05697,-0.0096262,0.10613,-2.65479,-9.43814,-0.977028,-0.00605447,-0.265388,-0.145417,4.8631,2.98797,8.33077,-0.179397,-0.0126745,0.0816724,-0.245526,-9.90677,-0.878747,0.0486678,-0.0423153,0.247634,5.38396,-3.86027,7.07614,-0.0235861,-0.0136243,0.0538663
0.045,8.31387,1.0796,4.7851,0.198834,0.0428377,0.0580651,-3.05328,9.35409,-1.10169,0.0109587,0.265734,-0.171878,0.293001,9.74634,-0.0385054,0.0583534,-0.00605332,0.106166,-2.65897,-9.42661,-0.975242,-0.00487739,-0.265696,-0.146739,4.84946,3.00012,8.3155,-0.177479,-0.0142385,0.0809455,-0.252107,-9.90358,-0.87843,0.0487798,-0.0384811,0.246226,5.39602,-3.87415,7.07815,-0.0241342,-0.0136455,0.0530122
0.046,8.31189,1.09676,4.79399,0.19714,0.0427076,0.057584,-3.01902,9.35665,-1.10512,0.0135003,0.244798,-0.171382,0.303134,9.72313,-0.0495851,0.0594396,-0.00191934,0.106771,-2.66789,-9.42177,-0.978683,-0.0051191,-0.26628,-0.147726,4.84781,2.99006,8.29199,-0.175396,-0.0147766,0.0809555,-0.229841,-9.90929,-0.891925,0.048151,-0.0360395,0.244717,5.40318,-3.87652,7.09656,-0.0239934,-0.0135408,0.0519387
0.047,8.30991,1.11392,4.80288,0.195446,0.0425774,0.0571028,-2.98475,9.3592,-1.10855,0.0160418,0.223863,-0.170886,0.313266,9.69992,-0.0606649,0.0605258,0.00221464,0.107376,-2.67681,-9.41692,-0.982124,-0.00536081,-0.266865,-0.148713,4.84617,2.98001,8.26849,-0.173314,-0.0153148,0.0809655,-0.207576,-9.915,-0.905421,0.0475221,-0.0335978,0.243207,5.41035,-3.87888,7.11496,-0.0238526,-0.013436,0.0508651
