Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.025,0.524867,-9.94997,-1.31439,-0.0519688,-0.144555,0.18451,1.8694,12.8457,0.795346,0.379,0.1383,0.291474,4.42879,-1.24614,9.58954,0.0761207,0.128097,-0.0451312,6.0979,14.2733,3.11413,-0.172461,0.244011,-0.53165,9.92397,0.304064,3.69904,0.176257,-0.554332,-0.01278,0.0,0.0,0.0,0.0,0.0,0.0,4.76629,4.6857,7.33268,0.207948,-0.151787,-0.0294694
0.026,0.564909,-9.96166,-1.36966,-0.0519824,-0.134267,0.185281,1.80398,12.6986,0.801136,0.368124,0.126378,0.282624,4.42026,-1.17028,9.54761,0.047243,0.109871,-0.0317578,6.13927,14.3099,3.27041,-0.200468,0.237736,-0.517069,9.90625,0.334231,3.67079,0.171891,-0.55806,-0.012567,0.0,0.0,0.0,0.0,0.0,0.0,4.77702,4.69872,7.32143,0.19989,-0.149883,-0.0320622
0.027,0.612692,-9.9653,-1.41383,-0.0514115,-0.123034,0.185508,1.73539,12.5343,0.789405,0.357571,0.11478,0.273611,4.42708,-1.11199,9.4947,0.0190627,0.0931267,-0.0176265,6.12477,14.3041,3.40276,-0.226253,0.22903,-0.504962,9.88853,0.364397,3.64254,0.167524,-0.561787,-0.012354,0.0,0.0,0.0,0.0,0.0,0.0,4.77958,4.71433,7.30636,0.193187,-0.14761,-0.0340035
0.028,0.675957,-9.95283,-1.43577,-0.0496717,-0.10991,0.184648,1.66045,12.3355,0.742632,0.347668,0.103831,0.264271,4.46458,-1.08885,9.41983,-0.00772282,0.0793456,-0.00197931,5.99852,14.2132,3.48726,-0.247594,0.215461,-0.497801,9.87081,0.394564,3.61429,0.163158,-0.565515,-0.012141,0.0,0.0,0.0,0.0,0.0,0.0,4.76579,4.73515,7.28367,0.189196,-0.1446,-0.0346418
0.029,0.739221,-9.94035,-1.4577,-0.0479319,-0.0967869,0.183787,1.58551,12.1368,0.69586,0.337765,0.0928809,0.25493,4.50209,-1.06571,9.34495,-0.0345083,0.0655645,0.0136679,5.87227,14.1224,3.57176,-0.268936,0.201892,-0.49064,9.8531,0.424731,3.58604,0.158791,-0.569242,-0.011928,0.0,0.0,0.0,0.0,0.0,0.0,4.75199,4.75596,7.26098,0.185205,-0.141589,-0.0352801
0.03,0.802485,-9.92788,-1.47964,-0.0461921,-0.0836634,0.182927,1.51057,11.938,0.649088,0.327862,0.0819313,0.24559,4.5396,-1.04256,9.27008,-0.0612938,0.0517835,0.0293151,5.74603,14.0315,3.65626,-0.290277,0.188324,-0.483479,9.83538,0.454898,3.55778,0.154425,-0.57297,-0.011715,0.0,0.0,0.0,0.0,0.0,0.0,4.73819,4.77678,7.23829,0.181214,-0.138579,-0.0359184
0.031,0.865749,-9.91541,-1.50158,-0.0444523,-0.0705399,0.182067,1.43563,11.7393,0.602315,0.317958,0.0709817,0.23625,4.57711,-1.01942,9.19521,-0.0880793,0.0380024,0.0449623,5.61978,13.9407,3.74076,-0.311618,0.174755,-0.476318,9.81766,0.485065,3.52953,0.150058,-0.576697,-0.011502,0.0,0.0,0.0,0.0,0.0,0.0,4.7244,4.79759,7.21559,0.177223,-0.135569,-0.0365567
0.032,0.90386,-9.9149,-1.48184,-0.0391218,-0.0595054,0.182855,1.3566,11.5491,0.528674,0.309648,0.0629416,0.228217,4.62559,-1.0928,9.07661,-0.109738,0.0280932,0.0622966,5.366,13.7055,3.6884,-0.327607,0.160162,-0.474017,9.79995,0.515232,3.50128,0.145692,-0.580425,-0.011289,0.0,0.0,0.0,0.0,0.0,0.0,4.6941,4.81039,7.19783,0.173937,-0.133166,-0.0352359
0.033,0.938828,-9.91589,-1.45688,-0.0333426,-0.0487321,0.183849,1.27706,11.3599,0.451675,0.301537,0.0552651,0.220348,4.67544,-1.17825,8.95255,-0.130756,0.0186681,0.0798419,5.09627,13.4523,3.61894,-0.342927,0.145442,-0.472322,9.78223,0.545399,3.47303,0.141325,-0.584152,-0.011076,0.0,0.0,0.0,0.0,0.0,0.0,4.66173,4.82219,7.18068,0.17074,-0.13084,-0.0336702
0.034,0.973795,-9.91688,-1.43192,-0.0275633,-0.0379587,0.184843,1.19752,11.1707,0.374676,0.293427,0.0475886,0.212479,4.7253,-1.2637,8.82849,-0.151774,0.00924292,0.0973871,4.82654,13.1991,3.54949,-0.358247,0.130721,-0.470628,9.76451,0.575566,3.44478,0.136959,-0.58788,-0.010863,0.0,0.0,0.0,0.0,0.0,0.0,4.62936,4.83399,7.16353,0.167542,-0.128514,-0.0321046
0.035,1.00876,-9.91787,-1.40697,-0.021784,-0.0271854,0.185837,1.11798,10.9816,0.297676,0.285316,0.0399121,0.204609,4.77516,-1.34915,8.70443,-0.172792,-0.000182231,0.114932,4.55682,12.9459,3.48003,-0.373566,0.116001,-0.468934,9.7468,0.605733,3.41653,0.132592,-0.591607,-0.01065,0.0,0.0,0.0,0.0,0.0,0.0,4.597,4.84579,7.14638,0.164344,-0.126188,-0.0305389
0.036,1.02053,-9.9244,-1.38549,-0.0172014,-0.0175876,0.185775,1.04641,10.7931,0.218896,0.278061,0.0340801,0.196806,4.82337,-1.44562,8.60562,-0.192831,-0.0082426,0.129195,4.26881,12.6822,3.39176,-0.383817,0.106477,-0.466175,9.72908,0.6359,3.38827,0.128226,-0.595335,-0.010437,0.0,0.0,0.0,0.0,0.0,0.0,4.58466,4.85691,7.13621,0.159873,-0.124061,-0.029136
0.037,1.00331,-9.93784,-1.36835,-0.0141146,-0.0094593,0.184393,0.984798,10.6054,0.137888,0.271877,0.0305538,0.189083,4.86953,-1.55589,8.53836,-0.211645,-0.014597,0.139354,3.95793,12.4054,3.27997,-0.387731,0.103449,-0.462085,9.71136,0.666067,3.36002,0.123859,-0.599063,-0.010224,0.0,0.0,0.0,0.0,0.0,0.0,4.59735,4.86718,7.13478,0.153809,-0.122185,-0.0279365
0.038,0.986088,-9.95128,-1.35121,-0.0110278,-0.001331,0.183011,0.923184,10.4178,0.0568804,0.265694,0.0270274,0.181361,4.9157,-1.66615,8.4711,-0.23046,-0.0209514,0.149514,3.64706,12.1286,3.16819,-0.391645,0.100421,-0.457996,9.69364,0.696234,3.33177,0.119493,-0.60279,-0.010011,0.0,0.0,0.0,0.0,0.0,0.0,4.61005,4.87745,7.13335,0.147745,-0.120308,-0.0267371
0.039,0.968865,-9.96472,-1.33407,-0.007941,0.0067973,0.181629,0.86157,10.2301,-0.0241271,0.25951,0.023501,0.173639,4.96186,-1.77642,8.40385,-0.249274,-0.0273058,0.159673,3.33619,11.8518,3.0564,-0.395559,0.0973929,-0.453906,9.67593,0.726401,3.30352,0.115126,-0.606517,-0.009798,0.0,0.0,0.0,0.0,0.0,0.0,4.62274,4.88771,7.13192,0.141682,-0.118432,-0.0255376
0.04,0.951643,-9.97817,-1.31693,-0.00485419,0.0149256,0.180247,0.799956,10.0424,-0.105135,0.253326,0.0199746,0.165917,5.00802,-1.88668,8.33659,-0.268088,-0.0336602,0.169832,3.02532,11.575,2.94462,-0.399473,0.0943649,-0.449816,9.65821,0.756568,3.27527,0.11076,-0.610245,-0.009585,0.0,0.0,0.0,0.0,0.0,0.0,4.63544,4.89798,7.13049,0.135618,-0.116555,-0.0243382
0.041,0.969667,-9.97868,-1.27708,-0.00243723,0.0224555,0.177905,0.795806,9.89641,-0.213311,0.251065,0.017856,0.156483,5.0528,-2.02036,8.29019,-0.281271,-0.0369093,0.175645,2.73904,11.2995,2.72764,-0.391628,0.100266,-0.446802,9.62445,0.726161,3.26162,0.108523,-0.60721,-0.0111825,0.0,0.0,0.0,0.0,0.0,0.0,4.65496,4.88111,7.13838,0.129764,-0.113524,-0.0234571
0.042,0.987691,-9.97919,-1.23722,-2.03e-05,0.0299854,0.175563,0.791657,9.75041,-0.321487,0.248804,0.0157374,0.147048,5.09758,-2.15405,8.2438,-0.294453,-0.0401584,0.181457,2.45276,11.024,2.51065,-0.383784,0.106167,-0.443789,9.59069,0.695755,3.24797,0.106287,-0.604174,-0.01278,0.0,0.0,0.0,0.0,0.0,0.0,4.67448,4.86425,7.14627,0.123911,-0.110492,-0.0225759
0.043,1.00571,-9.9797,-1.19737,0.0023967,0.0375153,0.17322,0.787507,9.60441,-0.429663,0.246542,0.0136189,0.137614,5.14235,-2.28773,8.1974,-0.307636,-0.0434075,0.18727,2.16648,10.7484,2.29367,-0.37594,0.112069,-0.440775,9.55694,0.665349,3.23433,0.10405,-0.601139,-0.0143775,0.0,0.0,0.0,0.0,0.0,0.0,4.69401,4.84738,7.15416,0.118057,-0.10746,-0.0216948
0.044,1.02374,-9.98021,-1.15751,0.00481366,0.0450452,0.170878,0.783357,9.45842,-0.537839,0.244281,0.0115003,0.128179,5.18713,-2.42141,8.151,-0.320819,-0.0466566,0.193082,1.88021,10.4729,2.07669,-0.368096,0.11797,-0.437761,9.52318,0.634942,3.22068,0.101814,-0.598104,-0.015975,0.0,0.0,0.0,0.0,0.0,0.0,4.71353,4.83051,7.16205,0.112204,-0.104429,-0.0208137
0.045,1.00808,-9.9617,-1.13722,0.00757489,0.0519814,0.167806,0.788693,9.342,-0.647447,0.244009,0.0110429,0.119888,5.1971,-2.53429,8.10793,-0.328985,-0.0492768,0.198066,1.62229,10.1867,1.87148,-0.351593,0.1285,-0.434808,9.48942,0.604536,3.20703,0.0995775,-0.595069,-0.0175725,0.0,0.0,0.0,0.0,0.0,0.0,4.72499,4.8198,7.15941,0.106743,-0.0997114,-0.0190598
0.046,0.965467,-9.92796,-1.13258,0.0106116,0.0584426,0.16415,0.801618,9.24926,-0.7582,0.245327,0.0119145,0.112512,5.17922,-2.63053,8.06754,-0.333139,-0.0513939,0.202387,1.38708,9.892,1.6757,-0.328163,0.142733,-0.431903,9.45566,0.57413,3.19339,0.097341,-0.592034,-0.01917,0.0,0.0,0.0,0.0,0.0,0.0,4.72999,4.81402,7.14836,0.101596,-0.0936457,-0.0166078
0.047,0.922857,-9.89423,-1.12793,0.0136482,0.0649038,0.160494,0.814543,9.15652,-0.868953,0.246645,0.012786,0.105136,5.16135,-2.72676,8.02714,-0.337293,-0.053511,0.206708,1.15186,9.59729,1.47992,-0.304733,0.156967,-0.428998,9.4219,0.543723,3.17974,0.0951045,-0.588998,-0.0207675,0.0,0.0,0.0,0.0,0.0,0.0,4.73499,4.80824,7.13731,0.0964497,-0.08758,-0.0141558
0.048,0.880247,-9.86049,-1.12329,0.0166849,0.071365,0.156838,0.827468,9.06378,-0.979706,0.247963,0.0136576,0.0977602,5.14347,-2.823,7.98674,-0.341447,-0.0556281,0.211028,0.91664,9.30258,1.28413,-0.281303,0.1712,-0.426093,9.38814,0.513317,3.16609,0.092868,-0.585963,-0.022365,0.0,0.0,0.0,0.0,0.0,0.0,4.73999,4.80245,7.12626,0.0913032,-0.0815143,-0.0117038
0.049,0.839459,-9.83033,-1.11596,0.0199419,0.0782932,0.15332,0.8457,8.97738,-1.08726,0.248708,0.0146436,0.0906636,5.12376,-2.91535,7.94843,-0.345246,-0.0575913,0.214708,0.68557,9.0203,1.08275,-0.257251,0.185874,-0.423391,9.35439,0.48291,3.15245,0.0906315,-0.582928,-0.0239625,0.0,0.0,0.0,0.0,0.0,0.0,4.74358,4.79922,7.11486,0.0861178,-0.0754989,-0.00917077
0.05,0.813249,-9.82871,-1.08719,0.0249615,0.0889582,0.150913,0.90639,8.94168,-1.16926,0.244872,0.0165451,0.0858027,5.08945,-2.97665,7.92683,-0.346204,-0.0583233,0.213254,0.487692,8.83743,0.836534,-0.228224,0.204073,-0.422317,9.32063,0.452504,3.1388,0.088395,-0.579893,-0.02556,0.0,0.0,0.0,0.0,0.0,0.0,4.73583,4.81639,7.10066,0.0806218,-0.0698866,-0.00598934
0.051,0.787039,-9.82709,-1.05842,0.0299812,0.0996233,0.148505,0.967079,8.90599,-1.25126,0.241036,0.0184466,0.0809419,5.05513,-3.03795,7.90522,-0.347162,-0.0590553,0.211801,0.289813,8.65456,0.590321,-0.199198,0.222273,-0.421243,9.28687,0.422098,3.12515,0.0861585,-0.576857,-0.0271575,0.0,0.0,0.0,0.0,0.0,0.0,4.72809,4.83356,7.08645,0.0751258,-0.0642743,-0.00280791
0.052,0.760829,-9.82548,-1.02965,0.0350008,0.110288,0.146097,1.02777,8.87029,-1.33326,0.2372,0.0203481,0.076081,5.02082,-3.09925,7.88362,-0.34812,-0.0597873,0.210348,0.0919347,8.47169,0.344109,-0.170171,0.240472,-0.420169,9.25311,0.391691,3.1115,0.083922,-0.573822,-0.028755,0.0,0.0,0.0,0.0,0.0,0.0,4.72034,4.85073,7.07225,0.0696298,-0.0586619,0.000373524
0.053,0.734619,-9.82386,-1.00087,0.0400205,0.120953,0.14369,1.08846,8.83459,-1.41525,0.233364,0.0222496,0.0712201,4.9865,-3.16055,7.86201,-0.349078,-0.0605192,0.208895,-0.105944,8.28882,0.0978968,-0.141144,0.258671,-0.419095,9.21935,0.361285,3.09786,0.0816855,-0.570787,-0.0303525,0.0,0.0,0.0,0.0,0.0,0.0,4.71259,4.8679,7.05805,0.0641338,-0.0530496,0.00355495
0.054,0.700024,-9.7858,-0.963769,0.0415873,0.127448,0.142982,1.12974,8.82698,-1.48261,0.228282,0.0227332,0.0685342,4.99583,-3.22543,7.84002,-0.345796,-0.062073,0.20704,-0.256063,8.18173,-0.118447,-0.109783,0.276232,-0.41439,9.18559,0.330879,3.08421,0.079449,-0.567751,-0.03195,0.0,0.0,0.0,0.0,0.0,0.0,4.69748,4.88334,7.05468,0.0589987,-0.0492088,0.00631144
0.055,0.661237,-9.72953,-0.922498,0.0414278,0.131857,0.143124,1.16131,8.83341,-1.54264,0.222577,0.0225077,0.0669357,5.02698,-3.2921,7.81782,-0.340395,-0.0640376,0.204983,-0.382302,8.11252,-0.319858,-0.0772532,0.293473,-0.407871,9.15184,0.300472,3.07056,0.0772125,-0.564716,-0.0335475,0.0,0.0,0.0,0.0,0.0,0.0,4.67867,4.89792,7.05673,0.054044,-0.0462537,0.00885545
0.056,0.622449,-9.67325,-0.881227,0.0412682,0.136266,0.143265,1.19288,8.83984,-1.60267,0.216871,0.0222822,0.0653371,5.05812,-3.35877,7.79563,-0.334994,-0.0660022,0.202927,-0.508542,8.0433,-0.521268,-0.0447238,0.310715,-0.401352,9.11808,0.270066,3.05692,0.074976,-0.561681,-0.035145,0.0,0.0,0.0,0.0,0.0,0.0,4.65987,4.91249,7.05878,0.0490893,-0.0432987,0.0113995
