Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.021,-3.07411,9.10941,-0.569142,-0.000596238,0.0284937,-0.00904331,-1.39965,9.80196,0.35911,-0.0078116,0.0185073,0.00750294,-0.408165,-9.97505,0.492329,-0.0158349,0.0156632,0.0261112,3.81459,0.951473,9.26498,-0.0112471,-0.00042985,0.00781684,-0.13035,-9.79658,-0.138917,-0.0589142,0.0336265,-0.0132732,4.05584,-1.45415,8.60646,-0.0233967,0.0125479,0.000876389,4.05584,-1.45415,8.60646,-0.0233967,0.0125479,0.000876389
0.022,-3.07098,9.09808,-0.58819,-0.00169752,0.0291816,-0.00869195,-1.38702,9.77877,0.373615,-0.00856663,0.0199209,0.0065485,-0.428597,-10.0022,0.498749,-0.0157914,0.0161571,0.0268495,3.8209,0.953251,9.27032,-0.0106537,-0.000776049,0.00703267,-0.114409,-9.78607,-0.138933,-0.05869,0.0348022,-0.0144123,4.06511,-1.4464,8.61545,-0.0238247,0.0110661,0.00114837,4.06511,-1.4464,8.61545,-0.0238247,0.0110661,0.00114837
0.023,-3.07426,9.09452,-0.579203,-0.00269547,0.0280164,-0.00858488,-1.3859,9.77694,0.366333,-0.0101379,0.0202537,0.00602925,-0.429492,-10.0059,0.495419,-0.0157928,0.0150347,0.0257243,3.8161,0.953283,9.26578,-0.0104646,-0.00136952,0.00720318,-0.119049,-9.79535,-0.139876,-0.059354,0.0341713,-0.0119075,4.07225,-1.44358,8.62076,-0.022602,0.0102463,0.00155639,4.07225,-1.44358,8.62076,-0.022602,0.0102463,0.00155639
0.024,-3.07936,9.09318,-0.562206,-0.0036639,0.0263217,-0.0085476,-1.38808,9.78121,0.352827,-0.0119424,0.0202778,0.00563435,-0.424804,-10.003,0.489303,-0.0158071,0.0134505,0.0240668,3.80813,0.952816,9.25842,-0.0103909,-0.00203364,0.00764645,-0.12957,-9.8103,-0.141084,-0.0602717,0.0330241,-0.00836164,4.07879,-1.44217,8.62503,-0.0209077,0.00961575,0.00200329,4.07879,-1.44217,8.62503,-0.0209077,0.00961575,0.00200329
0.025,-3.08447,9.09184,-0.545208,-0.00463233,0.0246271,-0.00851032,-1.39025,9.78548,0.339321,-0.0137469,0.0203019,0.00523946,-0.420117,-10,0.483187,-0.0158214,0.0118663,0.0224092,3.80015,0.95235,9.25107,-0.0103173,-0.00269776,0.00808973,-0.140091,-9.82524,-0.142292,-0.0611894,0.031877,-0.00481577,4.08534,-1.44077,8.6293,-0.0192134,0.00898515,0.00245018,4.08534,-1.44077,8.6293,-0.0192134,0.00898515,0.00245018
0.026,-3.08958,9.09049,-0.528211,-0.00560076,0.0229324,-0.00847304,-1.39243,9.78976,0.325814,-0.0155514,0.020326,0.00484456,-0.41543,-9.99706,0.477071,-0.0158358,0.0102821,0.0207517,3.79218,0.951883,9.24371,-0.0102437,-0.00336189,0.00853301,-0.150612,-9.84018,-0.143499,-0.0621071,0.0307299,-0.00126989,4.09188,-1.43936,8.63357,-0.0175191,0.00835455,0.00289707,4.09188,-1.43936,8.63357,-0.0175191,0.00835455,0.00289707
0.027,-3.09234,9.09669,-0.513396,-0.00656918,0.0213201,-0.00830502,-1.38464,9.7933,0.308524,-0.0161368,0.0205469,0.005256,-0.415686,-9.98427,0.470905,-0.0169179,0.00965228,0.019385,3.78,0.956887,9.23924,-0.0104623,-0.00397889,0.00901184,-0.156648,-9.85116,-0.145798,-0.0624081,0.0303473,0.00118111,4.09543,-1.44259,8.6372,-0.0165982,0.00816955,0.00316303,4.09543,-1.44259,8.6372,-0.0165982,0.00816955,0.00316303
0.028,-3.09041,9.11797,-0.502944,-0.00753761,0.0198722,-0.00787551,-1.35694,9.79538,0.283665,-0.0142841,0.0211614,0.00728013,-0.425831,-9.9518,0.464639,-0.0201358,0.0109312,0.0186001,3.7594,0.972832,9.24052,-0.0112652,-0.00450165,0.00956177,-0.153715,-9.85422,-0.150278,-0.0614757,0.031494,0.00144238,4.093,-1.45509,8.63956,-0.017224,0.00887575,0.00306713,4.093,-1.45509,8.63956,-0.017224,0.00887575,0.00306713
0.029,-3.08848,9.13924,-0.492492,-0.00850604,0.0184244,-0.007446,-1.32923,9.79747,0.258806,-0.0124313,0.0217759,0.00930426,-0.435976,-9.91934,0.458373,-0.0233537,0.0122101,0.0178152,3.7388,0.988777,9.24179,-0.0120682,-0.00502441,0.0101117,-0.150782,-9.85728,-0.154758,-0.0605434,0.0326407,0.00170364,4.09057,-1.46759,8.64192,-0.0178499,0.00958195,0.00297123,4.09057,-1.46759,8.64192,-0.0178499,0.00958195,0.00297123
0.03,-3.08655,9.16052,-0.48204,-0.00947447,0.0169766,-0.00701649,-1.30152,9.79955,0.233947,-0.0105786,0.0223904,0.0113284,-0.446121,-9.88687,0.452107,-0.0265716,0.013489,0.0170303,3.7182,1.00472,9.24307,-0.0128712,-0.00554717,0.0106616,-0.147849,-9.86034,-0.159238,-0.059611,0.0337874,0.00196491,4.08814,-1.48009,8.64428,-0.0184757,0.0102882,0.00287533,4.08814,-1.48009,8.64428,-0.0184757,0.0102882,0.00287533
0.031,-3.08462,9.18179,-0.471589,-0.0104429,0.0155287,-0.00658697,-1.27381,9.80163,0.209088,-0.00872586,0.0230049,0.0133525,-0.456265,-9.8544,0.445841,-0.0297895,0.0147679,0.0162454,3.69761,1.02067,9.24435,-0.0136741,-0.00606993,0.0112116,-0.144916,-9.8634,-0.163719,-0.0586786,0.0349341,0.00222618,4.08571,-1.49259,8.64664,-0.0191016,0.0109943,0.00277943,4.08571,-1.49259,8.64664,-0.0191016,0.0109943,0.00277943
0.032,-3.08326,9.19069,-0.478273,-0.00964789,0.0152874,-0.00628533,-1.28115,9.80138,0.230231,-0.0084772,0.0214727,0.0123315,-0.455698,-9.84824,0.418605,-0.0277706,0.0150378,0.0177617,3.69554,1.02331,9.25138,-0.01446,-0.00512199,0.0111069,-0.148653,-9.86194,-0.147458,-0.0586294,0.034674,0.0028365,4.08135,-1.49831,8.65329,-0.0198975,0.00989727,0.00264102,4.08135,-1.49831,8.65329,-0.0198975,0.00989727,0.00264102
0.033,-3.08198,9.19803,-0.487099,-0.00863246,0.0151968,-0.00599966,-1.29288,9.80084,0.257125,-0.00842906,0.0196721,0.0109299,-0.453791,-9.84536,0.388747,-0.0250971,0.0151815,0.0195656,3.69579,1.02429,9.25913,-0.0152437,-0.00399023,0.0109203,-0.153222,-9.85993,-0.128604,-0.0586907,0.034238,0.00349044,4.07675,-1.50319,8.66047,-0.0207146,0.00857479,0.00249729,4.07675,-1.50319,8.66047,-0.0207146,0.00857479,0.00249729
0.034,-3.08069,9.20538,-0.495925,-0.00761703,0.0151063,-0.00571399,-1.30461,9.8003,0.284018,-0.00838092,0.0178714,0.0095283,-0.451885,-9.84249,0.358889,-0.0224235,0.0153253,0.0213695,3.69604,1.02527,9.26687,-0.0160273,-0.00285846,0.0107338,-0.157792,-9.85791,-0.109751,-0.058752,0.0338021,0.00414439,4.07214,-1.50806,8.66765,-0.0215318,0.00725231,0.00235357,4.07214,-1.50806,8.66765,-0.0215318,0.00725231,0.00235357
0.035,-3.07941,9.21272,-0.50475,-0.0066016,0.0150157,-0.00542833,-1.31633,9.79976,0.310911,-0.00833277,0.0160708,0.00812669,-0.449978,-9.83961,0.329032,-0.01975,0.015469,0.0231734,3.69629,1.02625,9.27462,-0.016811,-0.00172669,0.0105472,-0.162362,-9.8559,-0.0908977,-0.0588132,0.0333661,0.00479834,4.06754,-1.51293,8.67483,-0.0223489,0.00592982,0.00220985,4.06754,-1.51293,8.67483,-0.0223489,0.00592982,0.00220985
0.036,-3.07777,9.21429,-0.513502,-0.00559207,0.014535,-0.00564707,-1.34283,9.79553,0.326166,-0.00789518,0.0153864,0.00718315,-0.436623,-9.84314,0.310897,-0.0184095,0.0159833,0.0238861,3.70195,1.02409,9.27717,-0.0170079,-0.000798387,0.0103577,-0.160719,-9.85505,-0.0785155,-0.059366,0.0332991,0.00487191,4.07094,-1.51894,8.67607,-0.0226858,0.00585886,0.00199514,4.07094,-1.51894,8.67607,-0.0226858,0.00585886,0.00199514
0.037,-3.0757,9.20863,-0.52216,-0.00458991,0.0135665,-0.00649631,-1.38781,9.78668,0.326874,-0.00697079,0.0160973,0.0068122,-0.408957,-9.85469,0.307415,-0.0187351,0.0169607,0.0232347,3.71437,1.018,9.27322,-0.0164712,-0.000124412,0.0101645,-0.151308,-9.85567,-0.0742225,-0.0605331,0.0336934,0.00422002,4.08434,-1.52638,8.66987,-0.0224223,0.00735229,0.00169172,4.08434,-1.52638,8.66987,-0.0224223,0.00735229,0.00169172
0.038,-3.07362,9.20297,-0.530817,-0.00358775,0.0125981,-0.00734556,-1.43278,9.77784,0.327582,-0.00604639,0.0168081,0.00644125,-0.381292,-9.86624,0.303932,-0.0190608,0.0179381,0.0225833,3.72679,1.01191,9.26927,-0.0159346,0.000549563,0.00997136,-0.141897,-9.85628,-0.0699294,-0.0617001,0.0340877,0.00356812,4.09773,-1.53381,8.66367,-0.0221589,0.00884572,0.0013883,4.09773,-1.53381,8.66367,-0.0221589,0.00884572,0.0013883
0.039,-3.07154,9.19731,-0.539475,-0.00258559,0.0116297,-0.00819481,-1.47776,9.76899,0.32829,-0.005122,0.0175189,0.0060703,-0.353626,-9.87778,0.30045,-0.0193865,0.0189155,0.021932,3.73921,1.00582,9.26533,-0.0153979,0.00122354,0.00977818,-0.132486,-9.8569,-0.0656363,-0.0628672,0.034482,0.00291623,4.11113,-1.54124,8.65747,-0.0218954,0.0103392,0.00108487,4.11113,-1.54124,8.65747,-0.0218954,0.0103392,0.00108487
0.04,-3.06947,9.19166,-0.548133,-0.00158343,0.0106613,-0.00904406,-1.52273,9.76015,0.328997,-0.00419761,0.0182298,0.00569935,-0.325961,-9.88933,0.296968,-0.0197122,0.0198929,0.0212806,3.75163,0.999731,9.26138,-0.0148613,0.00189751,0.009585,-0.123075,-9.85751,-0.0613433,-0.0640343,0.0348763,0.00226433,4.12453,-1.54868,8.65128,-0.0216319,0.0118326,0.000781447,4.12453,-1.54868,8.65128,-0.0216319,0.0118326,0.000781447
0.041,-3.06732,9.18687,-0.545885,-0.00194234,0.0100578,-0.00867543,-1.50462,9.78124,0.324647,-0.00402014,0.0185366,0.00716515,-0.349675,-9.87128,0.308255,-0.0198097,0.0205526,0.0200414,3.75743,0.982152,9.26337,-0.0146908,0.000667893,0.009585,-0.14726,-9.85089,-0.0596887,-0.0643755,0.0340322,0.00256957,4.11348,-1.5451,8.64971,-0.0211818,0.0113836,0.00140361,4.11348,-1.5451,8.64971,-0.0211818,0.0113836,0.00140361
0.042,-3.06518,9.18208,-0.543637,-0.00230124,0.00945437,-0.0083068,-1.48652,9.80233,0.320297,-0.00384267,0.0188434,0.00863095,-0.37339,-9.85323,0.319541,-0.0199072,0.0212122,0.0188023,3.76323,0.964573,9.26535,-0.0145203,-0.000561727,0.009585,-0.171444,-9.84427,-0.0580342,-0.0647167,0.0331881,0.00287481,4.10243,-1.54152,8.64814,-0.0207316,0.0109347,0.00202578,4.10243,-1.54152,8.64814,-0.0207316,0.0109347,0.00202578
