Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.06,0.0335919,0.032804,0.0493939,0.0777267,0.0447208,0.0569656,0.0414816,0.0556723,0.0543649,2.96E-05,0.0148151,0.0847568,0.0673224,0.0712839,0.070675,0.0300793
0.061,0.052818,0.0642371,0.0344403,0.0792526,0.0267154,0.0642899,0.0515524,0.0495688,0.0369699,0.0104056,0.0276324,0.0777377,0.047486,0.052363,0.100582,0.0370984
0.062,0.0342023,0.0990271,0.0542767,0.100615,0.0633365,0.0615433,0.0549094,0.0526205,0.0565012,0.102263,0.096297,0.0823154,0.0737311,0.0425973,0.132015,0.0563245
0.063,0.0622784,0.0593542,0.051225,0.0758957,0.052045,0.0542191,0.0304953,0.0471274,0.0595529,0.137054,0.10179,0.0957431,0.049317,0.0572458,0.116146,0.0483899
0.064,0.0659406,0.0508093,0.0417645,0.0618576,0.0322086,0.0499466,0.0643698,0.0575034,0.0586374,0.0479422,0.0560138,0.0606479,0.0487067,0.0355783,0.0856287,0.0502209
0.065,0.0534283,0.0181555,0.0677045,0.0581955,0.0569278,0.0664261,0.0289694,0.055062,0.0595529,0.040618,0.0621173,0.0575961,0.0364996,0.0444284,0.1134,0.0355725
0.066,0.0488507,-0.00473267,0.0692303,0.0581955,0.0648624,0.0536087,0.0460593,0.0660483,0.0516183,0.0616751,0.0605914,0.0533237,0.0410773,0.0502267,0.112179,0.0422864
0.067,0.0400006,0.0440955,0.0466473,0.0578903,0.0605899,0.0414017,0.0564352,0.0541464,0.0571115,0.019866,0.063338,0.0597324,0.0691534,0.0364938,0.101498,0.0502209
0.068,0.0625836,0.0514197,0.046037,0.0505661,0.0477725,0.0487259,0.0381247,0.0556723,0.0430734,0.102874,0.0670001,0.0658359,0.0377203,0.0548044,0.0868494,0.041676
0.069,0.0522076,0.0355505,0.061601,0.062468,0.0740176,0.0539139,0.0497214,0.0553671,0.0659616,0.0516043,0.0676105,0.0505771,0.0419928,0.0685373,0.119198,0.0383191
