Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.027,1.49274,8.78921,-2.27173,-0.501493,-1.79765,0.29274,1.00237,-14.357,-9.82713,2.00737,6.07807,-3.91333,11.6616,14.7017,6.84097,-3.62558,4.04873,-6.36691,5.09366,0.203188,8.39897,-0.213105,-0.237391,0.0200113,8.18505,-0.858226,3.78615,-1.94082,0.513025,-1.48255,1.32342,9.36885,-2.24635,-0.352715,-0.571451,0.466644,-1.48766,-7.65051,-2.40214,-0.193625,7.38644,-0.62177
0.028,1.55923,8.77322,-2.28488,-0.500228,-1.79057,0.296973,0.920228,-14.3124,-9.93813,1.98708,6.15265,-3.90605,11.8528,14.8556,6.72203,-3.64341,4.01908,-6.43473,5.12294,0.164628,8.38754,-0.222629,-0.237113,0.0204958,8.15514,-0.875234,3.79959,-1.95415,0.499959,-1.47725,1.28774,9.36154,-2.18559,-0.35168,-0.566853,0.460958,-1.51119,-7.67456,-2.29923,-0.19302,7.43826,-0.627444
0.029,1.62572,8.75722,-2.29804,-0.498962,-1.78349,0.301206,0.838081,-14.2678,-10.0491,1.96678,6.22723,-3.89878,12.0441,15.0096,6.60308,-3.66124,3.98943,-6.50255,5.15221,0.126067,8.37611,-0.232153,-0.236835,0.0209803,8.12522,-0.892242,3.81304,-1.96748,0.486893,-1.47194,1.25206,9.35422,-2.12483,-0.350646,-0.562255,0.455271,-1.53473,-7.69862,-2.19633,-0.192416,7.49007,-0.633119
0.03,1.69221,8.74123,-2.31119,-0.497696,-1.77641,0.305439,0.755935,-14.2233,-10.1601,1.94649,6.30181,-3.89151,12.2354,15.1635,6.48414,-3.67907,3.95979,-6.57037,5.18148,0.0875072,8.36468,-0.241676,-0.236558,0.0214647,8.09531,-0.90925,3.82648,-1.9808,0.473827,-1.46664,1.21638,9.34691,-2.06408,-0.349611,-0.557657,0.449585,-1.55826,-7.72267,-2.09342,-0.191812,7.54189,-0.638794
0.031,1.7587,8.72523,-2.32434,-0.496431,-1.76933,0.309671,0.673788,-14.1787,-10.2711,1.92619,6.37639,-3.88424,12.4266,15.3175,6.36519,-3.69691,3.93014,-6.63819,5.21075,0.048947,8.35325,-0.2512,-0.23628,0.0219492,8.06539,-0.926258,3.83992,-1.99413,0.460761,-1.46134,1.1807,9.33959,-2.00332,-0.348577,-0.553059,0.443899,-1.58179,-7.74672,-1.99051,-0.191208,7.59371,-0.644469
0.032,1.82701,8.71695,-2.37053,-0.495151,-1.76272,0.3123,0.6516,-14.1261,-10.4382,1.90168,6.45932,-3.87218,12.601,15.4155,6.22979,-3.71722,3.89482,-6.70502,5.21826,0.0536001,8.32651,-0.258973,-0.234315,0.0222545,8.03137,-0.914247,3.84285,-2.00636,0.45179,-1.45688,1.18885,9.32931,-1.93583,-0.348829,-0.550737,0.441169,-1.57514,-7.78454,-1.91498,-0.180476,7.63342,-0.63931
0.033,1.89554,8.70963,-2.42085,-0.49387,-1.75618,0.314728,0.636907,-14.0725,-10.6122,1.87665,6.5433,-3.85953,12.7733,15.5065,6.09233,-3.73784,3.85879,-6.77172,5.22303,0.063655,8.29785,-0.266527,-0.232139,0.0225375,7.99683,-0.898608,3.84447,-2.01845,0.443331,-1.45253,1.20248,9.31866,-1.86749,-0.349243,-0.5487,0.438808,-1.56471,-7.82408,-1.84287,-0.168479,7.67161,-0.632797
0.034,1.96408,8.70231,-2.47116,-0.492589,-1.74964,0.317156,0.622214,-14.0189,-10.7863,1.85162,6.62727,-3.84688,12.9455,15.5975,5.95487,-3.75847,3.82277,-6.83842,5.22781,0.0737098,8.2692,-0.274082,-0.229963,0.0228204,7.9623,-0.88297,3.84608,-2.03054,0.434872,-1.44818,1.21611,9.308,-1.79916,-0.349656,-0.546662,0.436447,-1.55428,-7.86362,-1.77076,-0.156481,7.7098,-0.626284
0.035,2.03261,8.69499,-2.52148,-0.491308,-1.74309,0.319585,0.607521,-13.9653,-10.9604,1.82659,6.71125,-3.83423,13.1178,15.6885,5.81741,-3.77909,3.78674,-6.90513,5.23259,0.0837646,8.24054,-0.281636,-0.227787,0.0231034,7.92776,-0.867331,3.8477,-2.04263,0.426414,-1.44383,1.22974,9.29735,-1.73082,-0.35007,-0.544625,0.434087,-1.54385,-7.90315,-1.69864,-0.144484,7.74799,-0.619771
0.036,2.09368,8.6885,-2.57637,-0.491614,-1.73785,0.321072,0.595645,-13.9255,-11.1267,1.80107,6.79863,-3.81846,13.2866,15.7585,5.65859,-3.79995,3.74799,-6.97128,5.25141,0.0774897,8.21956,-0.286142,-0.22494,0.0229147,7.88891,-0.856123,3.84399,-2.055,0.418373,-1.4395,1.23992,9.29633,-1.69211,-0.348349,-0.540675,0.430984,-1.5685,-7.97768,-1.61591,-0.134527,7.79211,-0.607749
0.037,2.14542,8.68305,-2.63698,-0.493905,-1.73424,0.321383,0.587289,-13.903,-11.2833,1.77492,6.89027,-3.79878,13.4512,15.8022,5.47306,-3.82112,3.70583,-7.03673,5.28778,0.0508026,8.20816,-0.286839,-0.221255,0.0221363,7.84465,-0.850454,3.83362,-2.06771,0.410854,-1.4352,1.24578,9.30737,-1.69042,-0.34396,-0.534334,0.426954,-1.63699,-8.09594,-1.51989,-0.127121,7.84363,-0.588842
0.038,2.19716,8.67759,-2.69759,-0.496195,-1.73063,0.321693,0.578933,-13.8805,-11.4399,1.74878,6.9819,-3.7791,13.6158,15.8459,5.28753,-3.84228,3.66368,-7.10219,5.32415,0.0241154,8.19677,-0.287536,-0.21757,0.0213579,7.80039,-0.844786,3.82325,-2.08043,0.403335,-1.43089,1.25165,9.31842,-1.68874,-0.339572,-0.527993,0.422923,-1.70548,-8.2142,-1.42388,-0.119715,7.89515,-0.569935
