Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.06,0.0436627,0.0358557,0.0521405,0.0658249,0.0532657,0.0740555,0.0704733,0.0602499,0.056196,0.136138,0.0645587,0.0698032,0.0868536,0.0126901,0.048092,0.0551038
0.061,0.0619733,0.029447,0.0774701,0.0600265,0.0740176,0.0536087,0.0451437,0.0523154,0.056196,0.0348196,0.0468585,0.081705,0.113099,0.0383249,0.0538904,0.0648694
0.062,0.0705182,0.0212073,0.0713666,0.0597214,0.0483829,0.0581863,0.0552145,0.0593344,0.0479562,-0.0329294,0.0193927,0.0896396,0.111573,0.0444284,0.0389368,0.0465588
0.063,0.0686871,0.0517249,0.0536664,0.0563644,0.0471622,0.0536087,0.0188986,0.0599448,0.0629098,0.00338654,0.0322101,0.0762119,0.0703741,0.0557199,0.0548059,0.0523572
0.064,0.0561749,0.0764441,0.0802167,0.0649094,0.0358707,0.0652054,0.0549094,0.0681845,0.0711496,0.0171194,0.0334308,0.0676669,0.0599982,0.0480905,0.0743372,0.0682263
0.065,0.0552594,0.0840735,0.0817426,0.0652145,-0.00593842,0.0642899,0.0503317,0.0486533,0.0491769,0.0247488,0.0462482,0.0704135,0.0166632,0.0300851,0.0722009,0.0496106
0.066,0.0531232,0.0517249,0.0661786,0.0490402,0.0193912,0.0508621,0.0591818,0.0617758,0.0619943,0.0497733,0.0590656,0.0780429,0.0459601,0.0493112,0.0642664,0.05724
0.067,0.054649,0.0514197,0.0554974,0.0423264,-0.000445251,0.0755814,0.0570456,0.0578085,0.0757272,0.0714407,0.0666949,0.0731601,0.0725104,0.0413766,0.10455,0.0444226
0.068,0.0641095,0.0392126,0.0664838,0.0502609,0.0276309,0.0584915,0.0509421,0.0364462,0.0803049,0.050994,0.075545,0.0823154,0.0661017,0.0502267,0.0737268,0.0444226
0.069,0.0491559,0.0407385,0.040849,0.05728,0.0279361,0.0838211,0.0533835,0.0340048,0.0494821,0.0381766,0.0608966,0.0633945,0.0627448,0.0502267,0.091427,0.0477795
0.07,0.0735699,0.0599646,0.0423749,0.048735,0.0508243,0.0728348,0.0607077,0.0309531,0.0629098,0.0815115,0.0636432,0.0786533,0.0786139,0.054194,0.0831873,0.0486951
0.071,0.0628888,0.0547766,0.0481732,0.0548386,0.0196964,0.0484207,0.0585715,0.0584189,0.0546701,0.0699149,0.0602863,0.0740756,0.0703741,0.047175,0.0734216,0.0596814
0.072,0.0351178,0.0627112,0.0725873,0.0435471,0.0325137,0.0603226,0.0475851,0.0385825,0.0616891,0.0445853,0.0523517,0.0807895,0.0529791,0.0657907,0.0746423,0.0670056
0.073,0.0622784,0.0627112,0.0493939,0.0392746,0.0340396,0.0740555,0.0201193,0.0587241,0.0638254,-0.0124826,0.0428912,0.076517,0.0468756,0.0602975,0.0664026,0.05724
0.074,0.0256573,0.0556921,0.0735028,0.0362228,0.0438052,0.0740555,0.0539938,0.0486533,0.0619943,0.0104056,0.040755,0.0710239,0.0612189,0.0609079,0.0703699,0.0425916
0.075,0.0665509,0.0379919,0.0472577,0.0194382,0.0306827,0.0581863,0.0576559,0.0578085,0.0604684,0.090972,0.0398395,0.0514926,0.061524,0.036799,0.0944788,0.0639539
0.076,0.0921857,0.0672888,0.0274213,0.0530075,0.0444156,0.069783,0.0124899,0.0587241,0.0671823,0.108062,0.0779864,0.0820102,0.0581671,0.0584665,0.0731165,0.0651746
0.077,0.0757062,0.0950598,0.0783856,0.0188278,0.0517398,0.0630691,0.0338522,0.0654379,0.0742014,0.0369559,0.0651691,0.0667514,0.0722052,0.0667062,0.0850183,0.062428
0.078,0.0567853,0.083158,0.0670941,0.0588058,0.0410587,0.0688675,0.0430075,0.0440756,0.0601633,0.0494681,0.0666949,0.0716342,0.0624396,0.0548044,0.0975305,0.059071
0.079,0.0711285,0.057218,0.0780804,0.0755905,0.0532657,0.0618485,0.0512473,0.0452963,0.0842722,0.040618,0.0843951,0.069498,0.0355841,0.0721994,0.0685388,0.074635
0.08,0.0720441,0.0489783,0.0683148,0.062468,0.0526553,0.0688675,0.0362936,0.062081,0.0607736,0.058013,0.033736,0.0679721,0.0590826,0.0718942,0.0722009,0.0612073
0.081,0.0653302,0.0617957,0.061601,0.0258469,0.012067,0.0774124,0.0375143,0.0236288,0.063215,-0.0024118,0.0523517,0.0673618,0.104554,0.0499216,0.0743372,0.059071
