Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.022,0.67257,10.1988,-3.46347,0.195108,-0.0504387,-0.479279,0.0516844,-8.48668,-1.04699,0.220551,-0.350955,-0.649046,1.23018,9.36432,-1.07817,0.292442,-0.0281563,-0.3542,-3.09461,-9.13678,-1.26796,-0.0188444,-0.523755,1.2846,4.18465,-3.58974,7.94536,0.24953,0.146204,-0.161356,5.83542,4.00984,6.93634,0.804993,-2.39978,0.579848,6.73339,1.42189,4.0594,0.303383,0.0788327,-0.42561
0.023,0.677749,10.225,-3.49708,0.181414,-0.00311768,-0.472348,0.102377,-8.47394,-1.04626,0.219119,-0.320948,-0.651292,1.20439,9.3976,-1.03287,0.29375,-0.0229798,-0.352314,-3.11645,-9.14138,-1.31059,-0.0253171,-0.519794,1.29109,4.2078,-3.5484,7.95529,0.248926,0.148017,-0.161246,5.85264,4.04833,6.91655,0.812104,-2.404,0.588628,6.75142,1.44904,4.0469,0.304761,0.0836974,-0.424758
0.024,0.685428,10.2437,-3.52943,0.16648,0.0431293,-0.465827,0.152528,-8.4494,-1.0328,0.217842,-0.290852,-0.653816,1.1795,9.43204,-0.99062,0.295055,-0.018579,-0.350583,-3.13778,-9.14784,-1.35172,-0.0327151,-0.515998,1.29714,4.23097,-3.50272,7.96196,0.24885,0.150127,-0.16094,5.86724,4.08448,6.89258,0.820579,-2.40917,0.597728,6.75752,1.4734,4.03106,0.306253,0.0900627,-0.42387
0.025,0.693107,10.2625,-3.56178,0.151545,0.0893763,-0.459306,0.202678,-8.42486,-1.01933,0.216565,-0.260757,-0.656339,1.15461,9.46648,-0.948371,0.29636,-0.0141782,-0.348852,-3.15911,-9.15431,-1.39285,-0.040113,-0.512202,1.30319,4.25415,-3.45703,7.96863,0.248775,0.152238,-0.160634,5.88183,4.12064,6.86861,0.829055,-2.41434,0.606828,6.76361,1.49775,4.01522,0.307745,0.096428,-0.422982
0.026,0.700787,10.2812,-3.59413,0.136611,0.135623,-0.452785,0.252828,-8.40032,-1.00587,0.215289,-0.230661,-0.658863,1.12971,9.50092,-0.906123,0.297666,-0.00977742,-0.347121,-3.18044,-9.16077,-1.43398,-0.0475109,-0.508406,1.30924,4.27733,-3.41135,7.97531,0.2487,0.154348,-0.160327,5.89643,4.1568,6.84464,0.83753,-2.41951,0.615928,6.76971,1.52211,3.99938,0.309237,0.102793,-0.422094
0.027,0.692787,10.294,-3.61196,0.119414,0.181342,-0.446242,0.309924,-8.38832,-0.992772,0.21426,-0.201606,-0.661578,1.10267,9.53018,-0.870176,0.299421,-0.00662355,-0.345713,-3.19444,-9.17925,-1.46022,-0.0548141,-0.50637,1.31463,4.29344,-3.3651,7.98534,0.249026,0.155494,-0.160028,5.91773,4.19641,6.81925,0.844362,-2.42449,0.624443,6.76313,1.54619,3.98906,0.31075,0.107635,-0.421103
0.028,0.653429,10.2948,-3.60072,0.097694,0.226003,-0.439656,0.380913,-8.4014,-0.980405,0.213728,-0.17463,-0.664677,1.07131,9.54908,-0.846834,0.302079,-0.0059635,-0.344951,-3.19377,-9.22176,-1.45665,-0.0619278,-0.507855,1.31871,4.29542,-3.31771,8.00211,0.250153,0.154712,-0.159744,5.95243,4.24291,6.79101,0.847906,-2.4291,0.631787,6.73122,1.56975,3.98977,0.312304,0.109428,-0.419904
0.029,0.614071,10.2956,-3.58949,0.0759738,0.270664,-0.43307,0.451902,-8.41449,-0.968038,0.213196,-0.147655,-0.667775,1.03995,9.56799,-0.823493,0.304736,-0.00530344,-0.344189,-3.1931,-9.26427,-1.45308,-0.0690415,-0.509341,1.32278,4.29739,-3.27032,8.01888,0.25128,0.153931,-0.15946,5.98713,4.28942,6.76277,0.851451,-2.43371,0.63913,6.69931,1.5933,3.99049,0.313859,0.111222,-0.418705
0.03,0.574713,10.2964,-3.57826,0.0542536,0.315326,-0.426484,0.522892,-8.42757,-0.955671,0.212664,-0.120679,-0.670873,1.0086,9.58689,-0.800151,0.307393,-0.00464339,-0.343427,-3.19243,-9.30679,-1.44952,-0.0761551,-0.510826,1.32685,4.29937,-3.22293,8.03565,0.252407,0.153149,-0.159176,6.02183,4.33593,6.73453,0.854995,-2.43833,0.646474,6.6674,1.61685,3.99121,0.315413,0.113016,-0.417505
0.031,0.535356,10.2972,-3.56702,0.0325334,0.359987,-0.419897,0.593881,-8.44065,-0.943304,0.212132,-0.0937036,-0.673971,0.977239,9.6058,-0.776809,0.31005,-0.00398334,-0.342665,-3.19176,-9.3493,-1.44595,-0.0832688,-0.512311,1.33093,4.30134,-3.17554,8.05242,0.253534,0.152368,-0.158892,6.05653,4.38243,6.7063,0.85854,-2.44294,0.653818,6.63548,1.6404,3.99192,0.316967,0.114809,-0.416306
