Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0.022,8.79229,1.61668,3.12662,-2.80728,-0.517706,-1.03895,3.57771,8.67797,-2.64942,-0.755936,-1.5534,0.0601341,-1.17528,9.79458,-1.84606,-0.171734,-0.633155,-0.249285,0.302629,-10.2117,-0.791566,0.262625,6.69097,-0.0628773,16.2485,13.1651,-6.15983,-3.54707,-5.08577,-8.17477,-10.2623,-11.8471,-8.4357,-0.136455,8.78982,-1.34604,5.36532,-3.26158,7.34026,-0.440784,-0.0427687,-0.0219194
0.023,8.79785,1.64697,3.12877,-2.80271,-0.518159,-1.03407,3.53441,8.68009,-2.67304,-0.762221,-1.55727,0.0561413,-1.16969,9.77215,-1.82564,-0.173706,-0.633643,-0.247284,0.311401,-10.1269,-1.06436,0.21084,6.67378,-0.0675183,16.3963,13.0449,-6.06142,-3.53502,-5.10302,-8.14265,-10.3156,-11.784,-8.43004,-0.132424,8.77799,-1.31998,5.36139,-3.25844,7.34446,-0.443546,-0.0435451,-0.0217843
0.024,8.80372,1.6781,3.12687,-2.79804,-0.51908,-1.02925,3.47972,8.67968,-2.70835,-0.768973,-1.5612,0.0517671,-1.16377,9.74674,-1.79983,-0.175619,-0.634063,-0.245745,0.357436,-10.0748,-1.35245,0.161142,6.65657,-0.0731237,16.5342,12.9368,-5.9585,-3.52814,-5.1163,-8.10699,-10.372,-11.7259,-8.43199,-0.12777,8.76658,-1.29304,5.35912,-3.25521,7.3552,-0.446945,-0.044746,-0.0210756
0.025,8.80958,1.70923,3.12498,-2.79338,-0.520002,-1.02443,3.42504,8.67927,-2.74366,-0.775725,-1.56514,0.0473928,-1.15784,9.72132,-1.77402,-0.177532,-0.634483,-0.244206,0.403472,-10.0226,-1.64053,0.111444,6.63936,-0.0787291,16.6721,12.8287,-5.85559,-3.52125,-5.12958,-8.07134,-10.4284,-11.6678,-8.43393,-0.123117,8.75517,-1.26611,5.35684,-3.25199,7.36593,-0.450343,-0.045947,-0.0203669
0.026,8.81545,1.74037,3.12308,-2.78872,-0.520923,-1.01961,3.37035,8.67887,-2.77897,-0.782478,-1.56907,0.0430185,-1.15191,9.6959,-1.74821,-0.179445,-0.634904,-0.242667,0.449508,-9.97049,-1.92861,0.0617457,6.62216,-0.0843345,16.8101,12.7206,-5.75268,-3.51437,-5.14285,-8.03569,-10.4849,-11.6097,-8.43587,-0.118464,8.74376,-1.23917,5.35456,-3.24876,7.37667,-0.453742,-0.0471479,-0.0196581
0.027,8.82176,1.75999,3.12398,-2.78341,-0.520011,-1.01549,3.33374,8.67876,-2.80208,-0.788204,-1.57263,0.038366,-1.1538,9.66882,-1.74101,-0.180797,-0.635747,-0.241283,0.500197,-9.93526,-2.23228,0.0172264,6.61529,-0.0907315,16.9188,12.6061,-5.65742,-3.50644,-5.14856,-7.99369,-10.5439,-11.5332,-8.43712,-0.11636,8.73039,-1.21233,5.34923,-3.24718,7.38503,-0.457917,-0.0482023,-0.0193326
0.028,8.82894,1.75658,3.13046,-2.77682,-0.515431,-1.01278,3.33327,8.67924,-2.80078,-0.791877,-1.57545,0.033157,-1.17131,9.6384,-1.77102,-0.181026,-0.637439,-0.24021,0.560192,-9.93383,-2.56712,-0.0169356,6.6291,-0.098712,16.969,12.4788,-5.57746,-3.4964,-5.13914,-7.93897,-10.6081,-11.4202,-8.43699,-0.119357,8.71313,-1.1857,5.33778,-3.24891,7.38865,-0.463643,-0.0489638,-0.0197735
0.029,8.83612,1.75318,3.13694,-2.77023,-0.510852,-1.01006,3.3328,8.67972,-2.79947,-0.79555,-1.57827,0.027948,-1.18882,9.60799,-1.80103,-0.181255,-0.63913,-0.239137,0.620188,-9.93241,-2.90197,-0.0510975,6.64291,-0.106692,17.0192,12.3515,-5.49749,-3.48636,-5.12971,-7.88426,-10.6724,-11.3072,-8.43686,-0.122354,8.69586,-1.15908,5.32633,-3.25064,7.39227,-0.469369,-0.0497253,-0.0202144
0.03,8.8433,1.74977,3.14341,-2.76364,-0.506272,-1.00734,3.33233,8.6802,-2.79817,-0.799223,-1.5811,0.022739,-1.20633,9.57757,-1.83104,-0.181484,-0.640821,-0.238063,0.680184,-9.93099,-3.23681,-0.0852595,6.65672,-0.114673,17.0694,12.2241,-5.41753,-3.47632,-5.12028,-7.82954,-10.7366,-11.1942,-8.43673,-0.125351,8.67859,-1.13245,5.31488,-3.25237,7.39589,-0.475095,-0.0504868,-0.0206553
0.031,8.85049,1.74636,3.14989,-2.75705,-0.501693,-1.00462,3.33186,8.68069,-2.79686,-0.802896,-1.58392,0.01753,-1.22384,9.54715,-1.86105,-0.181713,-0.642512,-0.23699,0.74018,-9.92957,-3.57166,-0.119421,6.67053,-0.122653,17.1196,12.0968,-5.33757,-3.46628,-5.11085,-7.77483,-10.8008,-11.0812,-8.4366,-0.128348,8.66132,-1.10582,5.30343,-3.25409,7.39951,-0.480821,-0.0512483,-0.0210962
0.032,8.86012,1.73757,3.14455,-2.75068,-0.494776,-1.00235,3.30447,8.67333,-2.80743,-0.809074,-1.58845,0.0131632,-1.21942,9.53129,-1.84837,-0.182834,-0.644512,-0.236266,0.683026,-9.94857,-3.66161,-0.1349,6.69241,-0.137429,17.022,11.8823,-5.23831,-3.43075,-5.08483,-7.70664,-10.9498,-10.977,-8.45148,-0.133336,8.63279,-1.08192,5.31839,-3.23462,7.41877,-0.482374,-0.0535716,-0.0194351
0.033,8.87007,1.72811,3.13774,-2.74433,-0.487566,-1.00014,3.27372,8.66499,-2.81948,-0.815564,-1.5932,0.00890158,-1.21225,9.51724,-1.83036,-0.184066,-0.64655,-0.235585,0.611228,-9.97014,-3.72095,-0.148042,6.71531,-0.153053,16.906,11.6569,-5.13664,-3.39203,-5.05674,-7.63677,-11.1095,-10.874,-8.46824,-0.138574,8.60286,-1.05836,5.33666,-3.2125,7.43998,-0.483406,-0.0560901,-0.0175112
0.034,8.88001,1.71865,3.13092,-2.73798,-0.480357,-0.997936,3.24297,8.65665,-2.83153,-0.822055,-1.59796,0.00463998,-1.20509,9.5032,-1.81234,-0.185298,-0.648588,-0.234904,0.539431,-9.9917,-3.7803,-0.161185,6.7382,-0.168678,16.7899,11.4314,-5.03498,-3.35331,-5.02865,-7.5669,-11.2691,-10.7709,-8.48499,-0.143811,8.57292,-1.0348,5.35493,-3.19038,7.4612,-0.484437,-0.0586086,-0.0155874
0.035,8.88995,1.70918,3.1241,-2.73164,-0.473147,-0.995728,3.21222,8.64832,-2.84357,-0.828545,-1.60271,0.000378386,-1.19793,9.48915,-1.79433,-0.18653,-0.650626,-0.234224,0.467633,-10.0133,-3.83964,-0.174328,6.7611,-0.184302,16.6739,11.206,-4.93331,-3.31459,-5.00055,-7.49703,-11.4287,-10.6679,-8.50175,-0.149049,8.54299,-1.01124,5.3732,-3.16826,7.48241,-0.485468,-0.0611271,-0.0136636
0.036,8.8931,1.7111,3.11394,-2.72556,-0.466569,-0.992741,3.17536,8.65666,-2.85702,-0.835168,-1.60816,-0.00287358,-1.20417,9.48279,-1.77391,-0.187987,-0.653137,-0.232905,0.408772,-10.0209,-3.89292,-0.182926,6.78615,-0.196191,16.5516,10.887,-4.86017,-3.2667,-4.97203,-7.42693,-11.6656,-10.5729,-8.57003,-0.158173,8.5122,-0.985054,5.403,-3.15706,7.47964,-0.487432,-0.061543,-0.0119488
0.037,8.88774,1.72724,3.09959,-2.71983,-0.460781,-0.988781,3.13086,8.68584,-2.87221,-0.841955,-1.6145,-0.0048635,-1.22717,9.48604,-1.75047,-0.189725,-0.656238,-0.230788,0.366083,-10.0112,-3.93859,-0.185844,6.8139,-0.20341,16.4213,10.4512,-4.82269,-3.20735,-4.94297,-7.35657,-11.9989,-10.488,-8.7027,-0.172155,8.48036,-0.955574,5.44721,-3.15952,7.44689,-0.490562,-0.0593307,-0.0104955
0.038,8.88239,1.74338,3.08523,-2.71409,-0.454992,-0.984822,3.08637,8.71502,-2.8874,-0.848743,-1.62083,-0.00685342,-1.25018,9.48929,-1.72703,-0.191462,-0.659339,-0.228671,0.323393,-10.0015,-3.98427,-0.188762,6.84165,-0.21063,16.2911,10.0154,-4.78522,-3.148,-4.9139,-7.2862,-12.3322,-10.4031,-8.83537,-0.186138,8.44851,-0.926095,5.49142,-3.16197,7.41415,-0.493692,-0.0571184,-0.00904225
0.039,8.87704,1.75952,3.07088,-2.70836,-0.449203,-0.980862,3.04188,8.7442,-2.90259,-0.85553,-1.62717,-0.00884334,-1.27318,9.49254,-1.7036,-0.1932,-0.66244,-0.226555,0.280704,-9.99173,-4.02995,-0.191679,6.86941,-0.217849,16.1608,9.57962,-4.74774,-3.08864,-4.88484,-7.21583,-12.6656,-10.3182,-8.96804,-0.20012,8.41667,-0.896615,5.53563,-3.16442,7.3814,-0.496822,-0.054906,-0.00758894
0.04,8.87168,1.77566,3.05653,-2.70262,-0.443414,-0.976903,2.99739,8.77339,-2.91779,-0.862318,-1.6335,-0.0108333,-1.29618,9.49578,-1.68016,-0.194937,-0.665541,-0.224438,0.238014,-9.98201,-4.07563,-0.194597,6.89716,-0.225068,16.0306,9.14381,-4.71027,-3.02929,-4.85578,-7.14546,-12.9989,-10.2333,-9.10071,-0.214102,8.38482,-0.867136,5.57985,-3.16687,7.34865,-0.499951,-0.0526937,-0.00613564
