Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.054,0.04763,0.0230383,0.063432,0.0682663,0.0489932,0.0719192,0.0604025,0.0242392,0.0601633,-0.000580749,0.0724933,0.0502719,0.0627448,0.0676218,0.0526697,0.0767712
0.055,0.0686871,0.0410437,0.0643475,0.053923,0.0496036,0.074971,0.0662009,0.0593344,0.0491769,0.0177298,0.073714,0.043558,0.0511481,0.0505319,0.0557214,0.0737195
0.056,0.0692975,0.0749182,0.0518353,0.0581955,0.0584537,0.0676468,0.0356833,0.0596396,0.0482614,0.0525198,0.0706622,0.0548496,0.0551154,0.0673166,0.0569421,0.0541882
0.057,0.0592267,0.0804114,0.0640424,0.0465988,0.0566226,0.059407,0.0469748,0.0565878,0.0268991,0.085784,0.05815,0.0905551,0.0459601,0.0456491,0.0407678,0.0563245
0.058,0.0387799,0.0474524,0.0542767,0.0594162,0.046857,0.0706985,0.0338522,0.0526205,-0.004534,0.092803,0.0538776,0.0533237,0.0636603,0.0163522,0.0722009,0.067616
0.059,0.0555646,0.045011,0.0606854,0.0603317,0.0706607,0.0862625,0.0515524,0.0474326,0.0796945,0.0891409,0.0578448,0.043558,0.0737311,0.0654855,0.0490076,0.064259
0.06,0.0601422,0.032804,0.0585492,0.0585007,0.0428897,0.0472,0.0451437,0.0559775,0.0674875,0.0757132,0.0550983,0.0548496,0.0676276,0.0554147,0.0676233,0.0557141
0.061,0.0396954,0.0379919,0.0677045,0.0847458,0.0508243,0.0563553,0.0823752,0.0520102,0.0677927,0.0686942,0.056319,0.0380649,0.0697638,0.0609079,0.0517542,0.0581555
0.062,0.0802838,0.0596594,0.0527509,0.0627731,0.041669,0.0481155,0.0546042,0.0694052,0.0662668,0.0860892,0.0557086,0.0734653,0.0541998,0.0517526,0.061825,0.0779919
0.063,0.0537335,0.0321936,0.0551923,0.0609421,0.0602847,0.0722244,0.0488058,0.0538412,0.0726755,0.133697,0.0377032,0.0356235,0.0416876,0.069758,0.0468713,0.0547986
0.064,0.0375592,0.0251746,0.0579388,0.0844406,0.0273257,0.0548294,0.0485007,0.0575034,0.0638254,0.119048,0.0541827,0.0594272,0.0621344,0.0474802,0.0587732,0.0691418
0.065,0.0454938,-0.00747925,0.0591595,0.0633835,0.0196964,0.0410965,0.0347678,0.0419394,0.0616891,0.0815115,0.0682208,0.0627841,0.0453497,0.0496164,0.063656,0.0944714
0.066,0.0421368,0.0178503,0.073808,0.0465988,0.0447208,0.0670364,0.0637595,0.0440756,0.0403268,0.0738821,0.0908038,0.0569858,0.0548102,0.0496164,0.0264246,0.059071
0.067,0.0564801,0.0343298,0.0728925,0.0523972,0.074628,0.0511673,0.0631491,0.0468222,0.061384,0.0290213,0.0679156,0.0456943,0.0416876,0.0480905,0.0551111,0.0703625
0.068,0.0485455,0.0593542,0.0667889,0.0441574,0.0724918,0.0682571,0.0478903,0.0556723,0.0513132,-0.00332733,0.052962,0.0545444,0.0465704,0.0502267,0.063656,0.0483899
0.069,0.0290143,0.0712561,0.0524457,0.0542282,0.0596744,0.0533035,0.0533835,0.0489584,0.0671823,0.023223,0.0618121,0.0508823,0.0511481,0.052363,0.0419885,0.0514417
0.07,0.0677716,0.0428748,0.0490887,0.0380539,0.0581485,0.0423172,0.0390402,0.0452963,0.0619943,0.0769339,0.068526,0.0395908,0.0621344,0.0606027,0.0590784,0.0755505
