Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.023,-0.510979,-9.91847,-0.960977,-0.0653172,-0.152193,0.0239055,1.14253,9.79253,-0.979893,0.0455408,-0.405275,-0.00483534,5.46235,-2.91982,7.92433,-0.0268582,0.0729902,-0.00190462,-1.76828,9.9882,0.653409,0.0535974,-0.0504758,-0.153501,9.45231,0.370622,3.39881,0.098619,-0.130782,-0.080088,0.0,0.0,0.0,0.0,0.0,0.0,4.57697,4.44563,7.50164,0.0492565,-0.0111475,0.00724731
0.024,-0.499727,-9.94114,-0.981734,-0.0691284,-0.148013,0.0216114,1.16506,9.76297,-0.996484,0.0483843,-0.391658,-0.00473809,5.43251,-2.89502,7.93342,-0.0357551,0.0733636,0.00120429,-1.77002,10.0308,0.715415,0.0485612,-0.0504713,-0.149572,9.44273,0.360088,3.38612,0.0993645,-0.132486,-0.078384,0.0,0.0,0.0,0.0,0.0,0.0,4.59724,4.43981,7.49637,0.0514799,-0.0119358,0.00740913
0.025,-0.488475,-9.96381,-1.00249,-0.0729395,-0.143833,0.0193172,1.18759,9.7334,-1.01308,0.0512279,-0.378042,-0.00464085,5.40267,-2.87023,7.94251,-0.0446519,0.0737369,0.00431321,-1.77177,10.0733,0.777421,0.043525,-0.0504668,-0.145644,9.43316,0.349553,3.37343,0.10011,-0.13419,-0.07668,0.0,0.0,0.0,0.0,0.0,0.0,4.6175,4.43399,7.4911,0.0537034,-0.0127241,0.00757095
0.026,-0.477223,-9.98648,-1.02325,-0.0767507,-0.139653,0.017023,1.21012,9.70384,-1.02967,0.0540715,-0.364425,-0.0045436,5.37283,-2.84543,7.95159,-0.0535488,0.0741103,0.00742212,-1.77352,10.1159,0.839428,0.0384888,-0.0504624,-0.141716,9.42358,0.339019,3.36074,0.100855,-0.135894,-0.074976,0.0,0.0,0.0,0.0,0.0,0.0,4.63776,4.42818,7.48583,0.0559268,-0.0135123,0.00773277
0.027,-0.471289,-10.0092,-1.04327,-0.0794151,-0.135094,0.0144265,1.24216,9.68196,-1.04436,0.056336,-0.351736,-0.0055456,5.34484,-2.81484,7.96859,-0.0618642,0.0743742,0.0101281,-1.76627,10.1427,0.881432,0.0344197,-0.0503635,-0.138022,9.414,0.328484,3.34805,0.101601,-0.137598,-0.073272,0.0,0.0,0.0,0.0,0.0,0.0,4.6523,4.42158,7.48181,0.0577843,-0.0138144,0.00734559
0.028,-0.475991,-10.0319,-1.06183,-0.079786,-0.129777,0.0112253,1.29322,9.67547,-1.05528,0.0574424,-0.340902,-0.00874611,5.32053,-2.77264,8.00138,-0.0690166,0.0744192,0.0120282,-1.74104,10.1379,0.883434,0.0322846,-0.0500759,-0.134799,9.40442,0.31795,3.33536,0.102346,-0.139302,-0.071568,0.0,0.0,0.0,0.0,0.0,0.0,4.65536,4.41343,7.4803,0.05891,-0.013144,0.0058604
0.029,-0.480693,-10.0546,-1.0804,-0.080157,-0.12446,0.00802415,1.34428,9.66897,-1.06619,0.0585489,-0.330069,-0.0119466,5.29623,-2.73043,8.03418,-0.076169,0.0744642,0.0139283,-1.71582,10.1331,0.885436,0.0301495,-0.0497883,-0.131575,9.39485,0.307415,3.32267,0.103092,-0.141006,-0.069864,0.0,0.0,0.0,0.0,0.0,0.0,4.65842,4.40528,7.4788,0.0600356,-0.0124736,0.00437521
0.03,-0.485394,-10.0774,-1.09896,-0.0805279,-0.119143,0.00482299,1.39534,9.66247,-1.0771,0.0596553,-0.319235,-0.0151471,5.27192,-2.68823,8.06698,-0.0833213,0.0745093,0.0158284,-1.69059,10.1283,0.887438,0.0280145,-0.0495007,-0.128351,9.38527,0.296881,3.30998,0.103837,-0.14271,-0.06816,0.0,0.0,0.0,0.0,0.0,0.0,4.66149,4.39713,7.47729,0.0611612,-0.0118032,0.00289002
0.031,-0.490096,-10.1001,-1.11752,-0.0808988,-0.113826,0.00162183,1.4464,9.65597,-1.08801,0.0607618,-0.308401,-0.0183476,5.24761,-2.64603,8.09978,-0.0904737,0.0745543,0.0177285,-1.66537,10.1235,0.88944,0.0258794,-0.0492131,-0.125128,9.37569,0.286347,3.29729,0.104583,-0.144414,-0.066456,0.0,0.0,0.0,0.0,0.0,0.0,4.66455,4.38899,7.47578,0.0622869,-0.0111329,0.00140483
0.032,-0.49557,-10.0938,-1.13793,-0.0795976,-0.109583,-0.00147328,1.44418,9.61099,-1.06018,0.0624713,-0.29884,-0.0174672,5.20862,-2.60515,8.09989,-0.0955143,0.0736812,0.0199669,-1.63848,10.1113,0.879191,0.023997,-0.0482581,-0.121302,9.36612,0.275812,3.28461,0.105328,-0.146118,-0.064752,0.0,0.0,0.0,0.0,0.0,0.0,4.66447,4.41185,7.45798,0.0628895,-0.0105507,0.00013985
