Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.06,0.0692975,0.143278,0.0713666,0.0472092,0.0456363,0.067952,0.0427023,0.0675742,0.0799997,-0.00912567,0.0673053,0.0426425,0.0633551,0.0630441,0.0578577,0.0538831
0.061,0.0689923,0.0859045,0.0466473,0.0551437,0.0459415,0.0581863,0.0475851,0.056893,0.0693185,0.0204764,0.0682208,0.0472202,0.0773932,0.0648752,0.0703699,0.0578503
0.062,0.097984,0.0923132,0.0695355,0.0594162,0.0444156,0.0591019,0.0564352,0.106637,0.0540598,0.0619803,0.0666949,0.0987949,0.03711,0.0483957,0.0456506,0.0621228
0.063,0.0500714,0.083158,0.0536664,0.0603317,0.0517398,0.0514725,0.0423972,0.0449912,0.0534494,0.100432,0.05815,0.0731601,0.0447394,0.0740305,0.0520593,0.0731091
0.064,0.0457989,0.0755286,0.0652631,0.0743698,0.0502139,0.0691727,0.0530783,0.0501791,0.0516183,0.0824271,0.0523517,0.0640048,0.0398566,0.0450388,0.0520593,0.0612073
0.065,0.0369489,0.0465369,0.0445111,0.0527023,0.0550967,0.0526932,0.0643698,0.0562827,0.0568063,0.0873099,0.0618121,0.059122,0.0465704,0.0606027,0.0709802,0.0599866
0.066,0.0784528,0.0495886,0.0429852,0.0548386,0.0517398,0.0633743,0.0298849,0.062081,0.0796945,0.0482474,0.0496051,0.0270786,0.0358893,0.0422922,0.0471765,0.0663953
0.067,0.0522076,0.0364661,0.0393231,0.0578903,0.0621158,0.0676468,0.052468,0.0700156,0.0656564,0.0223074,0.0377032,0.0377597,0.0426032,0.0688425,0.0487024,0.0667004
0.068,0.0393903,0.0593542,0.0298627,0.0810837,0.0471622,0.0676468,0.0481955,0.0507895,0.0549753,0.0488577,0.0294635,0.0264682,0.0303961,0.0508371,0.0545007,0.0670056
0.069,0.0439679,0.060575,0.0341351,0.052092,0.0340396,0.0542191,0.0469748,0.0584189,0.0680978,0.0534354,0.0621173,0.0429477,0.0456549,0.0648752,0.0560266,0.0636487
0.07,0.0726544,0.0599646,0.0457318,0.0658249,0.0431949,0.0539139,0.038735,0.0544516,0.0311716,0.0119315,0.0639484,0.0402011,0.0328375,0.0544992,0.0651819,0.0621228
0.071,0.0778424,0.0483679,0.0381024,0.0462936,0.0706607,0.0633743,0.0701682,0.0504843,0.0799997,0.0168143,0.0630328,0.0569858,0.0621344,0.0548044,0.0578577,0.0441174
0.072,0.0750958,0.0337195,0.053056,0.0527023,0.0395328,0.0578812,0.0549094,0.077645,0.0622995,0.0711356,0.0465533,0.0609531,0.0584723,0.0755563,0.0587732,0.0605969
0.073,0.0628888,0.0373816,0.0445111,0.0536179,0.0526553,0.0545242,0.0478903,0.0581137,0.0195749,0.119048,0.0584552,0.0826205,0.0554205,0.0572458,0.0502283,0.0563245
0.074,0.0549542,0.0340247,0.0518353,0.069487,0.0456363,0.0600174,0.0475851,0.0715414,0.0607736,0.161162,0.0587604,0.0813998,0.0450446,0.0413766,0.0529749,0.0645642
0.075,0.0506818,0.0178503,0.0606854,0.0679611,0.0627261,0.052388,0.0405661,0.0361411,0.0540598,0.114471,0.0612018,0.0893344,0.054505,0.0569406,0.0465662,0.0663953
0.076,0.0622784,0.0389075,0.056413,0.0517868,0.0483829,0.0517776,0.0530783,0.0370566,0.0464304,0.0781546,0.0520465,0.0670566,0.044129,0.0456491,0.0596887,0.0517468
0.077,0.0366437,0.0544714,0.0515302,0.0932907,0.0535709,0.0615433,0.0500266,0.0745932,0.083967,0.0473318,0.0554034,0.0527133,0.049317,0.047175,0.070675,0.0663953
0.078,0.0674664,0.0318884,0.0469525,0.0749802,0.0749332,0.0630691,0.0631491,0.0544516,0.0952585,0.0287161,0.0673053,0.00602142,0.0688483,0.0630441,0.0517542,0.0459485
0.079,0.0512921,0.022428,0.0622113,0.0844406,0.0496036,0.0807693,0.0515524,0.079476,0.0876291,-0.00973602,0.063338,0.036539,0.0447394,0.0493112,0.0670129,0.0685315
0.08,0.0534283,0.034635,0.0521405,0.0960373,0.052045,0.0792435,0.0600974,0.0520102,0.0421579,-0.0414743,0.0547931,0.0228061,0.0734259,0.0648752,0.0499231,0.0752454
0.081,0.0757062,0.0263953,0.0539716,0.0926804,0.0575381,0.0459793,0.0735251,0.0626913,0.0677927,0.0238333,0.0572345,0.0371494,0.0560309,0.0639597,0.061825,0.0560193
0.082,0.063194,-0.00534302,0.0396283,0.0835251,0.064252,0.0606277,0.0570456,0.0425497,0.0217111,-0.00454803,0.0508258,0.0282993,0.0609137,0.0615182,0.0398523,0.0438123
0.083,0.0885236,-0.000460205,0.0735028,0.0658249,0.0731021,0.0740555,0.0375143,0.0657431,0.0656564,0.012847,0.0663898,0.0600375,0.059693,0.052363,0.0511438,0.0496106
