Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.073,0.0577008,0.0431799,0.0457318,0.041716,0.0550967,0.0557449,0.0390402,0.0709311,0.0705392,0.00949005,0.0621173,0.0563754,0.0780035,0.0422922,0.0593835,0.0462537
0.074,0.0821149,0.0538611,0.0503094,0.0188278,0.0593692,0.0490311,0.0411765,0.0596396,0.0778635,0.0299368,0.0532672,0.0478305,0.0520636,0.034968,0.0609094,0.0486951
0.075,0.0564801,0.0749182,0.0265057,0.024321,0.0425845,0.0514725,0.0576559,0.0684897,0.063215,0.0241385,0.0547931,0.0582065,0.066712,0.0718942,0.051449,0.0551038
0.076,0.0723492,0.0547766,0.0728925,0.059111,0.0386172,0.064595,0.0759665,0.0532309,0.0687082,0.0238333,0.0776813,0.0258578,0.0670172,0.0688425,0.0517542,0.0508313
0.077,0.0689923,0.060575,0.0619061,0.0594162,0.0685245,0.0624588,0.0228659,0.0709311,0.073591,0.0516043,0.0358722,0.0282993,0.0377203,0.0590768,0.0557214,0.0413709
0.078,0.0454938,0.0706457,0.0585492,0.0377487,0.0462466,0.067952,0.0558249,0.0617758,0.0513132,0.0455008,0.0361774,0.0670566,0.0554205,0.0630441,0.0560266,0.0551038
0.079,0.0509869,0.0581335,0.0591595,0.0581955,0.0569278,0.0700882,0.0851218,0.0538412,0.0729806,0.050994,0.0569293,0.0475253,0.0786139,0.0493112,0.063656,0.0538831
0.08,0.0604474,0.0584387,0.0503094,0.0719284,0.0422794,0.0581863,0.0262228,0.0703207,0.0702341,0.0766287,0.0416705,0.0447787,0.0487067,0.0816599,0.0554163,0.0435071
0.081,0.0638043,0.0630164,0.0396283,0.0740646,0.0486881,0.040181,0.0308005,0.0364462,0.0622995,0.0647269,0.0718829,0.0514926,0.049317,0.0624338,0.0459558,0.041676
0.082,0.0625836,0.0810217,0.0487836,0.0810837,0.0438052,0.052388,0.0683371,0.0657431,0.056196,0.0534354,0.0575397,0.06431,0.0532843,0.0416818,0.0572473,0.0645642
0.083,0.0641095,0.095365,0.0567181,0.0600265,0.0593692,0.059407,0.0555197,0.0474326,0.0616891,0.0284109,0.0828693,0.0466098,0.0581671,0.0432077,0.0389368,0.0544934
0.084,0.0641095,0.0782751,0.0435956,0.0362228,0.0480777,0.0615433,0.0503317,0.0559775,0.0397165,0.0329886,0.05815,0.0237216,0.0541998,0.0416818,0.0523645,0.0602917
0.085,0.0342023,0.0477576,0.0448163,0.0478195,0.0615054,0.0880936,0.0515524,0.0440756,0.0589426,0.0741873,0.0596759,0.0450839,0.0322272,0.0511423,0.0609094,0.0688367
0.086,0.070213,0.0517249,0.0753339,0.0481247,0.0605899,0.08199,0.0719992,0.0437704,0.0638254,0.0686942,0.0700519,0.0453891,0.0569464,0.059382,0.0294763,0.064259
0.087,0.0668561,0.0498938,0.0570233,0.0627731,0.0508243,0.0609329,0.0314108,0.0697104,0.0272043,0.0491629,0.0349567,0.0444736,0.0813605,0.0633493,0.0413782,0.0486951
0.088,0.0674664,0.0428748,0.0628217,0.0826096,0.0676089,0.0533035,0.054299,0.0544516,0.0604684,0.0720511,0.056319,0.0472202,0.0328375,0.0685373,0.0813562,0.0578503
0.089,0.0763165,0.0813269,0.0652631,0.0404953,0.0517398,0.0694778,0.0738303,0.0623862,0.0848825,0.0738821,0.0547931,0.0383701,0.0599982,0.0847116,0.0783044,0.0435071
0.09,0.063194,0.079801,0.0551923,0.0630783,0.0514346,0.0499466,0.0311057,0.056893,0.0656564,0.052825,0.0474689,0.0304355,0.0453497,0.0618234,0.0755579,0.0499158
0.091,0.0982892,0.0672888,0.0347455,0.0340866,0.0428897,0.0630691,0.0582663,0.0773398,0.0751169,0.0537405,0.056319,0.0545444,0.0593878,0.0731149,0.0877649,0.0630383
0.092,0.0607526,0.0630164,0.0542767,0.0496506,0.0523502,0.0447586,0.0585715,0.0825278,0.0503976,0.0744925,0.0599811,0.0801791,0.0383307,0.049006,0.0676233,0.0697522
0.093,0.0634991,0.0642371,0.0426801,0.0560593,0.0648624,0.0346878,0.0533835,0.056893,0.0931223,0.0589285,0.0578448,0.0524081,0.0310065,0.0395456,0.0313074,0.0865369
0.094,0.0641095,0.0511145,0.0365765,0.0581955,0.0557071,0.0615433,0.0170676,0.0578085,0.063215,0.0604544,0.0486896,0.0569858,0.0364996,0.0602975,0.0389368,0.0764661
0.095,0.0338971,0.0657629,0.0643475,0.0639938,0.0508243,0.0346878,0.0552145,0.0645224,0.0610788,0.0555716,0.0538776,0.0682773,0.0694586,0.0639597,0.0227625,0.0544934
0.096,0.0610577,0.079801,0.0426801,0.0713181,0.0517398,0.0429276,0.0527731,0.0324789,0.0513132,0.0564871,0.0508258,0.053934,0.0621344,0.0386301,0.048092,0.0688367
0.097,0.0400006,0.0636267,0.0411542,0.0676559,0.0450259,0.0703934,0.042092,0.039498,0.0485666,0.0595389,0.0642535,0.0368442,0.0395514,0.0483957,0.0554163,0.0706677
0.098,0.0729596,0.0456213,0.0335248,0.0664352,0.0618106,0.0597122,0.0762717,0.0437704,0.056196,0.0726614,0.0825641,0.0527133,0.0764777,0.0502267,0.0526697,0.05724
0.099,0.0555646,0.0303625,0.0548871,0.0606369,0.0462466,0.0798538,0.0896994,0.0520102,0.0671823,0.0522147,0.0471637,0.0667514,0.0715948,0.054194,0.0398523,0.0459485
0.1,0.0363385,0.0498938,0.0545819,0.0563644,0.0380069,0.0890091,0.0790183,0.0703207,0.0583322,0.0384817,0.0636432,0.0524081,0.0563361,0.0184885,0.068844,0.0724988
0.101,0.0619733,-0.01755,0.0387128,0.0527023,0.0541812,0.0862625,0.0747458,0.0538412,0.0619943,0.0516043,0.0602863,0.0368442,0.0834967,0.0483957,0.070675,0.0404553
0.102,0.0540387,0.0236487,0.0612958,0.0838303,0.0535709,0.0945023,0.054299,0.0782553,0.0577219,0.0531302,0.0514362,0.0420322,0.0364996,0.0752512,0.0609094,0.0541882
0.103,0.0506818,0.0032019,0.0701459,0.086882,0.062421,0.0578812,0.0549094,0.0590292,0.0598581,0.0400076,0.0343463,0.0447787,0.0337531,0.0563303,0.0453455,0.0486951
0.104,0.0500714,-0.0148035,0.0539716,0.0484299,0.0465518,0.0685623,0.0558249,0.0636069,0.0543649,0.0531302,0.0694415,0.0389804,0.0618292,0.0493112,0.0425989,0.0734143
0.105,0.0778424,0.0117468,0.0579388,0.041716,0.0554019,0.0761917,0.0329367,0.0834433,0.063215,0.0662527,0.0630328,0.0579013,0.0505377,0.0621286,0.0673181,0.0786023
0.106,0.0781476,0.0178503,0.06862,0.0264572,0.064252,0.0587967,0.0564352,0.0562827,0.0558908,0.0693045,0.0428912,0.0371494,0.0761725,0.0734201,0.0609094,0.0435071
0.107,0.0436627,0.0248694,0.0677045,0.0292038,0.0251895,0.0121048,0.0219504,0.0694052,0.0549753,0.068389,0.0395343,0.0282993,0.0599982,0.0630441,0.0386316,0.0569348
0.108,0.0558698,0.0541663,0.0445111,0.0359177,0.0566226,0.0551346,0.0408713,0.0608603,0.0577219,0.0809012,0.0740192,0.048746,0.0908209,0.034968,0.0599939,0.0712781
0.109,0.0616681,0.0526404,0.053056,0.0270676,0.0584537,0.0621536,0.052468,0.0678793,0.0616891,0.063201,0.0639484,0.048746,0.0511481,0.0285593,0.0602991,0.0685315
0.11,0.0625836,0.0608801,0.0402386,0.0456833,0.0431949,0.0502518,0.0231711,0.0816122,0.0433786,0.07022,0.052962,0.0441684,0.0410773,0.0581613,0.0438196,0.0657849
0.111,0.0586163,0.0584387,0.0579388,0.0310349,0.0492984,0.0334671,0.0414816,0.055062,0.066572,0.0506888,0.0718829,0.0353183,0.075257,0.0487009,0.0737268,0.0602917
0.112,0.0790631,0.0935339,0.0631268,0.0975632,0.0407535,0.00264435,0.0311057,0.0736777,0.0586374,0.0430594,0.0605914,0.048746,0.0639655,0.0517526,0.0450403,0.0602917
0.113,0.0775372,0.105741,0.0551923,0.0606369,0.0648624,0.0517776,0.0509421,0.0657431,0.0351389,0.0415335,0.0428912,0.0337924,0.0392462,0.0438181,0.0465662,0.0508313
0.114,0.0750958,0.0630164,0.0448163,0.0581955,0.0608951,0.0294998,0.0442282,0.0526205,0.0702341,0.0467215,0.0496051,0.0383701,0.0435187,0.0636545,0.0630457,0.0566296
0.115,0.0656354,0.0688147,0.0420697,0.0606369,0.0386172,0.042012,0.0463644,0.0675742,0.0485666,0.0821219,0.0639484,0.0640048,0.087464,0.0456491,0.0691492,0.0743298
0.116,0.0802838,0.0721716,0.063432,0.0453781,0.0523502,0.040181,0.0503317,0.0553671,0.0488718,0.0964651,0.0923297,0.0392856,0.0719,0.0197092,0.084408,0.045033
0.117,0.0610577,0.0685095,0.0414594,-0.00802765,0.0480777,0.0423172,0.0478903,0.0541464,0.04582,0.0793753,0.0700519,0.0484409,0.0383307,0.0526682,0.0590784,0.0615125
0.118,0.0378644,0.0389075,0.0521405,0.0325607,0.0444156,0.0462845,0.0448386,0.0623862,0.085798,0.0809012,0.0572345,0.0368442,0.0532843,0.0560251,0.0630457,0.0703625
0.119,0.0729596,0.0868201,0.0500043,0.036528,0.0587589,0.0499466,0.0515524,0.0669638,0.0705392,0.0696097,0.0657794,0.0563754,0.061524,0.0331369,0.0538904,0.0581555
0.12,0.0482404,0.0877356,0.0570233,0.0450729,0.0456363,0.0618485,0.0558249,0.0593344,0.0546701,0.0720511,0.0483844,0.0566806,0.0325323,0.0407663,0.0456506,0.0541882
0.121,0.0457989,0.0895666,0.0255902,0.0490402,0.0535709,0.062764,0.0588766,0.0416342,0.0662668,0.0360403,0.0605914,0.0633945,0.0358893,0.0532785,0.0499231,0.0712781
0.122,0.0653302,0.0920081,0.0689252,0.0914597,0.0612003,0.0917557,0.0719992,0.0544516,0.0690134,0.0360403,0.052962,0.0612582,0.0764777,0.0468698,0.0630457,0.0657849
0.123,0.0564801,0.0523352,0.0567181,0.0490402,0.0483829,0.0899246,0.092446,0.0642172,0.0589426,0.019866,0.056319,0.0646152,0.0416876,0.0483957,0.041073,0.05724
0.124,0.0686871,0.0691199,0.047868,0.0465988,0.0593692,0.0856522,0.066506,0.0321738,0.0320871,0.0143729,0.0395343,0.053934,0.0780035,0.0468698,0.0572473,0.0618176
0.125,0.0555646,0.0599646,0.047868,0.0700973,0.036481,0.0911453,0.0448386,0.062081,0.063215,0.0284109,0.0560138,0.0789584,0.0508429,0.0822702,0.0581628,0.067616
0.126,0.0738751,0.0724768,0.0377972,0.0606369,0.0636417,0.0670364,0.0427023,0.0562827,0.0571115,0.0522147,0.0666949,0.0569858,0.0590826,0.0642648,0.0447351,0.0569348
0.127,0.0583112,0.0630164,0.0496991,0.048735,0.0767642,0.0517776,0.0512473,0.041329,0.0339182,0.0216971,0.0554034,0.0447787,0.0654913,0.0480905,0.0581628,0.0667004
0.128,0.0473248,0.0602698,0.0295575,0.0423264,0.0602847,0.067952,0.0558249,0.0593344,0.0488718,0.0369559,0.0584552,0.0481357,0.0657965,0.0587717,0.0725061,0.0645642
0.129,0.0592267,0.0608801,0.0637372,0.0551437,0.062421,0.0545242,0.0662009,0.0477377,0.063215,0.0393973,0.0673053,0.0548496,0.0288702,0.0535837,0.0694543,0.0724988
0.13,0.0360333,0.0559973,0.0619061,0.0719284,0.0505191,0.0563553,0.0555197,0.0526205,0.0522287,0.0473318,0.0386188,0.0438632,0.0404669,0.0798288,0.0621301,0.0715832
0.131,0.0448834,0.0529456,0.0820477,0.0456833,0.0331241,0.0688675,0.0585715,0.0715414,0.0558908,0.0339041,0.056319,0.0392856,0.0429083,0.0474802,0.0453455,0.0807385
0.132,0.0515973,0.072782,0.058244,0.0368332,0.0514346,0.0606277,0.0680319,0.0431601,0.0488718,0.0696097,0.0612018,0.0499667,0.0621344,0.0721994,0.0694543,0.0828748
0.133,0.0573956,0.0376868,0.0329144,0.0673508,0.0599796,0.0761917,0.049111,0.0428549,0.0491769,0.0604544,0.0590656,0.0493564,0.042298,0.0773874,0.0602991,0.0740247
0.134,0.0381696,0.0337195,0.063432,0.0566696,0.0593692,0.0331619,0.0527731,0.0324789,0.061384,0.0613699,0.030379,0.0374545,0.0465704,0.0596872,0.0728113,0.0514417
0.135,0.0430524,0.046842,0.0490887,0.0688766,0.0654727,0.0603226,0.0762717,0.0398032,0.0494821,0.0564871,0.0547931,0.0823154,0.0758673,0.0779977,0.0554163,0.0682263
0.136,0.052818,0.0526404,0.0524457,0.0789474,0.0615054,0.0603226,0.0851218,0.0535361,0.0522287,0.0613699,0.0764606,0.0566806,0.0465704,0.0563303,0.0392419,0.0651746
0.137,0.0641095,0.0315833,0.047868,0.0649094,0.0511295,0.0597122,0.0652853,0.0340048,0.0595529,0.0512991,0.0673053,0.0447787,0.0633551,0.0459543,0.0627405,0.0529675
0.138,0.0393903,0.0257849,0.0396283,0.0444626,0.0648624,0.0761917,0.0558249,0.0340048,0.0607736,0.0558768,0.0651691,0.0411166,0.0712897,0.0807443,0.0545007,0.0831799
0.139,0.0656354,0.00686401,0.040849,0.0646042,0.0547916,0.0710037,0.0390402,0.0410239,0.0702341,0.0512991,0.0526569,0.071329,0.0560309,0.0514474,0.0517542,0.0645642
