Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0.02,9.36299,1.8138,1.99463,-0.161644,0.0306727,0.0224785,0.317963,-9.94684,-0.56804,-0.0602305,0.0310844,0.0195437,-1.82817,9.59945,-0.704756,-0.00469909,0.00106596,0.00553229,4.93683,-2.27055,8.11371,-0.00685252,0.000653886,-0.0113156,-2.39378,9.60801,-1.38684,0.0101008,-0.0259236,-0.00756492,4.12533,1.09113,9.0898,-0.0072687,-0.0230744,-0.00429984,-1.46245,-9.95604,-0.605634,-0.0377903,0.0788259,0.0280825
0.021,9.36276,1.81369,1.99486,-0.161549,0.0296951,0.0228127,0.317014,-9.94322,-0.566546,-0.0600823,0.0306529,0.0194963,-1.82773,9.59732,-0.704241,-0.00481216,0.00126553,0.00553456,4.93682,-2.2704,8.10966,-0.00690276,0.000356505,-0.0114349,-2.39642,9.60152,-1.38615,0.0100446,-0.0251889,-0.00740883,4.1258,1.09024,9.08617,-0.00722326,-0.0231142,-0.00420319,-1.46677,-9.95318,-0.607137,-0.037806,0.0777194,0.0279523
0.022,9.36269,1.81355,1.99519,-0.161483,0.0287278,0.0231916,0.316198,-9.93971,-0.565147,-0.0599398,0.0302236,0.0194477,-1.82743,9.59525,-0.703814,-0.00492774,0.00145311,0.00553367,4.93708,-2.27015,8.10562,-0.00695504,6.22552e-005,-0.0115454,-2.39915,9.59517,-1.38536,0.00998012,-0.0244584,-0.00727402,4.1263,1.08927,9.08281,-0.0071886,-0.0231496,-0.00410943,-1.47095,-9.95038,-0.608586,-0.0378222,0.0766347,0.0278302
0.023,9.36278,1.81337,1.99562,-0.161446,0.0277741,0.0236138,0.315486,-9.93631,-0.563859,-0.0598031,0.0297961,0.0193984,-1.82727,9.59322,-0.703509,-0.00504744,0.00162627,0.00552978,4.93757,-2.26979,8.10159,-0.00700658,-0.000223655,-0.011645,-2.40198,9.58898,-1.38449,0.00990631,-0.0237318,-0.00716482,4.12686,1.08826,9.07966,-0.00716528,-0.0231833,-0.00402059,-1.47496,-9.94767,-0.609989,-0.0378375,0.0755743,0.0277173
0.024,9.363,1.81311,1.99615,-0.161434,0.0268358,0.0240755,0.314853,-9.93301,-0.562694,-0.0596736,0.0293722,0.0193488,-1.82728,9.59124,-0.703336,-0.00517132,0.00178423,0.0055236,4.93825,-2.26931,8.09755,-0.0070552,-0.000499697,-0.0117353,-2.40488,9.58296,-1.38353,0.00982331,-0.0230118,-0.00708054,4.12751,1.08728,9.07669,-0.00715038,-0.0232174,-0.00393662,-1.47874,-9.94506,-0.611361,-0.0378491,0.0745404,0.0276126
0.025,9.36333,1.81274,1.99678,-0.161442,0.0259137,0.0245709,0.314279,-9.92983,-0.561664,-0.0595539,0.0289554,0.0192991,-1.82743,9.5893,-0.703288,-0.00529844,0.00192735,0.00551624,4.93904,-2.26873,8.09351,-0.00709909,-0.000766857,-0.0118204,-2.40781,9.57713,-1.38254,0.00973208,-0.0223037,-0.00701709,4.12826,1.08637,9.07388,-0.00713851,-0.0232537,-0.00385606,-1.48222,-9.94255,-0.612717,-0.0378531,0.0735353,0.0275139
0.026,9.36375,1.81224,1.99749,-0.161462,0.0250084,0.0250941,0.313745,-9.92677,-0.560781,-0.0594468,0.0285491,0.0192495,-1.82774,9.58741,-0.703358,-0.00542766,0.00205614,0.00550889,4.93987,-2.26809,8.08947,-0.00713652,-0.00102657,-0.0119045,-2.41074,9.5715,-1.38155,0.00963368,-0.0216131,-0.00696977,4.12912,1.08557,9.07119,-0.00712386,-0.023294,-0.0037772,-1.48535,-9.94014,-0.614071,-0.0378457,0.0725611,0.027419
0.027,9.36425,1.81157,1.99826,-0.16149,0.0241208,0.0256394,0.313233,-9.92382,-0.560055,-0.0593548,0.0281568,0.0192002,-1.8282,9.58557,-0.703533,-0.005558,0.00217105,0.0055026,4.94068,-2.26739,8.08542,-0.00716605,-0.00128,-0.0119915,-2.41361,9.56609,-1.3806,0.00952886,-0.0209451,-0.00693487,4.1301,1.08492,9.06861,-0.00710163,-0.0233396,-0.00369813,-1.48806,-9.93782,-0.615438,-0.0378232,0.0716197,0.0273256
0.028,9.3648,1.81071,1.99907,-0.161519,0.0232518,0.0262026,0.312733,-9.92099,-0.559487,-0.0592794,0.0277806,0.0191513,-1.8288,9.58378,-0.703792,-0.00568914,0.00227242,0.0054979,4.9414,-2.26667,8.08139,-0.0071875,-0.00152734,-0.0120826,-2.4164,9.56089,-1.37968,0.00941719,-0.0203024,-0.00691245,4.13121,1.08443,9.06613,-0.00707104,-0.0233911,-0.00361626,-1.49033,-9.93557,-0.616818,-0.0377834,0.0707113,0.0272327
0.029,9.36541,1.80966,1.99988,-0.161543,0.0224027,0.0267806,0.31224,-9.91825,-0.559064,-0.0592208,0.0274211,0.0191029,-1.82952,9.582,-0.704102,-0.00582151,0.00236047,0.00549471,4.94203,-2.26593,8.07742,-0.00720225,-0.00176758,-0.012176,-2.41905,9.55588,-1.37876,0.00929674,-0.0196852,-0.00690731,4.13245,1.08408,9.06374,-0.00703632,-0.0234474,-0.00352812,-1.49219,-9.93334,-0.618198,-0.037726,0.0698338,0.0271402
