Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.02,9.26394,1.06919,3.38132,0.0451277,-0.0685224,0.0413851,-0.804018,-9.82549,-1.29497,0.0138055,-0.0262711,0.0458836,-1.63027,9.5463,-0.612568,0.0261105,-0.0154283,-0.0329903,5.13761,-1.42364,8.14021,-0.00127906,0.0180017,-0.0336084,1.09654,9.84813,-1.47176,-0.104969,-0.583674,-0.254273,4.67133,1.86673,8.7028,-0.024621,-0.00938981,0.0585915,-2.54391,-9.76849,-0.388389,0.0248652,-0.15334,0.0954355
0.021,9.27671,1.07752,3.37842,0.0453026,-0.0721861,0.0420754,-0.800664,-9.82292,-1.29537,0.0126738,-0.0273215,0.0457181,-1.63246,9.54045,-0.623259,0.0256873,-0.0151872,-0.0341521,5.1356,-1.42965,8.13851,0.000731601,0.018923,-0.0354973,1.0693,9.83763,-1.4908,-0.104633,-0.572905,-0.253915,4.67072,1.8667,8.70085,-0.0241522,-0.00931855,0.0586287,-2.54163,-9.76749,-0.384167,0.0244919,-0.154509,0.0944508
0.022,9.28898,1.08588,3.37528,0.0455346,-0.0758448,0.042696,-0.797199,-9.82032,-1.29557,0.011551,-0.02834,0.0455713,-1.63466,9.53482,-0.633243,0.0252509,-0.0148894,-0.0352944,5.13359,-1.43514,8.13695,0.00276437,0.0198441,-0.0374045,1.0431,9.82784,-1.50862,-0.104099,-0.561711,-0.253491,4.67009,1.86684,8.69902,-0.0236787,-0.00924485,0.0586653,-2.53913,-9.76645,-0.379872,0.0241491,-0.155669,0.0934737
0.023,9.30067,1.09429,3.37192,0.0458244,-0.0794934,0.0432457,-0.793652,-9.81766,-1.29554,0.0104378,-0.0293258,0.0454454,-1.63683,9.52943,-0.642481,0.0248037,-0.0145366,-0.0364117,5.13163,-1.44007,8.13547,0.00481564,0.0207651,-0.039325,1.01797,9.81882,-1.5252,-0.103378,-0.550117,-0.252999,4.66943,1.86713,8.69728,-0.0232019,-0.00916749,0.058698,-2.53641,-9.76534,-0.375525,0.0238379,-0.156819,0.0925062
0.024,9.31176,1.10275,3.36834,0.0461711,-0.0831295,0.0437255,-0.790029,-9.81494,-1.29527,0.00933302,-0.0302777,0.0453398,-1.63903,9.52429,-0.65096,0.024348,-0.0141319,-0.0375016,5.12975,-1.44445,8.13404,0.00688144,0.0216869,-0.0412556,0.993964,9.81053,-1.54051,-0.102482,-0.53815,-0.252443,4.66875,1.86754,8.69559,-0.0227243,-0.00908643,0.0587253,-2.53345,-9.76416,-0.37115,0.0235567,-0.157951,0.0915489
0.025,9.32222,1.11123,3.36456,0.046572,-0.0867527,0.0441379,-0.78632,-9.81216,-1.29481,0.008234,-0.0311938,0.0452519,-1.6413,9.51939,-0.65868,0.0238857,-0.0136797,-0.0385645,5.12797,-1.44827,8.13261,0.00895757,0.0226111,-0.043195,0.971127,9.80289,-1.55453,-0.101422,-0.52584,-0.251827,4.66806,1.86806,8.69394,-0.0222483,-0.00900246,0.0587468,-2.53021,-9.7629,-0.366767,0.0233023,-0.159059,0.0906013
0.026,9.332,1.11971,3.36058,0.0470244,-0.0903625,0.0444856,-0.782512,-9.80931,-1.29418,0.00713791,-0.0320723,0.0451786,-1.64372,9.51473,-0.665643,0.0234189,-0.013184,-0.0396009,5.12631,-1.45154,8.13118,0.0110398,0.023539,-0.0451423,0.949508,9.79579,-1.56724,-0.100207,-0.513217,-0.251156,4.6674,1.86867,8.69228,-0.0217769,-0.00891651,0.0587626,-2.52669,-9.76159,-0.362399,0.0230711,-0.160136,0.0896629
0.027,9.34108,1.12817,3.35641,0.0475258,-0.0939585,0.0447711,-0.778599,-9.80641,-1.29342,0.00604248,-0.0329113,0.0451177,-1.64634,9.5103,-0.671849,0.0229494,-0.012649,-0.0406114,5.12479,-1.45425,8.12972,0.013124,0.0244721,-0.0470964,0.929153,9.78914,-1.57862,-0.0988471,-0.500312,-0.250435,4.66677,1.86935,8.69059,-0.0213124,-0.0088293,0.0587724,-2.52284,-9.76024,-0.358066,0.0228594,-0.161174,0.0887333
0.028,9.34944,1.13658,3.35206,0.0480734,-0.0975389,0.0449975,-0.774608,-9.80344,-1.29254,0.00494755,-0.0337103,0.0450691,-1.64919,9.50611,-0.677302,0.022479,-0.0120783,-0.0415967,5.12342,-1.45642,8.12821,0.015206,0.025411,-0.0490567,0.910091,9.78287,-1.58867,-0.0973544,-0.487158,-0.249667,4.66618,1.87007,8.68884,-0.0208556,-0.00874079,0.0587762,-2.51865,-9.75885,-0.353791,0.0226627,-0.162167,0.0878119
0.029,9.35704,1.1449,3.34753,0.0486643,-0.101101,0.0451679,-0.770604,-9.80044,-1.29157,0.00385572,-0.0344699,0.0450361,-1.65229,9.50215,-0.682007,0.0220087,-0.011475,-0.0425579,5.12222,-1.45808,8.12668,0.0172821,0.0263557,-0.0510231,0.892329,9.77698,-1.59739,-0.0957438,-0.473795,-0.248854,4.66565,1.87081,8.68704,-0.0204056,-0.00864995,0.0587741,-2.51409,-9.75744,-0.349591,0.0224758,-0.163108,0.086898
