Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.075,0.0738751,0.0801062,0.0335248,0.10031,0.0425845,0.0517776,0.0735251,0.0584189,0.0467355,0.0512991,0.0727985,0.0737704,0.0178839,0.0435129,0.0804407,0.119191
0.076,0.0906598,0.0379919,0.0591595,0.0942062,0.0343448,0.0191238,0.0442282,0.0459067,0.0604684,0.0699149,0.068526,0.0740756,0.0496222,0.06457,0.0715906,0.0685315
0.077,0.0696027,-0.0325037,0.0484784,0.0966476,0.0535709,0.0462845,0.0280539,0.0651328,0.0552805,0.0924979,0.0779864,0.0466098,0.0496222,0.0590768,0.0755579,0.0862317
0.078,0.0851666,-0.0285364,-0.0110309,0.0877975,0.0465518,0.0517776,0.02134,0.039498,0.0415475,0.0671683,0.0895831,0.0731601,0.0358893,0.0190988,0.0703699,0.0795178
0.079,0.0634991,-0.0169397,-0.0131671,0.105193,0.057233,0.0783279,0.0304953,0.0364462,0.0568063,0.0949393,0.108809,0.0383701,0.0340582,0.0737253,0.0795251,0.0813489
0.08,0.0656354,0.0392126,0.0313886,0.0945114,0.0508243,0.0768021,0.0204245,0.0288168,0.0473459,0.107757,0.0541827,0.0792636,0.0413824,0.0715891,0.0578577,0.0792126
0.081,0.052818,0.0233435,0.0393231,0.0865768,0.0651675,0.0615433,0.0579611,0.0538412,0.0479562,0.0989066,0.0492999,0.052103,0.0444342,0.0709787,0.0487024,0.0752454
0.082,0.0540387,0.0407385,0.0359662,0.102751,0.0523502,0.0761917,0.0402609,0.0297324,0.0763376,0.0689993,0.0483844,0.0734653,0.0551154,0.0578561,0.05328,0.0840955
0.083,0.0479352,0.029447,0.0341351,0.069487,0.0526553,0.0633743,0.026528,0.0144736,0.0705392,-0.0024118,0.0441119,0.0588168,0.0419928,0.107905,0.0319177,0.0709729
0.084,0.0625836,0.0834631,0.0469525,0.0969528,0.0712711,0.0456741,0.0137106,0.0294272,0.0659616,-0.00973602,0.0520465,0.0719394,0.0325323,0.104548,0.0389368,0.085011
0.085,0.0677716,0.062406,0.0881512,0.0935959,0.0758487,0.0261429,0.0353781,0.0416342,0.0653513,-0.0011911,0.0700519,0.0481357,0.0279547,0.105464,0.0319177,0.0712781
0.086,0.0454938,0.0440955,0.0445111,0.104582,0.086835,0.0307205,0.0448386,0.0346152,0.0522287,-0.0121774,0.0694415,0.0649204,0.0468756,0.0813547,0.0517542,0.0691418
0.087,0.0494611,0.072782,0.0466473,0.0884079,0.0737125,-0.0214645,0.0442282,0.0501791,0.0452097,0.0448904,0.0550983,0.0691928,0.0224615,0.0239816,0.0441248,0.0731091
0.088,0.0451886,0.0639319,0.0561078,0.104887,0.0743228,0.00294952,0.0347678,0.0248495,0.0644357,0.101653,0.0648639,0.0740756,0.0480963,0.0602975,0.0230676,0.100575
0.089,0.0552594,0.0627112,0.0823529,0.0844406,0.0737125,0.0145462,0.0436179,0.0367514,0.0635202,0.0708304,0.0660846,0.0640048,0.0380255,0.0505319,0.0465662,0.0828748
0.09,0.0497662,0.0645422,0.111039,0.0771164,0.0627261,0.0255325,0.0454489,0.0312582,0.0604684,0.0671683,0.0538776,0.0737704,0.0355841,0.0386301,0.0044519,0.0749402
