Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.05,0.0357281,0.0663733,0.0347455,0.0542282,-0.00563324,0.0545242,0.0674216,0.0584189,0.0687082,-0.080842,0.0401447,0.0685825,0.066712,0.0465646,0.0474817,0.0654797
0.051,0.0549542,0.0608801,0.0164349,0.00631561,-0.000140076,0.0661209,0.0634543,0.062081,0.0760324,-0.0207224,0.0160358,0.0774326,0.0603033,0.0511423,0.0380212,0.0584607
0.052,0.0735699,0.0334143,0.0283368,-0.00528107,0.0856143,0.0542191,0.0607077,0.084664,0.0479562,0.0216971,-0.00013855,0.0856723,0.061524,0.0502267,0.0624353,0.0602917
0.053,0.0622784,-0.00747925,0.0243695,-0.0129105,0.143903,0.0533035,0.0610129,0.0636069,0.090986,0.0625906,0.085921,0.0731601,0.0557257,0.034968,0.0212366,0.0541882
0.054,0.0634991,0.0114416,0.0365765,0.00753632,0.112775,0.0499466,0.0405661,0.0407187,0.0622995,0.176726,0.190596,0.0728549,0.0322272,0.0517526,0.0490076,0.0612073
0.055,0.0662457,0.102079,0.0490887,0.133269,0.12193,0.0539139,0.0521628,0.0501791,0.0732858,0.20053,0.0731036,0.0533237,0.0496222,0.0569406,0.0670129,0.0654797
0.056,0.0622784,0.115812,0.0536664,0.0963425,0.0932437,0.0566605,0.0549094,0.0629965,0.0555856,0.127593,0.0627277,0.0774326,0.0426032,0.057551,0.0883752,0.0685315
0.057,0.0760114,0.100858,0.0805219,0.0661301,0.0328189,0.0380447,0.0585715,0.0471274,0.0500925,0.0848685,0.135359,0.0884189,0.0404669,0.0657907,0.0895959,0.0474744
0.058,0.0409161,0.060575,0.11165,0.0435471,0.086835,0.0462845,0.0658957,0.0633017,0.0577219,0.097991,0.159774,0.0969638,0.0450446,0.0648752,0.107906,0.0621228
0.059,0.0634991,0.0263953,0.0896771,0.0441574,0.0334293,0.042012,0.0546042,0.0642172,0.0854929,0.0177298,0.0975177,0.0548496,0.0529791,0.0606027,0.0923425,0.0587659
0.06,0.0454938,-0.0093103,0.0457318,0.0301193,-0.00380218,0.0426224,0.0668112,0.0599448,0.0571115,-0.00668427,0.0639484,0.0917758,0.0383307,0.0535837,0.0990564,0.0523572
0.061,0.0689923,0.00259155,0.040849,0.0362228,0.0178653,0.0484207,0.0570456,0.0645224,0.0604684,0.0162039,0.0676105,0.0908603,0.0606085,0.0496164,0.0972253,0.0584607
0.062,0.0561749,0.0315833,0.0426801,0.0557541,0.0474673,0.0618485,0.0509421,0.0657431,0.094343,0.0253592,0.0898883,0.103067,0.0465704,0.0706735,0.0682336,0.0605969
0.063,0.0616681,0.039823,0.0594647,0.0502609,0.0657779,0.0423172,0.052468,0.0575034,0.0796945,0.0574026,0.0862262,0.081705,0.0599982,0.069758,0.0776941,0.0456433
0.064,0.0723492,0.0486731,0.0628217,0.0597214,0.0340396,0.0526932,0.0277487,0.0434653,0.0742014,0.0879202,0.0920245,0.0978793,0.0627448,0.0676218,0.0334436,0.0584607
0.065,0.0210797,0.0761389,0.0606854,0.0353073,0.0492984,0.0557449,0.043923,0.0581137,0.0671823,0.0763235,0.0654742,0.0820102,0.0484015,0.0792184,0.00231567,0.0529675
0.066,0.0839459,0.0807166,0.0677045,0.0581955,0.0419742,0.0554398,0.0427023,0.0666586,0.0534494,0.0467215,0.047774,0.0957431,0.0361945,0.06457,0.0105554,0.0563245
0.067,0.0531232,0.0254797,0.0759442,0.0438522,0.0563174,0.0429276,0.0417868,0.0617758,0.0748117,0.00552277,0.0670001,0.0795688,0.0569464,0.0615182,-0.00165161,0.0709729
0.068,0.0860822,-0.0148035,0.0783856,0.0490402,0.0529605,0.0291946,0.0588766,0.056893,0.0705392,0.0598441,0.0850055,0.0960483,0.0532843,0.0551096,-0.00287231,0.0526624
0.069,0.0659406,-0.0080896,0.0777753,0.0661301,0.0450259,0.0383499,0.0829855,0.0642172,0.0711496,0.0570975,0.075545,0.0939121,0.0609137,0.0651804,0.00689331,0.0441174
0.07,0.0287091,0.0239539,0.0362714,0.0527023,0.0462466,0.042012,0.0689474,0.0669638,0.0555856,0.0387869,0.0377032,0.0902499,0.054505,0.0572458,0.035885,0.0584607
0.071,0.052818,0.0526404,0.0323041,0.0408005,0.0514346,0.0307205,0.0466696,0.063912,0.0677927,0.0461111,0.0496051,0.0936069,0.0548102,0.0660959,0.0377161,0.062428
0.072,0.0430524,0.0846838,0.0435956,0.0566696,0.0514346,0.0520828,0.0625388,0.0678793,0.0607736,0.0638113,0.0422809,0.0728549,0.0654913,0.0660959,0.05328,0.0905041
0.073,0.0607526,0.0703406,0.0374921,0.0731491,0.0645572,0.0484207,0.071694,0.0578085,0.0549753,0.0403128,0.0508258,0.0661411,0.0581671,0.0679269,0.0343591,0.0566296
0.074,0.0671613,0.0334143,0.0811322,0.0511765,0.0483829,0.0435379,0.0732199,0.0559775,0.0583322,0.0570975,0.0315997,0.06431,0.0575568,0.0633493,0.0276453,0.0636487
0.075,0.0525128,0.0285315,0.0957806,0.074675,0.0596744,0.067952,0.0634543,0.0440756,0.0656564,0.0766287,0.0468585,0.0826205,0.0630499,0.0599924,0.0383264,0.0560193
0.076,0.0616681,0.0639319,0.115007,0.059111,0.0511295,0.0533035,0.0927512,0.046517,0.0659616,0.0574026,0.025191,0.0658359,0.0606085,0.0432077,0.0276453,0.0599866
0.077,0.0677716,0.0935339,0.0854047,0.0652145,0.0535709,0.0462845,0.0637595,0.0480429,0.0711496,0.0552664,0.0157306,0.0630893,0.0578619,0.0633493,0.0535852,0.0486951
0.078,0.0461041,0.0651526,0.0600751,0.0618576,0.0383121,0.0459793,0.0555197,0.056893,0.0827463,0.0409232,0.105757,0.0673618,0.0581671,0.0734201,0.05328,0.0496106
0.079,0.0390851,0.0663733,0.0323041,0.0780319,0.0447208,0.0578812,0.0463644,0.0599448,0.0574167,0.0342093,0.0895831,0.0783481,0.075257,0.0612131,0.0368005,0.0554089
0.08,0.0595319,0.029447,0.0423749,0.0575851,0.057233,0.0508621,0.0503317,0.0355307,0.0622995,0.085784,-0.00349548,0.0856723,0.0661017,0.0676218,0.0627405,0.0538831
0.081,0.0503766,0.0349402,0.0558026,0.0789474,0.0895816,0.052388,0.0521628,0.0666586,0.0525339,0.0931082,0.0401447,0.0624789,0.0429083,0.0569406,0.0581628,0.0517468
0.082,0.0653302,0.0505042,0.0670941,0.0804733,0.0734073,0.0606277,0.0518576,0.0510947,0.0445993,0.0659476,0.0999591,0.0325717,0.0691534,0.0358835,0.0795251,0.0547986
0.083,0.0869977,0.07797,0.084184,0.0758957,0.0737125,0.059407,0.0445334,0.0529257,0.0497873,0.0467215,0.0834796,0.0380649,0.0508429,0.0535837,0.063656,0.0554089
0.084,0.0491559,0.0819373,0.0463422,0.0737595,0.0737125,0.0591019,0.0710837,0.0483481,0.0442941,0.0604544,0.080733,0.0524081,0.0575568,0.0477853,0.0633508,0.0486951
0.085,0.0577008,0.0813269,0.0631268,0.0612473,0.0715762,0.0728348,0.0527731,0.0608603,0.0485666,0.0577078,0.0749347,0.052103,0.0459601,0.0590768,0.0551111,0.0779919
0.086,0.0418317,0.101774,0.0567181,0.0725388,0.0657779,0.067952,0.0625388,0.049874,0.0586374,0.047637,0.0874469,0.0545444,0.0520636,0.0401559,0.0651819,0.0596814
0.087,0.0735699,0.0657629,0.0805219,0.0636887,0.0749332,0.0423172,0.0695578,0.0474326,0.0571115,0.0448904,0.0645587,0.0600375,0.03711,0.0596872,0.0737268,0.0532727
0.088,0.0577008,0.069425,0.0625165,0.069487,0.0789004,0.0484207,0.0774924,0.0599448,0.0549753,0.0290213,0.0895831,0.0478305,0.0523688,0.0630441,0.0654871,0.0712781
0.089,0.0677716,0.0639319,0.0506146,0.0795578,0.0865298,0.0493362,0.0753561,0.0486533,0.0705392,0.0125418,0.0935504,0.0569858,0.0722052,0.0566354,0.0871545,0.0914197
0.09,0.0714337,0.0477576,0.0591595,0.0841354,0.076459,0.0444534,0.054299,0.0404135,0.0702341,-0.0124826,0.0868365,0.048746,0.0761725,0.0529733,0.0654871,0.0560193
0.091,0.0656354,0.0645422,0.0533612,0.085051,0.0767642,0.0441483,0.0677267,0.0486533,0.0497873,-0.0573434,0.0282428,0.0383701,0.0432135,0.0520578,0.0746423,0.0615125
0.092,0.0494611,0.0617957,0.0405438,0.0639938,0.0761539,0.0484207,0.0875632,0.0437704,0.0784738,0.080596,0.0358722,0.0533237,0.0612189,0.0581613,0.0572473,0.0673108
0.093,0.0708234,0.0703406,0.0509198,0.0716232,0.0828677,0.0502518,0.105874,0.0510947,0.0647409,0.180083,0.0554034,-0.0156461,0.0154425,0.0462595,0.0630457,0.0700574
0.094,-0.00516541,0.0642371,0.0576337,0.079863,0.0813419,0.0410965,0.128762,0.03431,0.0680978,0.109893,-0.0211957,0.036539,0.0508429,0.0557199,0.0624353,0.0621228
0.095,0.0616681,0.0654578,0.0619061,0.0755905,0.0703555,0.0642899,0.132729,0.0367514,0.0647409,0.129424,0.047774,0.0633945,0.054505,0.06457,0.0752527,0.062428
0.096,0.0921857,0.079801,0.061601,0.0923752,0.0657779,0.0511673,0.144631,0.0434653,0.0680978,0.0940237,0.0541827,0.0301303,0.0502325,0.0563303,0.0847131,0.0770764
0.097,0.0775372,0.0712561,0.0585492,0.0932907,0.0660831,0.0545242,0.129067,0.0303427,0.0693185,0.052825,0.05815,0.0286044,0.0419928,0.0584665,0.0612146,0.0663953
0.098,0.0595319,0.0657629,0.0692303,0.0777267,0.0431949,0.0447586,0.129983,0.0520102,0.0565012,-0.0249948,0.045943,0.0438632,0.0496222,0.0313058,0.0722009,0.0569348
0.099,0.0506818,0.0379919,0.0747235,0.0368332,0.00474274,0.0642899,0.0918356,0.0428549,0.0525339,0.0992117,0.0608966,0.0289096,0.0694586,0.0404611,0.0627405,0.064259
