Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0.02,9.53577,1.61951,2.37868,-0.130341,-0.110247,-0.0301751,0.250712,-9.86293,-0.678295,-0.0612504,-0.002983,0.0368258,-1.42872,9.63935,-0.666033,-0.0206789,-0.0172461,-0.022154,4.97385,-1.97326,8.16352,0.00483131,0.039714,-0.0376627,-2.6848,9.45558,-1.2682,0.00415902,-0.0554255,0.0111247,4.11489,1.0302,9.14144,-0.00613893,-0.00401326,0.0269125,-1.43058,-9.84575,-1.51792,-0.0356463,0.0134559,0.0179999
0.021,9.53305,1.61963,2.37725,-0.129365,-0.109152,-0.0299637,0.252135,-9.85978,-0.679319,-0.0613241,-0.00337004,0.0362688,-1.42776,9.63482,-0.667798,-0.0207034,-0.0160781,-0.0224112,4.97233,-1.97424,8.15872,0.00484079,0.0398637,-0.036961,-2.67506,9.45143,-1.26831,0.00448638,-0.0542273,0.0111946,4.11445,1.02898,9.13818,-0.00620612,-0.00377777,0.0271128,-1.42776,-9.84221,-1.52115,-0.0355533,0.012981,0.0182735
0.022,9.53058,1.61977,2.37592,-0.128464,-0.108058,-0.0297017,0.253532,-9.85692,-0.680314,-0.0613935,-0.00374238,0.0357213,-1.42675,9.63039,-0.669545,-0.0207391,-0.014897,-0.0226811,4.97101,-1.97534,8.15421,0.00486361,0.0400165,-0.0362631,-2.66565,9.44754,-1.26841,0.0048139,-0.0530123,0.0112711,4.11407,1.02773,9.13503,-0.00628873,-0.00353091,0.0273074,-1.4249,-9.83884,-1.52449,-0.0354556,0.0125888,0.0185522
0.023,9.52837,1.6199,2.37474,-0.127638,-0.106971,-0.0293888,0.254881,-9.85434,-0.681245,-0.0614618,-0.00409956,0.0351847,-1.42572,9.62605,-0.67126,-0.0207869,-0.013703,-0.0229613,4.96988,-1.97659,8.15003,0.00490024,0.0401713,-0.0355637,-2.65662,9.44392,-1.26852,0.00514112,-0.0517832,0.0113565,4.11376,1.02647,9.13198,-0.00638778,-0.00327011,0.0274957,-1.42201,-9.83561,-1.52789,-0.0353533,0.0122804,0.018835
0.024,9.52639,1.61997,2.37373,-0.126887,-0.105892,-0.0290247,0.256183,-9.85204,-0.682088,-0.0615321,-0.00444047,0.0346581,-1.42471,9.62181,-0.672934,-0.0208464,-0.0124985,-0.0232496,4.96893,-1.97795,8.14615,0.0049495,0.0403266,-0.0348617,-2.64795,9.44053,-1.26864,0.00546752,-0.0505401,0.0114504,4.11354,1.02521,9.12899,-0.00650137,-0.00299802,0.0276782,-1.41911,-9.83249,-1.53131,-0.0352465,0.0120551,0.0191185
0.025,9.52456,1.61997,2.37289,-0.126211,-0.104823,-0.0286092,0.257455,-9.84997,-0.682822,-0.0616072,-0.00476358,0.0341389,-1.4238,9.61766,-0.674563,-0.020917,-0.0112873,-0.0235438,4.9681,-1.97938,8.14254,0.0050091,0.0404801,-0.0341591,-2.63962,9.43736,-1.26877,0.00579254,-0.0492816,0.0115505,4.1134,1.02397,9.12606,-0.00662557,-0.0027209,0.0278566,-1.41621,-9.82949,-1.5347,-0.0351347,0.0119106,0.019398
0.026,9.52283,1.61985,2.37225,-0.125611,-0.103767,-0.0281422,0.258716,-9.8481,-0.683429,-0.0616902,-0.00506721,0.0336243,-1.42305,9.61361,-0.676141,-0.020998,-0.0100731,-0.0238416,4.96734,-1.9808,8.13915,0.00507654,0.0406299,-0.0334584,-2.63161,9.43437,-1.26892,0.0061156,-0.0480059,0.0116543,4.11338,1.02276,9.12316,-0.00675613,-0.00244566,0.0280327,-1.41332,-9.82662,-1.53801,-0.0350174,0.0118445,0.0196681
0.027,9.52113,1.61959,2.37179,-0.125087,-0.102727,-0.0276234,0.259982,-9.8464,-0.683895,-0.0617836,-0.00534998,0.0331116,-1.42252,9.60964,-0.677666,-0.0210884,-0.0088599,-0.0241412,4.96662,-1.98218,8.13593,0.00514943,0.0407743,-0.0327619,-2.62389,9.43155,-1.26909,0.00643605,-0.0467112,0.0117595,4.11348,1.0216,9.12027,-0.00688876,-0.00217837,0.028208,-1.41044,-9.82389,-1.54121,-0.0348943,0.0118546,0.0199237
0.028,9.5194,1.61914,2.37152,-0.124638,-0.101701,-0.0270534,0.261245,-9.84484,-0.684221,-0.0618888,-0.00561164,0.0325982,-1.42224,9.60575,-0.679146,-0.0211864,-0.00765102,-0.0244424,4.96589,-1.98347,8.13283,0.00522565,0.0409139,-0.0320716,-2.61645,9.42887,-1.26931,0.00675287,-0.045396,0.0118651,4.1137,1.02048,9.11738,-0.00701909,-0.00192186,0.0283822,-1.40758,-9.82132,-1.54425,-0.0347658,0.0119372,0.0201601
0.029,9.51764,1.6185,2.37137,-0.124262,-0.10069,-0.0264339,0.262474,-9.8434,-0.684431,-0.0620056,-0.0058534,0.0320819,-1.4222,9.60196,-0.6806,-0.0212892,-0.0064494,-0.0247466,4.96514,-1.98468,8.12981,0.00530341,0.0410517,-0.0313887,-2.60928,9.4263,-1.26962,0.0070646,-0.0440596,0.0119716,4.11404,1.01942,9.11452,-0.00714265,-0.00167481,0.0285529,-1.40475,-9.81895,-1.5471,-0.0346328,0.0120879,0.0203731
