Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.02,9.43902,1.57728,2.0625,0.00110871,-0.118354,0.0217889,0.729191,-9.87824,-0.239104,-0.0514868,0.028424,0.0242475,-1.01277,9.69723,-0.497318,-0.011122,0.00999113,-0.00833253,4.97065,-2.39006,8.03933,-0.0198834,0.00998634,0.00215514,-2.39749,9.55293,-1.13255,-0.0192878,0.0135124,0.00746786,4.53837,1.85688,8.77038,-0.0249863,0.0122944,0.0160148,-1.39608,-9.90367,-0.553598,0.0165536,0.0262863,-0.0376989
0.021,9.43667,1.57697,2.06344,0.00152745,-0.118179,0.0216412,0.72964,-9.87475,-0.239234,-0.0515541,0.0284563,0.024348,-1.014,9.69311,-0.497564,-0.011153,0.0101865,-0.00835621,4.96956,-2.38857,8.03592,-0.0197691,0.00984314,0.00215528,-2.39695,9.54901,-1.13235,-0.0194372,0.013663,0.00754634,4.53629,1.8585,8.76749,-0.0249062,0.0123083,0.0159356,-1.39489,-9.89938,-0.552055,0.016422,0.0256696,-0.0377169
0.022,9.43437,1.57681,2.06434,0.00198688,-0.117983,0.0214708,0.730102,-9.87144,-0.239349,-0.0516132,0.0285025,0.0244547,-1.01515,9.68917,-0.497746,-0.0111829,0.0103822,-0.00837391,4.96851,-2.38712,8.03268,-0.0196609,0.00971871,0.00215841,-2.39643,9.54519,-1.1322,-0.0195968,0.013843,0.00762247,4.53436,1.85995,8.76481,-0.0248209,0.0123261,0.015857,-1.39385,-9.89549,-0.550591,0.0162953,0.0250379,-0.0377233
0.023,9.43212,1.57674,2.06516,0.00248882,-0.117766,0.0212808,0.730593,-9.86832,-0.239414,-0.0516642,0.0285611,0.0245674,-1.01624,9.68538,-0.497863,-0.0112109,0.0105754,-0.00838559,4.96746,-2.38573,8.02962,-0.0195605,0.00961721,0.00216196,-2.39591,9.54144,-1.13211,-0.0197654,0.0140562,0.0076921,4.53258,1.86122,8.76233,-0.0247317,0.0123464,0.0157781,-1.39291,-9.89203,-0.549173,0.016174,0.0243895,-0.0377183
0.024,9.42993,1.57674,2.06584,0.00303096,-0.117526,0.0210705,0.731105,-9.86541,-0.239417,-0.051708,0.028631,0.024684,-1.01728,9.68173,-0.497921,-0.0112373,0.010763,-0.00839196,4.96641,-2.3844,8.02674,-0.0194687,0.00953942,0.00216181,-2.39537,9.53775,-1.1321,-0.0199428,0.0143042,0.00775186,4.53097,1.86229,8.76003,-0.0246408,0.0123689,0.0157001,-1.39204,-9.88898,-0.547809,0.0160584,0.0237227,-0.037702
0.025,9.4278,1.57674,2.06635,0.00360816,-0.117266,0.020837,0.731609,-9.86265,-0.239357,-0.0517465,0.0287112,0.0248011,-1.01825,9.67822,-0.497934,-0.0112634,0.010942,-0.00839422,4.96534,-2.38314,8.02401,-0.0193863,0.00948378,0.00215277,-2.39478,9.53415,-1.13215,-0.0201293,0.0145873,0.00779892,4.52955,1.86318,8.7579,-0.0245515,0.0123947,0.0156255,-1.39118,-9.88633,-0.546532,0.0159482,0.0230362,-0.0376745
0.026,9.42574,1.5767,2.06664,0.00421485,-0.116988,0.0205769,0.732075,-9.86001,-0.239238,-0.0517817,0.0288006,0.0249151,-1.01914,9.67484,-0.497917,-0.0112902,0.0111092,-0.00839369,4.96426,-2.38195,8.02139,-0.0193137,0.00944839,0.00212942,-2.3941,9.53063,-1.13225,-0.0203253,0.0149055,0.00783055,4.52835,1.86387,8.75591,-0.0244671,0.0124248,0.0155568,-1.39025,-9.88405,-0.545379,0.0158433,0.0223287,-0.037636
0.027,9.42375,1.57658,2.06666,0.0048457,-0.116692,0.0202874,0.732475,-9.85745,-0.239063,-0.0518155,0.0288981,0.0250226,-1.01995,9.67158,-0.497881,-0.0113188,0.0112619,-0.00839149,4.96317,-2.38084,8.01885,-0.0192511,0.00943117,0.00208739,-2.39331,9.52722,-1.13239,-0.0205312,0.0152589,0.00784427,4.52739,1.86439,8.75405,-0.0243909,0.0124599,0.0154966,-1.38922,-9.88211,-0.544387,0.0157435,0.0215991,-0.0375866
0.028,9.42185,1.57637,2.06639,0.00549619,-0.116378,0.0199689,0.732796,-9.85498,-0.238836,-0.0518496,0.0290021,0.0251218,-1.02066,9.66845,-0.49783,-0.0113494,0.0113996,-0.00838807,4.96207,-2.3798,8.01639,-0.0191975,0.00942937,0.00202648,-2.3924,9.52394,-1.13255,-0.0207458,0.0156471,0.00783882,4.52668,1.86473,8.7523,-0.0243248,0.0125,0.0154467,-1.38804,-9.88049,-0.543577,0.0156492,0.0208482,-0.0375275
0.029,9.42002,1.57609,2.06579,0.00616279,-0.116044,0.0196259,0.733043,-9.85263,-0.238564,-0.051886,0.0291098,0.0252126,-1.02129,9.66545,-0.497754,-0.0113814,0.0115249,-0.00838303,4.96098,-2.37882,8.01408,-0.0191499,0.00943934,0.00195179,-2.39144,9.52082,-1.13268,-0.0209663,0.0160696,0.00781451,4.5262,1.86491,8.75067,-0.0242698,0.0125439,0.0154081,-1.38672,-9.87917,-0.542955,0.0155614,0.020079,-0.037461
