Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.02,0.575111,9.56194,-1.19093,-0.0150767,0.0392129,-0.00958342,4.83232,3.42627,7.95421,-0.529762,-0.0636109,0.108832,-0.339401,9.73149,-1.35403,-0.00815694,0.0896874,-0.0463182,9.37317,0.381032,3.0017,0.0584848,0.0251915,0.0832722,-0.0119549,-9.53675,-2.24794,-0.0739717,-0.0924414,0.00371173,4.65394,-2.80972,8.04936,0.00308516,-0.00583442,-0.0084833,-0.0890007,-9.75211,-2.0612,-0.141582,-0.0775811,-0.0280559
0.021,0.596403,9.56348,-1.20664,-0.0127452,0.040351,-0.00923137,4.86137,3.40294,7.96259,-0.53725,-0.0670958,0.108322,-0.367629,9.71579,-1.34634,-0.00985168,0.0905452,-0.0455099,9.3643,0.37788,3.0038,0.0562795,0.0224975,0.0838922,-0.0172968,-9.51885,-2.28743,-0.0779962,-0.0856828,0.00251489,4.69142,-2.81342,8.06194,0.00257032,-0.00512593,-0.00939759,-0.105353,-9.75688,-2.06707,-0.141394,-0.0797445,-0.0284114
0.022,0.617694,9.56502,-1.22234,-0.0104137,0.0414892,-0.00887931,4.89041,3.37961,7.97096,-0.544739,-0.0705806,0.107812,-0.395857,9.70009,-1.33864,-0.0115464,0.0914029,-0.0447016,9.35544,0.374728,3.0059,0.0540742,0.0198035,0.0845123,-0.0226388,-9.50095,-2.32692,-0.0820207,-0.0789241,0.00131805,4.72891,-2.81712,8.07451,0.00205549,-0.00441744,-0.0103119,-0.121705,-9.76165,-2.07294,-0.141207,-0.0819079,-0.028767
0.023,0.59977,9.56199,-1.22716,-0.010479,0.042,-0.011008,4.90753,3.38227,7.99434,-0.548632,-0.0709424,0.106991,-0.418844,9.68974,-1.34308,-0.0125594,0.0922429,-0.04684,9.35428,0.383292,2.98826,0.054749,0.0191282,0.0847499,-0.02184,-9.5195,-2.32132,-0.0806902,-0.0727691,0.00091824,4.71628,-2.80179,8.07311,0.000629002,-0.00426675,-0.00962706,-0.104459,-9.7626,-2.06737,-0.140836,-0.0829633,-0.0298445
0.024,0.570641,9.55764,-1.22886,-0.0112291,0.0423315,-0.0138456,4.92124,3.39236,8.02201,-0.551498,-0.0704119,0.106081,-0.440334,9.68091,-1.35098,-0.0133775,0.0930777,-0.0498203,9.35531,0.395203,2.96497,0.0562467,0.0190297,0.0848783,-0.0192866,-9.54846,-2.30283,-0.0778297,-0.0667864,0.000746149,4.68934,-2.78102,8.0677,-0.00105796,-0.00427544,-0.00848534,-0.0776129,-9.76244,-2.05853,-0.140413,-0.083702,-0.0311284
0.025,0.541512,9.5533,-1.23057,-0.0119792,0.042663,-0.0166831,4.93494,3.40244,8.04969,-0.554364,-0.0698814,0.105171,-0.461823,9.67209,-1.35888,-0.0141957,0.0939125,-0.0528007,9.35635,0.407114,2.94169,0.0577445,0.0189313,0.0850066,-0.0167333,-9.57742,-2.28434,-0.0749692,-0.0608038,0.000574058,4.66239,-2.76026,8.0623,-0.00274493,-0.00428412,-0.00734363,-0.050767,-9.76229,-2.04969,-0.13999,-0.0844407,-0.0324122
0.026,0.512383,9.54895,-1.23227,-0.0127293,0.0429946,-0.0195207,4.94865,3.41253,8.07736,-0.55723,-0.069351,0.104261,-0.483313,9.66327,-1.36678,-0.0150139,0.0947473,-0.055781,9.35738,0.419025,2.9184,0.0592422,0.0188328,0.0851349,-0.0141799,-9.60638,-2.26585,-0.0721086,-0.0548212,0.000401967,4.63544,-2.73949,8.0569,-0.00443189,-0.0042928,-0.00620191,-0.0239211,-9.76214,-2.04085,-0.139567,-0.0851794,-0.033696
0.027,0.494751,9.54457,-1.2377,-0.0135152,0.043057,-0.0214293,4.96361,3.41772,8.10806,-0.557469,-0.0676845,0.103824,-0.499239,9.65759,-1.37579,-0.0161353,0.0949406,-0.0584978,9.35954,0.428673,2.90459,0.060512,0.0190115,0.0854106,-0.00561645,-9.62891,-2.26371,-0.0698934,-0.049776,0.0012853,4.62962,-2.72752,8.06058,-0.00596195,-0.00433793,-0.00565289,-0.00022087,-9.76047,-2.0325,-0.139371,-0.0855457,-0.0341531
0.028,0.500116,9.5401,-1.25056,-0.0143726,0.0425812,-0.0214801,4.98106,3.41312,8.14482,-0.552451,-0.063746,0.104334,-0.504038,9.65818,-1.38702,-0.0178632,0.0938509,-0.0606874,9.36394,0.433794,2.90973,0.0613257,0.0197443,0.0859811,0.0149672,-9.63857,-2.29425,-0.0689689,-0.0466059,0.0042795,4.66603,-2.73314,8.08243,-0.00717822,-0.00445594,-0.00628925,0.0171882,-9.75578,-2.02513,-0.13963,-0.0851669,-0.0329567
0.029,0.505481,9.53563,-1.26342,-0.01523,0.0421054,-0.0215309,4.99852,3.40852,8.18158,-0.547433,-0.0598075,0.104844,-0.508836,9.65878,-1.39825,-0.019591,0.0927611,-0.0628771,9.36833,0.438915,2.91487,0.0621395,0.0204771,0.0865516,0.0355509,-9.64823,-2.3248,-0.0680444,-0.0434358,0.00727369,4.70245,-2.73876,8.10428,-0.00839448,-0.00457396,-0.00692562,0.0345972,-9.7511,-2.01777,-0.139888,-0.0847882,-0.0317603
