Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.02,-0.0669817,-10.0223,-1.18215,-0.238691,-0.262201,0.551118,9.62481,1.6198,6.03699,0.211363,-0.120438,0.071505,0.0452987,7.30569,-2.40487,0.0822157,-1.99652,0.0891154,2.00309,-9.18101,-1.64943,0.0717719,-0.0477226,-0.151641,4.28708,-0.284584,8.64326,-0.0340359,0.130863,-0.0453176,-1.2268,7.99824,-1.97717,0.0568165,-0.574442,0.035665,3.74603,4.15083,7.88211,0.0502814,-0.0745921,-0.0531726
0.021,-0.0975805,-10.0566,-1.16127,-0.235637,-0.282147,0.546693,9.5627,1.57673,6.02887,0.204197,-0.12857,0.0594091,-0.0117037,7.21563,-2.29681,0.109682,-1.96864,0.105124,2.01761,-9.17664,-1.66303,0.0698195,-0.0495842,-0.147594,4.34049,-0.168363,8.64925,-0.0405172,0.124041,-0.0439662,-1.13806,7.94911,-2.05016,0.0692258,-0.563258,0.0314764,3.73068,4.16585,7.89453,0.0450411,-0.0713033,-0.0522732
0.022,-0.128179,-10.0908,-1.14039,-0.232582,-0.302092,0.542269,9.5006,1.53365,6.02076,0.197031,-0.136703,0.0473133,-0.0687062,7.12556,-2.18875,0.137149,-1.94076,0.121132,2.03213,-9.17228,-1.67664,0.067867,-0.0514458,-0.143546,4.3939,-0.0521412,8.65525,-0.0469984,0.11722,-0.0426147,-1.04932,7.89997,-2.12314,0.0816351,-0.552073,0.0272879,3.71533,4.18088,7.90696,0.0398008,-0.0680144,-0.0513737
0.023,-0.196768,-10.0986,-1.12444,-0.23,-0.320719,0.540347,9.44658,1.47072,5.98579,0.187815,-0.147109,0.0368918,-0.148818,7.08041,-2.02962,0.161081,-1.91485,0.133354,2.05609,-9.14961,-1.68567,0.0645151,-0.0521619,-0.139435,4.46936,0.0632177,8.6509,-0.0481944,0.117661,-0.0406192,-0.996576,7.91196,-2.14151,0.0929425,-0.541987,0.0236977,3.72265,4.20111,7.92157,0.0370947,-0.0681817,-0.0506058
0.024,-0.276211,-10.0988,-1.10991,-0.227552,-0.338969,0.539141,9.39487,1.40212,5.94314,0.178013,-0.158164,0.0269486,-0.235532,7.04809,-1.8559,0.184004,-1.88951,0.144493,2.08275,-9.12171,-1.6934,0.0607634,-0.0525508,-0.135306,4.55113,0.17833,8.64361,-0.0478803,0.120177,-0.0384395,-0.954118,7.94142,-2.14426,0.103935,-0.532215,0.0202784,3.73644,4.22283,7.9368,0.0351125,-0.0693364,-0.0498754
0.025,-0.355654,-10.099,-1.09537,-0.225105,-0.35722,0.537934,9.34316,1.33352,5.9005,0.168212,-0.169219,0.0170055,-0.322247,7.01577,-1.68218,0.206927,-1.86417,0.155633,2.1094,-9.0938,-1.70113,0.0570116,-0.0529397,-0.131177,4.6329,0.293442,8.63631,-0.0475662,0.122693,-0.0362599,-0.911661,7.97088,-2.14702,0.114928,-0.522443,0.0168592,3.75023,4.24455,7.95203,0.0331304,-0.0704912,-0.0491449
0.026,-0.435097,-10.0991,-1.08084,-0.222658,-0.37547,0.536728,9.29145,1.26491,5.85785,0.158411,-0.180274,0.00706244,-0.408961,6.98344,-1.50847,0.22985,-1.83883,0.166772,2.13606,-9.0659,-1.70886,0.0532598,-0.0533285,-0.127048,4.71466,0.408555,8.62902,-0.0472521,0.125209,-0.0340803,-0.869203,8.00034,-2.14978,0.12592,-0.512671,0.0134399,3.76402,4.26627,7.96727,0.0311483,-0.0716459,-0.0484145
0.027,-0.484034,-10.1006,-1.06027,-0.218847,-0.392689,0.535601,9.2401,1.19464,5.81819,0.148889,-0.190968,-0.00334941,-0.489182,6.96676,-1.34763,0.253222,-1.814,0.17661,2.16313,-9.04519,-1.71617,0.0489499,-0.0531184,-0.123839,4.78115,0.48301,8.62007,-0.0464331,0.126495,-0.0316713,-0.856916,8.04522,-2.15911,0.134867,-0.503159,0.0107027,3.76787,4.28437,7.97698,0.0280461,-0.0714593,-0.0478396
0.028,-0.471957,-10.1046,-1.02761,-0.212309,-0.407844,0.534634,9.18949,1.12103,5.78449,0.139927,-0.200936,-0.0146988,-0.556417,6.98134,-1.21257,0.277491,-1.79019,0.183845,2.19101,-9.03888,-1.72263,0.0435237,-0.0517102,-0.122471,4.81708,0.476151,8.60781,-0.0446044,0.125318,-0.0288037,-0.904969,8.12094,-2.18158,0.139723,-0.494166,0.00932941,3.75184,4.29521,7.97563,0.022704,-0.0685901,-0.0475755
0.029,-0.459881,-10.1086,-0.994957,-0.205772,-0.422999,0.533667,9.13887,1.04743,5.75079,0.130965,-0.210905,-0.0260481,-0.623652,6.99592,-1.0775,0.301761,-1.76638,0.19108,2.21889,-9.03257,-1.72909,0.0380975,-0.0503019,-0.121103,4.85301,0.469292,8.59554,-0.0427756,0.124142,-0.0259361,-0.953022,8.19666,-2.20406,0.144579,-0.485173,0.00795615,3.73581,4.30605,7.97427,0.0173619,-0.0657208,-0.0473115
