Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.02,9.07459,-9.65907,5.45369,-1.4896,-0.440501,-1.87823,-1.92586,8.48122,-4.59087,0.250667,-1.79275,-0.0956132,-2.08493,-10.5481,0.315717,-0.214209,0.0578897,-0.274321,9.44719,1.30752,2.47901,-0.229817,0.0560344,-0.0707453,6.71176,-0.864108,7.58822,-0.0143822,0.0843257,-0.0351064,-1.33543,-11.9697,-3.45868,-0.407044,1.36344,-0.00484814,-3.77675,8.41028,-1.06562,0.31373,-0.402255,0.205879
0.021,9.66444,-8.34165,5.40603,-1.41307,-0.37294,-1.91854,-2.11832,8.68034,-4.01137,0.22483,-1.81224,-0.115399,-1.90573,-10.426,0.296528,-0.208411,0.0381276,-0.270222,9.54037,1.3051,2.43553,-0.214614,0.0735835,-0.0694732,6.44735,-0.817875,7.64932,-0.00714062,0.0794747,-0.0335299,-1.43311,-11.9667,-3.50594,-0.395486,1.25033,0.0264938,-3.71332,8.31574,-1.24272,0.340784,-0.417449,0.202829
0.022,10.2543,-7.02424,5.35837,-1.33655,-0.305379,-1.95884,-2.31077,8.87947,-3.43187,0.198993,-1.83173,-0.135184,-1.72652,-10.3038,0.277339,-0.202612,0.0183656,-0.266123,9.63356,1.30269,2.39205,-0.199411,0.0911327,-0.0682011,6.18294,-0.771642,7.71043,0.00010095,0.0746237,-0.0319534,-1.5308,-11.9637,-3.55321,-0.383929,1.13722,0.0578358,-3.6499,8.2212,-1.41981,0.367839,-0.432643,0.199779
0.023,10.2695,-5.16959,5.45911,-1.30196,-0.287626,-1.98194,-2.63974,9.08944,-2.94232,0.186861,-1.83054,-0.140492,-1.52628,-10.2783,0.222912,-0.198899,-0.00368025,-0.260749,9.72485,1.23985,2.38228,-0.194194,0.111989,-0.0637107,5.9817,-0.608829,7.78239,0.00475945,0.0688299,-0.0302196,-1.67674,-11.9011,-3.506,-0.366457,1.03414,0.0895952,-3.56893,8.15428,-1.62027,0.393,-0.442054,0.195619
0.024,10.1205,-3.16145,5.60225,-1.27935,-0.284104,-2.00013,-3.00771,9.3025,-2.47847,0.178644,-1.82343,-0.141663,-1.32004,-10.2803,0.158416,-0.195783,-0.0263786,-0.255012,9.8156,1.15974,2.38214,-0.19183,0.133789,-0.0583008,5.79851,-0.412707,7.85746,0.00867994,0.0627665,-0.0284409,-1.83648,-11.8215,-3.4318,-0.347295,0.933926,0.121474,-3.48294,8.09524,-1.8274,0.417621,-0.449813,0.191142
0.025,9.97145,-1.15332,5.74539,-1.25675,-0.280582,-2.01832,-3.37568,9.51557,-2.01461,0.170427,-1.81632,-0.142834,-1.11379,-10.2823,0.0939197,-0.192666,-0.049077,-0.249274,9.90635,1.07964,2.382,-0.189466,0.15559,-0.0528909,5.61532,-0.216585,7.93252,0.0126004,0.0567032,-0.0266621,-1.99621,-11.7418,-3.35759,-0.328133,0.833709,0.153352,-3.39695,8.0362,-2.03453,0.442242,-0.457572,0.186664
0.026,9.82243,0.85482,5.88853,-1.23414,-0.27706,-2.03651,-3.74365,9.72864,-1.55076,0.162211,-1.80921,-0.144005,-0.907538,-10.2843,0.0294238,-0.18955,-0.0717753,-0.243536,9.99709,0.999535,2.38186,-0.187103,0.177391,-0.047481,5.43213,-0.0204629,8.00759,0.0165209,0.0506399,-0.0248834,-2.15594,-11.6622,-3.28339,-0.308971,0.733493,0.185231,-3.31096,7.97716,-2.24166,0.466862,-0.465331,0.182187
0.027,9.62177,2.42999,5.98576,-1.22187,-0.281436,-2.04756,-4.06895,9.89177,-1.11952,0.155683,-1.80352,-0.141362,-0.727033,-10.2863,-0.0433066,-0.187709,-0.0917054,-0.240304,10.0464,0.91791,2.3925,-0.184487,0.195403,-0.0433856,5.28481,0.158901,8.0712,0.0184084,0.0454777,-0.0230508,-2.29565,-11.5749,-3.17381,-0.287698,0.637889,0.214229,-3.22977,7.9332,-2.45621,0.487973,-0.469375,0.177131
0.028,9.31779,3.13921,5.99121,-1.23027,-0.301608,-2.04431,-4.30891,9.95503,-0.753504,0.152533,-1.80068,-0.131091,-0.598013,-10.2884,-0.132506,-0.188421,-0.106099,-0.242082,10.0129,0.833246,2.42468,-0.181368,0.205839,-0.0419193,5.20925,0.304748,8.11192,0.0162298,0.0421174,-0.0211105,-2.39529,-11.4725,-2.99346,-0.262202,0.55151,0.237466,-3.15818,7.9194,-2.68558,0.502065,-0.46599,0.170919
0.029,9.01382,3.84843,5.99665,-1.23867,-0.32178,-2.04106,-4.54888,10.0183,-0.387486,0.149383,-1.79784,-0.120821,-0.468993,-10.2906,-0.221705,-0.189133,-0.120492,-0.243861,9.97933,0.748582,2.45687,-0.178249,0.216275,-0.040453,5.13368,0.450595,8.15263,0.0140512,0.0387572,-0.0191702,-2.49493,-11.37,-2.81312,-0.236706,0.465131,0.260703,-3.08659,7.9056,-2.91495,0.516156,-0.462604,0.164706
0.03,8.70985,4.55766,6.00209,-1.24707,-0.341953,-2.03781,-4.78884,10.0815,-0.021469,0.146233,-1.795,-0.110551,-0.339973,-10.2927,-0.310905,-0.189844,-0.134886,-0.245639,9.9458,0.663918,2.48905,-0.175131,0.226711,-0.0389866,5.05811,0.596442,8.19335,0.0118727,0.035397,-0.0172299,-2.59457,-11.2676,-2.63277,-0.21121,0.378752,0.28394,-3.015,7.8918,-3.14432,0.530248,-0.459219,0.158493
