Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.02,-0.663458,9.70947,0.3548,-0.049935,0.539076,-0.0138535,4.55589,3.39262,8.12606,0.359776,0.188559,-0.0254122,0.306321,9.61855,-1.5847,-0.160335,0.643311,-0.030309,9.3107,-0.196119,2.95434,-0.124485,-0.0994217,0.0925781,1.71202,-9.69776,-2.81296,-0.0718113,0.465488,-0.260314,5.67497,0.459847,8.42908,-0.588857,0.300829,-0.245264,0.472119,-9.50136,-1.82552,0.0737769,0.550805,0.148885
0.021,-0.620836,9.70488,0.372965,-0.0510791,0.546349,-0.0161738,4.42864,3.44519,8.14859,0.373063,0.188668,-0.035965,0.318908,9.60691,-1.55564,-0.162425,0.6448,-0.0313164,9.29469,-0.196211,2.97681,-0.125786,-0.100947,0.0875295,1.63694,-9.71489,-2.77525,-0.0733207,0.460647,-0.268822,5.59714,0.352692,8.41724,-0.597328,0.307919,-0.246871,0.511068,-9.55359,-1.78017,0.0784113,0.535926,0.156855
0.022,-0.578215,9.70029,0.39113,-0.0522233,0.553621,-0.0184941,4.30139,3.49775,8.17111,0.386349,0.188776,-0.0465178,0.331495,9.59527,-1.52657,-0.164515,0.646289,-0.0323237,9.27867,-0.196304,2.99929,-0.127087,-0.102471,0.082481,1.56187,-9.73201,-2.73755,-0.0748301,0.455806,-0.27733,5.51931,0.245537,8.40541,-0.605798,0.315009,-0.248477,0.550016,-9.60581,-1.73483,0.0830456,0.521047,0.164826
0.023,-0.558834,9.70073,0.358833,-0.0543398,0.555819,-0.0228367,4.26096,3.40817,8.20604,0.401704,0.186832,-0.0511216,0.33878,9.58487,-1.47454,-0.166549,0.644525,-0.0318839,9.27188,-0.181946,2.99044,-0.127983,-0.104674,0.0757694,1.47596,-9.71701,-2.6665,-0.0757183,0.449056,-0.283699,5.41026,0.183766,8.40001,-0.613719,0.317095,-0.246199,0.538074,-9.63037,-1.74992,0.0883311,0.50917,0.171135
0.024,-0.546094,9.70261,0.312119,-0.0567341,0.556565,-0.0277571,4.24533,3.27797,8.2445,0.417648,0.1843,-0.0540257,0.34455,9.57483,-1.41595,-0.168567,0.641831,-0.0310306,9.26773,-0.163459,2.97264,-0.128764,-0.107069,0.0685826,1.38695,-9.69282,-2.58592,-0.0764289,0.44176,-0.289457,5.29229,0.134963,8.39644,-0.621482,0.317753,-0.24281,0.511592,-9.64702,-1.78229,0.0938026,0.49815,0.17697
0.025,-0.533354,9.70448,0.265404,-0.0591285,0.557312,-0.0326775,4.22971,3.14777,8.28296,0.433593,0.181769,-0.0569298,0.35032,9.56478,-1.35735,-0.170586,0.639137,-0.0301772,9.26358,-0.144972,2.95484,-0.129545,-0.109465,0.0613958,1.29794,-9.66863,-2.50534,-0.0771396,0.434463,-0.295216,5.17432,0.08616,8.39287,-0.629245,0.318411,-0.239421,0.48511,-9.66368,-1.81465,0.0992742,0.487131,0.182804
0.026,-0.520614,9.70636,0.21869,-0.0615228,0.558059,-0.0375979,4.21408,3.01757,8.32143,0.449538,0.179238,-0.0598339,0.35609,9.55473,-1.29876,-0.172604,0.636444,-0.0293239,9.25942,-0.126485,2.93704,-0.130325,-0.11186,0.0542089,1.20892,-9.64444,-2.42476,-0.0778503,0.427167,-0.300974,5.05634,0.0373569,8.38931,-0.637008,0.319068,-0.236033,0.458627,-9.68033,-1.84701,0.104746,0.476111,0.188639
0.027,-0.504438,9.69886,0.165158,-0.0630418,0.558972,-0.0419253,4.22534,2.84663,8.35333,0.461355,0.176474,-0.061546,0.363259,9.53706,-1.24082,-0.173012,0.632355,-0.0285503,9.24158,-0.120497,2.92451,-0.131634,-0.113572,0.0471299,1.12303,-9.62553,-2.35828,-0.0782358,0.418521,-0.306193,4.95415,-0.00226378,8.38646,-0.643221,0.318459,-0.23244,0.411274,-9.7112,-1.84563,0.110544,0.464925,0.193291
0.028,-0.481391,9.67262,0.0979908,-0.0628102,0.560216,-0.0450664,4.29038,2.5942,8.37212,0.464918,0.173247,-0.060874,0.373224,9.50414,-1.18417,-0.170201,0.625475,-0.027936,9.19636,-0.139507,2.9225,-0.133999,-0.113918,0.0402662,1.04336,-9.61717,-2.31996,-0.077971,0.407176,-0.310334,4.88353,-0.0235194,8.38507,-0.646334,0.315317,-0.228439,0.32218,-9.7705,-1.77674,0.116996,0.453405,0.195577
0.029,-0.458344,9.64638,0.0308237,-0.0625786,0.56146,-0.0482075,4.35541,2.34177,8.39091,0.46848,0.17002,-0.060202,0.383189,9.47122,-1.12752,-0.16739,0.618595,-0.0273218,9.15113,-0.158517,2.9205,-0.136364,-0.114263,0.0334025,0.96369,-9.60882,-2.28165,-0.0777061,0.395831,-0.314476,4.81291,-0.0447749,8.38367,-0.649446,0.312175,-0.224439,0.233086,-9.82981,-1.70785,0.123449,0.441886,0.197864
