Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.061,0.0583112,0.0614905,0.0973065,0.0554489,0.0792056,0.0826004,0.0433127,0.0507895,-0.0316946,0.0256644,0.0456378,0.0200595,0.0511481,0.0612131,0.0651819,0.0148206
0.062,0.042442,0.0331091,0.0811322,0.0252365,0.0566226,0.0432327,0.0671164,0.0526205,0.0729806,0.0104056,0.0557086,0.00205414,0.10608,0.0267282,0.046261,0.0166516
0.063,0.0433575,0.0410437,0.120805,0.0459885,0.0697452,0.0591019,0.0207297,0.0358359,0.231977,0.0213919,0.025191,0.019144,0.114014,0.054194,0.0535852,0.00505493
0.064,0.0259625,0.00381226,0.199846,0.024321,0.0743228,0.0398758,0.0417868,0.0346152,0.433393,-0.00485321,0.0377032,0.0310458,0.109131,0.041987,0.0502283,-0.0184436
0.065,0.059837,0.0370764,0.239824,0.0575851,0.105146,0.0722244,0.0350729,0.0251547,0.477033,0.0534354,0.0276324,0.0340976,0.0392462,0.0755563,0.0612146,-0.0123401
0.066,0.0457989,0.0352454,0.27736,0.0575851,0.0737125,0.0584915,0.064675,0.0657431,0.499616,0.0485526,0.0572345,0.0505771,0.0294806,0.0786081,0.0801355,-0.0367541
0.067,0.0439679,0.0419592,0.331682,0.0353073,0.0853091,0.0725296,0.0430075,0.0279013,0.360761,0.0677786,0.0270221,0.0810947,-0.00683533,0.106989,0.0679285,-0.00776245
0.068,0.0140607,0.0355505,0.245622,0.0304245,0.0578433,0.0557449,0.0607077,0.00989593,0.0647409,0.0433646,0.0395343,0.097269,-0.00530945,0.0685373,0.0270349,-0.0266833
0.069,0.0323712,0.0422644,0.0597699,0.0423264,0.057233,0.067952,0.0384299,0.0178305,0.00340057,0.0467215,0.0203082,0.0716342,0.0133063,0.085322,-0.00531372,-0.0346179
0.07,0.0155865,0.0358557,-0.141341,0.0502609,0.0386172,0.00722198,0.0365988,0.0275961,-0.0838797,0.0213919,0.035567,0.043558,0.122254,0.0877634,0.0282556,-0.0395007
0.071,0.0641095,0.0389075,-0.213668,0.0630783,0.0755435,0.0554398,0.0219504,0.0294272,0.135542,0.0503836,0.0431964,0.0344028,0.121949,0.0892892,0.0117761,-0.0297351
0.072,0.0384747,0.0355505,-0.177047,0.0664352,0.0547916,0.0493362,0.0262228,0.0315634,0.106855,0.0409232,0.0605914,0.0502719,0.106995,0.0908151,0.0413782,0.00841187
0.073,0.0589215,-0.00534302,-0.202376,0.0771164,0.0886661,0.0545242,0.0451437,0.018746,0.0763376,0.0647269,0.0486896,0.00693695,0.103333,0.129572,0.0450403,-0.0166125
0.074,0.035423,-0.000155029,-0.203292,0.0786423,0.0718814,0.0310257,0.0533835,0.0181357,-0.0860159,0.0137625,0.0465533,0.015787,0.0673224,0.0828806,0.0572473,-0.0242419
0.075,0.0723492,0.034635,-0.155684,0.0408005,0.0584537,0.0398758,0.0375143,-0.00109039,-0.0246756,0.0360403,0.0560138,0.0420322,0.0950934,0.0737253,0.0276453,-0.0373645
0.076,0.0390851,0.0508093,-0.0464313,0.0508713,0.0389224,0.045369,0.0173727,0.0224081,-0.0173514,0.0455008,0.0499103,0.0344028,0.0862433,0.0325265,0.0233728,-0.0410266
0.077,0.0607526,0.0685095,0.0374921,0.0115036,0.0560123,0.0325516,0.031716,0.018746,0.0174387,0.0894461,0.0740192,0.0276889,0.066712,0.0468698,0.0483972,-0.0318713
0.078,0.0561749,0.0825476,0.105546,0.0438522,0.0496036,0.0270584,0.0756613,0.0483481,0.0308664,0.092803,0.0590656,0.0420322,0.00506653,0.0395456,0.0517542,0.0114636
0.079,0.0766217,0.0389075,0.115312,0.0444626,0.0859195,0.0337723,0.0362936,0.0190512,-0.0805228,0.0992117,0.0850055,0.0124301,-0.0230096,0.0743356,0.035885,-0.0236316
0.08,0.0464093,0.05203,0.0716718,0.0667404,0.0657779,0.0410965,0.0359885,0.0510947,-0.200762,0.0830374,0.0572345,0.0240268,-0.0828241,0.0499216,0.0368005,-0.0321765
0.081,0.0613629,0.0627112,0.0411542,-0.00192413,0.0758487,0.0185135,0.0283591,0.0132529,-0.0503104,0.0995169,0.0471637,-0.00282867,-0.0819086,0.06457,0.0477869,-0.0413318
0.082,0.0439679,0.00900024,0.102189,0.0209641,0.0737125,0.0325516,-0.00337921,0.0178305,-0.0506155,0.0680838,0.0154254,0.0215854,-0.079162,0.0587717,0.0224573,-0.0514026
