Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.062,0.0384747,0.0459265,0.0451215,0.0621628,0.0349551,0.064595,0.0936667,0.0437704,0.0751169,0.0397025,0.0602863,0.076517,0.0566412,0.110957,-0.021488,0.0731091
0.063,0.0445782,0.100248,0.0545819,0.0432419,0.0389224,0.0798538,0.0777975,0.0382773,0.0644357,0.0226126,0.0435016,0.0627841,0.0551154,0.120722,0.0404626,0.0721936
0.064,0.0503766,0.0712561,0.0558026,0.0630783,0.0410587,0.0578812,0.0842062,0.00623383,0.0607736,0.030242,0.0596759,0.0463046,0.054505,0.102107,0.171993,0.0764661
0.065,0.0384747,0.0819373,0.0558026,0.0700973,0.0517398,0.0661209,0.075051,-0.00810944,0.0546701,0.0409232,0.0700519,0.0466098,0.024903,-0.00195831,0.188168,0.0636487
0.066,0.0625836,0.0547766,0.0506146,0.0667404,0.0428897,0.0597122,0.059487,-0.010856,0.0723703,0.0342093,0.0474689,0.0420322,0.0337531,-0.0791678,0.189999,0.059071
0.067,0.0271832,0.0395178,0.0612958,0.0661301,0.0370914,0.0374344,0.0362936,-0.0319131,0.04582,0.0574026,0.05815,0.0911655,0.0541998,-0.0303397,0.134152,0.0541882
0.068,0.0244366,0.0410437,0.0600751,0.0871872,0.0691348,0.0670364,0.0454489,-0.0602945,0.0497873,0.0604544,0.0618121,0.0795688,0.0801398,0.0587717,0.20953,0.0609021
0.069,0.0351178,0.0852942,0.0503094,0.0536179,0.0639468,0.0630691,0.0518576,-0.036796,0.0638254,0.0696097,0.0569293,0.0710239,0.0435187,0.092341,0.266598,0.0319104
0.07,0.0558698,0.101163,0.0762494,0.0551437,0.0377017,0.0475052,0.0512473,-0.0670084,0.0571115,0.0610648,0.0496051,0.0603427,0.0322272,0.0847116,0.190609,0.0303845
0.071,0.0305402,0.120389,0.0796063,0.0566696,0.0709659,0.0264481,0.0289694,-0.0712808,0.066572,0.0503836,0.0639484,0.0701083,0.0438239,0.106989,0.10516,0.0160413
0.072,0.0409161,0.123441,0.0902875,0.0646042,0.0599796,0.0386551,0.0115744,-0.0782999,0.0555856,0.052825,0.0422809,0.0624789,0.0575568,0.152461,0.0581628,0.00841187
0.073,0.0335919,0.101163,0.0509198,0.0505661,0.0511295,0.0459793,0.0286642,-0.108512,0.0671823,0.0448904,0.0712726,0.0524081,0.0627448,0.161921,0.0401575,0.0029187
0.074,0.0503766,0.062406,0.0402386,0.0700973,0.0471622,0.0600174,0.0747458,-0.102714,0.0592477,0.0445853,0.0557086,0.0664462,0.0386359,0.138423,-0.0220984,0.00902222
0.075,0.0647198,0.0151038,0.0591595,0.0636887,0.0734073,0.0786331,0.0677267,-0.123771,0.0775583,0.0821219,0.0743243,0.0679721,0.0578619,0.0398508,0.00933472,-0.00165894
0.076,0.0802838,-0.0309778,0.023454,0.064299,0.0511295,0.0920608,0.0826804,-0.136894,0.0555856,0.105926,0.0798175,0.0582065,0.0364996,0.0117746,0.106686,0.00536011
0.077,0.0811993,-0.0267053,0.0262006,0.0679611,0.0395328,0.0716141,0.0640646,-0.151237,0.0836618,0.110503,0.0691364,0.0691928,0.0548102,0.0331369,0.0368005,0.0123792
0.078,0.0775372,-0.0389124,0.0500043,0.0636887,0.0334293,0.0706985,0.0451437,-0.17382,0.0412424,0.0891409,0.0795123,0.0569858,0.0636603,0.0218454,-0.0135535,0.0239758
0.079,0.0686871,-0.0245691,0.0558026,0.0441574,0.0389224,0.0734451,0.0384299,-0.182365,0.0534494,0.0726614,0.0700519,0.0670566,0.0563361,0.0908151,0.00109497,0.0123792
0.08,0.0329816,-0.026095,0.0298627,0.0719284,0.0392276,0.0502518,0.00852264,-0.201591,0.0693185,0.0397025,0.051131,0.0575961,0.0728156,0.102107,0.0191003,0.0309949
0.081,0.0451886,0.0032019,0.0319989,0.0691818,0.041669,0.0606277,0.0182883,-0.194267,0.058027,0.00277618,0.040755,0.057291,0.0551154,0.0435129,0.0682336,0.0111584
0.082,0.0503766,0.0245642,0.046037,0.0581955,0.0428897,0.0563553,0.0454489,-0.204948,0.0809152,0.014678,0.0608966,0.0728549,0.0618292,0.0136057,0.130489,0.0441174
0.083,0.0619733,0.0288367,0.0683148,0.0856613,0.0526553,0.0255325,0.0536887,-0.210136,0.0400217,0.0119315,0.0541827,0.0658359,0.0462653,0.0197092,0.0651819,0.0288586
0.084,0.0552594,0.0297522,0.0567181,0.0639938,0.0612003,0.0398758,0.0344626,-0.214408,0.0494821,0.0323782,0.0727985,0.079874,0.0578619,0.0151315,0.00353638,0.0297742
0.085,0.0479352,0.0486731,0.0475629,0.0633835,0.0563174,0.0484207,0.0533835,-0.218986,0.0366647,0.00430206,0.0547931,0.0624789,0.0575568,0.0755563,-0.00622925,0.0187878
0.086,0.042442,0.0395178,0.0536664,0.0670456,0.0633365,0.0496414,0.0460593,-0.219901,0.0668771,0.0387869,0.0590656,0.0524081,0.0612189,0.0648752,-0.0275916,0.0187878
0.087,0.0500714,0.055387,0.0863202,0.0639938,0.0599796,0.0423172,0.0561301,-0.213188,0.0674875,0.0397025,0.0688312,0.057291,0.0578619,0.0163522,-0.0489539,0.0209241
0.088,0.0494611,0.050199,0.0484784,0.0673508,0.0529605,0.0676468,0.0597922,-0.205863,0.0522287,0.0259695,0.0535724,0.0508823,0.0291754,0.0374094,0.0401575,0.0126843
0.089,0.0540387,0.067594,0.0524457,0.0737595,0.0599796,0.0371292,0.0445334,-0.206474,0.0674875,0.0345145,0.033736,0.0603427,0.0484015,0.0435129,0.152767,0.0163464
0.09,0.0497662,0.0566077,0.0439008,0.0499557,0.0563174,0.0365189,0.0405661,-0.216544,0.066572,0.0357352,0.0560138,0.0542392,0.0432135,0.0535837,0.084408,0.00322388
0.091,0.0485455,0.0706457,0.0579388,0.0630783,0.0697452,0.0273636,0.0356833,-0.211051,0.0409372,0.0317679,0.0612018,0.0661411,0.0612189,0.00994354,0.00994507,0.0337415
0.092,0.0308453,0.0724768,0.0591595,0.0499557,0.0776797,0.0426224,0.0362936,-0.208,0.0577219,0.0375662,0.0697467,0.0630893,0.0697638,0.00994354,-0.0278967,0.0340466
0.093,0.0519025,0.0636267,0.0558026,0.0710129,0.0618106,0.0255325,-0.00582062,-0.192436,0.0626047,0.0494681,0.0639484,0.0698032,0.0755621,0.0425973,0.0450403,0.0313
0.094,0.0470197,0.0602698,0.056413,0.0691818,0.0657779,0.0569656,-0.00795685,-0.181144,0.0442941,0.0622855,0.0621173,0.0801791,0.0487067,0.0483957,-0.00744995,0.0288586
0.095,0.0384747,0.0648474,0.0411542,0.0719284,0.0669986,0.0597122,-0.00368439,-0.176566,0.0586374,0.0540457,0.0572345,0.0685825,0.0776984,0.0746408,-0.0169104,0.0367932
0.096,0.0418317,0.0505042,0.0432904,0.0581955,0.06944,0.0468948,0.0326315,-0.153068,0.0699289,0.0693045,0.0666949,0.079874,0.0831915,0.0779977,0.034054,0.0428967
0.097,0.0412213,0.0721716,0.0500043,0.0551437,0.0502139,0.0362137,0.0140158,-0.140556,0.0738962,0.0473318,0.05815,0.0630893,0.0606085,0.054194,0.0160486,0.019093
0.098,0.0296246,0.0654578,0.0472577,0.05728,0.0392276,0.0508621,0.0320212,-0.129569,0.0769479,0.0278006,0.0517413,0.0286044,0.0236823,0.0252023,0.0508386,0.0145154
0.099,0.0311505,0.084989,0.0664838,0.0475143,0.0291568,0.0502518,0.0509421,-0.114921,0.0409372,0.0299368,0.045943,0.0325717,0.0377203,0.0383249,0.0743372,0.0511365
0.1,0.0381696,0.0794958,0.0701459,0.062468,0.0499088,0.0529984,0.0613181,-0.105766,0.0473459,0.0689993,0.0541827,0.0621738,0.0538947,0.0892892,0.0319177,0.0432019
0.101,0.0177228,0.0855994,0.0667889,0.0554489,0.0441104,0.0658157,0.0405661,-0.083793,0.0622995,0.0375662,0.0453326,0.0600375,0.0682379,0.105769,0.0731165,0.0453381
0.102,0.0671613,0.083158,0.063432,0.0444626,0.0453311,0.0566605,0.0555197,-0.0825723,0.0586374,0.0351248,0.0425861,0.0569858,0.0337531,0.0795236,0.0786096,0.0456433
