Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.029,-0.767845,9.51472,-1.86721,-0.022498,0.0757904,-0.086953,-1.81079,9.69585,-0.649173,-0.0505859,0.0492818,-0.0411179,0.530525,-9.89995,-0.891849,-0.0352689,-0.0388952,0.0317895,3.73661,3.08392,8.74098,-0.0203188,0.00486123,0.0158994,-0.993621,-9.7574,-0.253352,-0.0756185,0.00880899,0.0385574,4.49445,-2.77858,8.10646,0.0351123,0.00176612,-0.0216747,4.49445,-2.77858,8.10646,0.0351123,0.00176612,-0.0216747
0.03,-0.73967,9.52383,-1.87872,-0.0229822,0.0794095,-0.0874906,-1.79684,9.68502,-0.654452,-0.0515285,0.0502867,-0.0414944,0.53991,-9.90327,-0.893507,-0.036245,-0.0358361,0.0326438,3.72059,3.08135,8.74399,-0.0198983,0.00453849,0.0144977,-0.992095,-9.73995,-0.275153,-0.0754245,0.00958485,0.0391396,4.4973,-2.79203,8.10827,0.032639,0.00163557,-0.0197816,4.4973,-2.79203,8.10827,0.032639,0.00163557,-0.0197816
0.031,-0.711495,9.53294,-1.89022,-0.0234664,0.0830286,-0.0880282,-1.78289,9.6742,-0.65973,-0.0524711,0.0512917,-0.041871,0.549296,-9.90659,-0.895165,-0.0372212,-0.0327769,0.0334981,3.70456,3.07878,8.747,-0.0194778,0.00421575,0.013096,-0.990568,-9.72251,-0.296954,-0.0752304,0.0103607,0.0397217,4.50015,-2.80547,8.11007,0.0301657,0.00150501,-0.0178886,4.50015,-2.80547,8.11007,0.0301657,0.00150501,-0.0178886
0.032,-0.704851,9.51848,-1.89566,-0.0237152,0.0837397,-0.0888108,-1.78501,9.68128,-0.659481,-0.0514608,0.0526919,-0.0425715,0.527854,-9.89857,-0.905539,-0.0372826,-0.0302257,0.0333287,3.71008,3.08486,8.74243,-0.0191659,0.00385885,0.0124377,-0.980032,-9.72621,-0.307021,-0.0752726,0.0110553,0.0391773,4.48683,-2.8109,8.1204,0.0300897,0.00268341,-0.0194015,4.48683,-2.8109,8.1204,0.0300897,0.00268341,-0.0194015
0.033,-0.700899,9.50107,-1.90035,-0.0239345,0.0840873,-0.0896241,-1.78914,9.6906,-0.658541,-0.0502063,0.0541415,-0.0433126,0.502559,-9.88913,-0.917002,-0.0372296,-0.027738,0.0330314,3.71828,3.09202,8.73692,-0.0188675,0.00349768,0.0118724,-0.96837,-9.73256,-0.315622,-0.0753443,0.0117398,0.0384921,4.47149,-2.81534,8.1318,0.0303134,0.00402542,-0.0213402,4.47149,-2.81534,8.1318,0.0303134,0.00402542,-0.0213402
0.034,-0.696947,9.48366,-1.90504,-0.0241538,0.0844348,-0.0904373,-1.79326,9.69991,-0.657602,-0.0489519,0.055591,-0.0440537,0.477263,-9.8797,-0.928465,-0.0371766,-0.0252503,0.0327341,3.72649,3.09918,8.7314,-0.0185691,0.00313651,0.0113071,-0.956708,-9.73891,-0.324223,-0.0754159,0.0124243,0.0378069,4.45615,-2.81978,8.1432,0.0305371,0.00536743,-0.0232789,4.45615,-2.81978,8.1432,0.0305371,0.00536743,-0.0232789
0.035,-0.692995,9.46625,-1.90973,-0.0243731,0.0847823,-0.0912505,-1.79739,9.70923,-0.656662,-0.0476975,0.0570406,-0.0447948,0.451968,-9.87026,-0.939927,-0.0371236,-0.0227626,0.0324368,3.73469,3.10634,8.72589,-0.0182708,0.00277534,0.0107417,-0.945045,-9.74526,-0.332824,-0.0754876,0.0131088,0.0371217,4.44081,-2.82422,8.15459,0.0307607,0.00670944,-0.0252176,4.44081,-2.82422,8.15459,0.0307607,0.00670944,-0.0252176
0.036,-0.692974,9.45286,-1.9068,-0.0242551,0.0850248,-0.0915577,-1.80042,9.72331,-0.648841,-0.0462489,0.0580124,-0.0445616,0.441367,-9.87172,-0.943917,-0.0370263,-0.0203352,0.0319783,3.73609,3.11662,8.72091,-0.0184943,0.00251186,0.0102969,-0.930968,-9.75402,-0.327446,-0.0753991,0.0138288,0.0367491,4.43948,-2.83449,8.16299,0.0308944,0.0074173,-0.0258451,4.43948,-2.83449,8.16299,0.0308944,0.0074173,-0.0258451
0.037,-0.697866,9.44451,-1.89434,-0.0237154,0.0851358,-0.0912323,-1.80209,9.74335,-0.632418,-0.0445578,0.0583869,-0.0431106,0.449133,-9.88679,-0.938566,-0.0368733,-0.0179831,0.0313184,3.72897,3.13078,8.7166,-0.0193701,0.00237049,0.0100026,-0.91387,-9.7658,-0.304595,-0.0751104,0.0145934,0.0367672,4.45568,-2.85205,8.16763,0.0309156,0.00733247,-0.0248337,4.45568,-2.85205,8.16763,0.0309156,0.00733247,-0.0248337
0.038,-0.702759,9.43615,-1.88188,-0.0231757,0.0852468,-0.090907,-1.80376,9.7634,-0.615996,-0.0428666,0.0587614,-0.0416595,0.456899,-9.90187,-0.933214,-0.0367204,-0.015631,0.0306585,3.72184,3.14495,8.71229,-0.020246,0.00222912,0.00970835,-0.896772,-9.77759,-0.281744,-0.0748217,0.015358,0.0367853,4.47188,-2.86961,8.17227,0.0309368,0.00724765,-0.0238223,4.47188,-2.86961,8.17227,0.0309368,0.00724765,-0.0238223
0.039,-0.707651,9.4278,-1.86943,-0.022636,0.0853578,-0.0905816,-1.80543,9.78344,-0.599573,-0.0411754,0.059136,-0.0402085,0.464664,-9.91694,-0.927862,-0.0365675,-0.0132788,0.0299986,3.71472,3.15912,8.70798,-0.0211219,0.00208775,0.00941409,-0.879674,-9.78937,-0.258893,-0.0745329,0.0161225,0.0368035,4.48808,-2.88718,8.17692,0.030958,0.00716282,-0.0228109,4.48808,-2.88718,8.17692,0.030958,0.00716282,-0.0228109
0.04,-0.712543,9.41944,-1.85697,-0.0220962,0.0854688,-0.0902562,-1.80711,9.80348,-0.583151,-0.0394842,0.0595105,-0.0387575,0.47243,-9.93202,-0.922511,-0.0364146,-0.0109267,0.0293387,3.7076,3.17328,8.70367,-0.0219978,0.00194638,0.00911983,-0.862576,-9.80115,-0.236042,-0.0742442,0.0168871,0.0368216,4.50428,-2.90474,8.18156,0.0309792,0.007078,-0.0217995,4.50428,-2.90474,8.18156,0.0309792,0.007078,-0.0217995
0.041,-0.719722,9.43594,-1.84994,-0.0226394,0.0862998,-0.0895626,-1.80973,9.8004,-0.579205,-0.0395657,0.0595727,-0.0386595,0.472322,-9.92826,-0.918052,-0.0371199,-0.0090247,0.0303993,3.71404,3.15582,8.7149,-0.0228574,0.0023762,0.00919189,-0.878976,-9.79726,-0.231545,-0.0753194,0.0176883,0.0361472,4.46055,-2.91172,8.18833,0.0310785,0.00615666,-0.0204413,4.46055,-2.91172,8.18833,0.0310785,0.00615666,-0.0204413
0.042,-0.726901,9.45245,-1.84291,-0.0231825,0.0871308,-0.088869,-1.81235,9.79732,-0.575258,-0.0396471,0.0596349,-0.0385616,0.472213,-9.92451,-0.913593,-0.0378252,-0.00712267,0.03146,3.72047,3.13836,8.72612,-0.023717,0.00280602,0.00926395,-0.895375,-9.79337,-0.227047,-0.0763947,0.0184895,0.0354728,4.41682,-2.9187,8.19509,0.0311778,0.00523532,-0.0190831,4.41682,-2.9187,8.19509,0.0311778,0.00523532,-0.0190831
0.043,-0.73408,9.46895,-1.83588,-0.0237256,0.0879618,-0.0881754,-1.81498,9.79425,-0.571312,-0.0397285,0.0596972,-0.0384636,0.472104,-9.92075,-0.909134,-0.0385306,-0.00522063,0.0325207,3.72691,3.1209,8.73735,-0.0245767,0.00323584,0.00933601,-0.911774,-9.78948,-0.222549,-0.0774699,0.0192907,0.0347985,4.3731,-2.92568,8.20186,0.031277,0.00431399,-0.017725,4.3731,-2.92568,8.20186,0.031277,0.00431399,-0.017725
0.044,-0.741259,9.48546,-1.82885,-0.0242688,0.0887929,-0.0874818,-1.8176,9.79117,-0.567366,-0.0398099,0.0597594,-0.0383656,0.471995,-9.917,-0.904675,-0.0392359,-0.0033186,0.0335813,3.73334,3.10345,8.74858,-0.0254363,0.00366567,0.00940807,-0.928174,-9.78559,-0.218051,-0.0785451,0.0200919,0.0341241,4.32937,-2.93266,8.20863,0.0313763,0.00339265,-0.0163668,4.32937,-2.93266,8.20863,0.0313763,0.00339265,-0.0163668
0.045,-0.738373,9.49471,-1.81832,-0.0245967,0.0901098,-0.0872154,-1.81427,9.78102,-0.577263,-0.0407283,0.0593638,-0.0381858,0.458413,-9.90829,-0.908684,-0.0391169,-0.00181963,0.033908,3.74588,3.08783,8.75765,-0.0253289,0.00382279,0.0100973,-0.942372,-9.77982,-0.218083,-0.0787943,0.0206403,0.0336414,4.33217,-2.93657,8.21083,0.0308357,0.0026846,-0.0155822,4.33217,-2.93657,8.21083,0.0308357,0.0026846,-0.0155822
