Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.025,0.868394,10.3755,-2.11606,-0.172136,-0.272473,-0.141014,0.579835,9.78787,-0.889525,0.222437,-0.215993,0.121844,1.21425,-9.67222,-1.53068,0.110945,0.190588,0.118974,4.01423,-0.611017,8.78887,-0.0429231,0.00625912,0.0411319,3.85535,1.23677,9.2022,-0.0907066,0.0335115,0.038231,8.15859,-0.783774,5.47555,-0.466633,0.0488756,-0.0415505
0.026,0.942811,10.3998,-2.06799,-0.183593,-0.252352,-0.136393,0.60651,9.81576,-0.915033,0.222713,-0.217292,0.123701,1.20795,-9.68007,-1.54704,0.111862,0.195429,0.120715,4.0114,-0.606401,8.79427,-0.0408109,0.00676319,0.0396689,3.85739,1.24386,9.20547,-0.0895545,0.0342239,0.0376246,8.11163,-0.789789,5.46363,-0.468906,0.0495216,-0.0462221
0.027,1.01663,10.4205,-2.01632,-0.193815,-0.233449,-0.131497,0.638367,9.83775,-0.922701,0.22209,-0.217948,0.125324,1.2005,-9.68145,-1.5532,0.112456,0.200432,0.121951,4.00011,-0.595675,8.79571,-0.0392431,0.00677534,0.0384788,3.86197,1.25304,9.21154,-0.0887297,0.034867,0.0373055,8.08511,-0.780401,5.4623,-0.472812,0.0501178,-0.0500216
0.028,1.08927,10.4338,-1.95747,-0.201566,-0.216979,-0.126053,0.680591,9.84796,-0.894691,0.219666,-0.21732,0.126477,1.19071,-9.66992,-1.53894,0.1124,0.205762,0.122177,3.97193,-0.572729,8.7892,-0.0387644,0.00580366,0.0378348,3.87164,1.26642,9.22324,-0.0885593,0.0353716,0.037561,8.09948,-0.74021,5.48213,-0.479981,0.0506142,-0.0520765
0.029,1.1619,10.4472,-1.89863,-0.209318,-0.20051,-0.120609,0.722814,9.85817,-0.866681,0.217243,-0.216691,0.12763,1.18092,-9.65839,-1.52467,0.112345,0.211091,0.122402,3.94374,-0.549783,8.78269,-0.0382857,0.00483198,0.0371908,3.8813,1.27979,9.23494,-0.0883889,0.0358762,0.0378166,8.11385,-0.700018,5.50197,-0.48715,0.0511106,-0.0541313
0.03,1.23454,10.4605,-1.83978,-0.217069,-0.184041,-0.115164,0.765038,9.86838,-0.838671,0.214819,-0.216063,0.128784,1.17112,-9.64686,-1.51041,0.11229,0.216421,0.122628,3.91556,-0.526837,8.77618,-0.0378069,0.0038603,0.0365468,3.89096,1.29317,9.24664,-0.0882186,0.0363808,0.0380721,8.12822,-0.659827,5.5218,-0.494319,0.0516071,-0.0561862
0.031,1.30717,10.4739,-1.78093,-0.224821,-0.167572,-0.10972,0.807262,9.87859,-0.810661,0.212396,-0.215434,0.129937,1.16133,-9.63533,-1.49615,0.112235,0.22175,0.122853,3.88737,-0.503891,8.76967,-0.0373282,0.00288861,0.0359028,3.90063,1.30654,9.25833,-0.0880482,0.0368854,0.0383277,8.14259,-0.619636,5.54164,-0.501488,0.0521035,-0.0582411
0.032,1.35753,10.447,-1.72731,-0.229198,-0.156052,-0.10352,0.808125,9.87935,-0.822896,0.207839,-0.213492,0.132715,1.1388,-9.6525,-1.49144,0.111204,0.22533,0.124416,3.88847,-0.483778,8.76772,-0.0361016,0.00243752,0.0346673,3.88241,1.2793,9.24448,-0.0876629,0.0356441,0.0378544,8.14055,-0.595622,5.5441,-0.506442,0.0536611,-0.0623418
0.033,1.40511,10.4151,-1.67433,-0.233154,-0.145151,-0.0972254,0.803818,9.87893,-0.840162,0.203016,-0.211386,0.135697,1.11467,-9.67325,-1.48793,0.110051,0.228691,0.126145,3.89323,-0.464019,8.76633,-0.0347816,0.0020515,0.0333579,3.86071,1.24699,9.22743,-0.0872507,0.0341846,0.0372899,8.13647,-0.57363,5.5444,-0.511119,0.0553515,-0.0666981
0.034,1.45268,10.3833,-1.62136,-0.237109,-0.13425,-0.0909308,0.799511,9.87851,-0.857427,0.198193,-0.20928,0.138678,1.09055,-9.69401,-1.48442,0.108899,0.232052,0.127874,3.89798,-0.444261,8.76494,-0.0334615,0.00166548,0.0320484,3.83901,1.21467,9.21038,-0.0868385,0.0327251,0.0367255,8.13238,-0.551638,5.54469,-0.515796,0.0570418,-0.0710545
