Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.02,4.74855,-1.78493,8.30207,-0.019634,0.00355154,0.00583998,0.402584,9.63908,-0.967474,-0.0166687,0.0125593,-0.00350066,-0.705731,9.66667,-0.120324,0.0171809,0.0194372,-0.000295722,4.78846,0.982351,8.78427,0.00196806,-0.0190061,0.0182262,-1.9959,-9.39173,-2.12957,-0.00825613,0.01824,-0.0183351,8.97651,-1.9288,3.66294,-0.0366188,0.00781281,0.0115508,0.858039,-9.92558,-0.690856,-0.0495911,0.0324181,0.0252782
0.021,4.73734,-1.80335,8.30162,-0.0228787,0.00387034,0.00543203,0.420083,9.63235,-0.965318,-0.0163565,0.0132955,-0.00374225,-0.699641,9.6881,-0.110828,0.0184034,0.0199437,-0.000328492,4.75068,0.982678,8.8058,0.00189518,-0.0178299,0.0182136,-1.99295,-9.39871,-2.13115,-0.00858072,0.0165067,-0.0182798,8.9657,-1.93433,3.67063,-0.0369908,0.00719646,0.0110687,0.866886,-9.92451,-0.702031,-0.0494951,0.0331541,0.0262687
0.022,4.72613,-1.82177,8.30117,-0.0261234,0.00418915,0.00502408,0.437581,9.62561,-0.963161,-0.0160444,0.0140317,-0.00398385,-0.693552,9.70953,-0.101332,0.019626,0.0204503,-0.000361263,4.7129,0.983006,8.82733,0.00182231,-0.0166536,0.0182011,-1.99,-9.4057,-2.13274,-0.00890531,0.0147734,-0.0182245,8.95489,-1.93985,3.67832,-0.0373628,0.00658011,0.0105866,0.875732,-9.92344,-0.713205,-0.049399,0.0338901,0.0272592
0.023,4.74588,-1.82527,8.28936,-0.0256127,0.00366344,0.00541213,0.452194,9.62656,-0.959127,-0.015677,0.0149537,-0.00318261,-0.68051,9.71947,-0.0954762,0.0214822,0.0208844,0.0004637,4.6985,0.985876,8.82569,0.00173488,-0.0156683,0.0172501,-1.99482,-9.40717,-2.13228,-0.00834193,0.0139215,-0.0170757,8.96016,-1.90971,3.67109,-0.0388093,0.0088129,0.0113793,0.868231,-9.92376,-0.707771,-0.0505212,0.0343377,0.0289142
0.024,4.77446,-1.8245,8.27429,-0.0240291,0.00289644,0.00602761,0.465982,9.6297,-0.954557,-0.015294,0.0159287,-0.00208342,-0.665482,9.72613,-0.0906597,0.0235194,0.0212977,0.00153373,4.69078,0.989472,8.81744,0.0016433,-0.0147375,0.016031,-2.00187,-9.40705,-2.13125,-0.00752483,0.0133213,-0.0156145,8.97001,-1.86939,3.65958,-0.0405627,0.0118597,0.0125362,0.856059,-9.92448,-0.697591,-0.0519913,0.0347029,0.0307589
0.025,4.80305,-1.82373,8.25923,-0.0224455,0.00212944,0.00664309,0.47977,9.63284,-0.949987,-0.0149109,0.0169038,-0.000984222,-0.650455,9.73279,-0.0858432,0.0255567,0.0217111,0.00260376,4.68306,0.993069,8.80919,0.00155172,-0.0138067,0.0148119,-2.00891,-9.40694,-2.13021,-0.00670773,0.0127212,-0.0141533,8.97986,-1.82907,3.64808,-0.0423162,0.0149066,0.0136931,0.843886,-9.9252,-0.687412,-0.0534615,0.0350681,0.0326036
0.026,4.83163,-1.82297,8.24416,-0.0208619,0.00136244,0.00725857,0.493559,9.63599,-0.945417,-0.0145278,0.0178788,0.000114971,-0.635427,9.73945,-0.0810267,0.027594,0.0221244,0.00367379,4.67534,0.996665,8.80094,0.00146013,-0.0128759,0.0135927,-2.01596,-9.40683,-2.12917,-0.00589063,0.0121211,-0.0126921,8.98972,-1.78875,3.63658,-0.0440697,0.0179534,0.01485,0.831714,-9.92592,-0.677232,-0.0549317,0.0354333,0.0344484
0.027,4.84941,-1.82363,8.22176,-0.0195986,0.000916865,0.0068904,0.502601,9.6417,-0.947593,-0.0148209,0.0183835,0.00107294,-0.624221,9.73524,-0.0711854,0.0282952,0.022286,0.00437442,4.67304,1.00181,8.79669,0.00193315,-0.0120973,0.0126955,-2.01845,-9.40601,-2.12922,-0.00543349,0.0111961,-0.011881,8.99596,-1.77474,3.62878,-0.0456915,0.0198455,0.015794,0.82194,-9.92442,-0.668509,-0.0558293,0.0355535,0.0356382
0.028,4.84558,-1.82715,8.18467,-0.0189763,0.00111413,0.00455494,0.502153,9.65257,-0.963259,-0.0164663,0.0179472,0.00174847,-0.620659,9.70932,-0.0512946,0.0263243,0.021944,0.00433626,4.68157,1.01006,8.80043,0.00353535,-0.0116233,0.0124419,-2.01184,-9.40377,-2.13144,-0.00569626,0.00962154,-0.01237,8.99497,-1.81335,3.62839,-0.04705,0.0194283,0.0163119,0.816962,-9.9185,-0.662698,-0.0555819,0.0351836,0.0355182
0.029,4.84176,-1.83068,8.14759,-0.0183539,0.00131139,0.00221947,0.501705,9.66344,-0.978925,-0.0181118,0.0175109,0.00242399,-0.617097,9.68339,-0.0314037,0.0243534,0.021602,0.00429811,4.69011,1.0183,8.80417,0.00513756,-0.0111492,0.0121883,-2.00523,-9.40152,-2.13365,-0.00595904,0.00804697,-0.012859,8.99399,-1.85197,3.62799,-0.0484085,0.0190111,0.0168299,0.811984,-9.91258,-0.656888,-0.0553345,0.0348138,0.0353983
