Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.02,8.35367,-2.40996,3.7378,0.439787,-0.449304,-0.0835512,4.24544,3.00624,8.25485,0.0265268,-0.0128834,-0.00362975,13.0414,-7.25233,17.1195,0.274363,1.44829,0.763888,0.489621,-9.56987,-2.26627,0.037549,-0.215977,0.0676934,-0.840363,-9.50333,-0.729744,0.0958737,-0.507158,0.433516,-0.770317,6.6597,1.178,-0.28635,0.664563,0.324425,-0.990184,8.32602,-2.29761,-0.187147,-0.520465,-0.628131
0.021,8.37577,-2.45002,3.74258,0.443258,-0.454184,-0.0807271,4.2662,3.03428,8.23751,0.0295751,-0.014672,-0.00508227,11.1885,-8.30134,15.9755,0.729705,1.27598,0.470329,0.488972,-9.57019,-2.30779,0.0361557,-0.213439,0.070731,-0.854352,-9.46792,-0.778319,0.0916553,-0.519094,0.442188,-0.936928,6.67348,1.23407,-0.260394,0.585531,0.304419,-0.466727,8.33199,-2.37995,-0.208078,-0.559569,-0.594996
0.022,8.39787,-2.49008,3.74735,0.44673,-0.459065,-0.0779031,4.28696,3.06232,8.22017,0.0326233,-0.0164607,-0.00653478,9.33573,-9.35035,14.8316,1.18505,1.10366,0.17677,0.488322,-9.57051,-2.3493,0.0347624,-0.210901,0.0737685,-0.86834,-9.4325,-0.826894,0.087437,-0.53103,0.450861,-1.10354,6.68725,1.29014,-0.234438,0.506498,0.284413,0.0567297,8.33796,-2.46229,-0.229008,-0.598672,-0.561862
0.023,8.41773,-2.50464,3.75258,0.451716,-0.462969,-0.0773713,4.3008,3.07981,8.1951,0.0353169,-0.0180038,-0.00668477,7.50102,-9.29307,13.3317,1.31715,1.05904,0.0120343,0.476953,-9.57869,-2.39709,0.034306,-0.207716,0.0764776,-0.860659,-9.41995,-0.856359,0.0817379,-0.544029,0.456231,-1.29132,6.71683,1.34563,-0.202085,0.423023,0.266513,0.46792,8.28695,-2.56498,-0.242576,-0.622467,-0.519124
0.024,8.43695,-2.51191,3.75793,0.457135,-0.466595,-0.0774944,4.31265,3.09429,8.16782,0.0379092,-0.0194768,-0.00646261,5.67147,-8.91971,11.73,1.35691,1.05089,-0.115894,0.462522,-9.58912,-2.44667,0.0341174,-0.204345,0.0790928,-0.846786,-9.41392,-0.880364,0.0756157,-0.557331,0.460659,-1.48514,6.75093,1.40095,-0.167904,0.338278,0.249213,0.847034,8.21967,-2.67348,-0.25404,-0.641888,-0.473642
0.025,8.45617,-2.51919,3.76329,0.462555,-0.47022,-0.0776175,4.3245,3.10877,8.14054,0.0405015,-0.0209497,-0.00624045,3.84193,-8.54635,10.1284,1.39666,1.04275,-0.243823,0.44809,-9.59954,-2.49624,0.0339287,-0.200974,0.081708,-0.832913,-9.4079,-0.904369,0.0694936,-0.570634,0.465086,-1.67896,6.78504,1.45627,-0.133723,0.253534,0.231914,1.22615,8.15239,-2.78199,-0.265504,-0.661308,-0.42816
0.026,8.47539,-2.52646,3.76864,0.467974,-0.473846,-0.0777406,4.33635,3.12325,8.11327,0.0430938,-0.0224227,-0.00601828,2.01238,-8.17299,8.52681,1.43641,1.0346,-0.371752,0.433659,-9.60997,-2.54582,0.0337401,-0.197604,0.0843231,-0.81904,-9.40188,-0.928375,0.0633714,-0.583936,0.469513,-1.87279,6.81914,1.51159,-0.0995422,0.168789,0.214615,1.60526,8.08511,-2.89049,-0.276968,-0.680729,-0.382678
0.027,8.49897,-2.53089,3.76501,0.472938,-0.476624,-0.07765,4.34179,3.13573,8.09442,0.0451637,-0.0230382,-0.00580007,0.559158,-7.65334,7.28923,1.41769,1.03125,-0.442878,0.423923,-9.61621,-2.57596,0.0341549,-0.194533,0.0869307,-0.797753,-9.39752,-0.953987,0.0564613,-0.597346,0.473719,-2.06212,6.86492,1.55631,-0.0638143,0.085806,0.199425,1.8749,7.99653,-3.03782,-0.280118,-0.696772,-0.337388
0.028,8.53125,-2.52962,3.74342,0.476992,-0.47771,-0.0771321,4.3344,3.14422,8.09242,0.0461892,-0.0219389,-0.00558978,-0.141435,-6.84113,6.77974,1.28203,1.03746,-0.400398,0.423579,-9.61407,-2.56723,0.0357765,-0.192062,0.0895231,-0.761636,-9.39648,-0.982813,0.0479754,-0.61097,0.477479,-2.24246,6.93407,1.57982,-0.0249924,0.00634544,0.188453,1.92559,7.86535,-3.26279,-0.266641,-0.706061,-0.292479
0.029,8.56353,-2.52835,3.72182,0.481046,-0.478796,-0.0766141,4.32702,3.15271,8.09043,0.0472146,-0.0208395,-0.00537948,-0.842028,-6.02892,6.27025,1.14636,1.04368,-0.357918,0.423235,-9.61194,-2.5585,0.0373982,-0.189592,0.0921154,-0.725519,-9.39545,-1.01164,0.0394894,-0.624594,0.481239,-2.4228,7.00321,1.60334,0.0138295,-0.0731151,0.177481,1.97628,7.73417,-3.48776,-0.253165,-0.715349,-0.247571
