Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.068,0.0332867,0.0590491,0.0139935,0.0389694,0.0944644,0.0597122,0.0503317,0.00501312,0.0342233,0.0287161,0.0651691,0.0511874,0.0557257,0.0883737,0.046261,0.0477795
0.069,0.063194,0.0376868,0.0463422,0.0392746,0.106366,0.0395706,0.0442282,0.0166098,0.0604684,0.0464163,0.0544879,0.0402011,0.0639655,0.0886789,0.0648767,0.0456433
0.07,0.0662457,0.0590491,0.0597699,0.0600265,0.107587,0.0630691,0.0637595,0.00928558,0.0543649,0.0628958,0.078902,0.0624789,0.0792242,0.0770822,0.0609094,0.0428967
0.071,0.0137555,0.0382971,0.0579388,0.0578903,0.0953799,0.0517776,0.0546042,-0.00658356,0.0598581,0.0390921,0.0618121,0.0304355,0.0758673,0.0508371,0.0377161,0.0313
0.072,0.0421368,0.0291418,0.0243695,0.0319504,0.119489,0.0682571,0.0518576,-0.0245889,0.0421579,0.042449,0.0596759,0.0353183,0.0575568,0.0825754,0.0300867,0.0361829
0.073,0.0494611,0.0566077,0.0524457,0.029509,0.12132,0.0877884,0.0732199,-0.00933014,0.0699289,0.0427542,0.0596759,0.0676669,0.0578619,0.0859323,0.0441248,0.0407605
0.074,0.0534283,0.0593542,0.040849,0.0594162,0.107587,0.0703934,0.059487,-0.00902496,0.0601633,0.0384817,0.0502155,0.0334872,0.0175787,0.0813547,0.0368005,0.0413709
0.075,0.0451886,0.0666785,0.0554974,0.0450729,0.108502,0.059407,0.0536887,-0.0151285,0.0546701,0.0366507,0.0447223,0.0426425,0.0514532,0.0746408,0.0377161,0.0218396
0.076,0.0299298,0.0776648,0.0435956,0.0707077,0.122846,0.0664261,0.0506369,-0.0279459,0.0680978,0.0479422,0.0465533,0.0511874,0.0603033,0.076777,0.051449,0.0471692
0.077,0.0522076,0.0709509,0.0515302,0.0508713,0.112165,0.067952,0.0658957,-0.0172647,0.0339182,0.0482474,0.0508258,0.0530185,0.0563361,0.0487009,0.0352747,0.0352673
0.078,0.0433575,0.0611853,0.0341351,0.0600265,0.0865298,0.0529984,0.0356833,-0.0477823,0.0311716,0.0540457,0.000166626,0.0371494,0.0300909,0.0242868,0.0505334,0.00505493
0.079,0.0235211,0.0761389,0.0399335,0.0527023,0.085004,0.0661209,0.0311057,-0.0114664,0.043989,0.03543,0.0291583,0.0502719,0.0657965,0.0377145,0.0465662,0.0554089
0.08,0.00154846,0.0770544,0.0591595,0.0615524,0.103315,0.0746658,0.0301901,-0.00902496,0.0485666,0.0558768,0.0547931,0.0499667,0.0697638,0.049006,0.0569421,0.0505261
0.081,-0.00791199,0.0566077,0.0393231,0.0530075,0.0911075,0.0597122,0.0137106,-0.0395425,0.0464304,0.0378714,0.068526,0.0267734,0.0505377,0.00628143,0.0371057,0.041676
0.082,0.0268781,0.0663733,0.046037,0.0551437,0.0944644,0.0655106,0.036904,-0.00505768,0.0589426,0.0265799,0.040755,0.0392856,0.0966193,0.0493112,0.058468,0.0404553
0.083,0.0396954,0.0621008,0.0545819,0.0563644,0.0950748,0.0569656,0.036904,-0.0129922,0.0793893,0.0281058,0.0605914,0.0505771,0.0767828,0.0447336,0.0676233,0.0428967
