Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.036,8.82036,-1.85582,4.63413,0.116468,-0.14234,-0.183078,3.4558,0.544064,8.97873,0.214108,-0.0838589,-0.0236866,4.53402,-3.09289,8.29984,0.0329655,-0.0506111,-0.00326249,-2.01778,-10.806,0.566069,-0.191351,-1.82044,-0.890906,-14.3091,-11.5785,-1.77232,-0.843657,-1.37234,1.02676,-0.329337,9.97504,-2.60387,-0.048436,-0.2833,-0.526698,0.195986,9.75286,-3.17722,-0.0741569,0.10025,0.0609018
0.037,8.76444,-1.7887,4.5925,0.118249,-0.133151,-0.178011,3.52426,0.836516,8.89078,0.226706,-0.0915732,-0.0287438,4.50844,-3.07336,8.27906,0.0330332,-0.0507234,-0.00233617,-1.8023,-10.8822,0.226109,-0.194801,-1.8313,-0.887325,-13.4076,-11.6654,-1.663,-0.694986,-1.40905,1.06162,-0.337072,9.96578,-2.55549,-0.0610479,-0.296836,-0.528629,0.184574,9.7343,-3.1347,-0.0780429,0.104109,0.0589537
0.038,8.70851,-1.72158,4.55088,0.12003,-0.123961,-0.172943,3.59272,1.12897,8.80283,0.239304,-0.0992875,-0.033801,4.48286,-3.05384,8.25828,0.0331009,-0.0508356,-0.00140984,-1.58683,-10.9585,-0.113851,-0.198251,-1.84216,-0.883744,-12.5062,-11.7523,-1.55367,-0.546314,-1.44576,1.09647,-0.344807,9.95653,-2.50712,-0.0736598,-0.310372,-0.530559,0.173162,9.71575,-3.09217,-0.0819289,0.107967,0.0570056
0.039,8.65258,-1.65446,4.50926,0.121812,-0.114772,-0.167876,3.66118,1.42142,8.71489,0.251903,-0.107002,-0.0388582,4.45727,-3.03431,8.23749,0.0331687,-0.0509479,-0.000483525,-1.37135,-11.0347,-0.453811,-0.201701,-1.85302,-0.880163,-11.6047,-11.8391,-1.44435,-0.397643,-1.48248,1.13133,-0.352542,9.94728,-2.45874,-0.0862717,-0.323908,-0.532489,0.16175,9.69719,-3.04965,-0.0858149,0.111825,0.0550576
0.04,8.59666,-1.58734,4.46763,0.123593,-0.105583,-0.162809,3.72963,1.71387,8.62694,0.264501,-0.114716,-0.0439154,4.43169,-3.01478,8.21671,0.0332364,-0.0510602,0.000442796,-1.15588,-11.1109,-0.793771,-0.205151,-1.86388,-0.876581,-10.7033,-11.926,-1.33503,-0.248971,-1.51919,1.16618,-0.360277,9.93803,-2.41036,-0.0988836,-0.337444,-0.53442,0.150338,9.67863,-3.00712,-0.0897008,0.115683,0.0531095
0.041,8.56264,-1.52146,4.44564,0.125841,-0.102649,-0.158999,3.85972,1.96705,8.52915,0.276822,-0.119263,-0.0503531,4.45606,-2.98836,8.23498,0.036111,-0.0491654,0.00028545,-1.02432,-11.1344,-1.01803,-0.21926,-1.84743,-0.874449,-9.58764,-11.8428,-1.14925,-0.139594,-1.59773,1.1942,-0.370796,9.94618,-2.30302,-0.113298,-0.352997,-0.533928,0.149544,9.6498,-2.98134,-0.0915297,0.119568,0.0534486
0.042,8.52861,-1.45558,4.42364,0.12809,-0.0997137,-0.155189,3.98981,2.22022,8.43137,0.289144,-0.123809,-0.0567908,4.48042,-2.96193,8.25324,0.0389857,-0.0472706,0.000128103,-0.892758,-11.1578,-1.2423,-0.233368,-1.83098,-0.872317,-8.47202,-11.7596,-0.963469,-0.0302165,-1.67628,1.22222,-0.381314,9.95433,-2.19568,-0.127713,-0.36855,-0.533436,0.14875,9.62097,-2.95556,-0.0933586,0.123453,0.0537877
0.043,8.49459,-1.3897,4.40164,0.130338,-0.0967789,-0.151379,4.11989,2.47339,8.33359,0.301465,-0.128356,-0.0632286,4.50478,-2.93551,8.27151,0.0418603,-0.0453758,-2.92e-05,-0.761198,-11.1812,-1.46656,-0.247476,-1.81453,-0.870185,-7.35641,-11.6764,-0.777688,0.079161,-1.75482,1.25024,-0.391833,9.96248,-2.08834,-0.142128,-0.384103,-0.532945,0.147956,9.59214,-2.92977,-0.0951875,0.127339,0.0541268
0.044,8.46056,-1.32382,4.37965,0.132587,-0.093844,-0.147569,4.24998,2.72657,8.2358,0.313786,-0.132902,-0.0696663,4.52915,-2.90908,8.28978,0.044735,-0.043481,-0.000186589,-0.629638,-11.2046,-1.69082,-0.261585,-1.79807,-0.868053,-6.24079,-11.5932,-0.591908,0.188538,-1.83337,1.27827,-0.402352,9.97063,-1.981,-0.156542,-0.399657,-0.532453,0.147162,9.56331,-2.90399,-0.0970164,0.131224,0.0544659
0.045,8.41098,-1.25405,4.35136,0.13435,-0.0950175,-0.144326,4.37547,2.92372,8.15916,0.323518,-0.135401,-0.0753656,4.54014,-2.89325,8.30032,0.0457107,-0.042941,4.6e-05,-0.532602,-11.2668,-1.8572,-0.278887,-1.78242,-0.864782,-5.23191,-11.438,-0.478804,0.262138,-1.92764,1.30267,-0.421314,9.97558,-1.89538,-0.169875,-0.415705,-0.532725,0.134925,9.53139,-2.88047,-0.0977357,0.135431,0.0553638
0.046,8.34896,-1.18118,4.31803,0.135724,-0.0994775,-0.141536,4.4973,3.07606,8.09944,0.331179,-0.136261,-0.0804741,4.54043,-2.88589,8.30469,0.0451672,-0.0434847,0.000590612,-0.463185,-11.3599,-1.97728,-0.298743,-1.76741,-0.860602,-4.30842,-11.2253,-0.423841,0.307116,-2.03451,1.32418,-0.447031,9.97797,-1.82713,-0.182343,-0.432149,-0.533608,0.113535,9.49701,-2.85874,-0.0975673,0.139895,0.0567088
0.047,8.28693,-1.10831,4.2847,0.137098,-0.103937,-0.138747,4.61912,3.22841,8.03972,0.338839,-0.137122,-0.0855826,4.54072,-2.87853,8.30905,0.0446238,-0.0440284,0.0011352,-0.393767,-11.4531,-2.09735,-0.3186,-1.7524,-0.856421,-3.38493,-11.0127,-0.368877,0.352093,-2.14137,1.34569,-0.472748,9.98037,-1.75888,-0.19481,-0.448592,-0.534491,0.0921437,9.46262,-2.83702,-0.097399,0.14436,0.0580538
0.048,8.2249,-1.03544,4.25137,0.138472,-0.108397,-0.135958,4.74095,3.38075,7.98,0.3465,-0.137982,-0.0906911,4.54101,-2.87117,8.31342,0.0440803,-0.0445722,0.00167978,-0.32435,-11.5462,-2.21743,-0.338456,-1.73739,-0.85224,-2.46144,-10.8,-0.313914,0.397071,-2.24823,1.3672,-0.498464,9.98276,-1.69063,-0.207278,-0.465036,-0.535374,0.0707529,9.42824,-2.8153,-0.0972306,0.148825,0.0593988
0.049,8.16472,-0.963863,4.22124,0.139656,-0.11353,-0.132895,4.85484,3.5194,7.92467,0.353502,-0.138662,-0.0956331,4.54215,-2.86248,8.31682,0.0433205,-0.0450801,0.00223058,-0.258569,-11.6527,-2.3334,-0.357462,-1.72318,-0.8475,-1.58413,-10.5944,-0.258987,0.435517,-2.35415,1.38613,-0.51958,9.9823,-1.62539,-0.219597,-0.481132,-0.536099,0.0479134,9.39416,-2.79412,-0.0970145,0.153191,0.0607857
0.05,8.1193,-0.902655,4.21667,0.139322,-0.124038,-0.127652,4.90526,3.54854,7.90449,0.355241,-0.137896,-0.0992425,4.5501,-2.84316,8.31246,0.0408297,-0.0453019,0.0028311,-0.221884,-11.866,-2.41661,-0.369659,-1.71542,-0.838284,-1.07624,-10.4462,-0.204354,0.421717,-2.45249,1.38452,-0.503884,9.95895,-1.5842,-0.23073,-0.494445,-0.535556,0.0134845,9.36247,-2.77728,-0.0964158,0.156772,0.0625077
0.051,8.07388,-0.841448,4.2121,0.138988,-0.134546,-0.122409,4.95569,3.57768,7.8843,0.356979,-0.13713,-0.102852,4.55805,-2.82385,8.30811,0.0383388,-0.0455236,0.00343163,-0.185198,-12.0794,-2.49981,-0.381857,-1.70767,-0.829067,-0.568348,-10.2979,-0.14972,0.407917,-2.55083,1.3829,-0.488189,9.93561,-1.54301,-0.241863,-0.507757,-0.535013,-0.0209445,9.33078,-2.76043,-0.0958171,0.160352,0.0642297
