Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.02,-1.16836,-9.98875,-1.49465,-0.0267088,-0.0933011,0.0644437,0.609676,9.31464,-2.08848,-0.00569836,-0.0274672,-0.0781001,5.14603,-2.77596,7.96657,-0.0802534,-0.0482267,0.0874165,-0.646177,9.74755,-1.29966,0.0347928,0.0214355,-0.0141743,8.48984,1.28808,5.17148,0.0186375,-0.146437,0.024495,0.0,0.0,0.0,0.0,0.0,0.0,5.14053,2.46274,8.0148,0.107325,0.000101414,-0.0591895
0.021,-1.13767,-9.98478,-1.52354,-0.0281088,-0.090842,0.0623927,0.608277,9.3076,-2.08602,-0.00441563,-0.029323,-0.0788946,5.14316,-2.7924,7.95602,-0.0811827,-0.0485702,0.0887017,-0.653899,9.74947,-1.30455,0.0343387,0.0224039,-0.0127217,8.49223,1.29909,5.17291,0.0182648,-0.146171,0.0237495,0.0,0.0,0.0,0.0,0.0,0.0,5.12736,2.46035,8.02221,0.107125,-0.000239573,-0.0592808
0.022,-1.10698,-9.98082,-1.55242,-0.0295089,-0.088383,0.0603417,0.606877,9.30057,-2.08356,-0.00313289,-0.0311787,-0.079689,5.14029,-2.80884,7.94547,-0.0821119,-0.0489137,0.089987,-0.661621,9.75138,-1.30944,0.0338847,0.0233723,-0.0112691,8.49463,1.31011,5.17435,0.017892,-0.145905,0.023004,0.0,0.0,0.0,0.0,0.0,0.0,5.11419,2.45796,8.02962,0.106924,-0.00058056,-0.059372
0.023,-1.09457,-10.0062,-1.54793,-0.0297467,-0.0852119,0.0558883,0.602116,9.31218,-2.0769,-0.00166751,-0.0331025,-0.0818665,5.14592,-2.81441,7.95235,-0.0825637,-0.0492176,0.089224,-0.647108,9.74469,-1.2919,0.0340824,0.0241191,-0.00998268,8.49702,1.32112,5.17579,0.0175193,-0.145639,0.0222585,0.0,0.0,0.0,0.0,0.0,0.0,5.09434,2.45063,8.03453,0.105573,-0.00114115,-0.0589093
0.024,-1.08739,-10.0399,-1.53389,-0.0296525,-0.0818374,0.0507485,0.596395,9.32911,-2.06906,-0.000149929,-0.0350458,-0.0844391,5.15398,-2.81687,7.96421,-0.0828791,-0.0495102,0.0878759,-0.626241,9.73554,-1.26795,0.0344664,0.0248025,-0.0087438,8.49942,1.33213,5.17722,0.0171465,-0.145372,0.021513,0.0,0.0,0.0,0.0,0.0,0.0,5.07257,2.44187,8.03873,0.103894,-0.00176449,-0.0582883
0.025,-1.08021,-10.0737,-1.51986,-0.0295583,-0.0784629,0.0456087,0.590674,9.34605,-2.06121,0.00136765,-0.036989,-0.0870118,5.16203,-2.81934,7.97606,-0.0831945,-0.0498028,0.0865277,-0.605375,9.72639,-1.244,0.0348503,0.0254859,-0.00750491,8.50181,1.34315,5.17866,0.0167737,-0.145106,0.0207675,0.0,0.0,0.0,0.0,0.0,0.0,5.0508,2.43312,8.04293,0.102214,-0.00238783,-0.0576672
0.026,-1.07302,-10.1074,-1.50583,-0.0294641,-0.0750884,0.0404689,0.584952,9.36299,-2.05336,0.00288522,-0.0389323,-0.0895844,5.17009,-2.8218,7.98792,-0.0835099,-0.0500953,0.0851795,-0.584508,9.71724,-1.22005,0.0352343,0.0261694,-0.00626603,8.5042,1.35416,5.1801,0.016401,-0.14484,0.020022,0.0,0.0,0.0,0.0,0.0,0.0,5.02903,2.42436,8.04713,0.100535,-0.00301116,-0.0570462
0.027,-1.06892,-10.1177,-1.49262,-0.0286677,-0.0736183,0.0366269,0.583339,9.37772,-2.04977,0.00362115,-0.040658,-0.0916091,5.17741,-2.81888,7.99812,-0.0839828,-0.0506892,0.0846186,-0.573799,9.7151,-1.19887,0.0348623,0.0263793,-0.00502599,8.5066,1.36517,5.18153,0.0160282,-0.144574,0.0192765,0.0,0.0,0.0,0.0,0.0,0.0,5.02291,2.40667,8.05029,0.0991906,-0.00352591,-0.0571104
0.028,-1.07098,-10.081,-1.48106,-0.0264672,-0.075957,0.0353807,0.589942,9.38804,-2.0547,0.00279379,-0.0419487,-0.0925379,5.18326,-2.8052,8.005,-0.0847704,-0.0518856,0.0856324,-0.583403,9.72698,-1.18321,0.0329783,0.0256421,-0.00378365,8.50899,1.37619,5.18297,0.0156555,-0.144307,0.018531,0.0,0.0,0.0,0.0,0.0,0.0,5.0481,2.37112,8.05137,0.0985181,-0.0038235,-0.0585448
0.029,-1.07304,-10.0444,-1.4695,-0.0242666,-0.0782958,0.0341344,0.596544,9.39837,-2.05963,0.00196643,-0.0432394,-0.0934666,5.18912,-2.79151,8.01187,-0.085558,-0.053082,0.0866462,-0.593008,9.73885,-1.16755,0.0310942,0.0249049,-0.00254131,8.51139,1.3872,5.1844,0.0152827,-0.144041,0.0177855,0.0,0.0,0.0,0.0,0.0,0.0,5.07328,2.33557,8.05245,0.0978455,-0.00412109,-0.0599793
0.03,-1.0751,-10.0077,-1.45794,-0.022066,-0.0806345,0.0328882,0.603147,9.40869,-2.06456,0.00113906,-0.04453,-0.0943954,5.19497,-2.77783,8.01875,-0.0863457,-0.0542783,0.08766,-0.602613,9.75073,-1.15188,0.0292102,0.0241677,-0.00129897,8.51378,1.39821,5.18584,0.01491,-0.143775,0.01704,0.0,0.0,0.0,0.0,0.0,0.0,5.09846,2.30002,8.05354,0.097173,-0.00441867,-0.0614138
0.031,-1.07716,-9.97104,-1.44638,-0.0198655,-0.0829732,0.0316419,0.60975,9.41901,-2.06949,0.0003117,-0.0458207,-0.0953242,5.20082,-2.76414,8.02562,-0.0871333,-0.0554747,0.0886737,-0.612217,9.7626,-1.13622,0.0273261,0.0234305,-5.66e-05,8.51833,1.3939,5.18249,0.0153892,-0.143402,0.016827,0.0,0.0,0.0,0.0,0.0,0.0,5.12364,2.26446,8.05462,0.0965004,-0.00471626,-0.0628483
0.032,-1.0764,-9.93924,-1.43842,-0.0172705,-0.08796,0.0299929,0.621509,9.43412,-2.06605,-0.000660735,-0.0448961,-0.0935022,5.19595,-2.74901,8.01593,-0.0883735,-0.0557907,0.0891224,-0.608859,9.75706,-1.14287,0.0274631,0.0205193,-1.66e-06,8.52288,1.38959,5.17914,0.0158685,-0.143029,0.016614,0.0,0.0,0.0,0.0,0.0,0.0,5.14536,2.26197,8.06663,0.095943,-0.00466529,-0.0615406
0.033,-1.07528,-9.90806,-1.43091,-0.0146263,-0.0932777,0.0282936,0.633913,9.44982,-2.06156,-0.0016513,-0.0436947,-0.0913364,5.18973,-2.7337,8.00416,-0.0896702,-0.0559966,0.0895005,-0.603881,9.74934,-1.1523,0.0278527,0.0173363,-9.51e-05,8.52743,1.38529,5.17579,0.0163477,-0.142657,0.016401,0.0,0.0,0.0,0.0,0.0,0.0,5.16665,2.2636,8.08,0.0953999,-0.00457076,-0.0598901
0.034,-1.07416,-9.87687,-1.4234,-0.0119821,-0.0985955,0.0265943,0.646317,9.46552,-2.05708,-0.00264187,-0.0424933,-0.0891706,5.18351,-2.71839,7.99239,-0.0909669,-0.0562025,0.0898785,-0.598902,9.74162,-1.16173,0.0282423,0.0141533,-0.000188566,8.53198,1.38098,5.17243,0.016827,-0.142284,0.016188,0.0,0.0,0.0,0.0,0.0,0.0,5.18794,2.26523,8.09338,0.0948569,-0.00447623,-0.0582396
0.035,-1.07304,-9.84568,-1.41589,-0.00933785,-0.103913,0.024895,0.658722,9.48122,-2.0526,-0.00363244,-0.0412919,-0.0870048,5.17729,-2.70307,7.98063,-0.0922637,-0.0564084,0.0902566,-0.593924,9.7339,-1.17116,0.0286319,0.0109703,-0.000282018,8.53653,1.37667,5.16908,0.0173062,-0.141911,0.015975,0.0,0.0,0.0,0.0,0.0,0.0,5.20923,2.26686,8.10675,0.0943139,-0.0043817,-0.0565891
0.036,-1.06521,-9.81663,-1.38921,-0.00684663,-0.109238,0.0247806,0.668518,9.49311,-2.05237,-0.00397748,-0.0408402,-0.0851932,5.16594,-2.69475,7.96316,-0.0931266,-0.0558431,0.0908593,-0.590903,9.72565,-1.17839,0.0303602,0.0066304,-0.00228427,8.54108,1.37236,5.16573,0.0177855,-0.141539,0.015762,0.0,0.0,0.0,0.0,0.0,0.0,5.22503,2.27892,8.1114,0.0940135,-0.00400791,-0.0552676
0.037,-1.04899,-9.79024,-1.33857,-0.00454666,-0.114573,0.0266474,0.675056,9.50022,-2.05748,-0.00351561,-0.0413257,-0.0838245,5.14819,-2.69515,7.93858,-0.0934472,-0.0543139,0.0917429,-0.590331,9.71672,-1.18285,0.0337618,0.000844289,-0.00667252,8.54562,1.36805,5.16238,0.0182647,-0.141166,0.015549,0.0,0.0,0.0,0.0,0.0,0.0,5.23399,2.30402,8.10513,0.0940163,-0.00328507,-0.0543574
