Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.02,-0.530904,9.49963,-2.43348,-0.167721,0.0115305,0.153665,2.49324,-9.27417,-2.25799,-0.207274,0.142386,-0.0272056,5.3051,3.2858,7.7435,-0.0251836,-0.00705275,-0.0196462,6.29668,-3.08517,7.04949,0.0422876,0.0241345,-0.054642,9.05569,-1.57174,4.3039,-0.221443,0.0420278,-0.0930973,1.45334,9.5338,-1.15661,-0.159628,-0.0198641,-0.124488,-0.384349,-9.95021,-1.16144,-0.0450045,0.305298,0.0848614
0.021,-0.537297,9.51337,-2.40532,-0.168023,0.0214266,0.148944,2.47884,-9.28035,-2.25357,-0.205697,0.141173,-0.0247064,5.29412,3.31944,7.72085,-0.028916,-0.00386072,-0.0162035,6.31606,-3.05619,7.0459,0.0424791,0.0255713,-0.0554533,9.06371,-1.61591,4.32825,-0.218502,0.0403943,-0.0947806,1.44273,9.54763,-1.13965,-0.159381,-0.0171041,-0.122127,-0.367654,-9.93177,-1.14477,-0.0479295,0.300972,0.0814283
0.022,-0.543691,9.52711,-2.37715,-0.168326,0.0313226,0.144224,2.46444,-9.28654,-2.24915,-0.20412,0.139961,-0.0222071,5.28314,3.35309,7.69819,-0.0326483,-0.000668702,-0.0127608,6.33544,-3.02721,7.0423,0.0426706,0.027008,-0.0562647,9.07172,-1.66008,4.3526,-0.215561,0.0387608,-0.0964638,1.43211,9.56146,-1.12268,-0.159135,-0.0143441,-0.119767,-0.350958,-9.91333,-1.1281,-0.0508546,0.296647,0.0779952
0.023,-0.565569,9.53312,-2.36227,-0.167705,0.0376986,0.139553,2.46379,-9.28935,-2.25699,-0.203847,0.138915,-0.0178026,5.28929,3.36719,7.68362,-0.0342769,-0.000235773,-0.00996879,6.32636,-3.02602,7.03302,0.0430192,0.0267619,-0.0561035,9.08535,-1.67979,4.37057,-0.213444,0.0362655,-0.0994833,1.4357,9.58684,-1.11067,-0.158639,-0.0118411,-0.117993,-0.336508,-9.91915,-1.12221,-0.0534372,0.294237,0.0747629
0.024,-0.591871,9.53693,-2.35119,-0.16682,0.0430688,0.134898,2.46706,-9.29121,-2.26834,-0.203948,0.137917,-0.0128538,5.30033,3.37571,7.67137,-0.0353044,-0.000591157,-0.00736264,6.30915,-3.03277,7.02213,0.0434127,0.026035,-0.0556645,9.10057,-1.69251,4.38672,-0.211562,0.0335238,-0.102885,1.44336,9.61553,-1.10006,-0.15807,-0.00941149,-0.116386,-0.322699,-9.93189,-1.11941,-0.0559221,0.292374,0.071588
0.025,-0.618173,9.54073,-2.34011,-0.165935,0.0484389,0.130242,2.47032,-9.29307,-2.27969,-0.204048,0.136919,-0.00790499,5.31137,3.38423,7.65912,-0.0363319,-0.00094654,-0.00475648,6.29194,-3.03952,7.01124,0.0438061,0.0253081,-0.0552255,9.11579,-1.70524,4.40286,-0.209681,0.0307822,-0.106286,1.45101,9.64422,-1.08946,-0.157502,-0.00698187,-0.11478,-0.308891,-9.94463,-1.1166,-0.0584069,0.290511,0.0684131
0.026,-0.644475,9.54453,-2.32902,-0.16505,0.0538091,0.125587,2.47359,-9.29493,-2.29103,-0.204148,0.135921,-0.00295616,5.32241,3.39276,7.64686,-0.0373594,-0.00130192,-0.00215032,6.27474,-3.04627,7.00034,0.0441996,0.0245812,-0.0547864,9.13102,-1.71797,4.41901,-0.207799,0.0280406,-0.109687,1.45867,9.67291,-1.07886,-0.156934,-0.00455226,-0.113173,-0.295082,-9.95737,-1.11379,-0.0608918,0.288648,0.0652382
0.027,-0.662996,9.52895,-2.32361,-0.163559,0.0592923,0.121022,2.47266,-9.29488,-2.28894,-0.205441,0.135407,0.00153061,5.33046,3.40732,7.64076,-0.0387642,-0.00151342,0.00123269,6.26264,-3.05449,6.99046,0.0450964,0.0244164,-0.054433,9.13649,-1.73605,4.42342,-0.20647,0.0256846,-0.112379,1.46398,9.69301,-1.06826,-0.156183,-0.0023862,-0.111242,-0.284631,-9.96894,-1.10794,-0.0629764,0.287356,0.0625174
0.028,-0.665956,9.47459,-2.32952,-0.160857,0.0650015,0.116639,2.46334,-9.29102,-2.25996,-0.209117,0.135863,0.00509326,5.33256,3.43397,7.64694,-0.0409235,-0.00143715,0.00616943,6.26076,-3.06567,6.9826,0.047,0.0253761,-0.0542509,9.12247,-1.76486,4.40438,-0.206243,0.0241,-0.113651,1.46463,9.69596,-1.05764,-0.155065,-0.000747285,-0.108661,-0.280896,-9.97818,-1.09598,-0.0642604,0.287205,0.0607045
0.029,-0.668916,9.42024,-2.33543,-0.158154,0.0707106,0.112256,2.45402,-9.28716,-2.23099,-0.212794,0.13632,0.00865592,5.33465,3.46061,7.65312,-0.0430829,-0.00136088,0.0111062,6.25888,-3.07685,6.97474,0.0489036,0.0263358,-0.0540687,9.10844,-1.79366,4.38533,-0.206017,0.0225154,-0.114923,1.46528,9.6989,-1.04703,-0.153948,0.000891633,-0.106081,-0.27716,-9.98741,-1.08403,-0.0655445,0.287054,0.0588917
