Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.02,8.5481,-0.440896,5.46294,-0.459002,0.123954,0.110467,4.19485,2.41795,8.60241,-0.100292,0.00223027,0.0128166,0.345203,-8.30921,4.90898,2.03628,0.676762,-1.39182,-0.208252,-10.7436,-1.04852,-0.249376,0.365795,-0.241755,0.799431,-10.7969,-2.15078,-0.183987,-0.23196,0.214278,1.97216,9.90074,-0.0949463,0.520661,-0.734141,0.0478408,0.325044,9.67015,-2.42237,-0.576585,-1.7698,0.067407
0.021,8.55384,-0.43823,5.45175,-0.465465,0.133574,0.106533,4.18374,2.45608,8.57355,-0.0956415,-0.00173479,0.00834366,0.196544,-8.29747,4.75528,1.93688,0.609273,-1.26404,-0.280036,-10.6928,-1.10485,-0.254204,0.363379,-0.248564,0.717851,-10.8205,-2.07662,-0.145954,-0.245861,0.22457,1.90323,9.8771,-0.210844,0.533204,-0.768571,0.0658707,0.451965,9.60594,-2.48277,-0.568035,-1.76704,0.0718631
0.022,8.55959,-0.435563,5.44056,-0.471928,0.143193,0.102598,4.17262,2.49421,8.5447,-0.0909912,-0.00569985,0.0038707,0.0478851,-8.28573,4.60158,1.83747,0.541783,-1.13627,-0.35182,-10.642,-1.16117,-0.259033,0.360963,-0.255373,0.636271,-10.844,-2.00246,-0.107922,-0.259762,0.234862,1.8343,9.85345,-0.326741,0.545746,-0.803001,0.0839007,0.578887,9.54174,-2.54317,-0.559484,-1.76428,0.0763192
0.023,8.53744,-0.445692,5.42453,-0.472461,0.152902,0.0958552,4.18312,2.54361,8.53373,-0.0861148,-0.00969493,-0.00186766,-0.0549246,-8.19355,4.44236,1.71464,0.499072,-1.00626,-0.372981,-10.595,-1.1524,-0.266726,0.349935,-0.259453,0.532228,-10.8366,-1.95597,-0.0784469,-0.266071,0.244733,1.76085,9.81143,-0.413795,0.537873,-0.80407,0.0887196,0.783903,9.481,-2.59046,-0.551569,-1.75021,0.0773168
0.024,8.50733,-0.459478,5.40712,-0.471299,0.162636,0.0883104,4.19979,2.59622,8.52787,-0.0811739,-0.0136986,-0.00796757,-0.144635,-8.07839,4.28156,1.58512,0.463442,-0.875618,-0.379679,-10.5491,-1.12503,-0.275237,0.336447,-0.262753,0.421766,-10.8203,-1.91739,-0.0514173,-0.27021,0.254485,1.6861,9.76416,-0.492606,0.524167,-0.795606,0.0897639,1.01123,9.42125,-2.63401,-0.543836,-1.73291,0.0773263
0.025,8.47721,-0.473263,5.38971,-0.470138,0.17237,0.0807657,4.21646,2.64884,8.52201,-0.0762329,-0.0177022,-0.0140675,-0.234345,-7.96323,4.12075,1.4556,0.427812,-0.744974,-0.386376,-10.5032,-1.09767,-0.283749,0.322959,-0.266054,0.311304,-10.8041,-1.8788,-0.0243878,-0.27435,0.264236,1.61135,9.71689,-0.571418,0.51046,-0.787142,0.0908082,1.23856,9.36149,-2.67755,-0.536103,-1.7156,0.0773357
0.026,8.4471,-0.487048,5.3723,-0.468977,0.182104,0.0732209,4.23313,2.70146,8.51615,-0.0712919,-0.0217059,-0.0201674,-0.324055,-7.84807,3.95995,1.32607,0.392181,-0.614331,-0.393074,-10.4573,-1.0703,-0.29226,0.309472,-0.269355,0.200842,-10.7878,-1.84021,0.00264176,-0.278489,0.273988,1.5366,9.66961,-0.65023,0.496754,-0.778679,0.0918525,1.46589,9.30174,-2.72109,-0.528369,-1.6983,0.0773452
0.027,8.42464,-0.507107,5.341,-0.468142,0.192061,0.065352,4.24167,2.74503,8.51129,-0.066444,-0.025408,-0.0247659,-0.393678,-7.73027,3.82894,1.20291,0.361863,-0.492813,-0.399347,-10.414,-1.05285,-0.298892,0.293293,-0.274604,0.10461,-10.7594,-1.80517,0.0268983,-0.282322,0.283697,1.4853,9.6302,-0.717365,0.475502,-0.759101,0.0882431,1.73235,9.24004,-2.75606,-0.520142,-1.6756,0.0748659
0.028,8.41751,-0.539715,5.28193,-0.467962,0.202462,0.056835,4.23398,2.77052,8.50841,-0.0617822,-0.028507,-0.0263617,-0.423128,-7.60716,3.75752,1.09249,0.342167,-0.389548,-0.404769,-10.3761,-1.05526,-0.301763,0.271735,-0.283751,0.0368387,-10.7066,-1.77722,0.045609,-0.285541,0.29332,1.48089,9.6065,-0.761147,0.43916,-0.717295,0.0753266,2.07707,9.17445,-2.77387,-0.510927,-1.64211,0.0674093
0.029,8.41037,-0.572322,5.22286,-0.467781,0.212863,0.048318,4.22629,2.796,8.50554,-0.0571204,-0.0316061,-0.0279574,-0.452579,-7.48406,3.68611,0.982065,0.322471,-0.286283,-0.410191,-10.3383,-1.05767,-0.304635,0.250176,-0.292898,-0.0309325,-10.6538,-1.74926,0.0643197,-0.288761,0.302944,1.47648,9.58279,-0.804928,0.402817,-0.675488,0.0624101,2.42179,9.10887,-2.79168,-0.501713,-1.60862,0.0599526
