Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.02,0.0537722,9.58489,-1.42335,0.0516229,-0.926701,-0.194267,-0.0214575,-9.89406,-1.09185,0.197214,-0.368933,0.336823,5.00617,1.85704,8.69933,-0.273346,0.249174,0.0365149,3.95037,-3.98567,9.84726,-0.168298,0.431022,0.269485,8.19847,-1.48506,5.04706,0.102699,-0.334165,-0.283554,5.99048,8.1062,-2.1501,0.277329,-0.227938,-0.0684052,2.50142,-9.31197,-1.18785,0.148244,-0.546992,0.298493
0.021,0.0351075,9.67097,-1.38318,0.0561116,-0.925331,-0.194993,0.0225366,-9.85617,-1.09407,0.19651,-0.367017,0.339346,5.00035,1.85718,8.7092,-0.267808,0.245888,0.0354989,4.01506,-4.10274,9.80867,-0.158345,0.429342,0.248074,8.2099,-1.49838,5.11029,0.101207,-0.339982,-0.283871,6.00917,8.06653,-2.2998,0.279823,-0.21177,-0.0643593,2.54273,-9.26563,-1.19931,0.151201,-0.550359,0.300703
0.022,0.0164427,9.75705,-1.34301,0.0606003,-0.923962,-0.19572,0.0665307,-9.81828,-1.09629,0.195806,-0.365101,0.34187,4.99452,1.85732,8.71908,-0.26227,0.242602,0.0344828,4.07975,-4.2198,9.77008,-0.148393,0.427662,0.226662,8.22132,-1.5117,5.17352,0.0997156,-0.3458,-0.284188,6.02787,8.02686,-2.44951,0.282316,-0.195602,-0.0603134,2.58404,-9.21929,-1.21077,0.154158,-0.553727,0.302912
0.023,0.0408214,9.86856,-1.3112,0.0667007,-0.918321,-0.198634,0.101557,-9.80571,-1.09619,0.19658,-0.363164,0.345573,4.99194,1.83621,8.71044,-0.257529,0.238968,0.0335748,4.19854,-4.2266,9.70069,-0.133437,0.424427,0.205853,8.25861,-1.49645,5.24367,0.094967,-0.34893,-0.283549,5.95585,8.06664,-2.53032,0.280065,-0.186879,-0.0653643,2.65187,-9.17833,-1.23709,0.154123,-0.552521,0.304166
0.024,0.0774982,9.98732,-1.28179,0.0732616,-0.91146,-0.202173,0.134022,-9.80036,-1.09543,0.197776,-0.361221,0.349612,4.99028,1.80903,8.6965,-0.253015,0.235235,0.0326977,4.33279,-4.20189,9.62249,-0.117051,0.420748,0.185217,8.30328,-1.47305,5.31578,0.0892879,-0.351293,-0.282637,5.85792,8.12913,-2.59145,0.276458,-0.180283,-0.0730142,2.72727,-9.13891,-1.26765,0.153235,-0.550007,0.305147
0.025,0.114175,10.1061,-1.25237,0.0798225,-0.904599,-0.205712,0.166486,-9.79501,-1.09466,0.198972,-0.359279,0.353652,4.98862,1.78185,8.68257,-0.248501,0.231501,0.0318205,4.46703,-4.17719,9.54429,-0.100666,0.417069,0.16458,8.34795,-1.44964,5.3879,0.0836088,-0.353655,-0.281725,5.75999,8.19161,-2.65258,0.272851,-0.173687,-0.0806642,2.80268,-9.09948,-1.2982,0.152346,-0.547494,0.306128
0.026,0.150852,10.2249,-1.22296,0.0863834,-0.897737,-0.209252,0.198951,-9.78967,-1.09389,0.200167,-0.357336,0.357691,4.98696,1.75467,8.66864,-0.243987,0.227767,0.0309434,4.60128,-4.15248,9.46609,-0.0842805,0.41339,0.143944,8.39263,-1.42623,5.46002,0.0779297,-0.356018,-0.280813,5.66206,8.2541,-2.71371,0.269244,-0.167091,-0.0883142,2.87808,-9.06006,-1.32876,0.151457,-0.544981,0.307109
0.027,0.213429,10.3497,-1.20167,0.0934176,-0.888527,-0.213782,0.227245,-9.78348,-1.10464,0.201011,-0.353951,0.361159,4.98173,1.73139,8.66024,-0.240506,0.223915,0.0290702,4.75895,-4.10359,9.38664,-0.0646686,0.409911,0.124241,8.42708,-1.40363,5.53227,0.0722682,-0.357691,-0.278529,5.53135,8.33337,-2.76625,0.265749,-0.159659,-0.0998362,2.9581,-9.02729,-1.35621,0.150213,-0.542177,0.307725
0.028,0.327807,10.4868,-1.19666,0.101399,-0.874616,-0.220295,0.247197,-9.77562,-1.13839,0.201148,-0.34768,0.363483,4.96934,1.71589,8.66294,-0.239091,0.219825,0.0252048,4.96346,-4.00631,9.30468,-0.0386038,0.406833,0.106408,8.4411,-1.38265,5.60478,0.066642,-0.357985,-0.273503,5.33508,8.44622,-2.8016,0.262476,-0.150557,-0.119102,3.04733,-9.00785,-1.37747,0.148259,-0.538794,0.307611
0.029,0.442186,10.624,-1.19164,0.10938,-0.860706,-0.226807,0.26715,-9.76776,-1.17215,0.201286,-0.34141,0.365808,4.95695,1.7004,8.66564,-0.237675,0.215736,0.0213395,5.16798,-3.90903,9.22271,-0.012539,0.403754,0.0885755,8.45511,-1.36166,5.67729,0.0610157,-0.358278,-0.268477,5.13881,8.55907,-2.83695,0.259204,-0.141454,-0.138368,3.13656,-8.9884,-1.39872,0.146305,-0.53541,0.307498
