Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.02,-1.66575,-9.44502,-2.6755,-0.172356,0.0797852,0.0516653,8.46764,0.36117,4.69842,0.00375321,-0.0315579,0.0666841,-1.51349,9.30659,-1.08601,-0.00195978,-0.240196,-0.0264109,2.10008,-9.40845,-1.94129,-0.162203,0.0576477,0.129937,4.35881,0.877737,8.58568,-0.0524533,-0.000154768,0.0105737,-1.04207,9.36126,-2.04078,-0.118152,-0.158586,-0.176256,3.71591,3.86331,8.11566,-0.0386669,0.0065544,-0.0343835
0.021,-1.68149,-9.45819,-2.67427,-0.171447,0.0777109,0.0518992,8.47396,0.368998,4.68166,0.00679765,-0.0304996,0.067072,-1.50913,9.31094,-1.09989,0.00506169,-0.236443,-0.0229002,2.13803,-9.39645,-1.94049,-0.162068,0.0575965,0.126273,4.363,0.816882,8.57386,-0.0531821,-0.000500986,0.010816,-1.06003,9.34414,-2.0468,-0.11675,-0.159584,-0.176495,3.7623,3.86773,8.10121,-0.0422139,0.00658326,-0.0339055
0.022,-1.69724,-9.47136,-2.67305,-0.170539,0.0756366,0.052133,8.48029,0.376827,4.6649,0.00984209,-0.0294413,0.0674599,-1.50478,9.3153,-1.11377,0.0120832,-0.23269,-0.0193895,2.17598,-9.38444,-1.9397,-0.161934,0.0575454,0.122608,4.36718,0.756028,8.56204,-0.0539108,-0.000847204,0.0110582,-1.07799,9.32701,-2.05282,-0.115347,-0.160583,-0.176734,3.8087,3.87216,8.08676,-0.0457609,0.00661213,-0.0334275
0.023,-1.70645,-9.47363,-2.67762,-0.169729,0.0761351,0.0511758,8.49298,0.388559,4.65674,0.00975655,-0.0286987,0.0677255,-1.51171,9.33448,-1.1044,0.0176806,-0.228704,-0.0173636,2.15441,-9.3774,-1.91626,-0.160055,0.0543941,0.122833,4.35917,0.710889,8.56009,-0.0542385,-0.000803544,0.0102227,-1.07426,9.33803,-2.0494,-0.114069,-0.16215,-0.179057,3.81608,3.8771,8.06921,-0.0467546,0.0074701,-0.0326355
0.024,-1.7138,-9.4728,-2.68385,-0.168948,0.0773687,0.0498783,8.50747,0.401407,4.65104,0.00877673,-0.0280463,0.067956,-1.52186,9.35788,-1.08838,0.0228712,-0.22465,-0.0157618,2.11583,-9.37178,-1.88636,-0.157678,0.0503571,0.12417,4.34767,0.670241,8.56096,-0.0544517,-0.000648489,0.00907926,-1.06433,9.35708,-2.04329,-0.112825,-0.163879,-0.181974,3.81231,3.88219,8.05077,-0.0470189,0.00856496,-0.0317538
0.025,-1.72115,-9.47196,-2.69009,-0.168166,0.0786022,0.0485808,8.52197,0.414255,4.64535,0.00779691,-0.0273938,0.0681866,-1.53201,9.38129,-1.07236,0.0280618,-0.220597,-0.0141601,2.07726,-9.36616,-1.85645,-0.155301,0.0463202,0.125506,4.33616,0.629592,8.56183,-0.0546648,-0.000493435,0.0079358,-1.05439,9.37613,-2.03718,-0.111582,-0.165609,-0.184892,3.80854,3.88727,8.03234,-0.0472832,0.00965982,-0.0308722
0.026,-1.7285,-9.47112,-2.69632,-0.167385,0.0798358,0.0472833,8.53647,0.427103,4.63965,0.00681709,-0.0267414,0.0684172,-1.54216,9.4047,-1.05634,0.0332524,-0.216544,-0.0125583,2.03868,-9.36054,-1.82655,-0.152925,0.0422832,0.126843,4.32466,0.588944,8.5627,-0.0548779,-0.000338381,0.00679234,-1.04446,9.39518,-2.03106,-0.110339,-0.167338,-0.187809,3.80477,3.89236,8.01391,-0.0475474,0.0107547,-0.0299905
0.027,-1.73087,-9.46822,-2.70205,-0.167122,0.081089,0.0464791,8.54184,0.441046,4.64104,0.00565187,-0.0255439,0.0686892,-1.54367,9.41965,-1.02696,0.0378664,-0.212901,-0.0111865,2.01641,-9.35929,-1.81835,-0.151014,0.0398149,0.128379,4.31287,0.556878,8.56584,-0.054051,0.000306433,0.00571635,-1.03241,9.40245,-2.03343,-0.108717,-0.16938,-0.190557,3.79237,3.88958,7.99994,-0.0479174,0.0120988,-0.0293541
0.028,-1.72329,-9.46122,-2.70678,-0.167896,0.0823815,0.0466616,8.52898,0.45718,4.65659,0.00411585,-0.0232561,0.0690442,-1.52788,9.41767,-0.970879,0.0413271,-0.210075,-0.0102745,2.02678,-9.36678,-1.85357,-0.150037,0.0404841,0.130313,4.30051,0.541975,8.57351,-0.051144,0.00193076,0.00477529,-1.01613,9.38615,-2.05277,-0.106335,-0.172046,-0.192965,3.76272,3.87106,7.99492,-0.0484986,0.0139414,-0.0292084
0.029,-1.7157,-9.45421,-2.7115,-0.168671,0.083674,0.0468441,8.51612,0.473313,4.67215,0.00257983,-0.0209682,0.0693992,-1.51209,9.41568,-0.914795,0.0447878,-0.20725,-0.00936253,2.03715,-9.37427,-1.88878,-0.14906,0.0411533,0.132247,4.28814,0.527074,8.58118,-0.048237,0.00355509,0.00383423,-0.999853,9.36985,-2.07211,-0.103954,-0.174712,-0.195373,3.73307,3.85254,7.9899,-0.0490799,0.015784,-0.0290627
0.03,-1.70812,-9.4472,-2.71622,-0.169445,0.0849665,0.0470267,8.50326,0.489447,4.68771,0.00104382,-0.0186804,0.0697542,-1.4963,9.4137,-0.85871,0.0482486,-0.204424,-0.00845054,2.04751,-9.38176,-1.924,-0.148083,0.0418225,0.134181,4.27578,0.512171,8.58885,-0.0453299,0.00517943,0.00289316,-0.983573,9.35355,-2.09144,-0.101573,-0.177378,-0.197781,3.70342,3.83401,7.98489,-0.0496611,0.0176266,-0.0289169
0.031,-1.70053,-9.44019,-2.72095,-0.17022,0.086259,0.0472092,8.49039,0.50558,4.70327,-0.000492202,-0.0163926,0.0701092,-1.48051,9.41172,-0.802626,0.0517093,-0.201599,-0.00753856,2.05788,-9.38925,-1.95922,-0.147107,0.0424917,0.136115,4.26341,0.497269,8.59652,-0.0424229,0.00680376,0.0019521,-0.967293,9.33725,-2.11078,-0.0991913,-0.180044,-0.200189,3.67377,3.81549,7.97987,-0.0502424,0.0194692,-0.0287712
0.032,-1.66751,-9.42225,-2.73498,-0.170369,0.0855771,0.047874,8.49043,0.50893,4.71537,-0.00087763,-0.0159254,0.0733452,-1.47106,9.42573,-0.759391,0.0537818,-0.202494,-0.00469798,2.06096,-9.3925,-1.95124,-0.14995,0.0389428,0.137411,4.25303,0.488175,8.60906,-0.0399136,0.00814339,0.00115115,-0.953979,9.35198,-2.12129,-0.0982025,-0.176455,-0.201796,3.66754,3.83596,7.99152,-0.0522183,0.020174,-0.0275309
0.033,-1.63131,-9.40294,-2.75017,-0.17044,0.0846484,0.0485992,8.49209,0.510683,4.72704,-0.00111923,-0.0156858,0.0769414,-1.46239,9.44174,-0.717761,0.0556807,-0.203855,-0.00161632,2.06312,-9.39521,-1.93787,-0.153272,0.0348667,0.138627,4.24289,0.479806,8.62222,-0.0374539,0.00944744,0.000367716,-0.941035,9.3706,-2.13069,-0.0973879,-0.172083,-0.203303,3.66423,3.86131,8.00526,-0.0543686,0.0207366,-0.0261537
0.034,-1.5951,-9.38364,-2.76536,-0.170512,0.0837197,0.0493244,8.49374,0.512436,4.73871,-0.00136084,-0.0154461,0.0805376,-1.45373,9.45774,-0.676132,0.0575797,-0.205216,0.00146534,2.06529,-9.39792,-1.92449,-0.156593,0.0307906,0.139843,4.23275,0.471438,8.63538,-0.0349943,0.0107515,-0.000415722,-0.928092,9.38922,-2.14009,-0.0965732,-0.167712,-0.20481,3.66092,3.88666,8.01901,-0.0565189,0.0212992,-0.0247766
0.035,-1.5589,-9.36433,-2.78056,-0.170583,0.0827911,0.0500496,8.4954,0.514188,4.75039,-0.00160244,-0.0152065,0.0841338,-1.44507,9.47375,-0.634502,0.0594786,-0.206576,0.004547,2.06745,-9.40063,-1.91112,-0.159915,0.0267145,0.141059,4.22262,0.463069,8.64854,-0.0325347,0.0120555,-0.00119916,-0.915149,9.40784,-2.14949,-0.0957585,-0.163341,-0.206317,3.65761,3.912,8.03275,-0.0586692,0.0218618,-0.0233994
0.036,-1.54628,-9.35304,-2.78227,-0.171026,0.0826527,0.0506896,8.49277,0.514842,4.75719,-0.00293279,-0.015202,0.0866568,-1.42453,9.48057,-0.620205,0.0607634,-0.209547,0.00542012,2.06926,-9.38631,-1.92236,-0.160931,0.024107,0.142373,4.21136,0.46475,8.65606,-0.03107,0.0126782,-0.00288736,-0.889135,9.43246,-2.17049,-0.0943855,-0.159094,-0.208237,3.65004,3.9258,8.03417,-0.060764,0.022016,-0.0221461
0.037,-1.56312,-9.35176,-2.76714,-0.171934,0.0835022,0.0512231,8.48478,0.514121,4.75791,-0.00562405,-0.0154913,0.0878382,-1.38914,9.47591,-0.640075,0.0612803,-0.214531,0.00353259,2.0706,-9.3507,-1.96437,-0.159066,0.0233353,0.14381,4.19871,0.478993,8.65652,-0.0308491,0.0124493,-0.00570652,-0.846782,9.4646,-2.20598,-0.0923147,-0.155001,-0.210675,3.63716,3.92518,8.02021,-0.0627896,0.0216598,-0.0210475
0.038,-1.57997,-9.35048,-2.75201,-0.172843,0.0843518,0.0517566,8.4768,0.513401,4.75863,-0.00831532,-0.0157807,0.0890197,-1.35376,9.47125,-0.659945,0.0617973,-0.219514,0.00164506,2.07195,-9.3151,-2.00638,-0.157202,0.0225636,0.145246,4.18606,0.493237,8.65699,-0.0306282,0.0122203,-0.00852568,-0.80443,9.49673,-2.24146,-0.0902438,-0.150908,-0.213112,3.62428,3.92456,8.00625,-0.0648151,0.0213035,-0.019949
0.039,-1.59682,-9.3492,-2.73688,-0.173751,0.0852013,0.0522901,8.46882,0.512681,4.75935,-0.0110066,-0.0160701,0.0902012,-1.31837,9.4666,-0.679815,0.0623142,-0.224498,-0.000242469,2.07329,-9.27949,-2.04839,-0.155337,0.0217919,0.146683,4.17341,0.50748,8.65745,-0.0304073,0.0119914,-0.0113448,-0.762078,9.52887,-2.27695,-0.0881729,-0.146815,-0.21555,3.6114,3.92394,7.99228,-0.0668406,0.0209472,-0.0188505
0.04,-1.61367,-9.34792,-2.72175,-0.174659,0.0860509,0.0528236,8.46084,0.511961,4.76007,-0.0136979,-0.0163595,0.0913827,-1.28299,9.46194,-0.699684,0.0628312,-0.229481,-0.00213,2.07464,-9.24388,-2.09039,-0.153472,0.0210202,0.148119,4.16076,0.521723,8.65792,-0.0301864,0.0117624,-0.014164,-0.719726,9.561,-2.31243,-0.0861021,-0.142722,-0.217987,3.59852,3.92332,7.97832,-0.0688662,0.020591,-0.0177519
0.041,-1.5879,-9.35314,-2.717,-0.17703,0.0861449,0.0536946,8.47599,0.508247,4.77285,-0.0136179,-0.0165832,0.0915704,-1.24931,9.49644,-0.70409,0.0601026,-0.234662,-0.00264118,2.08633,-9.26227,-2.07301,-0.15447,0.0186869,0.148883,4.16796,0.528113,8.6601,-0.0287204,0.0126832,-0.0148219,-0.722462,9.5445,-2.30988,-0.0855442,-0.136254,-0.222833,3.60674,3.95646,7.99219,-0.0685793,0.0217254,-0.0161748
0.042,-1.56214,-9.35836,-2.71226,-0.179401,0.086239,0.0545655,8.49114,0.504533,4.78563,-0.0135379,-0.0168068,0.0917581,-1.21563,9.53095,-0.708496,0.057374,-0.239842,-0.00315236,2.09802,-9.28066,-2.05564,-0.155468,0.0163536,0.149648,4.17518,0.534504,8.66228,-0.0272545,0.0136039,-0.0154799,-0.725198,9.528,-2.30733,-0.0849864,-0.129785,-0.227678,3.61496,3.9896,8.00606,-0.0682923,0.0228599,-0.0145976
0.043,-1.53638,-9.36357,-2.70751,-0.181773,0.086333,0.0554365,8.50629,0.500819,4.79841,-0.0134579,-0.0170305,0.0919459,-1.18195,9.56546,-0.712901,0.0546454,-0.245023,-0.00366354,2.10972,-9.29904,-2.03826,-0.156465,0.0140203,0.150413,4.18238,0.540894,8.66446,-0.0257885,0.0145246,-0.0161378,-0.727934,9.5115,-2.30478,-0.0844285,-0.123317,-0.232524,3.62318,4.02275,8.01993,-0.0680054,0.0239943,-0.0130205
0.044,-1.51062,-9.36879,-2.70277,-0.184144,0.0864271,0.0563075,8.52144,0.497105,4.81119,-0.013378,-0.0172541,0.0921336,-1.14827,9.59996,-0.717307,0.0519168,-0.250204,-0.00417472,2.12141,-9.31743,-2.02088,-0.157463,0.011687,0.151177,4.1896,0.547285,8.66665,-0.0243225,0.0154453,-0.0167958,-0.73067,9.495,-2.30223,-0.0838706,-0.116848,-0.237369,3.6314,4.05589,8.0338,-0.0677185,0.0251288,-0.0114433
