Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.025,9.49678,1.49703,2.09042,-0.016346,-0.0334572,0.00812919,-1.07333,-9.78566,-0.931808,-0.0489291,0.0332834,0.0141983,-1.77565,9.53869,-0.746903,0.00480903,0.00966342,-0.0126982,5.00912,-1.15618,8.24314,-0.0162807,0.00665426,-0.00184139,-1.14218,9.75342,-1.14466,-0.0223205,0.0342342,0.00773854,4.52266,1.5917,8.8236,-0.0161565,-0.00191662,0.0108948,-2.70257,-9.65451,0.21541,-0.0275773,0.00216276,-0.0139456
0.026,9.49168,1.49659,2.09054,-0.016194,-0.0331465,0.00815908,-1.0741,-9.78327,-0.93199,-0.0489537,0.0333017,0.0142653,-1.77386,9.53652,-0.745382,0.00459104,0.00991542,-0.012604,5.00857,-1.15556,8.24082,-0.0162403,0.0067646,-0.00175487,-1.14294,9.75043,-1.14511,-0.022215,0.0342439,0.00757375,4.52255,1.59164,8.82257,-0.0160958,-0.00193211,0.0108211,-2.70375,-9.65163,0.215986,-0.0274879,0.00193412,-0.0140529
0.027,9.4867,1.49605,2.09069,-0.0160324,-0.0328309,0.00819289,-1.07504,-9.78101,-0.932144,-0.0489898,0.0333181,0.0143283,-1.77214,9.53441,-0.743822,0.00437802,0.0101689,-0.0124954,5.0081,-1.15497,8.23868,-0.016204,0.00687266,-0.00166973,-1.14368,9.74759,-1.14551,-0.0221143,0.0342671,0.00741786,4.52235,1.59143,8.82158,-0.0160432,-0.0019456,0.0107493,-2.70512,-9.64886,0.216392,-0.0274091,0.00169557,-0.0141636
0.028,9.48187,1.49545,2.09086,-0.0158634,-0.0325105,0.00823246,-1.07617,-9.7789,-0.932282,-0.0490365,0.033334,0.0143863,-1.77051,9.53235,-0.742232,0.00417274,0.0104232,-0.012373,5.00768,-1.15437,8.2367,-0.0161699,0.00697959,-0.00158699,-1.14443,9.74492,-1.14582,-0.0220185,0.0343043,0.00727278,4.52206,1.59108,8.82063,-0.015998,-0.00195637,0.01068,-2.70668,-9.64621,0.216613,-0.0273403,0.00144894,-0.0142786
0.029,9.47724,1.49478,2.09107,-0.0156912,-0.0321835,0.00827968,-1.07748,-9.77693,-0.932399,-0.0490911,0.0333508,0.0144382,-1.76897,9.53033,-0.740669,0.0039765,0.0106783,-0.0122399,5.0073,-1.15378,8.23485,-0.0161382,0.00708641,-0.00150671,-1.14521,9.74243,-1.14605,-0.0219258,0.034357,0.00713856,4.52172,1.59064,8.8197,-0.0159587,-0.0019638,0.0106138,-2.70837,-9.64366,0.216639,-0.027282,0.00119439,-0.0143959
0.03,9.47281,1.49406,2.09131,-0.0155199,-0.0318475,0.0083365,-1.07893,-9.77511,-0.932483,-0.049151,0.0333699,0.0144829,-1.76754,9.52835,-0.739207,0.00379001,0.0109341,-0.0121005,5.00693,-1.15321,8.23306,-0.0161096,0.00719405,-0.00142855,-1.14604,9.74009,-1.14621,-0.0218342,0.0344269,0.00701451,4.52139,1.59015,8.81877,-0.0159237,-0.00196738,0.0105509,-2.71014,-9.64125,0.21646,-0.0272348,0.000931346,-0.014513
0.031,9.46863,1.49327,2.09159,-0.0153542,-0.0315,0.00840489,-1.0805,-9.77345,-0.93252,-0.0492131,0.0333925,0.0145191,-1.7662,9.5264,-0.737922,0.00361401,0.0111904,-0.0119593,5.00655,-1.15264,8.23129,-0.016085,0.00730344,-0.00135218,-1.14694,9.7379,-1.14632,-0.0217413,0.0345156,0.0069,4.5211,1.58968,8.81784,-0.0158913,-0.00196655,0.0104917,-2.71192,-9.63896,0.216064,-0.0271997,0.000659249,-0.0146272
0.032,9.46469,1.49242,2.09191,-0.0151971,-0.0311396,0.00848557,-1.08217,-9.77195,-0.932506,-0.0492753,0.0334191,0.0145464,-1.76497,9.52448,-0.736862,0.00344931,0.0114473,-0.0118199,5.00615,-1.1521,8.22948,-0.0160653,0.00741553,-0.00127704,-1.14792,9.73583,-1.1464,-0.0216454,0.0346248,0.00679396,4.52091,1.58926,8.81689,-0.0158603,-0.00196142,0.0104363,-2.71368,-9.63682,0.215455,-0.0271766,0.000378231,-0.0147364
0.033,9.461,1.49153,2.0923,-0.0150495,-0.030766,0.00857659,-1.08392,-9.77059,-0.932457,-0.0493369,0.0334486,0.0145658,-1.76383,9.52263,-0.736024,0.00329691,0.0117042,-0.0116853,5.00573,-1.15156,8.22764,-0.0160511,0.00753127,-0.00120206,-1.14894,9.73388,-1.14644,-0.0215458,0.0347558,0.00669447,4.52081,1.58892,8.81592,-0.0158295,-0.00195341,0.0103842,-2.71538,-9.6348,0.214657,-0.0271639,8.99514e-005,-0.0148399
0.034,9.45753,1.49065,2.09276,-0.0149109,-0.0303804,0.00867448,-1.08575,-9.76931,-0.932397,-0.0493981,0.0334785,0.0145788,-1.76276,9.52089,-0.735368,0.00315788,0.0119608,-0.0115576,5.00528,-1.15104,8.22579,-0.0160432,0.0076516,-0.00112588,-1.14998,9.73202,-1.14646,-0.0214426,0.0349097,0.00659909,4.52077,1.58865,8.8149,-0.0157982,-0.00194478,0.0103348,-2.71704,-9.63288,0.213714,-0.0271589,-0.000203039,-0.0149377
