Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.022,-4.28246,8.56609,-2.03293,-0.201622,-0.307157,-0.119431,3.51927,-9.58492,-1.15309,-0.0681157,0.479851,0.140884,0.689561,9.36277,-2.74726,-0.0918101,0.0567418,-0.0908245,3.85748,-8.74234,-3.16085,-0.195127,0.276633,0.196236,5.0185,-1.6343,8.10194,-0.0274469,-0.017826,0.0623638,3.46961,1.88046,9.30923,0.0966449,0.145837,0.0681319,8.9117,-0.092911,3.68243,-0.2639,-0.106295,0.151425
0.023,-4.3065,8.5583,-2.05942,-0.208007,-0.309349,-0.118216,3.44788,-9.62861,-1.10963,-0.0672962,0.453406,0.133986,0.67671,9.34196,-2.7355,-0.091659,0.0584155,-0.0904754,3.85855,-8.732,-3.14965,-0.19412,0.264262,0.198614,5.00333,-1.63597,8.09434,-0.0246652,-0.0180428,0.0606623,3.44675,1.86869,9.30621,0.0955628,0.144614,0.079757,8.90656,-0.0849941,3.67009,-0.267719,-0.10868,0.149849
0.024,-4.33138,8.5494,-2.08875,-0.214336,-0.311297,-0.117665,3.36046,-9.68084,-1.06854,-0.0674703,0.425792,0.127621,0.654052,9.31562,-2.7135,-0.0913267,0.0608447,-0.0906221,3.8625,-8.71916,-3.13531,-0.192756,0.25179,0.201758,4.98632,-1.64183,8.08864,-0.02185,-0.0181679,0.0590331,3.42277,1.85061,9.30208,0.0941608,0.14369,0.0916864,8.90325,-0.0807604,3.65019,-0.271835,-0.111228,0.148245
0.025,-4.35626,8.5405,-2.11809,-0.220664,-0.313244,-0.117114,3.27304,-9.73307,-1.02745,-0.0676444,0.398178,0.121256,0.631393,9.28927,-2.6915,-0.0909944,0.0632739,-0.0907688,3.86645,-8.70632,-3.12097,-0.191391,0.239319,0.204902,4.96931,-1.64769,8.08295,-0.0190349,-0.018293,0.0574039,3.39878,1.83254,9.29796,0.0927588,0.142766,0.103616,8.89994,-0.0765266,3.63028,-0.275951,-0.113776,0.146641
0.026,-4.38115,8.5316,-2.14743,-0.226992,-0.315191,-0.116564,3.18563,-9.7853,-0.986367,-0.0678185,0.370563,0.114891,0.608735,9.26293,-2.6695,-0.0906621,0.0657031,-0.0909156,3.8704,-8.69348,-3.10663,-0.190027,0.226847,0.208046,4.95231,-1.65354,8.07725,-0.0162198,-0.0184181,0.0557747,3.37479,1.81447,9.29383,0.0913568,0.141842,0.115545,8.89663,-0.0722928,3.61038,-0.280067,-0.116324,0.145036
0.027,-4.40084,8.5248,-2.16611,-0.233393,-0.316463,-0.115564,3.0819,-9.81068,-0.967463,-0.067566,0.343983,0.107192,0.593294,9.25137,-2.65935,-0.0892642,0.0691308,-0.0915613,3.86423,-8.69002,-3.09216,-0.188486,0.215003,0.210304,4.93938,-1.665,8.07215,-0.0141392,-0.0184208,0.0539618,3.36541,1.78988,9.28797,0.0889624,0.141307,0.126395,8.8977,-0.0672732,3.59827,-0.284222,-0.118694,0.142816
0.028,-4.41015,8.52219,-2.16346,-0.239939,-0.316385,-0.113666,2.94555,-9.78238,-0.992929,-0.0664603,0.31947,0.0968213,0.592285,9.26938,-2.67289,-0.085735,0.0745555,-0.0932051,3.83785,-8.70531,-3.07745,-0.186589,0.204414,0.210789,4.93463,-1.68765,8.06825,-0.0135277,-0.0181785,0.0517815,3.38522,1.75226,9.27864,0.0845832,0.141549,0.135085,8.90753,-0.0606817,3.60176,-0.288456,-0.120704,0.139363
0.029,-4.41946,8.51958,-2.16082,-0.246486,-0.316308,-0.111767,2.8092,-9.75407,-1.0184,-0.0653546,0.294957,0.0864511,0.591276,9.28739,-2.68644,-0.0822058,0.0799802,-0.0948489,3.81146,-8.7206,-3.06274,-0.184692,0.193825,0.211274,4.92987,-1.7103,8.06435,-0.0129163,-0.0179363,0.0496013,3.40504,1.71463,9.26931,0.0802039,0.141792,0.143776,8.91736,-0.0540902,3.60524,-0.29269,-0.122715,0.135911
0.03,-4.42878,8.51698,-2.15817,-0.253032,-0.31623,-0.109869,2.67285,-9.72577,-1.04386,-0.0642489,0.270444,0.0760809,0.590267,9.30539,-2.69998,-0.0786766,0.0854049,-0.0964927,3.78508,-8.73589,-3.04802,-0.182795,0.183236,0.211759,4.92511,-1.73294,8.06044,-0.0123048,-0.017694,0.0474211,3.42485,1.67701,9.25998,0.0758247,0.142034,0.152466,8.9272,-0.0474987,3.60873,-0.296925,-0.124726,0.132458
0.031,-4.43809,8.51437,-2.15553,-0.259578,-0.316152,-0.107971,2.5365,-9.69746,-1.06933,-0.0631431,0.24593,0.0657107,0.589258,9.3234,-2.71352,-0.0751474,0.0908296,-0.0981365,3.75869,-8.75118,-3.03331,-0.180898,0.172646,0.212243,4.92035,-1.75559,8.05654,-0.0116934,-0.0174518,0.0452409,3.44467,1.63939,9.25065,0.0714455,0.142277,0.161157,8.93703,-0.0409072,3.61221,-0.301159,-0.126737,0.129006
