Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.05,-0.725785,9.94371,-0.840278,0.0460067,0.00234324,0.0579623,0.204606,9.68756,-0.737971,-0.0283528,0.0250915,-0.0099186,0.509311,-9.77175,-1.11546,-0.0580167,0.0326069,0.00559927,3.91633,0.0141581,8.89061,-0.0322914,0.00500552,0.00106327,3.70194,1.09426,9.23146,-0.0118394,0.00184962,0.0204429,8.28281,-0.611638,5.26789,0.0177233,-0.000513606,0.0122743
0.051,-0.727837,9.92757,-0.835465,0.0445867,0.00471296,0.0599408,0.213954,9.72251,-0.724168,-0.0271955,0.0260499,-0.00904958,0.531694,-9.80496,-1.12171,-0.0591642,0.0300047,0.00270617,3.94558,0.0314348,8.86963,-0.0332952,0.00403812,0.00134034,3.69619,1.08347,9.206,-0.0115151,0.00190127,0.0182142,8.30251,-0.597528,5.27544,0.0178378,-0.000383785,0.0144199
0.052,-0.72989,9.91143,-0.830652,0.0431666,0.00708269,0.0619193,0.223302,9.75745,-0.710364,-0.0260381,0.0270083,-0.00818055,0.554077,-9.83817,-1.12796,-0.0603118,0.0274026,-0.000186933,3.97482,0.0487116,8.84865,-0.0342989,0.00307071,0.00161741,3.69044,1.07269,9.18053,-0.0111907,0.00195291,0.0159855,8.32222,-0.583419,5.283,0.0179523,-0.000253965,0.0165655
0.053,-0.731942,9.89529,-0.825839,0.0417466,0.00945242,0.0638978,0.23265,9.7924,-0.696561,-0.0248808,0.0279667,-0.00731153,0.57646,-9.87137,-1.13421,-0.0614593,0.0248004,-0.00308003,4.00406,0.0659884,8.82767,-0.0353027,0.0021033,0.00189448,3.68469,1.06191,9.15506,-0.0108664,0.00200455,0.0137567,8.34192,-0.56931,5.29055,0.0180668,-0.000124145,0.0187111
0.054,-0.734532,9.88947,-0.852015,0.0376198,0.00989795,0.060256,0.239476,9.80937,-0.707533,-0.024495,0.026928,-0.00639534,0.591419,-9.85307,-1.11064,-0.0619782,0.0250012,-0.00361015,4.0077,0.049273,8.8109,-0.0347431,0.00181348,0.00298844,3.69447,1.06936,9.15673,-0.0108875,0.000728854,0.0138372,8.33264,-0.578186,5.29418,0.0182558,0.00174034,0.0177385
0.055,-0.737391,9.8888,-0.893685,0.0321395,0.00938137,0.0538039,0.24504,9.81735,-0.730893,-0.024495,0.0248909,-0.00545557,0.602667,-9.80901,-1.07216,-0.0621826,0.0266033,-0.00295878,3.99854,0.0155614,8.79624,-0.0334018,0.00186244,0.00449084,3.71202,1.08592,9.17198,-0.0110813,-0.00121051,0.0150723,8.30886,-0.598556,5.29585,0.0184819,0.00447215,0.0152069
0.056,-0.74025,9.88813,-0.935356,0.0266593,0.0088648,0.0473519,0.250604,9.82532,-0.754254,-0.024495,0.0228538,-0.00451581,0.613914,-9.76495,-1.03368,-0.0623871,0.0282055,-0.00230741,3.98937,-0.0181501,8.78158,-0.0320604,0.00191141,0.00599325,3.72957,1.10248,9.18722,-0.0112751,-0.00314988,0.0163074,8.28507,-0.618926,5.29752,0.018708,0.00720397,0.0126752
0.057,-0.74311,9.88747,-0.977026,0.021179,0.00834823,0.0408999,0.256168,9.8333,-0.777614,-0.024495,0.0208167,-0.00357604,0.625162,-9.72089,-0.9952,-0.0625916,0.0298077,-0.00165603,3.98021,-0.0518617,8.76691,-0.0307191,0.00196037,0.00749566,3.74711,1.11905,9.20247,-0.011469,-0.00508925,0.0175425,8.26129,-0.639296,5.29919,0.0189342,0.00993579,0.0101435
0.058,-0.740702,9.88807,-1.01239,0.0160005,0.00844611,0.0355897,0.256076,9.83466,-0.792017,-0.0243427,0.019407,-0.00251223,0.627289,-9.69425,-0.969898,-0.0627209,0.0311083,-0.00118875,3.97351,-0.0781432,8.76004,-0.0292045,0.00247757,0.00871024,3.76734,1.13143,9.21716,-0.0119684,-0.00605088,0.0182417,8.24776,-0.653115,5.30304,0.018754,0.0124043,0.0080872
0.059,-0.719862,9.89314,-1.0257,0.011878,0.0106946,0.0342762,0.236185,9.81288,-0.77507,-0.0236573,0.0201933,-0.00101426,0.597496,-9.7286,-0.990719,-0.0625876,0.0313532,-0.00136575,3.97548,-0.0784196,8.78043,-0.0270835,0.0046336,0.00891742,3.79691,1.12919,9.22993,-0.0135377,-0.00359047,0.0170651,8.27012,-0.64401,5.31452,0.0171516,0.0139512,0.00769447
