Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.057,0.054649,0.0498938,0.0545819,0.0722336,0.0227481,0.0899246,0.0320212,0.0449912,0.0729806,0.0345145,0.0776813,0.0151767,0.042298,0.0392404,0.0346643,0.0383191
0.058,0.0586163,0.050199,0.0579388,0.0551437,0.041669,0.163167,0.043923,0.0599448,0.0992258,0.0479422,0.0761554,0.0334872,0.0325323,0.0450388,0.0548059,0.0407605
0.059,0.0433575,0.0541663,0.0576337,0.0606369,0.0502139,0.097554,0.0381247,0.0526205,0.0894601,0.0473318,0.0666949,0.048746,0.0581671,0.0404611,0.0572473,0.0471692
0.06,0.0357281,0.0401282,0.0667889,0.0484299,0.0471622,0.0496414,0.0192038,0.0581137,0.0922067,0.0360403,0.0456378,0.102457,0.0487067,0.0654855,0.0487024,0.0401501
0.061,0.0540387,0.0355505,0.0515302,0.0597214,0.0224429,-0.00986786,0.0423972,0.0703207,0.0906808,0.0482474,0.0541827,0.115885,0.0679327,0.0154367,0.0499231,0.0267224
0.062,0.0558698,0.0254797,0.0619061,0.048735,0.0407535,-0.0348923,0.0188986,0.0648276,0.0680978,0.0549612,0.0346515,0.0933017,0.0453497,0.0425973,0.0673181,0.0218396
0.063,0.0479352,0.0447058,0.0521405,0.0707077,0.0373965,-0.0498459,0.0442282,0.0617758,0.0763376,0.0534354,0.0575397,0.0813998,0.0398566,0.0386301,0.0529749,0.0374036
0.064,0.0393903,0.0419592,0.0524457,0.0597214,0.0569278,-0.0855515,0.0555197,0.0697104,0.0424631,0.0455008,0.0450275,0.0728549,0.042298,0.0413766,0.0474817,0.0477795
0.065,0.0247418,0.00350708,0.0591595,0.0691818,0.0569278,-0.0324509,0.0680319,0.0437704,0.038801,0.0564871,0.0663898,0.0658359,0.0416876,0.0505319,0.0493127,0.045033
0.066,0.037254,0.0337195,0.0570233,0.0450729,0.0459415,-0.00590057,0.0622336,0.0581137,0.0104196,0.0531302,0.0599811,0.071329,0.042298,0.0731149,0.0572473,0.0453381
0.067,0.0403058,0.0505042,0.0469525,0.0603317,0.0453311,0.0191238,0.0814597,0.0636069,-0.0152151,0.0293265,0.0578448,0.052103,0.0850226,0.0499216,0.0441248,0.0654797
0.068,0.0619733,0.0495886,0.0347455,0.0597214,0.0535709,0.0130203,0.0765768,0.063912,-0.0542776,0.0494681,0.0483844,0.0768222,0.0535895,0.0554147,0.0667078,0.0401501
