Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.02,-1.05545,-10.2833,0.46514,-0.0914193,-1.65454,-0.601068,7.78222,0.080739,5.26985,1.68258,0.379862,0.895148,-0.893852,9.4109,-2.5765,-0.158438,1.34295,-0.247005,0.632474,-9.81247,-1.49885,-0.384484,-1.00536,-0.608543,4.41858,-0.176378,8.5634,0.0454535,0.101459,0.009085,-1.04284,9.25475,-2.82166,-0.0392336,0.345867,-0.220804,5.39788,4.20224,7.59418,0.87549,0.64623,0.591226
0.021,-0.998829,-10.3008,0.448494,-0.090024,-1.65851,-0.605725,7.78718,0.0783442,5.25983,1.69135,0.38244,0.902557,-0.909675,9.40956,-2.58687,-0.163821,1.34707,-0.248354,0.655664,-9.79966,-1.54214,-0.391622,-1.00536,-0.605095,4.43346,-0.16069,8.56122,0.049368,0.105176,0.00764482,-1.04291,9.25667,-2.80855,-0.0400443,0.347167,-0.221801,5.39288,4.20983,7.60036,0.882821,0.647303,0.600564
0.022,-0.942206,-10.3183,0.431848,-0.0886288,-1.66248,-0.610382,7.79215,0.0759494,5.24982,1.70013,0.385018,0.909966,-0.925498,9.40822,-2.59725,-0.169204,1.35118,-0.249702,0.678854,-9.78686,-1.58543,-0.39876,-1.00536,-0.601647,4.44834,-0.145002,8.55904,0.0532824,0.108893,0.00620465,-1.04298,9.25859,-2.79543,-0.040855,0.348466,-0.222798,5.38787,4.21741,7.60654,0.890152,0.648375,0.609902
0.023,-0.901662,-10.3208,0.421298,-0.0867649,-1.66656,-0.613218,7.81834,0.0978436,5.24416,1.70862,0.389538,0.918435,-0.952786,9.40092,-2.57265,-0.170458,1.35517,-0.253988,0.708349,-9.79999,-1.59604,-0.40502,-1.0081,-0.599081,4.45934,-0.127195,8.55476,0.0556745,0.11152,0.00500784,-1.0432,9.26066,-2.80707,-0.0423036,0.349583,-0.222769,5.37851,4.2225,7.62572,0.903476,0.650265,0.621284
0.024,-0.865713,-10.3191,0.412489,-0.0847671,-1.67067,-0.615533,7.85059,0.126678,5.23974,1.71702,0.394612,0.927206,-0.983349,9.39193,-2.53806,-0.170532,1.35913,-0.259113,0.739645,-9.82054,-1.59731,-0.411029,-1.01163,-0.596767,4.46922,-0.108781,8.54988,0.0576317,0.113836,0.00388056,-1.04347,9.26278,-2.82577,-0.0439345,0.350648,-0.222448,5.3679,4.22688,7.64861,0.918511,0.652388,0.633249
0.025,-0.829764,-10.3174,0.40368,-0.0827693,-1.67478,-0.617848,7.88285,0.155512,5.23532,1.72542,0.399686,0.935978,-1.01391,9.38293,-2.50347,-0.170606,1.36309,-0.264239,0.770941,-9.84109,-1.59858,-0.417039,-1.01515,-0.594453,4.47911,-0.0903682,8.545,0.0595888,0.116151,0.00275328,-1.04374,9.26489,-2.84447,-0.0455654,0.351713,-0.222126,5.35729,4.23127,7.67151,0.933546,0.654511,0.645214
0.026,-0.793814,-10.3157,0.394871,-0.0807714,-1.67889,-0.620164,7.91511,0.184346,5.23089,1.73382,0.40476,0.94475,-1.04448,9.37394,-2.46888,-0.17068,1.36705,-0.269364,0.802238,-9.86164,-1.59985,-0.423048,-1.01868,-0.592138,4.489,-0.0719549,8.54012,0.0615459,0.118467,0.001626,-1.04401,9.26701,-2.86317,-0.0471963,0.352777,-0.221804,5.34668,4.23565,7.6944,0.948582,0.656635,0.657179
0.027,-0.768731,-10.3028,0.391542,-0.0781161,-1.6824,-0.622271,7.94036,0.20194,5.21888,1.74112,0.408454,0.952376,-1.06032,9.36282,-2.4443,-0.171334,1.36993,-0.273071,0.829569,-9.87903,-1.59828,-0.428922,-1.02357,-0.589787,4.49145,-0.0490642,8.54265,0.0632675,0.120454,0.000470735,-1.04144,9.26622,-2.87238,-0.0491802,0.35422,-0.221711,5.34248,4.2228,7.71088,0.954182,0.658095,0.66826
0.028,-0.765382,-10.2676,0.399174,-0.0741459,-1.68472,-0.623963,7.9516,0.197053,5.19169,1.74623,0.409387,0.957713,-1.04673,9.34746,-2.43974,-0.173146,1.37068,-0.273942,0.848969,-9.89013,-1.59105,-0.434527,-1.03119,-0.587361,4.479,-0.0172186,8.56001,0.0645181,0.121783,-0.000740487,-1.0332,9.25963,-2.86261,-0.05187,0.356419,-0.222073,5.35109,4.17548,7.71452,0.940912,0.658228,0.677573
0.029,-0.762032,-10.2324,0.406805,-0.0701756,-1.68703,-0.625656,7.96285,0.192167,5.1645,1.75134,0.410321,0.963049,-1.03313,9.33211,-2.43518,-0.174959,1.37142,-0.274812,0.86837,-9.90122,-1.58382,-0.440131,-1.03881,-0.584935,4.46656,0.0146269,8.57737,0.0657686,0.123112,-0.00195171,-1.02497,9.25303,-2.85283,-0.0545599,0.358618,-0.222436,5.3597,4.12816,7.71815,0.927642,0.658362,0.686886
