Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.03,-0.322956,9.67516,-0.408233,0.0981309,0.161075,-0.0759372,5.00827,2.57905,8.40774,-0.203229,-0.000344509,0.114852,-0.736981,9.56646,-1.28057,0.146874,0.160878,-0.325557,9.71904,0.123976,3.40634,0.0127312,0.27024,-0.0617989,-1.52971,-9.67648,-2.29344,-0.103068,0.0124231,0.227144,4.86611,-1.92886,8.16967,0.0998736,-0.0188643,-0.0124497,-0.91743,-9.90613,-1.25196,0.0281918,0.0883408,0.0606793
0.031,-0.336976,9.67156,-0.463471,0.101438,0.161022,-0.0748191,5.00743,2.55068,8.40238,-0.201873,-0.000631079,0.11494,-0.732932,9.59641,-1.26525,0.149634,0.159163,-0.326264,9.70623,0.128092,3.40513,0.0157298,0.271194,-0.0627314,-1.50763,-9.70976,-2.26953,-0.101596,0.020392,0.22706,4.80539,-1.95548,8.19867,0.087602,-0.0218585,-0.00381583,-0.893968,-9.89775,-1.25146,0.0253343,0.0869063,0.0601417
0.032,-0.359298,9.67423,-0.530445,0.104276,0.16621,-0.0728828,5.00889,2.52866,8.40633,-0.199075,-0.000529568,0.115247,-0.738686,9.62278,-1.27208,0.151688,0.158897,-0.324781,9.66343,0.158628,3.3999,0.0167039,0.272234,-0.0627517,-1.48427,-9.72087,-2.23023,-0.0993898,0.0248935,0.225028,4.7879,-1.9659,8.19465,0.0771668,-0.0238682,0.00312717,-0.885075,-9.8783,-1.23142,0.0226013,0.0859234,0.0589653
0.033,-0.382657,9.67769,-0.598886,0.107055,0.172052,-0.0708444,5.01063,2.50743,8.41144,-0.196097,-0.000379548,0.115582,-0.745667,9.64869,-1.28169,0.153653,0.158813,-0.323024,9.61689,0.192466,3.39417,0.0174249,0.273285,-0.0626581,-1.46074,-9.72922,-2.18902,-0.0970918,0.0289616,0.222752,4.77582,-1.97429,8.18649,0.066961,-0.0257548,0.00985881,-0.878003,-9.85747,-1.20893,0.0198839,0.0849969,0.0577091
0.034,-0.406016,9.68115,-0.667327,0.109834,0.177894,-0.0688059,5.01237,2.4862,8.41656,-0.193119,-0.000229527,0.115917,-0.752647,9.6746,-1.2913,0.155618,0.158728,-0.321267,9.57034,0.226304,3.38844,0.0181459,0.274336,-0.0625644,-1.43722,-9.73756,-2.14781,-0.0947938,0.0330297,0.220477,4.76374,-1.98268,8.17834,0.0567553,-0.0276414,0.0165904,-0.870932,-9.83664,-1.18645,0.0171665,0.0840705,0.0564529
0.035,-0.429375,9.68461,-0.735769,0.112613,0.183736,-0.0667674,5.01412,2.46498,8.42167,-0.19014,-7.95e-05,0.116253,-0.759627,9.70052,-1.30091,0.157583,0.158643,-0.31951,9.52379,0.260143,3.3827,0.0188669,0.275386,-0.0624708,-1.41369,-9.7459,-2.10659,-0.0924959,0.0370977,0.218201,4.75166,-1.99107,8.17019,0.0465495,-0.0295281,0.0233221,-0.86386,-9.8158,-1.16397,0.0144491,0.0831441,0.0551967
0.036,-0.434182,9.69616,-0.782421,0.11391,0.189323,-0.0659901,5.00969,2.44493,8.41858,-0.186289,0.000689417,0.115462,-0.754782,9.73306,-1.3227,0.158675,0.160856,-0.31649,9.49542,0.282429,3.38642,0.0186624,0.277101,-0.0623539,-1.3908,-9.74831,-2.07852,-0.091541,0.039539,0.216721,4.75042,-2.00308,8.16399,0.0385456,-0.0307984,0.0285049,-0.85926,-9.79856,-1.14573,0.0128844,0.0819581,0.053939
0.037,-0.415798,9.71783,-0.801837,0.113352,0.194589,-0.0667892,4.99756,2.42635,8.40521,-0.181347,0.00223197,0.113263,-0.735156,9.77388,-1.3597,0.158674,0.165941,-0.31189,9.48977,0.290276,3.40194,0.0173011,0.279646,-0.0622079,-1.36869,-9.7433,-2.06688,-0.092265,0.0399468,0.216235,4.76272,-2.0196,8.16021,0.033294,-0.0312982,0.0317517,-0.857748,-9.7858,-1.13279,0.0127607,0.0804478,0.0526796
0.038,-0.397414,9.7395,-0.821254,0.112795,0.199855,-0.0675884,4.98542,2.40778,8.39185,-0.176405,0.00377452,0.111065,-0.71553,9.8147,-1.39669,0.158674,0.171025,-0.30729,9.48412,0.298123,3.41746,0.0159398,0.282191,-0.0620619,-1.34657,-9.73829,-2.05523,-0.092989,0.0403545,0.215749,4.77503,-2.03613,8.15644,0.0280423,-0.031798,0.0349985,-0.856237,-9.77304,-1.11986,0.0126369,0.0789375,0.0514202
0.039,-0.379031,9.76117,-0.84067,0.112237,0.205121,-0.0683875,4.97329,2.38921,8.37849,-0.171463,0.00531708,0.108867,-0.695905,9.85553,-1.43369,0.158673,0.17611,-0.302691,9.47847,0.305969,3.43298,0.0145785,0.284736,-0.061916,-1.32446,-9.73327,-2.04359,-0.0937131,0.0407623,0.215264,4.78734,-2.05266,8.15266,0.0227907,-0.0322979,0.0382452,-0.854725,-9.76027,-1.10693,0.0125132,0.0774272,0.0501608
0.04,-0.360647,9.78285,-0.860087,0.111679,0.210387,-0.0691867,4.96116,2.37063,8.36513,-0.16652,0.00685963,0.106669,-0.676279,9.89635,-1.47069,0.158673,0.181195,-0.298091,9.47282,0.313816,3.44851,0.0132172,0.287281,-0.06177,-1.30235,-9.72826,-2.03194,-0.0944371,0.0411701,0.214778,4.79964,-2.06918,8.14889,0.0175391,-0.0327977,0.041492,-0.853214,-9.74751,-1.09399,0.0123895,0.0759169,0.0489013
0.041,-0.348793,9.77722,-0.886784,0.112474,0.212416,-0.0720381,4.95088,2.32753,8.37189,-0.163762,0.00548192,0.105175,-0.677379,9.90151,-1.47958,0.156334,0.188366,-0.294228,9.47744,0.316032,3.43379,0.0132554,0.290187,-0.0609452,-1.28864,-9.69376,-2.02283,-0.0969625,0.0382435,0.216825,4.82945,-2.12639,8.16562,0.0147743,-0.0324599,0.0448813,-0.846766,-9.77431,-1.10848,0.0102929,0.0750136,0.0504689
0.042,-0.33694,9.7716,-0.913482,0.113268,0.214445,-0.0748896,4.9406,2.28443,8.37866,-0.161004,0.0041042,0.10368,-0.67848,9.90666,-1.48847,0.153995,0.195537,-0.290364,9.48206,0.318248,3.41908,0.0132935,0.293092,-0.0601204,-1.27492,-9.65926,-2.01372,-0.099488,0.0353168,0.218872,4.85926,-2.1836,8.18236,0.0120096,-0.032122,0.0482706,-0.840319,-9.8011,-1.12297,0.00819639,0.0741103,0.0520365
0.043,-0.325086,9.76597,-0.94018,0.114063,0.216474,-0.077741,4.93032,2.24133,8.38542,-0.158245,0.00272649,0.102186,-0.67958,9.91182,-1.49736,0.151656,0.202708,-0.286501,9.48668,0.320464,3.40437,0.0133317,0.295997,-0.0592956,-1.26121,-9.62475,-2.0046,-0.102013,0.0323902,0.220919,4.88907,-2.2408,8.1991,0.00924484,-0.0317842,0.0516599,-0.833871,-9.82789,-1.13746,0.00609986,0.073207,0.053604
0.044,-0.313233,9.76035,-0.966877,0.114857,0.218503,-0.0805925,4.92005,2.19823,8.39218,-0.155487,0.00134878,0.100692,-0.680681,9.91698,-1.50625,0.149317,0.209878,-0.282638,9.49129,0.32268,3.38965,0.0133698,0.298903,-0.0584708,-1.2475,-9.59025,-1.99549,-0.104539,0.0294636,0.222966,4.91888,-2.29801,8.21584,0.00648009,-0.0314464,0.0550492,-0.827424,-9.85469,-1.15196,0.00400333,0.0723037,0.0551716
0.045,-0.303136,9.76131,-0.969373,0.114758,0.218075,-0.0822565,4.90739,2.16795,8.39881,-0.15242,0.000714048,0.099436,-0.687853,9.92223,-1.50408,0.146411,0.216582,-0.279738,9.48061,0.33106,3.37242,0.0128317,0.301955,-0.057138,-1.23383,-9.55136,-1.98132,-0.107403,0.0255363,0.225899,4.94501,-2.3486,8.23232,0.00455876,-0.0318981,0.0547635,-0.838435,-9.86585,-1.14917,0.00270879,0.0711622,0.0562974
0.046,-0.294445,9.76755,-0.952507,0.113943,0.215683,-0.0829707,4.89283,2.14791,8.40534,-0.149108,0.000673699,0.0983706,-0.699882,9.92758,-1.49306,0.143052,0.222911,-0.27761,9.4577,0.344373,3.35316,0.0118326,0.305124,-0.0553989,-1.2202,-9.50897,-1.9631,-0.110538,0.0208086,0.229541,4.9682,-2.39389,8.24861,0.00331215,-0.0329815,0.0515378,-0.863413,-9.86451,-1.13256,0.00205584,0.0698303,0.0570697
0.047,-0.285755,9.77378,-0.935641,0.113129,0.21329,-0.0836849,4.87826,2.12787,8.41188,-0.145795,0.000633351,0.0973052,-0.711911,9.93292,-1.48203,0.139693,0.229241,-0.275482,9.43479,0.357685,3.33391,0.0108335,0.308294,-0.0536597,-1.20657,-9.46658,-1.94489,-0.113673,0.0160808,0.233183,4.99139,-2.43919,8.2649,0.00206555,-0.0340649,0.0483122,-0.888391,-9.86317,-1.11595,0.0014029,0.0684983,0.057842
0.048,-0.277064,9.78002,-0.918775,0.112315,0.210897,-0.084399,4.8637,2.10784,8.41841,-0.142482,0.000593002,0.0962399,-0.723941,9.93826,-1.47101,0.136334,0.23557,-0.273354,9.41187,0.370998,3.31465,0.0098344,0.311463,-0.0519206,-1.19294,-9.42418,-1.92667,-0.116808,0.0113531,0.236824,5.01458,-2.48448,8.28119,0.000818949,-0.0351482,0.0450865,-0.91337,-9.86183,-1.09935,0.000749951,0.0671663,0.0586144
0.049,-0.266842,9.78491,-0.90762,0.111547,0.20867,-0.0852876,4.85299,2.09114,8.42324,-0.13906,0.000596459,0.0947191,-0.732615,9.9435,-1.46067,0.132952,0.241509,-0.271469,9.38684,0.384005,3.30144,0.0087041,0.314619,-0.0502118,-1.17911,-9.38382,-1.91173,-0.119656,0.00675731,0.240217,5.03035,-2.52138,8.2931,-0.000551282,-0.0360741,0.042343,-0.937759,-9.86303,-1.08243,-6.18e-05,0.0658206,0.0593094
0.05,-0.244377,9.77908,-0.942154,0.111156,0.207776,-0.0875717,4.87306,2.10113,8.41442,-0.134765,0.000950353,0.0895553,-0.71445,9.94792,-1.45577,0.129389,0.244323,-0.27153,9.34491,0.394572,3.3366,0.00652424,0.317667,-0.0487458,-1.16367,-9.35973,-1.923,-0.120212,0.00321741,0.241617,4.98675,-2.49113,8.26995,-0.00291054,-0.0357401,0.0434562,-0.957435,-9.88463,-1.06304,-0.00214359,0.0643655,0.0593857
0.051,-0.221912,9.77325,-0.976689,0.110765,0.206882,-0.0898557,4.89314,2.11113,8.40561,-0.13047,0.00130425,0.0843915,-0.696285,9.95234,-1.45087,0.125825,0.247138,-0.27159,9.30298,0.405139,3.37176,0.00434437,0.320715,-0.0472797,-1.14824,-9.33563,-1.93427,-0.120767,-0.000322487,0.243017,4.94315,-2.46089,8.2468,-0.0052698,-0.0354062,0.0445695,-0.977111,-9.90623,-1.04364,-0.00422542,0.0629104,0.059462
