Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.022,-0.363964,9.87727,-0.86829,0.0546336,0.109318,-0.0073055,0.646935,9.55912,-1.54203,0.0131103,0.0773615,-0.105136,0.631401,-9.83719,-0.937273,-0.006967,0.0225216,0.0555566,4.1753,-0.785843,8.74711,0.0709933,0.0532674,-0.0358159,3.78392,1.65056,9.11658,-0.0138787,-0.00238298,0.0272906,7.55324,-1.08622,5.81728,0.218153,-0.154887,0.120867
0.023,-0.391599,9.86189,-0.893984,0.056522,0.111588,-0.00710863,0.630293,9.56559,-1.55356,0.0109156,0.0792873,-0.106586,0.598999,-9.8491,-0.93939,-0.00637141,0.0205693,0.0556178,4.17809,-0.784875,8.7366,0.0718563,0.0535726,-0.0375242,3.79702,1.63353,9.11526,-0.0145243,-0.00426361,0.0267022,7.53861,-1.08478,5.77939,0.222006,-0.150765,0.12536
0.024,-0.4183,9.83934,-0.923761,0.0580456,0.11428,-0.00659581,0.609539,9.57314,-1.56983,0.00840082,0.0814667,-0.108302,0.568903,-9.8566,-0.947267,-0.0063536,0.0191403,0.054796,4.17298,-0.784761,8.71896,0.0731061,0.0545298,-0.0393728,3.815,1.61544,9.1179,-0.0151465,-0.00625321,0.0257672,7.51054,-1.08203,5.74291,0.226649,-0.14615,0.128997
0.025,-0.445001,9.8168,-0.953538,0.0595693,0.116972,-0.00608298,0.588785,9.5807,-1.58611,0.00588599,0.083646,-0.110018,0.538808,-9.86409,-0.955145,-0.00633579,0.0177112,0.0539742,4.16786,-0.784648,8.70133,0.0743559,0.055487,-0.0412213,3.83299,1.59734,9.12054,-0.0157687,-0.00824282,0.0248322,7.48248,-1.07929,5.70644,0.231291,-0.141536,0.132634
0.026,-0.471702,9.79426,-0.983315,0.061093,0.119664,-0.00557016,0.568032,9.58826,-1.60238,0.00337116,0.0858253,-0.111733,0.508712,-9.87159,-0.963022,-0.00631798,0.0162822,0.0531523,4.16275,-0.784535,8.6837,0.0756056,0.0564441,-0.0430699,3.85097,1.57925,9.12318,-0.0163909,-0.0102324,0.0238972,7.45441,-1.07654,5.66996,0.235934,-0.136921,0.136272
0.027,-0.508935,9.78112,-1.00108,0.0620382,0.122069,-0.00509311,0.54855,9.59314,-1.61668,0.000566803,0.0877219,-0.113038,0.492938,-9.87271,-0.972577,-0.00608884,0.0149999,0.0536163,4.1497,-0.783022,8.67229,0.077004,0.0573277,-0.043947,3.86709,1.55515,9.12414,-0.0165837,-0.0114176,0.0231668,7.44908,-1.08153,5.64605,0.240583,-0.132701,0.139511
0.028,-0.56723,9.78678,-0.994818,0.0618263,0.123903,-0.0046876,0.531614,9.59263,-1.62702,-0.00281659,0.0890531,-0.113521,0.505809,-9.86107,-0.985488,-0.00543704,0.0140113,0.0566517,4.12076,-0.778709,8.67336,0.0786994,0.058064,-0.0428813,3.87947,1.51903,9.12172,-0.0159175,-0.010994,0.0228456,7.48922,-1.10199,5.64729,0.245246,-0.12927,0.141954
0.029,-0.625525,9.79244,-0.988557,0.0616144,0.125737,-0.00428209,0.514678,9.59213,-1.63737,-0.00619999,0.0903842,-0.114005,0.518679,-9.84944,-0.998399,-0.00478524,0.0130227,0.0596872,4.09182,-0.774397,8.67441,0.0803949,0.0588003,-0.0418156,3.89185,1.48292,9.11931,-0.0152513,-0.0105704,0.0225244,7.52936,-1.12244,5.64853,0.249909,-0.125839,0.144398
0.03,-0.68382,9.79811,-0.982295,0.0614025,0.127571,-0.00387658,0.497742,9.59163,-1.64772,-0.00958339,0.0917154,-0.114488,0.53155,-9.8378,-1.01131,-0.00413343,0.0120341,0.0627226,4.06288,-0.770084,8.67547,0.0820904,0.0595366,-0.0407499,3.90423,1.44681,9.1169,-0.0145852,-0.0101467,0.0222032,7.5695,-1.1429,5.64976,0.254572,-0.122408,0.146841
0.031,-0.742115,9.80377,-0.976034,0.0611906,0.129405,-0.00347107,0.480806,9.59112,-1.65806,-0.0129668,0.0930466,-0.114971,0.544421,-9.82616,-1.02422,-0.00348163,0.0110455,0.0657581,4.03394,-0.765772,8.67653,0.0837858,0.060273,-0.0396842,3.91661,1.4107,9.11449,-0.013919,-0.00972312,0.021882,7.60964,-1.16336,5.651,0.259234,-0.118977,0.149284
0.032,-0.773078,9.80924,-0.968007,0.0587085,0.129041,-0.00574593,0.452914,9.58972,-1.65722,-0.0152649,0.0932951,-0.114693,0.545004,-9.83405,-1.00109,-0.00215906,0.0098724,0.0671001,4.07398,-0.773421,8.66544,0.0843997,0.061867,-0.0385995,3.9415,1.41513,9.14061,-0.0141778,-0.00999566,0.0230359,7.64009,-1.17707,5.65403,0.264114,-0.115312,0.151635
0.033,-0.800624,9.81469,-0.95976,0.0559426,0.128402,-0.00835585,0.423653,9.58821,-1.65498,-0.0174273,0.0934083,-0.11432,0.544052,-9.84438,-0.973462,-0.000752648,0.00867629,0.0682305,4.12264,-0.782566,8.65282,0.0848783,0.0635683,-0.0375125,3.96796,1.42463,9.1703,-0.0145523,-0.0103552,0.0243741,7.66933,-1.18994,5.65728,0.26902,-0.111617,0.153973
0.034,-0.828171,9.82014,-0.951513,0.0531768,0.127763,-0.0109658,0.394392,9.5867,-1.65274,-0.0195897,0.0935215,-0.113947,0.5431,-9.85471,-0.94583,0.000653768,0.00748018,0.0693609,4.17131,-0.791711,8.64021,0.0853569,0.0652696,-0.0364254,3.99442,1.43413,9.2,-0.0149268,-0.0107148,0.0257123,7.69856,-1.20281,5.66053,0.273927,-0.107922,0.156312
0.035,-0.855717,9.82559,-0.943265,0.050411,0.127125,-0.0135757,0.365132,9.58518,-1.6505,-0.0217522,0.0936347,-0.113574,0.542148,-9.86504,-0.918199,0.00206018,0.00628407,0.0704914,4.21997,-0.800856,8.62759,0.0858355,0.0669709,-0.0353384,4.02088,1.44363,9.22969,-0.0153012,-0.0110743,0.0270506,7.7278,-1.21568,5.66378,0.278833,-0.104227,0.15865
0.036,-0.886746,9.82304,-0.938574,0.0498506,0.126574,-0.0153336,0.339299,9.58573,-1.64538,-0.0231036,0.0936486,-0.113106,0.545688,-9.87427,-0.897069,0.00216387,0.00548825,0.0716522,4.25176,-0.794843,8.63056,0.0877609,0.0685034,-0.0348516,4.03772,1.45213,9.25177,-0.0169532,-0.0116401,0.0278667,7.76142,-1.23891,5.65967,0.282272,-0.100424,0.16031
0.037,-0.922128,9.81049,-0.938327,0.0520471,0.126134,-0.0160264,0.317753,9.58887,-1.63665,-0.0234414,0.0935384,-0.112519,0.554843,-9.88214,-0.884065,0.000639137,0.00519279,0.0728511,4.26245,-0.769882,8.65301,0.0914948,0.0698249,-0.0351151,4.04254,1.45938,9.26435,-0.0202022,-0.0124637,0.0280303,7.80053,-1.27508,5.64636,0.283876,-0.0964868,0.161122
0.038,-0.95751,9.79795,-0.938081,0.0542436,0.125694,-0.0167193,0.296206,9.592,-1.62793,-0.0237792,0.0934281,-0.111933,0.563997,-9.89001,-0.871062,-0.000885594,0.00489733,0.0740501,4.27314,-0.744922,8.67547,0.0952288,0.0711463,-0.0353787,4.04736,1.46663,9.27693,-0.0234512,-0.0132873,0.0281939,7.83963,-1.31125,5.63305,0.28548,-0.0925496,0.161934
0.039,-0.992892,9.7854,-0.937834,0.05644,0.125254,-0.0174121,0.27466,9.59513,-1.61921,-0.0241169,0.0933179,-0.111346,0.573152,-9.89788,-0.858058,-0.00241032,0.00460188,0.075249,4.28382,-0.719962,8.69792,0.0989627,0.0724678,-0.0356422,4.05218,1.47389,9.28951,-0.0267002,-0.0141108,0.0283575,7.87874,-1.34742,5.61974,0.287083,-0.0886123,0.162746
0.04,-1.02827,9.77285,-0.937588,0.0586365,0.124814,-0.018105,0.253113,9.59826,-1.61048,-0.0244547,0.0932076,-0.11076,0.582307,-9.90575,-0.845055,-0.00393506,0.00430642,0.0764479,4.29451,-0.695001,8.72037,0.102697,0.0737893,-0.0359057,4.05699,1.48114,9.30209,-0.0299492,-0.0149344,0.028521,7.91785,-1.38359,5.60643,0.288687,-0.0846751,0.163557
0.041,-1.0203,9.75389,-0.927272,0.0585611,0.124377,-0.0214219,0.279437,9.59718,-1.61775,-0.0239714,0.0925648,-0.11076,0.578557,-9.89982,-0.835151,-0.0033122,-0.00219977,0.0765001,4.28064,-0.712046,8.72639,0.103313,0.0733365,-0.038054,4.03065,1.49225,9.25068,-0.0283889,-0.0113288,0.0282114,7.94883,-1.3637,5.6061,0.29162,-0.0828188,0.164877
0.042,-1.01233,9.73493,-0.916957,0.0584857,0.123939,-0.0247388,0.305761,9.59609,-1.62501,-0.0234881,0.0919219,-0.11076,0.574808,-9.89389,-0.825247,-0.00268933,-0.00870597,0.0765523,4.26677,-0.72909,8.73242,0.103929,0.0728837,-0.0402023,4.00431,1.50337,9.19926,-0.0268287,-0.0077232,0.0279017,7.97982,-1.3438,5.60577,0.294552,-0.0809625,0.166197
0.043,-1.00436,9.71597,-0.906641,0.0584103,0.123502,-0.0280556,0.332085,9.595,-1.63228,-0.0230049,0.091279,-0.11076,0.571058,-9.88796,-0.815342,-0.00206647,-0.0152122,0.0766046,4.2529,-0.746134,8.73845,0.104545,0.072431,-0.0423505,3.97797,1.51448,9.14784,-0.0252684,-0.00411761,0.0275921,8.0108,-1.3239,5.60544,0.297485,-0.0791062,0.167517
0.044,-0.996389,9.69701,-0.896325,0.0583349,0.123065,-0.0313725,0.358409,9.59392,-1.63955,-0.0225216,0.0906361,-0.11076,0.567308,-9.88203,-0.805438,-0.00144361,-0.0217184,0.0766568,4.23902,-0.763179,8.74447,0.105161,0.0719782,-0.0444988,3.95162,1.5256,9.09642,-0.0237082,-0.000512017,0.0272824,8.04179,-1.30401,5.6051,0.300417,-0.0772499,0.168838
