Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.053,-0.137001,0.0587439,0.0384076,0.0877975,0.0477725,0.0337723,0.0182883,0.0831381,0.100141,0.196868,0.0517413,0.0673618,0.0554205,0.0447336,0.0599939,0.165272
0.054,-0.123268,0.0569128,0.0496991,0.0905441,0.0413638,0.0542191,0.0402609,0.0974814,0.14134,0.180999,-0.0657513,0.0881137,0.0578619,0.0389352,0.0432092,0.166188
0.055,0.00643127,0.0593542,0.0490887,0.0685715,0.0361758,0.0615433,0.049111,0.0858847,0.155683,0.204497,-0.102678,0.0734653,0.0453497,0.0450388,0.0325281,0.199757
0.056,0.10775,0.0599646,0.0420697,0.0688766,0.0477725,0.0502518,0.0771872,0.0922934,0.134931,0.211516,-0.128007,0.0716342,0.0755621,0.036799,0.0368005,0.175038
0.057,0.0903546,0.0404334,0.0481732,0.0673508,0.0425845,0.067952,0.105263,0.0791708,0.148359,0.230132,0.319075,0.0557651,0.0487067,0.0306955,0.0453455,0.193043
0.058,0.0363385,0.050199,0.061601,0.0716232,0.0337344,0.0691727,0.132729,0.0999228,0.147749,0.221282,0.599532,0.0517978,0.059693,0.0288644,0.0578577,0.198536
0.059,0.014671,0.0587439,0.0667889,0.0710129,0.0462466,0.0542191,0.133645,0.11213,0.1508,0.224639,0.0639484,0.0231113,0.0566412,0.0401559,0.0609094,0.193348
0.06,0.0113141,0.0529456,0.056413,0.0676559,0.0309879,0.0609329,0.115945,0.108773,0.140425,0.215484,-0.131364,0.024332,0.0548102,0.0319162,0.0523645,0.171986
0.061,0.0464093,0.0410437,0.0457318,0.0441574,0.0285464,0.0551346,0.0875632,0.0990073,0.0742014,0.214568,-0.134721,0.0496616,0.0410773,0.0404611,0.0575525,0.146656
0.062,0.0421368,0.0187659,0.0576337,0.0133347,0.0264102,0.0410965,0.0579611,0.11274,-0.00270294,0.219451,-0.0633099,0.0444736,0.0410773,0.0477853,0.0523645,0.136891
0.063,-0.00638611,0.055387,0.0637372,0.0133347,0.0438052,0.0435379,0.04728,0.106637,-0.0414603,0.166656,-0.0370648,0.0432529,0.049317,0.0267282,0.063656,0.142994
0.064,-0.00699646,0.0654578,0.0640424,0.024321,0.0340396,0.0514725,0.0243918,0.111214,-0.0912039,0.207549,0.168013,0.0633945,0.0264288,0.0480905,0.0728113,0.154286
0.065,0.0522076,0.074613,0.0493939,0.0343918,0.0306827,0.0508621,0.0112692,0.13929,-0.105547,0.232879,0.157027,0.0536288,0.0310065,0.0554147,0.035885,0.137501
0.066,0.0885236,0.0776648,0.0469525,0.0682663,0.0459415,0.0362137,-0.0491556,0.115182,-0.0847952,0.23471,0.289168,0.0582065,0.0352789,0.0633493,0.0490076,0.143605
0.067,0.0662457,0.0816321,0.0396283,0.0493454,0.0285464,0.0157669,-0.0647195,0.108163,-0.110125,0.224639,0.201888,0.0728549,0.0349738,0.0599924,0.0529749,0.123463
0.068,0.0586163,0.0532507,0.0637372,0.0578903,0.0315982,0.0533035,-0.0857767,0.138985,-0.155291,0.242339,0.104537,0.0563754,0.0395514,0.0483957,0.0541956,0.115529
