Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.02,4.81851,-5.03552,7.08313,-0.0237016,-0.014134,0.00230674,-1.78943,9.26621,-2.04393,-0.0123911,0.0330275,0.0192396,-2.09104,9.3574,-1.97521,-0.017976,-0.0566594,0.0218648,-0.895773,-9.69258,-1.29877,0.0330154,0.0099544,-0.0214445,5.67277,2.79071,7.30931,-0.0731178,0.025238,0.0502047,9.61792,0.0136465,0.840244,-0.0660161,-0.0510939,0.0138936,-1.74627,-9.67811,-1.4552,0.000448942,0.0564973,-0.00863495
0.021,4.80322,-5.00816,7.0929,-0.0229022,-0.0123839,0.00308673,-1.81832,9.26297,-2.05809,-0.0130959,0.0330724,0.0183125,-2.09849,9.35886,-1.95737,-0.0197207,-0.0547147,0.0218781,-0.89145,-9.68434,-1.3112,0.034453,0.0104525,-0.0221364,5.68601,2.80499,7.29424,-0.0726039,0.0257904,0.0521902,9.64867,0.00543478,0.845633,-0.0660224,-0.0496819,0.0138717,-1.76169,-9.67376,-1.43027,0.000707299,0.0573666,-0.00956059
0.022,4.78792,-4.98079,7.10267,-0.0221027,-0.0106338,0.00386671,-1.8472,9.25973,-2.07225,-0.0138007,0.0331174,0.0173853,-2.10593,9.36032,-1.93954,-0.0214654,-0.0527701,0.0218914,-0.887128,-9.67611,-1.32363,0.0358905,0.0109507,-0.0228283,5.69925,2.81927,7.27916,-0.07209,0.0263428,0.0541756,9.67943,-0.00277697,0.851022,-0.0660286,-0.0482699,0.0138499,-1.77711,-9.66941,-1.40534,0.000965657,0.0582359,-0.0104862
0.023,4.77988,-4.96145,7.11811,-0.0223748,-0.00957026,0.0035791,-1.83119,9.26257,-2.07792,-0.0141241,0.0338201,0.017227,-2.10893,9.36384,-1.93689,-0.0219273,-0.0507193,0.0230753,-0.896323,-9.66426,-1.31891,0.035898,0.0122549,-0.0237843,5.70647,2.82346,7.26768,-0.0721857,0.0267565,0.0546407,9.6705,-0.00134067,0.854767,-0.0660386,-0.0470225,0.0145948,-1.77758,-9.67528,-1.39021,0.00100851,0.0578442,-0.0102387
0.024,4.7739,-4.94441,7.13516,-0.0229531,-0.00870292,0.00298646,-1.80235,9.26713,-2.08117,-0.0143384,0.0347107,0.0172883,-2.11065,9.36795,-1.93858,-0.0220227,-0.0486382,0.0245936,-0.909379,-9.65137,-1.30929,0.0354968,0.0137895,-0.0248158,5.71197,2.82477,7.25724,-0.0724556,0.0271306,0.0546713,9.65022,0.0028522,0.858043,-0.0660497,-0.0458221,0.0155588,-1.77378,-9.68407,-1.37787,0.000989791,0.0570923,-0.00965594
0.025,4.76792,-4.92737,7.15221,-0.0235313,-0.00783557,0.00239382,-1.77352,9.2717,-2.08442,-0.0145528,0.0356014,0.0173497,-2.11237,9.37205,-1.94027,-0.0221181,-0.0465571,0.026112,-0.922435,-9.63849,-1.29967,0.0350956,0.015324,-0.0258472,5.71747,2.82608,7.24679,-0.0727255,0.0275046,0.054702,9.62995,0.00704508,0.86132,-0.0660608,-0.0446217,0.0165229,-1.76997,-9.69286,-1.36554,0.000971071,0.0563403,-0.0090732
0.026,4.76194,-4.91032,7.16926,-0.0241095,-0.00696823,0.00180117,-1.74468,9.27626,-2.08766,-0.0147671,0.036492,0.0174111,-2.11409,9.37616,-1.94195,-0.0222135,-0.044476,0.0276303,-0.93549,-9.6256,-1.29005,0.0346945,0.0168586,-0.0268787,5.72297,2.82739,7.23634,-0.0729955,0.0278787,0.0547326,9.60968,0.011238,0.864596,-0.0660718,-0.0434214,0.0174869,-1.76617,-9.70165,-1.3532,0.000952352,0.0555884,-0.00849046
0.027,4.75383,-4.90728,7.17949,-0.0245286,-0.0065245,0.00114925,-1.71241,9.27982,-2.08885,-0.014818,0.0369376,0.0174766,-2.12447,9.37512,-1.94432,-0.022179,-0.0428371,0.0290729,-0.941048,-9.6195,-1.28762,0.0347293,0.0173778,-0.0272236,5.72596,2.83384,7.23275,-0.0739066,0.0281372,0.0545916,9.60076,0.00659467,0.868557,-0.0671819,-0.0430878,0.0186841,-1.77121,-9.71061,-1.34422,0.000615615,0.0541693,-0.00763524
0.028,4.74146,-4.93225,7.17608,-0.0246295,-0.00692802,0.000378779,-1.67328,9.28137,-2.08589,-0.0145418,0.0364929,0.0175505,-2.15215,9.36376,-1.94804,-0.0218848,-0.0420827,0.0303638,-0.931609,-9.62698,-1.29958,0.0356362,0.0158663,-0.0261954,5.72393,2.85054,7.24291,-0.0761001,0.0281648,0.0541071,9.61453,-0.0157209,0.87389,-0.0704898,-0.0444878,0.0203477,-1.79394,-9.71993,-1.34194,-0.000357159,0.0514159,-0.00623508
0.029,4.72909,-4.95721,7.17267,-0.0247304,-0.00733153,-0.000391697,-1.63415,9.28291,-2.08294,-0.0142657,0.0360482,0.0176244,-2.17984,9.3524,-1.95176,-0.0215905,-0.0413283,0.0316547,-0.92217,-9.63445,-1.31154,0.0365431,0.0143549,-0.0251672,5.7219,2.86725,7.25306,-0.0782937,0.0281923,0.0536226,9.62831,-0.0380366,0.879222,-0.0737977,-0.0458878,0.0220113,-1.81668,-9.72924,-1.33965,-0.00132993,0.0486624,-0.00483492
0.03,4.71671,-4.98218,7.16927,-0.0248313,-0.00773505,-0.00116217,-1.59501,9.28446,-2.07999,-0.0139895,0.0356036,0.0176983,-2.20752,9.34104,-1.95548,-0.0212963,-0.0405739,0.0329456,-0.912731,-9.64192,-1.32349,0.0374499,0.0128434,-0.024139,5.71986,2.88396,7.26321,-0.0804872,0.0282198,0.0531381,9.64208,-0.0603522,0.884554,-0.0771057,-0.0472878,0.0236749,-1.83941,-9.73856,-1.33737,-0.0023027,0.045909,-0.00343476
0.031,4.70434,-5.00714,7.16586,-0.0249321,-0.00813856,-0.00193265,-1.55588,9.286,-2.07704,-0.0137134,0.0351589,0.0177722,-2.2352,9.32968,-1.9592,-0.0210021,-0.0398195,0.0342365,-0.903292,-9.64939,-1.33545,0.0383568,0.0113319,-0.0231108,5.71783,2.90067,7.27336,-0.0826807,0.0282473,0.0526537,9.65586,-0.0826678,0.889886,-0.0804136,-0.0486878,0.0253385,-1.86215,-9.74787,-1.33509,-0.00327548,0.0431556,-0.0020346
0.032,4.70933,-5.01482,7.15035,-0.0245132,-0.00895347,-0.00204737,-1.54323,9.30018,-2.07002,-0.0118742,0.0353542,0.0185464,-2.23746,9.32724,-1.94226,-0.0221991,-0.0390044,0.0342837,-0.893154,-9.67356,-1.35168,0.0397782,0.0111365,-0.0224443,5.71518,2.90977,7.28489,-0.0821579,0.0289903,0.0531119,9.6436,-0.0674236,0.887751,-0.0780272,-0.0463334,0.0248707,-1.84991,-9.7429,-1.34911,-0.00327475,0.0403855,-0.00334948
0.033,4.71648,-5.02033,7.13334,-0.0240292,-0.00981981,-0.00208013,-1.5339,9.31594,-2.06249,-0.00983971,0.0356294,0.0194081,-2.23654,9.32593,-1.92274,-0.0235825,-0.0381819,0.0341754,-0.882928,-9.69983,-1.36845,0.0412638,0.0111056,-0.0218229,5.71244,2.91792,7.2966,-0.0812956,0.0298227,0.0536881,9.62809,-0.0474844,0.884683,-0.074929,-0.0435097,0.0241366,-1.8333,-9.73614,-1.36517,-0.00315234,0.0376133,-0.00500374
0.034,4.72363,-5.02584,7.11632,-0.0235452,-0.0106861,-0.00211288,-1.52456,9.33171,-2.05496,-0.00780518,0.0359047,0.0202697,-2.23563,9.32461,-1.90322,-0.0249659,-0.0373593,0.0340671,-0.872702,-9.72609,-1.38522,0.0427495,0.0110746,-0.0212016,5.70971,2.92607,7.3083,-0.0804332,0.0306551,0.0542642,9.61258,-0.0275452,0.881615,-0.0718307,-0.0406861,0.0234024,-1.81668,-9.72938,-1.38123,-0.00302992,0.0348412,-0.006658
0.035,4.73078,-5.03135,7.09931,-0.0230613,-0.0115525,-0.00214564,-1.51522,9.34747,-2.04744,-0.00577065,0.03618,0.0211314,-2.23471,9.32329,-1.8837,-0.0263493,-0.0365367,0.0339589,-0.862476,-9.75235,-1.40198,0.0442352,0.0110437,-0.0205802,5.70698,2.93422,7.32,-0.0795709,0.0314875,0.0548403,9.59707,-0.00760602,0.878547,-0.0687325,-0.0378624,0.0226682,-1.80007,-9.72261,-1.39728,-0.00290751,0.032069,-0.00831227
0.036,4.7341,-5.02423,7.09317,-0.0226199,-0.0121675,-0.00211228,-1.51082,9.35597,-2.03803,-0.00387824,0.0370233,0.0215581,-2.23647,9.31898,-1.8682,-0.0275269,-0.0368229,0.0338236,-0.864284,-9.76717,-1.40234,0.0437392,0.0114588,-0.0205478,5.6972,2.92703,7.32458,-0.0792786,0.0318803,0.0557905,9.59857,-0.00299418,0.879579,-0.0665789,-0.0367232,0.0217798,-1.79008,-9.7217,-1.40822,-0.00266205,0.0291882,-0.00983887
0.037,4.73262,-5.00133,7.10063,-0.0222316,-0.0124683,-0.00199627,-1.5126,9.3554,-2.02628,-0.00216347,0.0385766,0.021441,-2.2416,9.31093,-1.85774,-0.0284472,-0.0384951,0.0336546,-0.881136,-9.76769,-1.38219,0.0407661,0.0124315,-0.0212515,5.67862,2.90067,7.32026,-0.079699,0.0317236,0.0572083,9.62133,-0.0175415,0.885736,-0.0656059,-0.0376895,0.0206986,-1.78838,-9.72811,-1.41276,-0.00226279,0.0261716,-0.0112059
0.038,4.73114,-4.97842,7.10809,-0.0218433,-0.0127692,-0.00188026,-1.51437,9.35483,-2.01454,-0.000448704,0.04013,0.0213239,-2.24672,9.30287,-1.84728,-0.0293676,-0.0401674,0.0334856,-0.897988,-9.76821,-1.36204,0.0377931,0.0134041,-0.0219552,5.66004,2.8743,7.31593,-0.0801193,0.0315669,0.0586262,9.64408,-0.0320889,0.891894,-0.0646329,-0.0386558,0.0196173,-1.78668,-9.73451,-1.4173,-0.00186352,0.0231551,-0.0125729
0.039,4.72966,-4.95552,7.11555,-0.021455,-0.01307,-0.00176425,-1.51615,9.35427,-2.00279,0.00126606,0.0416833,0.0212068,-2.25184,9.29482,-1.83682,-0.0302879,-0.0418396,0.0333167,-0.91484,-9.76873,-1.34189,0.03482,0.0143768,-0.022659,5.64146,2.84794,7.31161,-0.0805397,0.0314101,0.060044,9.66684,-0.0466362,0.898051,-0.0636599,-0.0396222,0.0185361,-1.78497,-9.74092,-1.42184,-0.00146426,0.0201385,-0.01394
0.04,4.72818,-4.93261,7.12301,-0.0210667,-0.0133708,-0.00164825,-1.51792,9.3537,-1.99104,0.00298083,0.0432367,0.0210897,-2.25696,9.28676,-1.82636,-0.0312082,-0.0435118,0.0331477,-0.931692,-9.76925,-1.32174,0.031847,0.0153495,-0.0233627,5.62288,2.82157,7.30728,-0.0809601,0.0312534,0.0614618,9.6896,-0.0611835,0.904209,-0.0626869,-0.0405885,0.0174548,-1.78327,-9.74732,-1.42638,-0.001065,0.0171219,-0.015307
0.041,4.7156,-4.94468,7.13128,-0.022256,-0.0135667,-0.000866866,-1.51858,9.34679,-2.00167,0.00253616,0.0443983,0.0199787,-2.26149,9.29277,-1.81437,-0.0312998,-0.0456547,0.0343913,-0.930044,-9.75358,-1.30341,0.0314771,0.0161091,-0.0229986,5.62722,2.8219,7.31204,-0.0803953,0.0309309,0.060495,9.67264,-0.0529593,0.898429,-0.0615134,-0.0415376,0.0207076,-1.782,-9.74825,-1.43728,-4.99e-05,0.0164834,-0.0149498
0.042,4.70302,-4.95675,7.13956,-0.0234453,-0.0137625,-8.55e-05,-1.51924,9.33989,-2.0123,0.0020915,0.0455599,0.0188676,-2.26601,9.29877,-1.80239,-0.0313913,-0.0477975,0.0356349,-0.928396,-9.7379,-1.28508,0.0311073,0.0168688,-0.0226344,5.63156,2.82222,7.31679,-0.0798306,0.0306084,0.0595282,9.65569,-0.0447351,0.892648,-0.06034,-0.0424867,0.0239604,-1.78073,-9.74917,-1.44819,0.000965156,0.0158448,-0.0145925
