Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.026,-4.48258,4.47467,7.11765,-0.283852,0.0926594,-0.0734184,-2.02852,-10.7619,-2.11865,-0.126224,0.124285,-0.885499,-1.56427,-9.42721,0.728663,0.0420322,0.0212778,0.545976,0.478336,9.41381,-2.12976,-0.0200691,-0.103399,-0.0284216,-8.97092,-3.43179,6.58276,0.676947,-0.583962,-0.0390645,8.63099,0.692047,2.3094,-0.553743,0.398128,0.281428,0.118264,9.17565,-2.97528,0.0793209,-0.0502717,-0.0263113
0.027,-4.4543,4.42832,7.13991,-0.291892,0.0930623,-0.0792411,-2.36187,-11.184,-2.15075,-0.13661,0.14825,-0.881985,-1.36742,-9.46438,0.797526,0.0395861,-0.0122949,0.548581,0.47029,9.41518,-2.08578,-0.0174397,-0.108669,-0.0313358,-9.55653,-2.98634,6.51924,0.679337,-0.571393,-0.0019536,8.66433,0.651098,2.33106,-0.555827,0.391883,0.284263,0.148812,9.17785,-2.96326,0.0794943,-0.0505523,-0.026676
0.028,-4.41261,4.35913,7.17899,-0.300346,0.0966962,-0.0868612,-2.7153,-11.6755,-2.17232,-0.15115,0.173311,-0.877016,-1.10874,-9.52244,0.910142,0.0369639,-0.0508287,0.554036,0.45043,9.40705,-2.03466,-0.0161453,-0.118321,-0.0320033,-9.92502,-2.32586,6.49292,0.652772,-0.559846,0.0514586,8.7171,0.632465,2.35163,-0.555817,0.395266,0.283391,0.163863,9.18462,-2.93005,0.0792147,-0.0537003,-0.0275051
0.029,-4.37093,4.28994,7.21807,-0.308799,0.10033,-0.0944813,-3.06873,-12.1671,-2.1939,-0.165691,0.198372,-0.872047,-0.850056,-9.5805,1.02276,0.0343417,-0.0893626,0.559491,0.43057,9.39893,-1.98355,-0.0148508,-0.127973,-0.0326708,-10.2935,-1.66538,6.4666,0.626207,-0.548298,0.104871,8.76988,0.613832,2.3722,-0.555806,0.398649,0.282519,0.178915,9.1914,-2.89684,0.0789352,-0.0568483,-0.0283343
0.03,-4.32925,4.22075,7.25715,-0.317253,0.103964,-0.102101,-3.42216,-12.6586,-2.21547,-0.180231,0.223433,-0.867079,-0.591375,-9.63856,1.13537,0.0317195,-0.127896,0.564947,0.41071,9.39081,-1.93244,-0.0135564,-0.137625,-0.0333383,-10.662,-1.00491,6.44028,0.599641,-0.536751,0.158283,8.82265,0.595199,2.39276,-0.555796,0.402031,0.281647,0.193966,9.19817,-2.86362,0.0786557,-0.0599963,-0.0291635
0.031,-4.28756,4.15156,7.29623,-0.325706,0.107598,-0.109722,-3.77559,-13.1502,-2.23705,-0.194772,0.248494,-0.86211,-0.332695,-9.69662,1.24799,0.0290973,-0.16643,0.570402,0.39085,9.38268,-1.88132,-0.0122619,-0.147277,-0.0340058,-11.0305,-0.344429,6.41395,0.573076,-0.525203,0.211695,8.87543,0.576566,2.41333,-0.555785,0.405414,0.280775,0.209017,9.20494,-2.83041,0.0783762,-0.0631442,-0.0299926
0.032,-4.26661,4.06312,7.38687,-0.331283,0.112905,-0.112689,-4.13855,-13.646,-2.27247,-0.209641,0.26681,-0.837276,0.0280333,-9.8287,1.42951,0.0291393,-0.2139,0.583615,0.357154,9.40553,-1.82645,-0.0134356,-0.159291,-0.0356529,-11.3014,0.248775,6.61794,0.548768,-0.501798,0.247036,8.94778,0.532249,2.43851,-0.556696,0.419161,0.273949,0.236309,9.23996,-2.82291,0.0743077,-0.0724051,-0.0273958
0.033,-4.24825,3.97228,7.48396,-0.3365,0.118421,-0.115075,-4.50269,-14.1424,-2.30962,-0.224552,0.284282,-0.80996,0.401517,-9.97003,1.61965,0.0295144,-0.262486,0.597798,0.321729,9.43226,-1.7711,-0.0149178,-0.1716,-0.0374223,-11.5602,0.83357,6.85071,0.524742,-0.47691,0.280117,9.02258,0.484722,2.46426,-0.557721,0.434203,0.26638,0.265131,9.2785,-2.81861,0.0697656,-0.0824302,-0.0243707
0.034,-4.22989,3.88143,7.58104,-0.341716,0.123938,-0.117461,-4.86684,-14.6388,-2.34676,-0.239463,0.301755,-0.782643,0.775001,-10.1114,1.80979,0.0298896,-0.311072,0.61198,0.286304,9.45899,-1.71575,-0.0163999,-0.18391,-0.0391918,-11.819,1.41837,7.08349,0.500716,-0.452022,0.313199,9.09738,0.437195,2.49001,-0.558747,0.449245,0.258811,0.293952,9.31705,-2.81432,0.0652235,-0.0924552,-0.0213456
0.035,-4.21153,3.79059,7.67813,-0.346933,0.129454,-0.119847,-5.23098,-15.1352,-2.38391,-0.254373,0.319227,-0.755326,1.14848,-10.2527,1.99993,0.0302647,-0.359658,0.626163,0.250879,9.48571,-1.66041,-0.0178821,-0.19622,-0.0409613,-12.0777,2.00316,7.31626,0.47669,-0.427134,0.346281,9.17218,0.389668,2.51577,-0.559772,0.464287,0.251242,0.322774,9.3556,-2.81003,0.0606814,-0.10248,-0.0183205
