Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.064,0.0586163,0.0834631,0.0539716,0.198576,0.0187808,0.122578,0.0454489,0.0562827,0.0436838,0.0488577,-0.0102094,0.00358002,-0.0651239,0.0252023,0.0535852,0.104847
0.065,0.0387799,0.0370764,0.0710614,0.064299,-0.0462216,0.132649,0.0668112,0.0925986,0.0516183,0.0555716,0.0196979,0.0362338,-0.0761102,0.026423,0.048092,0.133534
0.066,0.040611,0.0389075,0.0493939,-0.0220657,-0.124041,0.141499,0.0460593,0.0871054,0.0543649,0.0110159,0.0352618,0.0246371,-0.0642084,0.0499216,0.0667078,0.129261
0.067,0.0482404,0.0239539,0.0539716,-0.0074173,0.029462,0.127156,0.0723044,0.0843588,0.0635202,-0.0457468,0.0853107,0.0432529,-0.0495599,0.0407663,0.0474817,0.157032
0.068,0.0644147,0.0575232,0.0341351,0.0639938,0.12956,0.154317,0.0875632,0.0785605,0.0461252,0.0189505,0.117049,0.0887241,0.0773932,0.049006,0.0725061,0.150013
0.069,0.0265729,0.0444006,0.0469525,0.154021,0.33006,0.146687,0.0860373,0.0828329,0.0720651,0.0207816,0.160384,0.0807895,0.189393,0.0303903,0.0749475,0.13567
0.07,0.0479352,0.0611853,0.0377972,0.158598,0.252851,0.140889,0.0442282,0.0654379,0.0394113,0.00155548,0.177474,0.0484409,0.100892,0.0548044,0.0694543,0.148182
0.071,0.0186383,0.0386023,0.0274213,0.0948166,0.129254,0.11739,0.0619284,0.0593344,0.0516183,0.0210867,0.17137,0.0276889,0.087464,0.0163522,0.0371057,0.115529
0.072,0.0686871,0.0364661,0.0576337,0.0453781,0.0654727,0.134785,0.0893942,0.029122,0.0214059,0.0998221,0.149398,0.0328769,0.0511481,0.0252023,0.0483972,0.128956
0.073,0.0522076,0.0749182,0.0402386,0.0343918,0.0776797,0.145161,0.0970236,0.0706259,0.0415475,0.0549612,0.129561,0.0328769,0.0322272,0.0303903,0.0261194,0.103627
0.074,0.052818,0.0923132,0.0655682,0.0258469,0.110334,0.13326,0.0857321,0.0526205,0.0571115,0.0567923,0.113997,0.0212802,0.0740363,0.0514474,0.07922,0.140553
0.075,0.0577008,0.0648474,0.0496991,0.0368332,0.0862247,0.161641,0.0732199,0.0779501,0.0809152,0.13095,0.0474689,0.0331821,0.0780035,0.0374094,0.0413782,0.148488
0.076,0.0482404,0.0721716,0.075639,0.0395798,0.0636417,0.124104,0.0741354,0.0462119,0.0867136,0.0610648,0.0325153,0.0402011,0.0990607,0.0435129,0.0569421,0.153065
0.077,0.0393903,0.0407385,0.0463422,0.0224899,0.0575381,0.132954,0.0784079,0.0434653,0.0754221,0.0836478,0.0319049,0.0511874,0.0624396,0.0606027,0.061825,0.136891
0.078,0.0299298,0.0196814,0.0442059,0.0258469,0.0245792,0.132649,0.0506369,0.0340048,0.0445993,0.0512991,0.0102374,0.0438632,0.0499274,0.0282541,0.0593835,0.151234
0.079,0.0543439,-0.0144983,0.00270203,0.0948166,0.0428897,0.153096,0.00943817,0.00806488,0.0479562,0.0485526,0.0126788,0.0203647,0.0456549,0.0526682,0.0425989,0.119191
0.08,0.058006,0.0331091,0.0390179,0.112822,0.00779449,0.157674,-0.00337921,0.0245444,0.0299509,0.00125031,-0.0208905,0.0228061,0.052674,0.0380197,0.0368005,0.127125
0.081,0.0659406,0.0114416,0.0515302,0.0322556,0.00108063,0.154927,0.0204245,0.029122,0.0760324,0.0210867,-0.00319031,0.019144,0.0410773,0.0416818,0.0548059,0.0908093
0.082,0.0671613,0.0245642,0.06862,0.0371384,-0.0327939,0.162251,-0.01345,0.0431601,0.0384958,0.0326834,-0.00868347,0.0606479,0.0395514,0.0291696,0.058468,0.128651
0.083,0.0891339,-0.0093103,0.0551923,0.0133347,-0.0453061,0.171712,-0.00887237,0.022103,0.0711496,0.065032,0.0242755,0.0444736,0.0380255,0.0190988,0.0548059,0.106984
0.084,0.0775372,-0.0181604,0.0768597,0.00448456,-0.0681943,0.161031,-0.0259622,0.0321738,0.0519235,0.0525198,0.0138995,0.0508823,0.052674,0.0270334,0.0764734,0.122548
0.085,0.0454938,-0.00869995,0.0487836,0.0508713,-0.0892514,0.139363,-0.00612579,0.0282065,0.0473459,0.058013,0.025191,0.0380649,0.0276495,0.0236765,0.0783044,0.10851
0.086,0.0790631,-0.0352502,0.0371869,0.0804733,-0.0587338,0.141805,0.000282898,0.00806488,0.0500925,0.0540457,0.0593707,0.0249423,0.0209357,0.0187936,0.0587732,0.107289
0.087,0.0564801,0.125883,0.0222333,0.0221848,-0.0507993,0.179036,0.00760712,0.0105063,0.0348337,0.102874,0.0401447,0.0414218,-0.00317322,0.0435129,0.0429041,0.0895886
0.088,0.0607526,0.116117,0.0854047,0.0325607,-0.0227231,0.150349,0.0137106,-0.0111612,0.0531442,0.0570975,0.0126788,-0.00649078,0.00170959,0.0581613,0.0468713,0.0486951
0.089,0.0216901,0.0935339,0.0222333,0.0350021,-0.0318784,0.150044,0.0283591,0.013558,0.0296457,0.0387869,0.061507,0.0170078,-0.0126337,0.0395456,0.0371057,0.0584607
0.09,0.0537335,0.0767493,0.03383,0.0322556,0.0721866,0.16927,0.0350729,-0.0328287,0.043989,0.00247101,0.0813434,0.00937836,0.0120856,0.0468698,0.0673181,0.0374036
0.091,0.0531232,0.0453162,0.040849,0.0478195,0.161298,0.170186,0.0643698,0.00379242,0.0650461,0.0110159,0.0648639,0.0121249,-0.00195251,0.0816599,0.0361902,0.0529675
0.092,0.0775372,0.0666785,0.0591595,0.15341,0.157636,0.163167,0.0619284,-0.0221475,0.056196,0.0201712,0.0184772,-0.00191315,0.00567688,0.102412,0.0895959,0.045033
0.093,0.0622784,0.0529456,0.0692303,0.0411057,0.100873,0.132954,0.0701682,0.00135101,0.0864084,0.0189505,0.056319,0.0267734,-0.0046991,0.105158,0.063656,0.0615125
0.094,0.0647198,0.0700354,0.0524457,0.041716,0.0306827,0.172322,0.0445334,-0.0474771,0.0619943,0.0308524,0.052962,0.0383701,0.0386359,0.09936,0.0801355,0.0682263
0.095,0.0400006,0.0498938,0.0423749,0.0288986,0.0166446,0.129903,0.04728,-0.033439,0.0772531,0.0177298,0.0657794,0.0307407,0.0435187,0.0535837,0.0587732,0.0432019
0.096,0.0552594,0.0511145,0.0225385,0.00875702,0.00932037,0.141499,0.0188986,-0.0544962,0.0372751,0.0378714,0.0468585,0.0347079,0.0429083,0.0453439,0.0590784,0.0508313
0.097,0.0100934,0.0309729,0.00422791,0.0484299,-0.000445251,0.126546,0.0118796,-0.0300821,0.0555856,0.0644217,0.0319049,0.0374545,0.0685431,0.0255075,0.0447351,0.0303845
0.098,0.0607526,0.0547766,0.0213177,0.0221848,-0.00532806,0.119527,0.0234763,-0.0105508,0.0299509,0.0543509,0.0541827,0.0463046,0.0541998,0.00109344,0.0557214,0.0236707
0.099,0.0415265,0.0477576,0.00850037,0.0502609,-0.0309628,0.128987,0.00180878,0.0288168,0.0525339,0.0546561,0.0239703,0.0542392,0.0703741,0.0386301,0.020321,-0.0297351
0.1,0.0500714,0.0718665,0.0374921,0.0612473,0.029462,0.112813,-0.0122293,0.0211874,0.0586374,0.0430594,0.0422809,0.0426425,0.0514532,0.0383249,0.0667078,-0.00867798
0.101,0.0656354,0.0453162,0.0454266,0.0777267,0.0969058,0.143025,0.00333466,0.0565878,0.0790842,0.0693045,0.0557086,0.0182285,0.0297858,0.0325265,0.0465662,-0.0123401
0.102,0.0445782,0.0569128,0.0707562,0.059111,0.0215274,0.132344,0.0414816,0.0318686,0.0577219,0.040618,0.0688312,0.0371494,0.077088,0.0175729,0.0578577,0.0206189
0.103,0.0659406,0.0303625,0.0637372,0.036528,0.0282413,0.132344,0.043923,0.0163046,0.0659616,0.0680838,0.0691364,0.0218906,0.0288702,0.0413766,0.0413782,0.00505493
0.104,0.0421368,0.0337195,0.0371869,0.0609421,0.0477725,0.136922,0.0561301,0.023934,0.04582,0.0473318,0.0627277,0.0167026,0.00598206,0.0355783,0.0194055,0.0157361
0.105,0.0570905,0.00564331,0.0246747,0.0224899,0.0523502,0.146077,0.0845114,-0.00536285,0.0528391,0.0531302,0.0645587,0.00358002,-0.00439392,0.0422922,0.0297815,0.0160413
0.106,0.0531232,0.0267004,0.0472577,0.0429367,0.0450259,0.134175,0.0710837,0.0242392,0.0424631,0.0708304,0.033736,0.00358002,0.00476135,0.0630441,0.0020105,0.0111584
0.107,0.0326764,0.0404334,0.0411542,0.0127243,0.0221378,0.138753,0.0805441,0.0166098,0.0403268,0.0485526,0.0422809,-0.0104581,0.0114752,0.0331369,0.0136072,-0.0199695
0.108,0.0573956,0.0151038,0.0396283,-0.0098587,0.00474274,0.117085,-0.0107034,0.0156943,0.0525339,0.0491629,0.0416705,0.00846283,0.0117804,0.0706735,0.0142175,-0.0129504
0.109,0.0332867,0.0483679,0.051225,0.00692596,-0.0291318,0.140279,0.0304953,0.0309531,0.0323923,0.0360403,0.0544879,0.0234164,-0.0217889,0.0218454,0.00841919,-0.0059314
0.11,0.0601422,0.0419592,0.0496991,0.0200485,-0.0269955,0.117085,0.0234763,0.0153891,0.0644357,0.0317679,0.0578448,0.0466098,0.0313116,0.0850168,0.0230676,-0.00867798
0.111,0.0659406,0.0559973,0.0689252,0.064299,-0.0440854,0.145161,0.0417868,0.0416342,0.0491769,0.0567923,0.045943,0.0603427,0.0517584,0.0837961,0.0624353,0.0108533
0.112,0.0659406,0.0550818,0.0765546,0.0292038,0.0230533,0.132039,0.042092,0.0285117,0.0696237,0.0522147,0.0663898,0.0484409,0.0853278,0.0950876,0.0703699,0.0258069
0.113,0.0482404,0.0337195,0.0533612,0.0185226,0.0657779,0.13387,0.0555197,0.0562827,0.0577219,0.0375662,0.0413654,0.0560703,0.047486,0.0877634,0.0416833,0.0367932
0.114,0.0494611,0.0526404,0.0179608,0.0258469,-0.0245541,0.128682,0.0356833,0.0132529,0.0595529,0.0381766,0.0499103,0.0276889,0.0511481,0.0694528,0.0645715,0.0151257
0.115,0.0308453,0.0318884,0.0487836,-0.0104691,-0.0303525,0.110371,0.0414816,0.00165619,0.0574167,0.025054,0.0401447,0.0420322,0.0236823,0.0325265,0.0590784,0.0187878
