Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.027,4.83749,-3.94799,7.35329,0.0956017,0.0266458,-0.0297768,0.104307,-7.51492,-4.99127,0.399443,-1.44619,-0.420977,-0.846271,8.86906,-3.39454,-0.129857,0.184788,-0.101087,8.56482,-0.124843,3.43742,0.199044,0.194596,0.206177,-2.75059,-9.1188,-1.66332,-0.124077,-0.357779,-0.08232,-0.774417,9.47264,-4.10545,0.217861,-0.0915345,-0.331075,4.59075,2.93165,8.40656,-0.0458,-0.0152594,0.0581898
0.028,4.84123,-3.94778,7.35344,0.0968577,0.0283545,-0.0332945,-0.350342,-7.52522,-5.07279,0.335834,-1.47468,-0.414412,-0.817924,8.8634,-3.37647,-0.128407,0.177607,-0.0978273,8.5109,-0.1207,3.41459,0.197836,0.187881,0.2088,-2.73976,-9.12334,-1.6112,-0.134007,-0.371726,-0.0863157,-0.761831,9.51448,-4.06183,0.212066,-0.0806971,-0.324166,4.60023,2.86167,8.41581,-0.0392407,-0.0164553,0.0553906
0.029,4.84497,-3.94757,7.35358,0.0981138,0.0300632,-0.0368122,-0.804992,-7.53553,-5.15431,0.272225,-1.50317,-0.407848,-0.789577,8.85774,-3.3584,-0.126958,0.170427,-0.094568,8.45697,-0.116557,3.39176,0.196628,0.181166,0.211422,-2.72893,-9.12787,-1.55908,-0.143938,-0.385674,-0.0903114,-0.749245,9.55632,-4.01822,0.206272,-0.0698597,-0.317257,4.60971,2.7917,8.42505,-0.0326813,-0.0176511,0.0525914
0.03,4.84871,-3.94735,7.35372,0.0993698,0.0317718,-0.0403299,-1.25964,-7.54583,-5.23584,0.208616,-1.53165,-0.401283,-0.761229,8.85208,-3.34034,-0.125508,0.163246,-0.0913087,8.40305,-0.112415,3.36893,0.19542,0.17445,0.214045,-2.7181,-9.13241,-1.50695,-0.153868,-0.399622,-0.0943071,-0.736659,9.59816,-3.97461,0.200478,-0.0590222,-0.310347,4.61919,2.72173,8.4343,-0.026122,-0.0188469,0.0497922
0.031,4.85245,-3.94714,7.35387,0.100626,0.0334805,-0.0438476,-1.71429,-7.55614,-5.31736,0.145008,-1.56014,-0.394718,-0.732882,8.84642,-3.32227,-0.124058,0.156066,-0.0880494,8.34912,-0.108272,3.3461,0.194212,0.167735,0.216668,-2.70727,-9.13695,-1.45483,-0.163798,-0.413569,-0.0983027,-0.724073,9.64,-3.93099,0.194684,-0.0481848,-0.303438,4.62867,2.65176,8.44355,-0.0195626,-0.0200428,0.046993
0.032,4.8452,-3.95141,7.36689,0.102338,0.0339605,-0.0464668,-2.07774,-7.62978,-5.35318,0.0830838,-1.57054,-0.382999,-0.741026,8.85363,-3.32207,-0.12129,0.149217,-0.0865306,8.31031,-0.125393,3.39581,0.1973,0.154079,0.218964,-2.68257,-9.13907,-1.44199,-0.171358,-0.426187,-0.0996176,-0.724977,9.65332,-3.89653,0.189928,-0.0421999,-0.297021,4.64506,2.57422,8.45641,-0.0139472,-0.020215,0.0420238
0.033,4.83659,-3.95624,7.38152,0.104108,0.0342869,-0.0489736,-2.42979,-7.71135,-5.38328,0.0213707,-1.57869,-0.370635,-0.753732,8.86245,-3.3241,-0.118357,0.142409,-0.0852293,8.27339,-0.145171,3.45458,0.200924,0.139555,0.22122,-2.65614,-9.14089,-1.43406,-0.178622,-0.438639,-0.100597,-0.727568,9.66308,-3.86322,0.185302,-0.0368216,-0.290665,4.66231,2.49574,8.46973,-0.00844975,-0.0202592,0.0367834
0.034,4.82797,-3.96107,7.39615,0.105877,0.0346133,-0.0514805,-2.78184,-7.79291,-5.41338,-0.0403424,-1.58683,-0.358272,-0.766437,8.87127,-3.32614,-0.115425,0.135602,-0.0839281,8.23647,-0.16495,3.51335,0.204547,0.125032,0.223475,-2.62971,-9.14271,-1.42613,-0.185886,-0.45109,-0.101577,-0.730158,9.67283,-3.82991,0.180676,-0.0314432,-0.284309,4.67955,2.41726,8.48305,-0.00295232,-0.0203034,0.031543
0.035,4.81935,-3.9659,7.41079,0.107647,0.0349397,-0.0539873,-3.13389,-7.87447,-5.44349,-0.102056,-1.59498,-0.345909,-0.779143,8.88009,-3.32817,-0.112492,0.128794,-0.0826268,8.19955,-0.184729,3.57212,0.208171,0.110508,0.22573,-2.60327,-9.14453,-1.41821,-0.193149,-0.463542,-0.102557,-0.732748,9.68259,-3.7966,0.17605,-0.0260649,-0.277954,4.6968,2.33878,8.49636,0.0025451,-0.0203476,0.0263025
0.036,4.81362,-3.96663,7.42113,0.108543,0.0353564,-0.0554233,-3.47814,-7.97702,-5.48137,-0.160349,-1.59435,-0.331753,-0.795161,8.8968,-3.32964,-0.109946,0.122449,-0.080699,8.16562,-0.188336,3.61658,0.212424,0.0975526,0.228256,-2.57875,-9.14784,-1.42139,-0.199804,-0.471311,-0.103626,-0.731445,9.69318,-3.7653,0.17061,-0.0217687,-0.270876,4.70578,2.2882,8.50531,0.00729061,-0.0210757,0.0210941
0.037,4.81151,-3.96225,7.4261,0.108349,0.0358859,-0.0555207,-3.81264,-8.10581,-5.52897,-0.214368,-1.58277,-0.315356,-0.81532,8.92338,-3.33039,-0.107884,0.116683,-0.077988,8.13544,-0.171729,3.64313,0.217464,0.0865574,0.231119,-2.55661,-9.15302,-1.43848,-0.205697,-0.473226,-0.104808,-0.725273,9.70479,-3.73652,0.164152,-0.0188253,-0.262898,4.70441,2.27249,8.50878,0.0110962,-0.0226588,0.0159256
0.038,4.8094,-3.95786,7.43108,0.108154,0.0364154,-0.055618,-4.14713,-8.2346,-5.57657,-0.268388,-1.57119,-0.29896,-0.835479,8.94995,-3.33114,-0.105822,0.110917,-0.075277,8.10525,-0.155123,3.66969,0.222503,0.0755623,0.233982,-2.53447,-9.15819,-1.45556,-0.211591,-0.475141,-0.105989,-0.719101,9.71641,-3.70774,0.157694,-0.0158818,-0.254919,4.70304,2.25678,8.51225,0.0149018,-0.024242,0.0107572
0.039,4.80729,-3.95347,7.43605,0.107959,0.0369449,-0.0557154,-4.48163,-8.36339,-5.62417,-0.322407,-1.55961,-0.282564,-0.855638,8.97653,-3.33189,-0.10376,0.105151,-0.0725661,8.07506,-0.138516,3.69625,0.227543,0.0645672,0.236845,-2.51233,-9.16337,-1.47264,-0.217485,-0.477056,-0.10717,-0.71293,9.72803,-3.67896,0.151236,-0.0129384,-0.24694,4.70167,2.24107,8.51572,0.0187074,-0.0258251,0.00558875
0.04,4.80517,-3.94908,7.44103,0.107764,0.0374744,-0.0558128,-4.81613,-8.49218,-5.67177,-0.376426,-1.54803,-0.266167,-0.875796,9.00311,-3.33264,-0.101698,0.0993851,-0.0698551,8.04487,-0.121909,3.72281,0.232582,0.053572,0.239708,-2.49019,-9.16854,-1.48972,-0.223378,-0.478971,-0.108351,-0.706758,9.73965,-3.65017,0.144778,-0.00999496,-0.238961,4.7003,2.22536,8.51919,0.022513,-0.0274082,0.000420305
0.041,4.81136,-3.93537,7.44322,0.10728,0.03629,-0.056355,-5.07582,-8.65176,-5.61781,-0.410443,-1.51143,-0.248077,-0.881584,9.00791,-3.30684,-0.101036,0.0933452,-0.0657743,8.04365,-0.10408,3.70821,0.234325,0.047583,0.240381,-2.44153,-9.27423,-1.52685,-0.225058,-0.477425,-0.109563,-0.703734,9.76717,-3.63552,0.138648,-0.00781132,-0.232037,4.71122,2.24935,8.51014,0.0280368,-0.0294984,-0.00551491
0.042,4.81755,-3.92166,7.44542,0.106795,0.0351055,-0.0568972,-5.33552,-8.81134,-5.56385,-0.44446,-1.47483,-0.229986,-0.887371,9.01271,-3.28103,-0.100374,0.0873052,-0.0616935,8.04243,-0.0862507,3.69361,0.236067,0.0415941,0.241054,-2.39286,-9.37992,-1.56398,-0.226738,-0.475879,-0.110775,-0.700709,9.79469,-3.62087,0.132519,-0.00562769,-0.225113,4.72213,2.27334,8.50108,0.0335606,-0.0315885,-0.0114501
