Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.021,5.03188,-2.23632,8.09877,-0.0153882,0.00483823,-0.00190599,-0.115116,9.63431,-1.01304,-0.0557159,0.0177213,-0.0303946,-0.538567,9.54498,1.08705,-0.0216361,-0.129927,-0.0154692,4.87186,1.3802,8.67007,-0.00863623,0.004763,0.00560185,-1.54605,-9.69759,-1.26197,-0.0507934,-0.0168203,0.0293861,9.43838,-0.76992,2.33995,-0.0444047,0.00881247,-0.00965938,-0.0398777,-9.86077,-1.52275,-0.0816082,0.0330414,0.0117678
0.022,5.03636,-2.24007,8.11599,-0.0160793,0.00501767,-0.000569282,-0.119757,9.64026,-1.0117,-0.0554183,0.0182633,-0.032753,-0.52838,9.54836,1.08293,-0.0213611,-0.128789,-0.0169759,4.86333,1.38436,8.65841,-0.00770234,0.00425375,0.00356747,-1.54116,-9.70962,-1.25607,-0.0508792,-0.017473,0.030904,9.42695,-0.752528,2.32556,-0.0444661,0.00980414,-0.00780325,-0.0234178,-9.83895,-1.51132,-0.0811088,0.0341396,0.0102933
0.023,5.03777,-2.25171,8.09686,-0.0157109,0.00397158,0.000244975,-0.108868,9.65235,-1.00133,-0.0529967,0.0195429,-0.0326167,-0.532301,9.53935,1.09488,-0.0214665,-0.126972,-0.0170571,4.85109,1.39485,8.65257,-0.0081689,0.00449278,0.00354806,-1.55631,-9.70517,-1.24919,-0.0506387,-0.0155025,0.030955,9.44006,-0.745183,2.33732,-0.0443554,0.00946137,-0.00889714,-0.0278728,-9.83548,-1.5186,-0.0804286,0.0342631,0.0105898
0.024,5.03829,-2.2656,8.06735,-0.0150398,0.00257532,0.000909961,-0.0935421,9.66618,-0.988363,-0.0499681,0.0210332,-0.0317676,-0.540254,9.52681,1.11143,-0.0216806,-0.124961,-0.016731,4.83778,1.40715,8.64838,-0.00903559,0.00494561,0.00410436,-1.5772,-9.69601,-1.24203,-0.0503049,-0.0127826,0.0305867,9.46018,-0.740708,2.35655,-0.0441955,0.00873734,-0.0108339,-0.0383034,-9.83725,-1.53122,-0.0796967,0.0341081,0.0113923
0.025,5.03882,-2.27949,8.03783,-0.0143687,0.00117906,0.00157495,-0.078216,9.68001,-0.975402,-0.0469396,0.0225235,-0.0309185,-0.548206,9.51427,1.12797,-0.0218947,-0.12295,-0.016405,4.82447,1.41945,8.64419,-0.00990228,0.00539845,0.00466065,-1.59809,-9.68685,-1.23487,-0.0499712,-0.0100627,0.0302185,9.4803,-0.736232,2.37579,-0.0440356,0.00801331,-0.0127706,-0.0487341,-9.83903,-1.54385,-0.0789648,0.0339532,0.0121947
0.026,5.03935,-2.29337,8.00832,-0.0136976,-0.000217192,0.00223993,-0.0628898,9.69384,-0.96244,-0.043911,0.0240138,-0.0300694,-0.556159,9.50173,1.14451,-0.0221088,-0.120939,-0.0160789,4.81117,1.43175,8.64001,-0.010769,0.00585128,0.00521695,-1.61898,-9.67769,-1.22771,-0.0496374,-0.00734275,0.0298503,9.50042,-0.731757,2.39502,-0.0438757,0.00728927,-0.0147074,-0.0591648,-9.8408,-1.55647,-0.0782329,0.0337982,0.0129972
0.027,5.03455,-2.29822,7.98881,-0.0135044,-0.00124,0.0029063,-0.0517113,9.70021,-0.956138,-0.0424671,0.0251883,-0.0293359,-0.563257,9.49397,1.15582,-0.0222304,-0.118315,-0.0156579,4.80097,1.44171,8.64127,-0.0111871,0.0060567,0.00571411,-1.62627,-9.67378,-1.2207,-0.0493184,-0.00501597,0.0296058,9.51725,-0.739298,2.40133,-0.0432459,0.0067017,-0.0162976,-0.0597259,-9.83973,-1.56537,-0.0776904,0.0336733,0.0138246
0.028,5.01908,-2.28498,7.9893,-0.0142669,-0.00151591,0.00357541,-0.048828,9.69163,-0.963157,-0.0441924,0.0257312,-0.0288334,-0.568648,9.49578,1.15668,-0.022167,-0.114465,-0.015047,4.79702,1.44701,8.65342,-0.0107083,0.00576732,0.00609301,-1.60636,-9.68036,-1.21396,-0.0490289,-0.0034755,0.0296084,9.52752,-0.770871,2.3818,-0.0416761,0.00638707,-0.0171946,-0.0405479,-9.83297,-1.56683,-0.0775265,0.0336085,0.0147021
0.029,5.00362,-2.27174,7.98979,-0.0150295,-0.00179182,0.00424453,-0.0459446,9.68306,-0.970175,-0.0459177,0.0262741,-0.0283309,-0.574039,9.4976,1.15753,-0.0221037,-0.110614,-0.0144361,4.79306,1.4523,8.66558,-0.0102295,0.00547793,0.00647191,-1.58645,-9.68694,-1.20723,-0.0487394,-0.00193502,0.0296111,9.53778,-0.802443,2.36226,-0.0401063,0.00607243,-0.0180917,-0.0213699,-9.82622,-1.56829,-0.0773626,0.0335437,0.0155795
0.03,4.98816,-2.2585,7.99028,-0.015792,-0.00206773,0.00491365,-0.0430612,9.67448,-0.977194,-0.047643,0.026817,-0.0278284,-0.579431,9.49941,1.15838,-0.0220403,-0.106764,-0.0138252,4.7891,1.45759,8.67773,-0.00975064,0.00518854,0.0068508,-1.56654,-9.69352,-1.20049,-0.0484499,-0.000394543,0.0296138,9.54805,-0.834016,2.34273,-0.0385365,0.00575779,-0.0189887,-0.00219197,-9.81946,-1.56974,-0.0771986,0.0334789,0.016457
